-0.0050834-0.00078338i,-0.0038163-0.000284i,-0.0029369-0.00042742i,-0.0013411-0.00094202i,-0.00066024+0.001147i,-0.000667+0.0025195i,5.0068e-05+0.00181i,0.00097131+0.00154i,0.0014104+0.00062987i,0.0016555+0.00024336i,0.0015088+0.00044177i,0.0009461-0.00034874i,0.00044806-0.00085993i,0.00044295-0.0011853i,6.2285e-05-0.00072874i,-0.0011453-0.00033759i,-0.0014981-0.00053625i,-0.0010225-0.00023574i,-0.00066542+0.00028653i,7.3854e-05-0.00011631i,0.00063067-0.00064219i,0.00010482+0.00011791i,-0.00042768+0.00073569i
-0.0018606-0.00072684i,-0.0020455+0.0001108i,-0.0019904+0.00029167i,-0.0011398+3.5407e-05i,-0.00063823+0.00033713i,-0.00018759+0.0013046i,0.00034025+0.0007075i,0.00023626+0.00027797i,-0.00054375+0.00050795i,-0.0003464+0.00029193i,0.00021164+0.00023003i,-8.9327e-05+0.00054092i,-4.702e-05+0.00031111i,0.00010536-0.00027409i,-0.00059503-0.00036404i,-0.00087111-0.00055714i,-0.00082621-0.00094313i,-0.00088976-0.00023827i,-0.0010817+0.0008699i,-0.0010684+0.0013051i,-0.00040083+0.00060845i,6.9467e-05+3.8957e-05i,-8.5222e-06+0.00049019i
0.00087768-0.0039251i,-0.00056887-0.0029774i,-0.0018605-0.0021161i,-0.0017243-0.00099767i,-0.0010914-0.00017911i,-0.00069543+0.0005058i,0.00028233+0.00028562i,0.0013847-0.00019086i,0.00096184-6.7045e-05i,-0.0010964-3.278e-05i,-0.0015508+0.000567i,-3.1481e-05+0.0012526i,0.00027316+0.00068095i,0.00057449-0.00024748i,0.0004823-0.00072301i,0.00022943-0.00066497i,0.00012745+0.00026615i,-6.1206e-05+0.00074284i,-0.00053254+0.00052792i,-0.00095319+0.00023751i,-0.0011249+0.00013052i,-0.00068526+0.00038027i,-0.00076982+0.00048389i
-0.0033548-0.0022298i,-0.0034602-0.0010718i,-0.0023778-6.703e-05i,-0.00067581-0.00033237i,0.00022075+2.3882e-06i,-0.00011759+0.0005787i,2.7979e-05+0.00030162i,0.00012119-1.8348e-05i,0.00010782-4.6746e-06i,0.00024061+0.00050515i,0.0014755+0.00044768i,0.0019865+1.0014e-05i,0.0013361-8.3606e-05i,0.00025845+0.00094737i,-0.00025141+0.00090951i,-0.00021104+1.3206e-05i,-0.0007965+6.3773e-05i,-0.00065039+0.00028393i,-0.00063317+0.00061773i,-0.00045058+0.00061683i,-0.00068892+0.00026739i,-0.00062817-0.00026717i,-0.00028387-0.00075594i
0.0020564-0.0012224i,0.0018136-0.0015323i,0.0012567-0.0021476i,0.0017924-0.0024477i,0.0022383-0.0017537i,0.0017203-0.0013783i,0.00095556-0.00096381i,-6.4844e-05-0.00010285i,-0.00058522-6.5206e-05i,-0.0001643-0.00053324i,-0.0002212-0.00080292i,2.1101e-05-0.00047313i,0.00077859-0.00016195i,0.0012036-0.00026703i,0.00071004-0.00035556i,0.00026555-6.7058e-05i,0.00048833-0.0003219i,0.00025965-0.0005781i,-0.0007927-0.00010294i,-0.0015323-5.9593e-06i,-0.00095336-8.501e-05i,-0.00029644-9.7308e-05i,-5.4435e-05+0.00049838i
-0.0021151-0.00048366i,-0.0018703-0.00081702i,-0.0014269-0.00092267i,-0.00082176-0.00080068i,0.00039278-0.00051245i,0.00088193-6.4685e-05i,0.00039293+0.00019001i,0.00044592-0.00048441i,0.00064249-0.00033528i,0.0003427+0.00021555i,-6.25e-05+0.00040837i,3.2518e-05+0.00017859i,0.00060111+0.00019118i,0.00061867+0.00014029i,0.00064912-0.00059956i,0.00084345-0.0010395i,0.00075195-0.00052811i,0.00025508+6.4895e-05i,6.6863e-05-0.00028534i,-8.1479e-05-0.00061806i,-3.8207e-05-0.00013054i,-4.7732e-05+8.291e-05i,0.00037901-0.00036246i
0.00078647-0.0015747i,0.0012623-0.00075807i,0.00062043-0.00035675i,2.5383e-05-0.00011348i,0.00048804+0.00084003i,0.0012197+0.00087386i,0.0014454-0.00019835i,0.00067406-0.00059967i,-0.00015786+0.00029818i,-0.0007627+0.0011538i,-0.00045424+0.0012107i,0.00061307+0.0013619i,0.00022529+0.001165i,-0.00033226+0.00022047i,0.00031015-8.411e-05i,0.00040085-7.3528e-05i,-0.00038906+0.00017821i,-7.874e-05-6.9639e-05i,0.00070832-0.0007459i,0.00023653-0.00028041i,-7.8394e-05+0.00041567i,-0.00035964+0.00042472i,-0.00051508+4.2444e-05i
-0.0015694-0.0019618i,-0.0017911-0.0022187i,-0.0012297-0.002342i,-0.0010757-0.0010805i,-0.00055268+0.0010399i,0.00046873+0.0019211i,0.00025388+0.0010931i,-0.00092737+0.00099888i,-0.0015663+0.00095495i,-0.0014702+0.00076275i,-0.00015318+0.00063892i,0.00060412+2.8326e-05i,0.000896-0.00051273i,0.0013818+0.00029483i,0.00067139+0.00068167i,-1.5031e-05-0.00047398i,-0.0001266-0.00057211i,-0.00036669-0.00036837i,-0.00066703-0.0006779i,-0.00082594-8.2364e-06i,-0.00095947+0.0005715i,-0.00086186+0.00030034i,-0.00028224-0.00012446i
-0.00023041-0.0018186i,-0.0015021-0.0012655i,-0.0021224-0.0012243i,-0.0005578-0.001545i,3.2657e-05-0.0015716i,-0.00010462-0.00056675i,0.00015636+0.00028018i,0.00018965+5.7723e-07i,-7.0464e-05-0.00055805i,-0.00046743-0.00010286i,-0.00017481+0.00021112i,0.0005855+0.00014083i,0.00085056-0.00019151i,0.00031849-0.00093622i,0.00022037-0.0011406i,0.00034138-0.00047839i,-0.00017861+0.00070998i,-0.0004223+0.00079852i,-0.00036341-5.8276e-05i,-0.00059903-0.00096001i,-0.00037319-0.0012278i,0.00043467-0.0007418i,0.00031871-0.00014759i
-2.9669e-05+9.7883e-05i,-0.00067588-0.00061692i,-0.00091152-0.00092907i,-0.00078006-0.00063433i,0.00052334-0.00052983i,0.0013388-4.7029e-06i,0.00092468+0.00040401i,0.00063191+0.00040544i,0.00016804+0.00064081i,-0.00032148+0.0013007i,-0.00011285+0.0012891i,0.00029119-0.000231i,0.00048956-0.00078016i,0.00029499+8.1112e-05i,-8.1511e-05-0.00016141i,-1.8472e-05-0.00079321i,-3.2569e-05-0.00026507i,-0.00055356-3.7688e-05i,-0.00027892-0.00063193i,0.00054536-0.00028633i,0.0007244+0.00036982i,0.0006756+0.00046152i,0.00035511-0.00041253i
0.0010132-0.0021364i,-0.00085453-0.0024132i,-0.0012741-0.0024305i,-0.00077792-0.0017976i,0.00032483-0.00095556i,0.00084085-0.00013987i,0.00051579+0.0013608i,0.00041157+0.00073134i,-0.00015073-0.00038975i,-0.0004015-0.00034365i,-0.00037315+3.3016e-05i,1.5383e-05+8.809e-05i,0.00010015+6.4035e-05i,-0.0002622+7.2304e-06i,2.4694e-05-0.0004568i,-0.00012814-0.00070574i,-0.00035147-0.00013761i,-0.0010323+0.00060193i,-0.00082007+0.00045323i,3.1712e-05+0.00030779i,-0.00037014+0.00039368i,-0.00040461+5.0607e-05i,-0.00015036+0.00034447i
-0.00026137+0.0039525i,0.0020794+0.0026097i,0.0021272+0.0020976i,0.0020145+0.00095632i,0.0022699-0.00020483i,0.0021308-0.00020625i,0.002208+0.00070012i,0.001225+0.0012241i,4.4069e-05+0.00086977i,0.00015607+0.00057404i,0.00059321+9.0756e-05i,0.00069512+0.00015542i,0.00076832+0.00026671i,0.00080298+0.00048823i,0.00020973+0.00058393i,-0.00028293-0.00012595i,-0.00022096-0.00069487i,0.00034503-0.0010643i,0.00013036-0.00088751i,-0.00098978+0.00035359i,-0.0013358+0.00075395i,-0.00066716+0.00020446i,0.00026387-0.00027651i
-0.0012732+0.0013338i,-0.0013608-0.00019292i,-0.00070429-0.00074159i,-0.00020586-0.00011154i,9.4995e-05+0.0008435i,0.00021484+0.00059104i,-0.00012374+0.00012591i,-0.0006023+0.00011148i,-0.00058883+0.00022436i,0.00010024+0.00043217i,0.0008889+0.0004064i,0.00064111-9.6564e-05i,0.0005541-0.00052888i,0.0006462-0.00023934i,0.0005412+9.7462e-05i,0.00036574+0.00023614i,-0.00028705-0.00030763i,-0.00083165+0.00010582i,-0.00060626+0.00037824i,-0.00021307-9.5347e-05i,0.00034437+0.00031019i,0.00070444+0.00021452i,0.0004826+0.00018535i
0.00076141-0.001484i,-0.00060808-0.0015978i,-0.0013715-0.0014613i,-0.00064729-0.00087177i,-0.00052297-0.00060614i,-0.0011943-0.00097725i,-0.00039903-0.00029889i,0.00015225+0.00067045i,1.6106e-05+0.0002486i,-0.0001641+2.7774e-05i,-0.00057615+0.00022427i,-0.00031089+0.00040707i,-0.00029691+0.00012977i,-0.00027784-9.8152e-05i,-0.00011999+4.9886e-05i,-0.00028996+0.00058406i,-0.00034559+0.00049715i,-0.00023025+0.00021312i,-0.00021212+0.00025332i,-0.00083969-0.00031133i,-0.0012271-0.00030303i,-0.00088102-0.00010131i,-0.00024613-0.00024655i
-7.8228e-05+0.00025579i,0.0009487-4.2641e-05i,0.00080042+0.00018763i,-0.00023007+4.7728e-05i,-0.00037442-0.00036427i,0.00073051-0.00032308i,0.00096555+0.00010151i,0.00032059+0.00083324i,-6.2398e-05+0.0011841i,0.00013753+0.00095012i,-0.00027105+0.0012106i,-0.00085089+0.00083874i,-0.00043102+0.0004476i,-1.5647e-05+0.0004304i,0.00024783-0.00017924i,0.00022919-0.00038848i,7.5122e-06-0.00023666i,-0.00011921-9.1943e-05i,-0.00027733-0.00023446i,-0.00075385-0.0005848i,-0.00060961-0.00042201i,-0.00025278+0.00010469i,-0.00053693+9.8402e-05i
-0.00092866+0.00017009i,-0.00053735-0.00052225i,0.00016673-0.00131i,0.0013165-0.00083527i,0.0012545+0.0003506i,0.00078206+0.0011121i,0.0017108+0.0013119i,0.0013801+0.00033884i,0.00036024-9.051e-06i,0.00022064+0.00047533i,0.00046572+6.4062e-05i,-0.00023578-0.00038987i,-0.00071597-2.6791e-05i,-0.00055057+0.00018108i,-0.0003527-0.00045969i,-0.00039844-0.00077994i,-0.00022096-0.00086986i,0.00026808-0.00043002i,0.00039947+0.00089901i,0.00012023+0.00093205i,-0.00034968+0.00032428i,0.00054453+0.00025005i,0.0014472+0.00021975i
0.00098181-0.0024139i,0.00046222-0.0026413i,0.00036898-0.0025817i,0.00087178-0.0016605i,0.0010091-0.00074158i,0.00068803+0.00032599i,0.00011189+0.0010632i,-0.00061917+0.00063635i,-0.00088635-0.00025231i,-0.00035622-9.7808e-05i,0.00049877+0.0011044i,0.0010551+0.0010191i,0.0012597+0.0002353i,0.0010235+0.00023389i,0.00053637+0.00065599i,0.00034509-0.00080523i,0.00076946-0.00095136i,0.00035134+0.0002997i,-0.00072979+0.00037205i,-0.00017597+0.00032895i,8.7725e-05+8.6383e-05i,-0.00047581-0.00048485i,-0.00028439-0.00087661i
