-0.0012239+0.0005808i,-0.00071091-3.4475e-06i,-0.00013809-0.00013503i,8.6432e-05+0.00079092i,-0.00058405+0.0016466i,-0.00031479+0.00071016i,0.00010012+0.00022292i,-8.9667e-05+0.0011413i,-4.1395e-05+0.00073501i,0.00093908-0.00026729i,0.0014977-0.00026974i,0.0010375-0.0007669i,-0.00016989-0.00093522i,-0.00097874-0.00043976i,-0.00064692+6.485e-05i,-8.489e-05+8.0981e-05i,7.3137e-06-5.2751e-05i,-0.00019019-9.2576e-05i,-0.00016743+0.00037805i,-0.00063001+0.00026911i,-0.0012176-0.00028117i,-0.00071729-0.00022816i,-0.00022287-0.00034422i
-0.00014261+0.001261i,-0.00036668+0.00042082i,0.0012031+0.00099829i,0.0017803+0.00081316i,0.00070416+1.4842e-05i,-0.00039328-0.00026537i,-0.0011323-0.00015178i,-0.0011808+8.813e-05i,-0.00013199+3.6201e-05i,0.00024497-0.0005797i,-3.5712e-05-0.00032066i,-0.00032884+0.00061122i,-0.00034459+0.00062383i,-0.00023362+0.00017825i,1.104e-06-0.00017844i,0.00022802-0.00024558i,-2.0631e-05+5.5744e-05i,1.1366e-05+0.00021406i,0.00032865+0.00023415i,-0.00020538+0.00019628i,-0.00071403+0.00016259i,-0.00035798+0.00024898i,-0.00041135-0.00045156i
0.00086834-3.1038e-05i,0.00041635-0.00026374i,0.00047461-0.00045763i,0.00079321-0.00051006i,0.0012132-0.00075808i,0.0013931-0.00024263i,0.00099684+0.00031344i,0.00056485+0.00062375i,-0.0001064+0.00092561i,-0.00051818+0.0001549i,0.00030036-0.00055614i,0.0012042-0.00032567i,0.00015567-0.00013012i,-0.0007729-0.00024594i,-0.0006915-3.8609e-05i,-0.00031831-0.00024351i,-0.00048158-0.00041042i,-0.0011239-0.00016936i,-0.0012687+0.00063583i,-0.00089467+0.00025458i,-0.00050415-0.000801i,-0.00091635-0.00024074i,-0.00079798+0.00019808i
-0.0019114+0.00026319i,-0.0012884+0.0011909i,-0.00053628+0.0014304i,0.00032364+0.0002048i,0.0012852-0.00075605i,0.00095221-0.00045916i,0.00099701-0.00010707i,0.00093903-0.00059333i,-0.00012381-0.00045497i,-0.0011722+0.00040412i,-0.0013156+0.0007057i,-0.00028766+0.00084325i,0.00098338+0.00085658i,0.00096422+0.001095i,0.00083434+0.0010958i,0.0017055+0.00087426i,0.0018076+0.00045718i,0.001261-0.00011918i,0.00075002+0.00020758i,0.00066855+0.00055177i,0.0011923+0.00063987i,0.00073766+0.00065904i,-0.00010611-0.00020436i
0.0004477+0.0012687i,0.00067649+0.0016844i,0.00089062+0.0010898i,0.0010237-9.1161e-05i,0.0015928-0.00094937i,0.0015855-0.00099423i,0.00044602-0.00038653i,-0.00055153-0.00065994i,-0.00067952-0.00080097i,-0.00081717-0.00038791i,-0.0008951-0.00065989i,-0.00051845-0.00044486i,-0.00057997+0.0005107i,-0.00068155+0.00036196i,-0.00058692-0.00021054i,-0.00054358+4.5478e-05i,-0.00022643+0.00026687i,-0.00023551+0.00026071i,-0.00049547+1.7701e-05i,-0.00023137-0.00028225i,-4.5446e-05-0.00036942i,7.5412e-05-0.00074045i,0.00036671-0.00022752i
0.0015888-0.0015054i,0.00097374-0.00039537i,0.00055405-0.00017998i,0.0002699-0.0010713i,-0.0006091-0.00090294i,-0.00082534-0.00016i,-0.00094094+8.3679e-05i,-0.00076332-0.0007863i,-3.5601e-06-0.0012064i,0.00029997-0.00063983i,-0.00039837-8.1528e-05i,-0.00084153+0.00046472i,-0.00032015+0.00098601i,-0.00023195+0.00090783i,-0.00097574+0.0010063i,-0.001362+0.00096553i,-0.00096044+0.00028464i,-0.0003244+0.00013005i,-0.00017068+1.3814e-05i,-7.8398e-05+0.00015564i,0.00012732+0.00091204i,0.0002193+0.00051025i,4.8214e-05-0.00015002i
-0.0010246+0.00054001i,-0.00049374+0.0012177i,0.00050652+0.0015519i,0.00058247+0.0013415i,0.0012414+0.00059387i,0.0013856-0.00016313i,0.00056506-0.0001789i,0.00034135-0.00034935i,5.037e-05-0.0001978i,-0.00033132+0.00019953i,0.00017164+0.00024082i,0.00096049-0.00017713i,0.00094671-0.00048653i,0.0008084-0.00036649i,0.00018311-0.00035822i,-1.3319e-05-0.0001384i,0.0003256-0.00036294i,-2.1067e-05-0.00051199i,-0.00028699-0.00020231i,-0.00040017+2.8033e-05i,-0.00051319-0.00058195i,-0.00015273-0.00076349i,0.00071116-0.00040059i
-0.0013637-0.00067758i,-0.00049033-0.00054859i,-0.00038891+0.0003266i,-0.00036178-0.00048666i,-0.00017902-0.00090937i,0.00086774-0.00049835i,0.0012664-0.0010475i,-0.00040388-0.0016726i,-0.0013443-0.0013074i,-0.00097512-0.0007639i,-0.00079795-0.00052108i,-0.00074823-0.00027214i,-0.0001501-3.2723e-05i,0.0008281-0.00010878i,0.0012174+0.00012304i,0.00062716+0.00036319i,0.00015024+0.00013253i,6.7057e-05-0.00032603i,-2.4787e-05+0.00022164i,0.00038776+0.001331i,0.0013559+0.0014467i,0.001305+0.00064637i,0.00064895+0.00026635i
-0.0018092-0.00035575i,-0.0014518+0.0011252i,0.00016081+0.0019427i,0.0013695+0.0016225i,0.00036301+8.4874e-05i,3.1581e-05-0.00044213i,0.00054898+0.00017827i,0.00054125-0.00018644i,0.00019681-0.00063179i,7.0071e-05-0.00028685i,-0.00017697-0.00016646i,-4.3682e-05-0.00039201i,0.00042771+0.00035322i,0.0003196+0.00059015i,0.0005159+0.00037828i,0.00046711+0.00029568i,0.00045914-6.9538e-05i,0.00029743-5.7445e-05i,0.00011057-0.00027145i,7.7459e-06-0.00014526i,-0.00018977-4.4337e-05i,-5.9567e-05-1.3624e-06i,1.874e-05+8.5658e-05i
-0.000493-0.0012553i,-0.00037484-0.00033069i,-0.0008281+0.00078554i,-0.00053754+0.00094975i,0.0008344+0.00025979i,0.0015941-0.00075289i,0.0013203-0.00073028i,0.00089839-0.00034301i,0.00049753-0.00024111i,0.00052082-0.00054533i,0.00090851-0.00087034i,0.00054735-0.0005253i,-0.00030207-0.00035155i,-0.00014063-0.00041683i,0.00028956+0.00030129i,-1.2045e-05+0.00039122i,0.00023719-5.876e-05i,0.00052656-0.00022461i,0.00074665-9.6906e-05i,0.00047863+0.0004696i,-1.428e-05+0.00077333i,-0.00021962+0.00037419i,-0.00025785-0.00010464i
0.0017988-0.00053602i,0.0012861-0.00078692i,0.0006909-0.0013621i,0.00058451-0.0016456i,-4.5011e-05-0.00078015i,-0.00038985+0.00076439i,0.00079451+0.00067363i,0.00037353+0.00019361i,-0.00073878-0.00022211i,-0.00063972-0.00045832i,-0.00066369-0.00049289i,-0.0010038-1.2169e-05i,-0.00081511+0.00032818i,-0.00059408+0.00084843i,-0.00029822+0.00084387i,-9.0217e-06-0.00025469i,-2.5612e-05-0.00076854i,-3.3934e-05-3.3867e-06i,0.00025991+0.00044239i,-0.00022308+0.0003956i,-0.00081416+3.6116e-05i,-0.00050699+0.00017034i,-0.00035511+6.9363e-05i
0.00025827-0.00079234i,-0.00026289+0.00032446i,0.00035326+0.001378i,0.000185+0.0011863i,-0.00043946+0.0004681i,-0.00067978-6.1496e-05i,-0.00019469-0.00066992i,0.00050335-0.00064428i,4.7549e-05-0.00050576i,0.00028845-0.00012112i,0.00093583-0.0001427i,0.00067682-2.4107e-05i,0.00027662+0.00017574i,0.00016538+0.00024356i,-8.0616e-07+0.00024854i,0.00050896+0.00027589i,0.00090661+0.00058557i,-0.00040015+0.00089757i,-0.0010838+4.6984e-05i,7.0354e-05-0.00061269i,0.00058468-0.0004502i,6.2635e-05+0.00019921i,-3.9415e-05+0.00022443i
0.00031479-0.00026845i,0.00029296+0.00031922i,-0.00016753+0.00070878i,0.00028638+0.00086392i,0.00056269+0.00025599i,0.00073491-0.00068794i,0.00068091-0.00070398i,-0.00027809-0.00028158i,-0.0010838-0.00059753i,-0.00097832-0.00051977i,-0.00051524+0.00051411i,-0.00066061+0.00057294i,-0.00019098-0.00025455i,7.7415e-05+0.00032918i,-0.00011046+0.00073043i,0.00036281+0.00036342i,0.0009732-5.1988e-05i,0.00040174-5.4814e-05i,0.00060594-0.0003184i,0.0010584+0.00016756i,0.00035275+0.00029782i,-0.00041173-0.00057832i,-0.00076715-0.0010925i
0.00022266+0.00021901i,-5.0896e-05+0.00012547i,0.00020982-0.00016016i,0.00022163-0.0001898i,-0.00025503+0.00012071i,0.00024957+0.00038106i,0.0011624+0.00094279i,0.00042596+0.0010766i,-0.00040822+0.0013339i,-0.00070763+0.0010063i,-0.00022806-0.00010601i,0.00064062-0.00029672i,0.0011254+0.0009363i,0.00093607+0.0014228i,0.00068247-3.4404e-05i,0.00020642-0.00058713i,2.1539e-05-0.00063583i,-0.00011938-0.001057i,-0.00011871-0.00061686i,0.00024305-0.00045522i,0.00027099-0.0010691i,-2.6399e-05-0.0008879i,-0.00030093-0.00052265i
0.0006879+0.00065281i,0.00091772+0.0009555i,0.0016183+0.00096881i,0.0022642+8.7666e-05i,0.0012211-0.00062558i,6.0378e-05-0.00059699i,-0.00012632-0.00082818i,3.8088e-05-0.0012525i,-4.5084e-05-0.0014639i,-0.00060578-0.0012242i,-0.00012731-0.00094415i,-3.1667e-06+3.7965e-05i,-0.0003191+0.00064408i,-0.00060367+0.00097366i,-0.00096936+0.00083142i,-0.00041891-0.00025637i,-0.00019369-0.00055613i,-0.00053946-6.0189e-05i,-0.00010558+0.00020895i,0.0002017-0.00054441i,1.9159e-05-0.00041505i,-0.00076786+0.0001883i,-0.00093967+0.00016007i
-0.00023916+0.00044085i,0.0014937+0.0005129i,0.0010214+0.00053691i,0.00045132+0.00029001i,0.00096154+0.00053028i,0.0010145+0.00040327i,0.00037758-0.00041087i,-0.00024856-0.00073945i,-0.00018527-0.0002432i,0.00012792+0.00044122i,0.00077502+9.3683e-05i,0.00072858-0.00050091i,-0.00021649-0.00048166i,-0.00056735+0.00011574i,-0.0003552+0.00035053i,-0.00047953-0.00014355i,-0.00085161+4.0685e-05i,-0.00022611+6.8367e-05i,0.00051286+0.00043809i,-8.1179e-05+0.00092271i,-0.00022808+0.00084913i,0.00040168+0.00083532i,0.00050933+0.00047208i
-0.00096523-0.00076537i,-0.0011247-0.00062375i,-0.00055829-0.00035578i,-0.00065392+0.00069809i,-0.00087988+0.0015399i,-0.00057341+0.0011842i,-8.9972e-05+0.00089856i,0.00021731+0.00076013i,0.00041657+4.8657e-05i,0.00014256+1.2323e-05i,-0.001057+0.00050192i,-0.00081703+0.00083623i,0.00049874+0.00048192i,0.00073395-2.5892e-05i,0.00087565-6.426e-05i,0.0009851-0.00032358i,0.00047174-0.00090334i,-0.00052308-0.00058411i,-0.00030114-0.00020152i,0.00079693-0.00015823i,0.00054053-0.00045843i,-0.00046433-0.00068342i,-0.0011881+0.00027799i
0.00082911+0.00060733i,0.0009381+0.00095138i,0.00059149+0.00097092i,0.00058453+0.00077154i,0.00048754+2.2093e-05i,0.00074566-0.00060402i,0.0010003-0.00062423i,0.00033689-0.00041119i,0.00020502-1.4698e-05i,0.00037692+0.00044908i,-1.4718e-06+0.00069742i,-0.00045771+0.00012037i,-0.00054466-0.00056525i,0.00021538-0.00066577i,0.00094436-0.0003203i,0.00044589+0.00042617i,-0.00075171+0.00050773i,-0.0011075+0.00059108i,-0.00022943+2.9673e-05i,0.00053656-0.00030748i,-0.0002323+0.00079805i,-0.00095128+0.00023842i,-0.00071442-0.00065013i
-0.00075428-0.0011027i,-0.00044581-0.00067016i,0.00090635+0.00010883i,0.0015693+0.000931i,0.0012171+0.00027033i,0.0012383-0.00056838i,0.001556-0.00075049i,0.00068717-0.0001586i,-0.0002595+0.00061476i,-0.00032637+0.00099428i,-0.0003142+0.0011608i,-4.2597e-05+0.0007401i,0.00057158-0.00029846i,0.0012135-0.00070775i,0.0007943-0.00021396i,-0.00027667-0.00021444i,-0.00051244-7.4194e-05i,-0.000286+0.00082151i,5.8266e-05+0.00079368i,0.00044092-2.9384e-05i,0.00029856+0.00018107i,-0.00017308+0.00028135i,-0.00014629-0.00011928i
-0.0008227+0.00097998i,-0.00086884+0.0021019i,-0.000217+0.0020486i,-9.5385e-05+0.0014666i,-2.5456e-05+0.0013808i,0.00047677+0.0014165i,0.00066318+0.00063624i,-0.00029491+5.9089e-05i,-0.00089947-1.2852e-06i,-0.00068527-0.00015961i,-0.00028244-0.00034762i,-6.5716e-05-0.00041626i,-0.00052096-0.00010858i,-0.00030103+0.00022686i,5.3311e-05+0.00019861i,-0.00034899-6.4845e-05i,-0.00039312-0.00062294i,0.00018803-0.00097155i,0.00038108-0.00030182i,-0.00030717+0.00012754i,-0.0011353+0.00052396i,-0.0012904+0.00076989i,-0.00061104-0.00024605i
2.0704e-05-0.00034845i,-0.00091021+0.000145i,8.9765e-05+0.00052479i,0.0013127-0.00025106i,0.0010747-0.00057657i,0.00045454+2.7976e-05i,0.00024591-0.0003201i,0.00036098-0.00042625i,-0.00018845+6.2956e-05i,-0.00082207+0.00039912i,-0.00043222+0.00010003i,-0.00037067+0.00011242i,-0.00022314+0.00062091i,9.6934e-05+7.4764e-05i,-0.00046747-0.00059469i,-0.00098658-0.00039166i,-0.00031317-0.00020932i,4.7029e-05-0.00073574i,-0.00031372-0.00083551i,0.00029077-0.00086203i,0.00089869-0.0012014i,0.00085571-0.00063838i,0.00069528+0.00010721i
0.0016021+0.00013257i,0.0017351+0.00040699i,0.0020583+0.0002475i,0.001458-0.00014402i,0.0004897+0.00039272i,-0.00011582+0.00065671i,-0.00011455+0.00016903i,0.00086556+0.00010588i,0.0011484-2.0521e-05i,0.00014691-7.8908e-06i,7.9025e-05-0.0001053i,0.0004953-0.00011797i,3.4306e-05+0.00044004i,-0.00052143+0.00065178i,-0.0008615+0.0012105i,-0.00073432+0.0012972i,1.9561e-06-0.00022462i,0.00026068-0.0010585i,9.8397e-05-0.00047744i,6.9165e-05+0.00012331i,-0.00038101+0.0006986i,-0.00091774+0.0012909i,-0.00043384+0.00041624i
-0.00019813+0.0012292i,0.00088518+0.0017244i,0.0016666+0.0014279i,0.0015451+5.0867e-05i,0.00099807-0.0012669i,0.00043576-0.0016474i,0.00027374-0.0014401i,-0.0001703-0.00074225i,-0.00010478+1.7818e-05i,-0.00014445+0.00037396i,-0.00014009+0.00031671i,0.00024141+0.00045323i,-0.00027867+0.00014375i,-0.00043065-0.00019523i,-7.2109e-05+0.00036949i,0.00013587+0.00056398i,-0.00013254+0.00045969i,-0.00089598+0.00032533i,-0.00066544-0.00024012i,8.7896e-05-0.00040835i,0.00039417+8.4832e-05i,0.00052526-0.0002317i,0.00037696-0.00043753i
-0.0012109+0.00089811i,-0.0013948+0.00072602i,-0.00015957+0.00058154i,0.001638-0.0001253i,0.0024316-0.0013068i,0.002196-0.0019872i,0.00044246-0.0018567i,-0.0011424-0.0013251i,-0.0012052-0.0011981i,-0.00054542-0.00079052i,-9.8175e-05-0.00023016i,-0.00026989-0.0002911i,-0.0006588+5.3632e-05i,-0.00052837-8.5602e-05i,-0.00014654-0.00058569i,0.00044307-0.0007195i,0.00057546-0.00010706i,0.00056453+9.5174e-05i,0.00023541+0.00047597i,-0.00025353+0.00085909i,7.2976e-05+0.00036768i,0.00048523-0.0002101i,0.00014745-6.7516e-05i
-0.00044209-0.00072081i,-0.00068593-0.00080342i,-0.00051945-0.00069082i,-1.1802e-05-0.00012802i,0.0006252+0.00039332i,0.0007461+0.00058026i,0.00075126-0.00035637i,0.000999-0.0010553i,-0.000157-0.00059766i,-0.00067924+0.00018036i,-0.000372+0.00044886i,-0.00010509+0.00015807i,-0.00020428+0.00020733i,-0.00018012+7.6125e-06i,0.0006006-0.00090317i,0.00084108-0.00044668i,0.0001393+0.00072583i,-7.2202e-05+0.00082424i,0.00013502+0.00046762i,0.00042181+0.00016599i,2.2551e-05-7.3601e-05i,-7.1077e-05-0.00017049i,0.00059715+0.00040303i
0.00022882+0.0019054i,-0.00059079+0.0012973i,-0.00059839+0.00027296i,0.00034898+0.00070478i,0.00029797+0.00068756i,0.00067277-0.00042864i,0.00088947-0.00074094i,0.00019205+0.00031284i,-0.00040161+0.00096438i,-0.00031124+0.00080059i,-8.9129e-05-7.8663e-05i,-0.00022211-0.001164i,-3.8211e-05-0.0017995i,0.00019407-0.0014288i,0.0004518-0.00064586i,0.00088687-0.00016859i,0.00077402+0.00044578i,9.2854e-05+0.00037959i,-0.00088378-0.0004489i,-0.0011401-0.00071301i,-0.0004445-0.00053649i,-0.00099783-0.00061897i,-0.0010037-0.00057768i
-0.00042548-0.0010399i,-5.6516e-05-0.0010377i,0.00056255-0.00035246i,0.00054095+0.00013384i,0.0003232+0.00050914i,-0.00012557+0.0010644i,-0.00071912+0.00077391i,-0.00044336+0.00012803i,0.00013538-0.00024757i,0.00027679-0.00067881i,6.2355e-05-0.0012161i,-0.00011717-0.00071514i,0.00029835-5.7322e-05i,0.00087636-0.00020311i,0.001143-0.00057519i,0.00089748-0.0003824i,0.00028372-5.2916e-05i,-0.00016568+0.00058628i,-0.00044685+0.00095213i,-0.00031229+0.00055649i,-1.6035e-05+0.00011948i,-0.00038551+0.00038487i,-0.00094118+0.00054943i
0.0022216-0.00059395i,0.001414-0.0010201i,0.0012489+9.656e-05i,0.0011322+0.00048265i,0.00062617-0.00017271i,1.4965e-05-0.00059502i,-0.00011243-0.00016361i,-0.00017641+0.00018511i,-0.00066299+0.00038455i,-0.00037357+0.00010756i,0.00058477-0.00057607i,0.00015091-0.00078092i,-0.00049554-0.00047461i,-0.00039652+0.0002348i,-0.00010259+0.00035297i,0.00011148+0.00062879i,0.00033603+0.00043313i,-0.00034031-7.8809e-05i,-0.0010476+0.00032566i,-0.00088864+0.00063755i,-0.00079929+0.00035459i,-0.00047785+0.00057633i,-0.00014701+0.00099938i
0.00039512+0.00016738i,-0.00024773+0.00029249i,-0.00041499-0.00034938i,0.00056425-0.00029043i,0.00095432+0.00034479i,0.00087088+0.00072303i,0.0015676+0.00025623i,0.0014643-6.7803e-05i,0.00022638-0.00052624i,6.8424e-05-0.00080856i,0.00065435-0.00016296i,0.0008596+0.00035371i,0.0010208-0.00014618i,0.00083466+0.00021485i,-6.2601e-05+0.0011475i,0.000279+0.00078594i,0.00032491+0.00031352i,-0.00030501-0.00026205i,2.4743e-05-0.00046354i,0.00041496+9.8885e-05i,9.2087e-05-0.00033687i,-0.00016407-0.00029607i,-0.00018521-2.1786e-05i
