-0.0012239+0.0005808i,-0.00071091-3.4475e-06i,-0.00013809-0.00013503i,8.6432e-05+0.00079092i,-0.00058405+0.0016466i,-0.00031479+0.00071016i,0.00010012+0.00022292i,-8.9667e-05+0.0011413i,-4.1395e-05+0.00073501i,0.00093908-0.00026729i,0.0014977-0.00026974i,0.0010375-0.0007669i,-0.00016989-0.00093522i,-0.00097874-0.00043976i,-0.00064692+6.485e-05i,-8.489e-05+8.0981e-05i,7.3137e-06-5.2751e-05i,-0.00019019-9.2576e-05i,-0.00016743+0.00037805i,-0.00063001+0.00026911i,-0.0012176-0.00028117i,-0.00071729-0.00022816i,-0.00022287-0.00034422i
-0.0022662-0.001817i,-0.0020761-0.0011971i,-0.0028714+0.00083755i,-0.0022952+0.0015757i,-0.00048815+0.00063498i,0.00083872-0.0003933i,0.0010645-0.0007666i,0.000449-0.00078895i,-1.2476e-05-0.00048369i,-0.00036841+0.00031218i,-0.00012073+0.0010908i,-0.00017323+0.0014032i,-0.00065552+0.00079274i,-0.00073234+0.00027642i,-0.00017803+0.00086895i,0.00077332+0.00060091i,0.00065839-0.00016081i,-0.00040233-0.00029926i,1.1172e-05-0.00037114i,0.00099335-2.212e-05i,0.00045141+0.00056335i,0.00019236+0.00026318i,0.00048013-0.00043542i
-0.0010152-0.0014393i,-0.0010779-0.00066462i,-0.00055306+0.00029072i,-8.7435e-06+0.0011781i,-6.2844e-05+0.00075083i,0.00099072+0.00039983i,0.0010286+0.00040123i,5.1878e-05+0.00027343i,-0.00025476+8.9134e-05i,-9.8927e-05-0.00050227i,0.00047655-0.00073554i,0.00097729-0.00078031i,0.00027364-0.00076311i,-0.0006013-0.00016443i,-0.00023764+5.7819e-05i,0.00046436-5.9726e-05i,0.00056067+0.00022831i,0.00032604+0.00052027i,-0.00030123+0.00092345i,-0.00029073+0.0011839i,-4.3757e-05+0.0004568i,0.00016963-0.00064961i,0.00015798-0.00052392i
-0.00064734-0.00047896i,-0.0006438-0.00034105i,-0.00077043+0.00072375i,-0.0001057+0.0017787i,0.0010064+0.0013703i,0.0019479+0.00013404i,0.0019819+0.00031126i,0.0010935+0.00078873i,-4.4433e-05-0.00013386i,-0.00094473-0.00093234i,-0.0001735-0.00096431i,0.00089282-0.00013595i,0.00037349+0.00024475i,-0.0001887-0.00017684i,0.00064851-0.00057927i,0.00078017-0.0009396i,-0.0002251-0.00047601i,-0.00041707-0.00026673i,2.9361e-05-0.00070472i,9.3406e-05-0.00035415i,0.00049436-0.00038282i,0.00062299-0.00015958i,0.000513-8.1135e-05i
-0.00056563-0.00096518i,-0.00027354-0.00034338i,-2.2729e-07-0.00034584i,0.00031338-0.00089015i,0.00066021-0.00087844i,0.00052581-0.00074875i,-5.0711e-05-0.00071018i,-0.00021456-0.00098651i,-0.00068181-0.0010148i,-0.0010345-0.00014339i,-0.0006321-4.79e-05i,-0.00012493-0.00032234i,0.00035338-2.8591e-05i,0.00036808+0.00064384i,0.00040254+0.00088446i,0.00021319+0.00070329i,-0.00040333-0.00017751i,-0.00054279-0.00072751i,-0.00024747-0.00073869i,-0.00043856-0.00065239i,-0.00036352-0.00056065i,8.4193e-05-0.0002892i,0.00013162+0.00013348i
0.00089075+0.00049642i,0.0016421+0.00020724i,0.00025465+0.00043138i,-0.00027572+0.0011171i,0.00017228+0.0016104i,0.00033872+0.0017309i,0.00058956+0.0010679i,0.0003741+0.00029435i,0.0003065-0.00058853i,6.7288e-06-0.00057582i,-0.00062176+0.0004559i,-0.0005259+0.0011071i,0.0003224+0.0006459i,0.00080366-4.0427e-05i,0.00061856+0.00035065i,0.0005568+0.00066167i,0.00076795+0.00040743i,0.00080306-8.8922e-05i,0.00054097+0.00017439i,0.00073458+0.00016335i,0.00032984+0.00019841i,9.8001e-05+0.00063532i,0.00023774+0.00076016i
-0.0014139-0.0007963i,-0.0016894-0.00043562i,-0.0011583+0.00083235i,0.00057076+0.001447i,0.0010688+0.0015637i,0.0018866+0.00083458i,0.0020563-0.00028678i,0.0007647-0.00093572i,-0.00041224-0.0005388i,-0.00057234+0.00029137i,-7.298e-05+0.0001573i,0.00057284+2.2229e-05i,0.00079561-0.00032057i,0.00071674-0.00053246i,0.0010695+0.00019316i,0.00019477+0.00010562i,-0.0012843-0.0004614i,-0.0011066-0.00067941i,-5.5804e-05-0.00020278i,0.00030336+7.4584e-05i,1.736e-05+0.00020137i,0.00026872+0.00081678i,0.00068707+0.0012256i
-0.0013393+0.00059724i,-0.0005961+0.0019979i,0.00027268+0.0025746i,0.0012016+0.0018292i,0.0012559+0.00056099i,0.0013672-1.5478e-05i,0.0011676-0.00032996i,0.0005241-0.00060713i,-7.7639e-06-0.0010625i,-0.00022791-0.00047053i,-0.00012374+0.00050189i,-5.3755e-05+0.00033441i,-9.2453e-05-0.00099843i,-0.00024853-0.0012814i,-0.00045532-0.00036885i,3.1129e-05-0.00014842i,0.00058058-0.00014375i,0.00032214+0.00017487i,0.0002987+0.00012347i,0.00036565-0.00091061i,0.00090431-0.00094049i,0.0013237+0.00023976i,0.00097626+0.00053082i
-0.0012887+0.0011657i,-0.00025002+0.00097083i,0.0011067+0.0014622i,0.0019632+0.00051785i,0.0015755-0.00040397i,0.00034052-0.00051331i,-0.00019697+0.00057824i,-0.00079404+0.00020983i,-0.0010554-0.0012698i,-0.00098664-0.0012114i,-0.00025595-0.00067588i,0.00020197-0.00010624i,-0.000101+0.00073249i,-7.0171e-05+0.00019687i,-0.00029798-0.0013639i,0.00020398-0.0022716i,0.00089226-0.0012566i,0.00045605+0.0002153i,-0.00020793-6.0223e-05i,0.00049349-0.00017021i,0.00059483+0.00029642i,0.00054002+0.00040837i,0.00050293+0.00015244i
0.00047061-0.00053636i,0.0013075-0.00036035i,0.0015918-8.5027e-05i,0.00095396-0.0013508i,0.00019104-0.0022327i,0.0007627-0.00071267i,0.0011211+0.00021687i,0.00032202-0.00052835i,-0.00016152-0.00081587i,0.0002635+4.957e-05i,-0.0001348+0.00056557i,-0.00057505+0.00056146i,-0.00020853+0.00044219i,-0.00016405+0.00035329i,-0.00019897+0.00068378i,0.00048264+0.00098236i,0.00058583+0.00091125i,-1.1314e-05+0.00059538i,-6.7709e-05+0.00029348i,-2.802e-05-0.00028199i,7.336e-05-0.00063278i,7.6988e-05-0.00028033i,0.00046324-0.00020521i
0.00098523-0.0015569i,-0.00019762-0.00053019i,-0.00018193+0.00010612i,-0.00013844+0.00010465i,-0.00017282+0.00078837i,-0.0001401+0.0020296i,0.00015878+0.0018326i,0.0001414+0.00030809i,-6.5824e-05-0.00062016i,-0.0006862-0.00073235i,-0.00070859-0.00040683i,-0.00048529+0.0003298i,0.00029489+0.00049972i,0.00079938+0.00040316i,0.00074065+0.00037583i,0.00059484+0.00049764i,-6.8472e-05+0.00053757i,0.00040717-0.00018309i,0.00066595-0.0003951i,0.0008887-0.0001852i,0.0014732+0.00021832i,0.00029233+0.00078578i,-0.0012213+0.00065896i
0.00043133-0.00013938i,0.00060456-0.0006089i,0.00091201+0.00045299i,0.00063697-1.2915e-05i,0.00041445-0.0012691i,0.00082557-0.0011701i,0.00052043-0.00043702i,0.00058713+0.00028635i,0.00081253+0.00047227i,0.00022162+0.00030485i,-0.00041487-3.5477e-05i,-0.00062102-4.5108e-05i,-0.00056943+0.00060389i,-0.00056452+0.00086159i,-0.00067873+0.00018396i,-0.00080845-0.000355i,-8.7063e-05-0.0010746i,0.00019983-0.00062263i,0.00050571+0.00010466i,0.00089428+2.5959e-05i,0.00098477+8.5565e-05i,0.00052597-8.3627e-05i,-0.00031063-0.00026518i
-0.00052577-0.00057082i,-0.00038806-0.00082239i,0.00090472-0.0013217i,0.0015875-0.001256i,0.0011744-0.00066548i,0.00025156+0.0002521i,7.4807e-05+0.00050598i,9.2155e-05+1.2932e-05i,-0.00063298-0.00062061i,-0.00064312-0.00037439i,0.00014728-1.4337e-05i,0.00014842+0.0001003i,0.00056405+0.00029466i,0.0008236+0.0002156i,0.00059987+0.00011801i,0.00088683+0.00037265i,0.00071829+8.2522e-05i,0.00026246-0.00031169i,-0.00016429+0.0001166i,-0.00037804+0.0009819i,-0.00023142+0.00086054i,2.102e-05+0.00021229i,0.00029004-0.00061898i
3.3616e-05+0.0015843i,-0.00065195+0.0014864i,-0.00021202+0.00088136i,0.0010187+3.9061e-05i,0.0016238-0.00028259i,0.00072469-0.00020467i,-4.295e-05+5.6406e-05i,-0.00026238-0.00017902i,-0.00033129-0.00015782i,0.00010801+3.8103e-05i,-8.2098e-05-0.00071126i,-0.00068959-0.0007776i,-0.0012412-4.8119e-05i,-0.0016813+0.0001622i,-0.0014384-0.00049398i,-0.00021817-0.0010244i,0.00035758-0.0006117i,-0.00033244-0.00052139i,-0.00055273-0.00086585i,-0.00020673-0.00031475i,0.00075907-4.0522e-05i,0.0016555-0.00037362i,0.0013099-2.0126e-05i
