0.00028317+0.0004603i,0.0011026-0.00061877i,0.001247-0.0019735i,0.00012993-0.0018586i,-0.0013124-0.00057321i,-0.0023171+0.001419i,-0.0013582+0.0018692i,0.00060806+0.00072748i,0.0014385+0.00024581i,0.0017503+0.000245i,0.0015203-6.9493e-05i,0.0004876+0.00011032i,-3.7539e-05+0.0004823i,0.00024848+0.00040214i,0.00016885-8.0623e-05i,0.00020662-0.00032291i,0.00010324+0.00010162i,0.00015245-0.0001818i,0.00021437-0.00061169i,-0.00051089-0.00075831i,-0.00016079-0.00071968i,0.00046923-0.00011776i,0.00027479+5.4879e-05i
0.001627-0.0011752i,0.0020017-0.0024918i,0.0014232-0.0032174i,2.6454e-05-0.0028096i,-0.00090924-0.001698i,-0.0023909-0.00056709i,-0.0026718-0.00033274i,-0.001028-3.8249e-05i,-0.00030389+0.00057819i,-0.00043079+0.0011065i,-0.00042133+0.0016668i,-2.494e-06+0.0005248i,0.00078458-0.00035376i,0.00037921+7.8032e-05i,-4.6774e-05-0.00038467i,0.00012323-0.0005581i,9.0524e-05-0.0005197i,-3.9109e-05-0.00059327i,-1.6318e-06-0.00048842i,-5.5566e-05+5.5831e-05i,-0.00032455+0.00035142i,-0.00013897+0.00011779i,-0.00016222+0.00035091i
-0.00071505+0.00024677i,-0.00030886+7.1775e-05i,-0.0006076+0.00082826i,-0.0011175+0.0011048i,-0.0018757+0.00045068i,-0.0015709-8.4819e-05i,-0.0008981-0.00064671i,-0.00063688-0.00057494i,-0.00056962+0.00029031i,-0.00089353+0.00064973i,-0.00086189+0.00033197i,-0.00023604-7.9095e-05i,0.00069893-0.00018508i,0.00087004-0.00013756i,0.00093199-0.00055172i,0.00063236-0.00055814i,-0.0001385-1.7772e-05i,-0.00045506+6.0511e-05i,-0.0004573-0.00044672i,-0.00051836-0.00067504i,-0.00033898-0.00054949i,0.00025178+0.00015722i,5.4428e-05+0.00094553i
0.0010747+1.1081e-05i,0.0015029-0.00021943i,0.0010902-0.00015018i,-3.8131e-05-0.00010693i,-0.00028159-0.0010605i,-5.9882e-05-0.0015444i,-0.00033134-0.00086804i,-0.00056294-0.00031085i,-0.00022184-6.0035e-05i,-9.1538e-05+5.983e-05i,3.1147e-05+0.000146i,0.00070887-0.00038281i,0.00051027-0.00075791i,-1.6367e-05-0.0002745i,9.4121e-05-0.00060629i,0.00043541-0.00085574i,0.00019017-0.00013547i,-0.00020682+0.00034764i,-5.7311e-05+0.00021409i,-0.00025405+0.00036558i,-0.00024326+0.00068898i,-0.00010227+0.00086061i,-0.00038467+0.00073137i
-0.00012919-0.00031103i,0.00045488-0.00055382i,-0.00034484-0.00046199i,-0.0017399-0.00042946i,-0.002159-0.00059476i,-0.0022145-0.00015443i,-0.001815-4.2648e-05i,-0.00082491-0.00034546i,-0.0010373-0.00044711i,-0.0012858+0.00075971i,-0.00043553+0.0013568i,-0.00047233+0.00037364i,-0.00037687-0.00043039i,0.00013482-0.00075464i,-0.00012723-0.00086369i,-0.0004144-0.0003079i,-0.00074094+0.00068884i,-0.00049545+0.00054816i,-0.00031334-0.00052599i,-0.00068582-0.0003699i,-0.00092047+0.00012891i,-0.00067541-0.00058462i,-0.00078134-0.00051912i
-0.00079441-8.8263e-05i,-3.0558e-05-0.0010526i,-0.00019123-0.0017128i,-0.0011154-0.0015613i,-0.0019505-0.001104i,-0.0020777-0.00025744i,-0.0014826+0.00028634i,-0.00094003+0.00039037i,-0.0011151+5.0731e-05i,-0.0010827+9.5408e-05i,-0.00047026+0.00053197i,-0.00012657+0.00032071i,5.9134e-05-0.00051545i,0.00041243-0.00071746i,-6.3589e-05-0.00047965i,-0.00064291-0.0011008i,-0.00034017-0.0014158i,4.724e-05-0.0009755i,-0.00056867-0.00080784i,-0.00049908-0.00043084i,-0.00014888+3.3035e-05i,-0.00021057+1.2366e-05i,3.2635e-06+0.00042586i
0.0011042+0.0008987i,0.001043+0.00080364i,-2.4019e-05-0.00031206i,-0.00090127-0.0015286i,-0.0012224-0.0007737i,-0.0016833-7.7678e-05i,-0.0014854-0.00010335i,-0.00096699-0.00033911i,-0.00052864-0.00034744i,-0.00054887+0.00071893i,-0.00055078+0.0009564i,0.00016649+0.00062943i,0.00017515+0.00044216i,-0.00043694+0.00014471i,-0.00099848-0.00022134i,-0.00091199-0.0004539i,-8.9271e-05+5.8593e-05i,0.00079977+8.4444e-05i,0.00037395-0.00020851i,-0.00035244+0.00015375i,-0.00036684+0.00033601i,-0.00018206-0.00042964i,1.4018e-05-0.0010056i
-0.00061779-0.0006489i,-0.00056237-0.0015166i,-0.00093-0.0013542i,-0.0013554-0.00044778i,-0.0017069+0.00015366i,-0.0022779-0.0001212i,-0.0017157-6.2073e-05i,-0.00090698-2.4881e-05i,-0.00099691-0.00027188i,-0.00064722-0.00029467i,-5.2647e-05+0.00052758i,0.0004662+0.00066617i,0.00088604-0.00025915i,0.00088115-0.0011732i,0.00032814-0.00018002i,-0.00058593+0.00077262i,-0.00011121-0.00011112i,0.00032497-0.00015263i,0.00018266+8.7501e-05i,9.815e-05-0.00019268i,-7.8975e-05-6.4166e-05i,-0.00039607-4.9819e-05i,-9.9196e-05-0.00012311i
0.00044131-0.00053293i,0.0010579-0.00057076i,0.00054436+2.0009e-05i,0.00032329+0.00011752i,-0.00028879-0.00066596i,-0.0014296-0.00056534i,-0.0009414-3.7644e-05i,-0.00018582-2.4105e-05i,-0.00038625+0.00038554i,0.00039369+0.00027847i,0.00084672-0.00012232i,0.00056829+0.00030097i,-0.00014883+0.00071735i,-0.0013051+0.00063028i,-0.0010506+3.2486e-05i,-0.00052813-7.0907e-05i,-0.00053501-5.7596e-05i,-0.0006088-1.7605e-05i,-0.0008462+0.00038887i,-0.00065144+0.00050304i,-0.00061089+0.00018703i,-0.00043757+0.00011009i,0.00017121+4.3866e-05i
-0.00082849-0.00070014i,-0.001012+0.00054766i,-0.00071465+0.001347i,-0.00063803+0.0014681i,-0.00036764+0.00039258i,-0.00014102-0.00022977i,-0.00052822+0.00070749i,-0.00095516+0.0010859i,-0.00079156+0.00018942i,-3.6007e-05-0.00050979i,0.00020869-5.7548e-05i,-0.00018567+0.00069453i,-0.00012928+0.00082362i,-0.00018043+0.00055682i,-0.00019709-0.00029829i,-0.00044701-0.0010143i,-0.00059829-0.00082963i,-0.00071246-8.893e-05i,-0.00050431+4.656e-05i,-0.00027348+0.00037683i,-7.3018e-06+0.00083235i,-8.5377e-05+0.00037656i,-0.00056076-1.2727e-05i
0.0018726+0.00042231i,0.0017408+0.00099322i,0.0013139+0.00027275i,0.00054986-0.0015378i,-0.0010194-0.0023572i,-0.0023492-0.0021272i,-0.0011478-0.0014461i,0.00018535-0.00044899i,-0.00022553+0.00071234i,-0.00087774+0.00055929i,-0.00061438+0.00011506i,-0.00045552+2.6181e-05i,4.2875e-05-0.00015369i,0.00064427-0.00057334i,0.00023811-0.00012903i,-8.1417e-05+0.00040939i,-0.00021871+0.00039985i,-0.00059311+5.9169e-05i,1.3868e-05-4.0384e-05i,0.00060481-0.0004255i,0.00106-0.00078462i,0.0012944-1.9262e-05i,0.00043162+0.00025434i
0.0004534+0.00053733i,0.00052927+0.00012587i,0.0007282+0.00042126i,0.0011951-9.9174e-05i,0.0010006-0.0010165i,-6.2551e-05-0.0012761i,-0.00085466-0.00079357i,-0.0011248-0.00019699i,-0.00099465+7.531e-05i,-0.0002121+0.00018114i,0.00048517+0.0003724i,0.00034391+0.00050283i,-0.00029336+0.00024314i,-0.0010326-0.00044873i,-0.00049981-0.0012598i,0.00017626-0.0010258i,5.4315e-05-0.00032163i,0.00050769+3.105e-05i,0.00064931-0.00064521i,5.6326e-05-0.00077996i,-0.00020374-0.00070529i,7.6046e-05-0.000182i,-5.7127e-05+0.0010143i
-0.00030471-0.00084405i,0.0002012+0.00017299i,-0.00031209+0.00047244i,-0.00052125-0.001012i,-0.00050751-0.0014803i,-0.0009838-0.00072777i,-0.00090534-0.00026627i,2.2819e-05+2.5104e-05i,-9.9487e-05-0.00015834i,-9.0821e-05-0.00068608i,0.00061951-0.00033407i,0.00073874-0.00011313i,9.5481e-06-0.00014226i,-0.00025032-5.4025e-05i,-0.00058094-1.1685e-05i,-0.00076428-0.00034807i,-0.00055667-0.00025551i,-0.00094793-0.0002729i,-0.00089112-8.3186e-05i,-0.00068907+0.00071894i,-0.00073171+0.00030848i,-8.3572e-05-0.00049049i,0.00059498-0.00056066i
8.2413e-05+0.0016432i,0.00065303+0.0018914i,0.0013015+0.0014769i,0.00096994+0.00020622i,-0.00050813-0.00074023i,-0.0014915-0.00090975i,-0.0014967-0.00056843i,-0.0017128-0.00045268i,-0.00077576-0.0003242i,0.00047762-0.00030685i,0.0006997-0.00055861i,0.00061288-6.5654e-05i,0.00023745+0.0011633i,0.00017192+0.0014782i,-6.7202e-05+0.0008442i,-0.00085479+0.00073348i,-0.0005931+0.00097744i,-0.00028211+0.00025996i,-0.00046104-0.00027907i,-0.0001105-0.00031736i,-0.00030332-0.00025135i,-0.00031345+0.00033199i,-0.0001164+0.0011739i
0.0019405-0.0021404i,0.00075164-0.0020204i,-0.00066602-0.0010104i,-0.00071706-0.00091501i,-0.0011899-0.0010722i,-0.001429-0.00034692i,-0.00081916+0.00027834i,-0.00081303+0.00025363i,-0.000676-2.6612e-05i,-8.9206e-05+0.00018085i,0.00035865+0.00036806i,-0.00022705+0.0003281i,-0.00047946-7.6159e-06i,-0.00062842-9.247e-05i,-0.0010584-2.1418e-05i,-0.00042936+0.00012602i,-0.000221-3.6994e-05i,0.00014494-0.00021586i,0.00059677-0.00031947i,0.00071645-0.00056766i,0.001595-0.00027058i,0.0017715+0.00031557i,0.0010046+0.00072867i
-0.0015567+0.0017622i,-0.00036412+0.0016327i,0.00054806+0.00071479i,0.00044247+0.00016385i,0.00011458+0.00033551i,-0.00047879-0.00034991i,-0.0011089-0.00041726i,-0.0007032+0.00022719i,0.00032485+0.0013972i,0.00067205+0.0012437i,0.00026661-2.6274e-05i,7.7442e-05-0.00049308i,0.00074629-0.00070634i,0.001276-0.00039608i,0.00030901+0.00030551i,-0.00068776+0.00010278i,-0.0012667+0.00021067i,-0.0014669+0.00088068i,-0.00058677+0.0010293i,0.00023831+0.00026244i,0.00043918-0.00059472i,0.00039187-0.00084422i,-0.00036983-0.00069967i
-0.00084946-0.0014695i,-0.0011761-0.00192i,-0.0021035-0.0015704i,-0.0014593-0.00057259i,-0.00072751+0.00022447i,-0.0012287+0.00038994i,-0.0012675-0.00097232i,-0.00063465-0.0016541i,-0.00044575-0.00038697i,-0.00024029+0.00049058i,5.0147e-05+0.0002975i,-0.00048994+3.6136e-05i,-0.000565-0.00074387i,-0.00035437-0.00098235i,-0.00050064-0.00033484i,-0.00024132-9.972e-05i,0.00020614-0.0002616i,0.00036741-0.00016632i,-2.4539e-05-0.00039171i,-0.00020731+1.0657e-05i,-0.0001696-0.00024367i,-0.00042603-0.0009085i,-0.00079824-0.00039564i
0.0016342-0.00013278i,0.0011967+0.00025836i,0.001125+0.00031013i,-0.00043201-0.00079473i,-0.0020535-0.0014036i,-0.0022482-0.00059564i,-0.0013974+0.00029962i,-0.00020005+0.00019333i,-5.7851e-05-0.00039639i,-0.00020277-0.0003422i,0.00011568+4.6855e-05i,0.00049642+4.1772e-05i,-0.00014718-8.3454e-05i,-0.00052748+6.4278e-05i,-0.00046133+0.00074264i,-0.00062612+0.00094323i,0.00014001-3.5122e-05i,0.00068973-0.00041485i,0.00027307+0.0001738i,0.00037626+8.6368e-05i,0.00029173+0.00024533i,-0.00017643+0.00046171i,-0.00056317+0.0001824i
0.00022403-0.0027224i,-0.00053502-0.002936i,-0.0015029-0.0016542i,-0.0018719-0.00015948i,-0.002007+0.00112i,-0.0016728+0.0017657i,-0.00061591+0.00095953i,0.00053603-0.00037886i,0.00070846-0.00041875i,1.9953e-05+0.00065066i,9.9209e-06+0.0010984i,0.0004127+0.00036544i,0.00041017-0.00088103i,0.0004775-0.0011479i,0.00074431-0.00080469i,0.00055328-1.7494e-05i,-5.3904e-05+0.0002739i,-0.000176+0.00028497i,-0.0007704+0.00089556i,-0.0014864+0.00038923i,-0.00074684-0.0011144i,-0.00013826-0.00061657i,-9.8901e-05+0.0002566i
0.0015845+0.0026578i,0.00147+0.0010238i,0.0016702-0.00063698i,0.0018753-0.0018745i,0.0010757-0.0025433i,-0.00034257-0.0026321i,-0.00069027-0.0017137i,-0.00014468-0.00059379i,-0.00017123-0.00030265i,0.00076072+0.00013539i,0.0010437+0.00022526i,0.00025245-0.0005256i,-0.00015098-0.00049613i,0.00022683+6.5682e-05i,0.00035136+0.00075805i,-0.00027429+0.00087252i,-0.00021297+0.00064262i,0.00088974+0.00032967i,0.0015471-0.0002565i,0.00083827-0.00051932i,1.8171e-06+5.292e-05i,-0.00020978+0.00019131i,1.1018e-05+0.0001595i
7.6551e-05-0.0008403i,-0.00046653-0.00071603i,-0.00087545+3.472e-05i,-0.00024683+8.3968e-05i,0.00019901-0.00039821i,-0.00026165-0.00032538i,-0.0005317-0.00018204i,-0.00053199-0.0004108i,-0.00028083-0.00035861i,0.00023033+0.00041656i,0.00035993+0.00036788i,0.00049144-0.00014123i,0.00059178-4.7292e-05i,0.00015001+0.00016333i,-0.00059464+0.00078216i,-0.0002962+0.0007829i,0.00047373+0.0003356i,0.00054009+0.00029686i,0.00039329+0.00024817i,-4.5294e-05-8.9295e-05i,-0.00057236-0.0006624i,-0.00039773-0.0008105i,0.00023207-0.00014251i
