0.0022015+0.00032959i,0.0015885-0.00070073i,0.00093984-0.0024926i,-0.00044257-0.0030637i,-0.0015377-0.0021802i,-0.0018611+0.0003096i,-0.00065476+0.0021682i,8.6289e-05+0.0024607i,0.00044802+0.001364i,0.00073487-0.00056276i,0.00048041-0.0011559i,0.0001471-0.00010008i,0.00019333+0.00024636i,0.00050327+0.00011069i,0.00029167-0.00041086i,0.00024326-0.0011084i,-4.9865e-05-0.00042381i,-0.00049642+0.00016026i,-0.00032092-3.6408e-05i,-0.00034814-0.00030863i,-0.00054985-7.271e-05i,-0.00043383+0.0009159i,0.00030097+0.00084167i
-0.00059002+0.0043405i,-0.00046095+0.004631i,0.0014401+0.0035547i,0.0027026+0.0015619i,0.0030596-0.00060299i,0.0018518-0.0012667i,0.00035023-0.00033912i,-9.21e-05-9.1337e-05i,0.00057498-0.00022347i,0.0010094-0.00023012i,0.0013425-0.0007928i,0.0014166-0.0012331i,0.00084751-0.00096709i,0.00013568-0.00030446i,-0.00061272-0.0002725i,-0.00033907+0.00036534i,0.00022925+0.0013603i,0.00063392+0.00045645i,0.00073779-0.0010205i,0.00060313-0.0013746i,0.00066875-0.00072241i,0.00088357-0.00010795i,0.000772+0.0004265i
-0.00072151-0.0017429i,-0.00029283-0.0019819i,-0.0011981-0.0009498i,-0.00074479+0.00069584i,0.00049925+0.00092052i,0.0016061-0.00019009i,0.0018951-0.00052508i,0.0013219+0.00010105i,0.00044372+0.00018882i,0.00039581-0.00021364i,0.00042844+9.574e-05i,0.00031796-9.3011e-05i,0.00034225-0.00053233i,0.00064908-0.00038983i,0.00086005-0.00019044i,0.00092925+0.00045657i,0.00075521+0.00026577i,0.00049085-0.00010956i,-9.5487e-05+0.00023621i,-0.00012943-0.00023281i,0.00048235-0.00076591i,0.00017941-0.00073572i,8.5735e-05+3.6608e-06i
-0.0014279-0.0013541i,-0.0011821-0.00072828i,-3.08e-05-0.00060924i,0.00048679-0.00031364i,0.00019988-2.888e-05i,0.00026496+0.00033425i,0.00091878+0.00069351i,0.00099928+0.0011309i,0.0009377+0.00099243i,0.00049614+0.00020026i,8.043e-06-0.00036361i,-8.4189e-05-0.00041512i,-0.00018133-0.00029893i,-0.00051542-0.00012367i,-5.7154e-05+0.00015356i,0.00029582+0.0007243i,0.00077023+0.0006086i,0.0013444+0.00028012i,0.0010396+0.0004141i,0.0010451-1.2547e-05i,0.0010036-0.00029494i,-2.5442e-05+0.00024121i,-0.00061514+0.00070046i
0.002093-0.00074891i,0.0014577-0.00094971i,0.0017945-0.0013986i,0.00082892-0.0021457i,-0.00023446-0.0026928i,-0.00044415-0.0011424i,-0.00018763+0.00054375i,0.00028913+0.00057948i,0.00075723+0.00013734i,0.00074078-0.00028019i,0.00038565-0.00066097i,0.00013632-0.00054693i,-0.0002014-0.00014093i,-0.00047326+0.00014813i,-0.00053057+0.00027276i,-0.00047574+0.00043863i,-0.00049283+0.00023315i,-0.00084808-0.00036048i,-0.0010167-0.00045204i,-0.0006684-0.00015155i,-0.00027037+0.00011705i,-1.0276e-05+0.0001486i,0.00054521-0.00016022i
-4.7783e-05-0.0030338i,-0.00092329-0.002648i,-0.0010783-0.0020587i,-0.00020653-0.00090863i,0.00085741+0.00048506i,0.00078541+0.00084267i,0.00049393+0.00092829i,0.00014161+0.0011842i,2.0785e-05+0.00015878i,0.00028674-0.00096121i,0.00047759-0.00041542i,0.00067675-0.00011804i,0.00068573-0.00026786i,0.00031638-1.8993e-05i,0.00028931-0.00027127i,0.00042356-0.00035189i,5.7798e-05+0.00045065i,-0.00032328+0.0011629i,-0.00024824+0.00052347i,-0.0001188-0.00026339i,-0.00019376-0.00052874i,0.00029538-0.00055968i,0.00089338+0.00023812i
0.00013312-0.00040775i,-8.9474e-05-0.00040699i,-0.00055493-0.0002391i,-0.00085116-0.00077537i,-0.0014696-0.001636i,-0.0012135-0.00071963i,-0.00054746+0.00016254i,-0.0002929+0.00012878i,3.9979e-05-2.7217e-05i,6.4933e-05+0.00065353i,0.00088051+0.00043315i,0.0010563+0.00041849i,-0.00021295+0.0012684i,-0.00091117+0.001068i,-0.00049221+0.00070417i,-0.00023567+0.00086223i,-9.2161e-05+8.0825e-05i,0.0011917+3.5883e-05i,0.0010231+0.0004077i,0.00034246-0.00042599i,0.00058086-0.00090874i,-2.281e-05-0.00010442i,-0.00053822-1.5072e-05i
-0.0010851-0.00033613i,-0.0010212+0.00026912i,-0.00121+0.00070751i,0.00079893+0.00063052i,0.0023409+0.00092793i,0.0012195+0.00095068i,0.00055906+0.00076594i,-0.00025397+0.00052929i,-0.00073854-0.0002963i,0.00014974-0.0011171i,0.00032513-0.0011801i,0.00011634-0.00023115i,0.00026157+8.6979e-05i,0.00050476+0.00049564i,0.00026526+0.00051992i,-0.00035338-8.8723e-05i,-0.00087831+0.00016009i,-0.00089442-0.00011804i,-0.00058773-0.00096723i,-0.00055144-0.0011783i,-0.00060937-0.00044205i,-0.0004025+4.794e-05i,-0.00039373+0.00065577i
-0.00026821-0.0014438i,-0.00098318-0.00064395i,-0.00058276-0.00077212i,-0.00040374-0.0012619i,-0.00038245-0.0016261i,-0.00046794-0.0011086i,0.00021492-0.00076371i,0.00077988-0.00058578i,-0.00020211-0.00026759i,-0.00057409-1.5952e-05i,-0.00088092+0.00042078i,-0.0011575+0.00093426i,-0.0006426+0.0012064i,3.6283e-05+0.00040582i,0.0010795-9.1553e-05i,0.00099599-4.4194e-05i,0.00016337+0.00025564i,-0.00024748+0.00071759i,-0.00027567+0.00038968i,-0.00054086-0.00016989i,-0.00062535-9.3304e-06i,-0.00048868-0.00025721i,-0.00024117-0.00087399i
0.0015498+0.00062122i,0.0015603-0.00011676i,0.0021392-0.0009959i,0.0012542-0.001374i,-0.00069708-0.0012978i,-0.0017888-0.00020833i,-0.0010172+0.00085004i,0.00017923+0.00086419i,0.00056838+0.00034317i,0.00021474-0.00010644i,0.00011618+9.9494e-05i,0.00057961+0.000299i,0.00064135+0.00027459i,-0.00023123+0.00091452i,-0.00062201+0.00068688i,1.3187e-05-0.00033689i,0.00028266-0.00032338i,0.00039442-0.00046873i,0.00013098-0.00020577i,-0.00078334-2.3468e-05i,-0.0006191-4.4545e-05i,-0.00066324+8.4092e-05i,-0.00070734-0.0002368i
-0.0018486-0.0008905i,-0.0014242-0.00023999i,-0.0023946+0.00015668i,-0.0016542+0.0007573i,5.9349e-05+0.00098954i,0.0010649+0.00041054i,0.0005225-0.0002736i,-0.00047068-0.00047185i,-0.00049046-1.3703e-05i,-0.00052977+0.00035909i,-0.00035523+0.00058309i,0.00065363-0.00037688i,0.00076097-0.00055034i,0.00029073+0.00012542i,-0.00015272+0.00027078i,-0.00026553+0.00037072i,0.00048386+0.00055598i,0.0010577+0.00069503i,0.00086618+0.0007908i,0.00033549+0.00019693i,0.00067238+7.9018e-05i,0.0013551+0.00039757i,0.0010249+0.0002998i
