1.6606e-06+0.0013371i,0.00091744-0.00012175i,0.00074143-0.001524i,0.0010055-0.0025559i,9.373e-05-0.0019917i,-0.0013359-0.00016809i,-0.0011556+0.00061459i,7.1353e-05+0.00085286i,0.00060025+0.00025463i,0.00036391-0.00050864i,0.00061618-0.00042481i,0.001134-0.00055755i,0.00096118+0.00029443i,0.00031954+0.001168i,0.00029823+0.0013224i,0.00024421+0.0015757i,-0.00025518+0.0009024i,3.3829e-05+0.00057535i,0.00040346+0.0006691i,2.0917e-05+0.00042544i,-3.0643e-07+0.00059408i,0.0010736+0.00049141i,0.0012222-0.00028298i
0.00038699+0.0003107i,1.2681e-05-0.00039527i,0.00084122-0.00124i,0.0020723-0.0010277i,0.0023756-0.00070869i,0.0021895-0.0011166i,0.00097919-0.0010003i,-9.6924e-05-0.0010159i,3.5984e-05-0.0018847i,-0.00012289-0.0019703i,-0.00061156-0.0011671i,-0.00029379+0.00012191i,0.00021334+0.00093424i,9.9415e-05+0.0012201i,-1.3463e-05+0.0013646i,0.00052842+0.0010918i,0.0011896+0.00035817i,0.00090141-0.00060244i,-6.3882e-05-0.00076702i,-0.00075413-0.00021754i,-0.0010817-1.3433e-06i,-0.00090636-8.4727e-05i,-0.00011716+0.00015031i
-0.00049022+0.00010383i,-2.2078e-05+0.00072841i,0.00038777+0.001047i,0.0009578+0.00035456i,0.00087184-0.00045208i,0.001357-0.00071601i,0.0013761-0.00090691i,0.0006238-0.0010516i,-0.00038581-0.0010893i,-0.0016136-0.0015752i,-0.0014992-0.0011848i,-0.00051682+0.00026416i,2.3374e-05+0.0005959i,0.0001312+0.00074865i,-0.00014122+0.00091513i,-0.00021858+0.00064118i,-0.00043459+0.00066135i,-0.00034722+0.0006756i,0.00030401+0.00070185i,0.00025307+0.00083591i,-2.6396e-05+0.00043758i,0.00070798+0.00033433i,0.00024429+0.00044496i
-0.00044813-0.00029932i,-0.00043932-0.00041502i,0.00021124-0.00067127i,0.00088101-0.0013i,0.0015837-0.00071883i,0.00099603+0.00018447i,0.00017697-0.00039479i,0.00022135-0.0011776i,-0.00055289-0.0013644i,-0.0012059-0.00047763i,-0.00089741+0.0003467i,-0.00059771+0.00042405i,-0.00038004+0.00047277i,-0.00020663+0.00092013i,-6.4132e-05+0.0012967i,0.00013796+0.0010499i,-4.1334e-05+0.00087334i,-0.00029972+0.00050031i,-0.00014105+0.00057228i,5.1268e-05+0.00064527i,9.8927e-05+0.00020803i,-0.00015397+2.5427e-05i,-0.00030929-8.212e-05i
-0.0004551-0.00028174i,-0.00023078-0.00063672i,0.00057769-0.00050793i,0.00027725-0.00064282i,-0.00015116-0.00057418i,0.00047035-0.00016028i,0.00054626-0.00020773i,-0.00048473-4.579e-05i,-0.0011209-0.00010613i,-0.0010677-0.00023384i,-0.00074273+3.3991e-05i,-0.00035965-0.0006375i,9.1922e-05-0.00058368i,0.00052331+0.00050354i,0.0013479+0.00049512i,0.0013918+0.00058399i,0.00071534+0.0010948i,0.00012851+0.00064832i,-0.00015547+0.00018321i,0.00029103+0.00037596i,0.00042029+0.00086651i,-0.00034798+0.00063393i,-0.00076055+0.00027765i
-0.00075817+0.00094483i,-0.00067614+0.00066195i,0.00048507+0.0012357i,0.0013416+0.00080609i,0.0018163-0.00012801i,0.002212-0.0009909i,0.0014378-0.00063399i,-0.0001238-0.00016831i,-0.00089577-0.00035056i,-0.0014886-0.00062325i,-0.0013084-0.00074427i,-0.00051365-0.00073205i,-0.00064258-6.5366e-05i,-0.00044342+0.00021541i,-0.00021875-0.00014983i,-0.00039508+0.00019141i,-4.8426e-05+0.00077886i,0.00036746+0.00035493i,5.6017e-05-0.00039681i,-0.0010813+0.00021055i,-0.0015414+0.00070344i,-0.00067054+0.00060447i,-0.00019024+0.00038182i
-0.00036114-0.00099555i,-0.0012268-0.00046169i,-0.00119+0.00027059i,-0.00050712-0.00023744i,6.1475e-05-0.0010527i,0.00090715-0.00045522i,0.0011858-0.00031889i,0.00023203-0.00075065i,-0.00090376-0.0011378i,-0.0010453-0.00011829i,-0.0006825+0.00056804i,-0.00059993+0.00036146i,-0.00050033+0.0001865i,-0.00020699+0.00017982i,6.465e-05+1.7318e-05i,0.00057468-0.00042203i,0.00073894-0.000213i,0.000394+0.00025148i,0.00026002+0.00054395i,-3.0938e-05+0.0010642i,-0.00064126+0.0014631i,-0.00094095+0.00055285i,-7.5992e-05-0.00014279i
-0.00071273-0.002025i,-0.0015666-0.0010112i,-0.0014205-0.00079311i,-0.00064762-0.00046462i,-0.00056725+0.00098552i,-0.00033911+0.00098442i,0.00053974-0.00065639i,0.00060712-0.00030228i,-0.00052708+0.00052907i,-0.0011412+0.00041856i,-0.0003288+0.00032762i,0.00030703+0.00094381i,0.00041948+0.00099061i,0.00084695+0.00081481i,0.00071529+0.0011336i,6.3377e-05+0.0010806i,-0.00024405+0.00060841i,-0.0010303+0.00027768i,-0.0012851-0.00029048i,-0.0012417-0.00021233i,-0.00088852-9.7902e-05i,-0.00037424-0.00041131i,-0.00026872-0.00027572i
-0.00067046-0.00082838i,-8.3045e-05-0.0013048i,-5.2584e-05-0.0012041i,0.00053775-0.00073995i,0.0011493-0.00082582i,0.0010937-0.00055685i,0.00027096-0.0001759i,-0.00036527-0.00017388i,-0.00016937+4.954e-05i,-0.00075922+0.00031744i,-0.00062541+9.6486e-05i,0.00017929+0.00022689i,3.1747e-05+0.00096137i,0.00015379+0.00099671i,-9.6627e-06+0.0011032i,0.00029663+0.00081269i,0.0011165-0.00030184i,0.0013035-0.00034518i,0.0008273-4.4287e-05i,0.00029764-0.00042514i,0.00086429+1.7054e-05i,0.00044294+0.0003733i,-0.00056965+7.4833e-06i
-0.00017605-0.0011278i,-0.00031151-0.00055959i,-0.00050836-0.0014044i,-0.0009408-0.002345i,-0.0011253-0.0017529i,-0.00057276-0.00024903i,0.00013048+8.863e-06i,0.00032107-0.00041689i,0.00019586-0.00068439i,-0.00036603-0.00017813i,-0.00055739+1.0498e-05i,-0.00010978-0.00036779i,-0.0003278-0.0004083i,-0.00065988-0.00033083i,-0.00035304+0.00020982i,-0.00077117+0.00053111i,-0.00099455+0.00051987i,-0.00030778+0.00029758i,-6.22e-05+0.00040925i,-4.6296e-05+0.00011789i,-0.00033881-0.00022075i,-0.00044532-0.00029768i,-0.0002531-0.00024291i
-0.00089508-0.0004127i,-8.1144e-05-0.00038078i,0.00052065-0.00043052i,0.0011181+0.00042815i,0.0019102+0.00069269i,0.0020023-2.3499e-05i,0.00076363-0.00062241i,-0.0005825-0.0010762i,-0.0009328-0.00054701i,-0.001239-0.00020637i,-0.0012393-0.0004988i,-0.0002922+0.00055016i,0.00022679+0.0012641i,-4.5591e-06+0.00054649i,-0.0003612-1.0358e-05i,-0.00053947-0.00017716i,-0.00035324-0.00038416i,-0.00028501-0.00069119i,-1.9136e-05-0.00017329i,-0.00036674+0.00034952i,-0.00069217+0.00063222i,-0.00059363+0.00085649i,-0.00039621+0.00078106i
