-0.0010836-0.00040206i,-0.001451-0.001207i,-0.0016427-0.0015112i,-0.0021446-0.0010477i,-0.0027289+5.0663e-06i,-0.0024347+0.0013044i,-0.0016239+0.0017838i,-0.00043774+0.001835i,0.00062665+0.0012894i,0.00037648-7.63e-05i,-0.00010574-0.00085135i,0.00035262-0.0009032i,0.00035027-0.00089452i,-1.0319e-05-0.0010347i,-0.00033238-0.00073892i,-0.00057138+8.5341e-05i,-0.00040057+3.4999e-05i,-0.00026022-0.00011077i,0.00042703+0.00047564i,0.001015+0.0004201i,0.00044525+0.00050474i,-0.00024688+0.00026697i,-0.00025765+0.00012392i
-0.00068105-0.0026852i,-0.00067083-0.0021332i,-0.0015199-0.0010333i,-0.0016745+0.00066536i,-0.0011527+0.0011023i,-0.00064855+0.0013575i,-0.00010116+0.00078839i,0.00011428-0.00047467i,-0.00028093-0.00070425i,-0.00046775-0.00015586i,-0.00015584+0.00070963i,0.00017867+0.0015613i,0.00013572+0.0014145i,0.00058543+0.00090151i,0.00077272+0.00067352i,0.00028961+0.00067592i,0.00039201+0.00048946i,0.00028146+0.00052887i,0.00024451+0.0005948i,0.0001511+0.00033198i,2.7772e-05+0.00064631i,3.7335e-05+0.00073085i,0.00061487+0.00032779i
0.0020991+0.00063247i,0.00115-0.00012832i,-3.3588e-05+0.000103i,-0.00048455+0.00033113i,-0.0010831-0.00040241i,-0.0012498-0.00038564i,-0.0010228+0.0001376i,-0.00064106+0.00017395i,0.00044818-0.00048328i,0.00083786-0.00098856i,6.6428e-05-0.0012092i,-0.00047677-0.0010214i,0.00029815-0.00092539i,0.00085461-0.0011786i,0.00073616-0.0013739i,-0.00021548-0.0014869i,-0.0007841-0.00065838i,-0.00051201+0.00035888i,-0.00036412+0.00064275i,2.9602e-05+2.4199e-05i,-0.00034963-0.00013569i,-0.0010212+0.00032803i,-0.00099794+0.00068264i
0.0013572-0.00088517i,0.0010067-0.00081091i,0.00062654-0.00093701i,0.0005405-0.00054596i,-0.00042728-0.0009813i,-0.00090786+8.8718e-05i,-0.0005952+0.00092278i,0.00021444+1.1536e-05i,0.00045439-0.00074839i,-8.7712e-05-0.001292i,-0.00015538-0.00070639i,0.00034056-0.00092346i,0.00036099-0.00095257i,-0.00025967+3.2683e-05i,-0.00065373+0.000892i,-3.5968e-05+0.0014661i,0.00085273+0.0012634i,-0.00011982+0.00057563i,-0.0011127-0.00049878i,-0.0001252-6.8134e-05i,6.2776e-05+0.0015469i,-0.00075889+0.00098694i,-0.00048116-0.00019662i
0.00064062+0.0012949i,-0.00015851+0.0012492i,0.0010561+0.0010943i,0.0016053+0.00052103i,0.00095375-0.00032634i,0.0005829-0.00040486i,0.000515-0.0002328i,0.0005067-0.0007474i,0.0007584-0.0011505i,0.00037014-0.00041992i,-5.1197e-06+0.00022436i,-0.0001164-1.1268e-05i,-0.00063223-0.00086638i,-0.00057032-0.00068661i,-0.0002832-0.0011543i,3.6948e-05-0.00086164i,-0.00016051+5.1334e-05i,-0.00037998+0.00092907i,-0.00028178+0.0010691i,0.00012119+0.00018457i,0.00041869-0.00048977i,0.00013148-0.0011211i,-0.00042799-0.0013554i
-0.0011303-0.0016016i,-0.0012901-0.0017926i,-0.0015221-0.00069383i,-0.0014315+0.00023888i,-0.0012295+0.00041602i,-0.00061372+0.00065525i,-0.00053126+0.0014838i,-0.0010813+0.0012046i,-0.0010851+0.00026218i,-5.5494e-05-3.9849e-06i,0.00085413-0.00045965i,0.00089988-0.00075305i,0.0011666-9.443e-05i,0.0012193+0.00052605i,0.0001952+0.00065099i,-4.9107e-05+0.00075957i,0.00059894+0.00041793i,0.00084161+8.435e-05i,0.00075735+0.00014379i,0.00084145+0.00068649i,0.00061474+0.00048189i,0.00035988-0.00023718i,0.00027566-0.00013573i
-0.002278-0.0013592i,-0.001456-0.00069594i,-0.0021692+0.0006859i,-0.0026956+0.0020315i,-0.0015157+0.0018394i,0.00016332+0.0013749i,0.00065278+0.00068069i,0.00048113+0.00035055i,-0.00015722+0.00014396i,-0.00016413-0.00016701i,0.00064644-8.065e-05i,0.0012656+9.1136e-06i,0.0012754-0.00062367i,0.00092807-0.00074974i,0.00074399-0.00043748i,0.00061051-0.00052692i,0.00030987-2.8191e-05i,0.00018327-0.00027924i,0.00025865-0.00047857i,-0.00028687+0.00024813i,-0.00065498+0.00089255i,0.00076622+0.0013714i,0.0011458+0.001813i
9.7292e-05-0.0016872i,0.00027984-0.0011502i,0.00026609-0.001314i,-0.00053755-0.00092409i,-0.00085757-0.0002082i,0.00012312-0.00020565i,0.00077388-0.00010842i,0.0010901+0.00047492i,0.00060171+0.00033697i,-0.00043013+0.00021823i,-0.0008081+0.00027885i,-0.00040975+0.00085182i,-0.0003882+0.00094906i,0.00022045+0.00063635i,0.00049115+0.00036737i,-0.00013932+0.00026981i,-0.0001141+0.00047413i,0.00044106+4.5494e-05i,0.00057609-0.00067432i,0.00014932-0.0010188i,-3.6241e-05-0.00075796i,-0.00024618-0.00058719i,-0.00078972-0.00021824i
-7.8191e-05-0.0010928i,-0.00054934+1.8863e-06i,-0.0015529+0.00030046i,-0.001446-6.5822e-06i,-0.0010782+0.00024277i,-0.00044283+0.00031235i,0.00015868+0.00033876i,0.00061396+0.00036978i,0.00024141+0.00043433i,-0.00038703+0.00058763i,-1.5785e-06+0.0004829i,0.00063083+6.0349e-05i,0.00045395+0.00032568i,0.00010386+0.0002119i,0.0007133-0.0003086i,0.00076547-0.00078884i,0.00071616-0.00095262i,0.00063675-0.00086032i,0.00022278-8.6295e-05i,-0.00021602+0.00089454i,-0.00064673+0.00079722i,-0.00051378+0.00034144i,-0.00014431+0.00012554i
-0.00018435-8.159e-05i,-0.00042132-0.00055291i,-0.00047178-0.00041861i,-0.0010528-0.00085179i,-0.0011113-0.00067977i,-0.00064939+0.00028043i,-0.0006705+0.0005631i,-0.00076667+0.00086246i,-3.4307e-05+0.00066422i,0.00072589+0.00058622i,0.0012847+0.00045218i,0.0011244-0.00079138i,0.0011011-0.00080182i,0.00077341-2.9463e-05i,0.0010822+0.00019783i,0.0012319+0.00017421i,0.00062394+0.00041651i,0.00015312+0.00051605i,0.00027786+0.00028168i,-3.4297e-05-0.00021752i,-0.00072054-0.00047913i,-0.00080529-0.00029959i,1.4338e-06+6.2241e-05i
-0.00056209-0.00080084i,-0.0010416-0.00030454i,-0.0020065+0.00034414i,-0.0019385-0.00070994i,-0.00080765-0.0011144i,0.00016324-0.0001878i,1.5374e-05+2.4447e-05i,-0.00078911+0.00021681i,-0.00047361+0.00028237i,-0.00028909+2.293e-05i,-0.00076004-0.00069063i,-0.00019243-0.00078565i,0.00079417-9.2187e-05i,0.00067775+5.1357e-05i,-8.7367e-05-0.00041607i,0.00023994-0.00083308i,0.00077642-1.5589e-05i,0.00066097+0.00046594i,0.0010618-0.0002192i,0.00055854-0.00023731i,-0.0002726+0.00012704i,-0.00015367+0.00021309i,0.00064341+0.00022237i
