-0.0010836-0.00040206i,-0.001451-0.001207i,-0.0016427-0.0015112i,-0.0021446-0.0010477i,-0.0027289+5.0663e-06i,-0.0024347+0.0013044i,-0.0016239+0.0017838i,-0.00043774+0.001835i,0.00062665+0.0012894i,0.00037648-7.63e-05i,-0.00010574-0.00085135i,0.00035262-0.0009032i,0.00035027-0.00089452i,-1.0319e-05-0.0010347i,-0.00033238-0.00073892i,-0.00057138+8.5341e-05i,-0.00040057+3.4999e-05i,-0.00026022-0.00011077i,0.00042703+0.00047564i,0.001015+0.0004201i,0.00044525+0.00050474i,-0.00024688+0.00026697i,-0.00025765+0.00012392i
-0.00046369+0.0016389i,0.00048679+0.0018209i,0.00085936+0.0015784i,0.0009894+0.0005599i,0.00057561+0.00037658i,-4.0205e-05+0.00029577i,-0.00024078+7.5217e-05i,0.00021829-0.00040645i,0.00061887-0.00026232i,0.00054715+0.00049592i,0.00034108+0.0001196i,0.00065529-0.000775i,0.0007951-0.00097761i,2.5954e-05-0.00117i,-0.00061062-0.0011812i,-0.00022157-0.00012561i,0.00021087+0.00068215i,0.00052021+0.00043736i,0.00040558-0.00020283i,0.00020721+0.0002362i,0.00054589+0.00064099i,1.6704e-06+0.00032697i,-0.00037541+0.00040702i
-0.0011671+0.0011958i,-0.0013462+0.0016004i,-0.0018873+0.0023368i,-0.0020538+0.0028211i,-0.0014853+0.0016105i,-0.00041417+7.0046e-05i,8.7965e-05+1.0193e-07i,0.00013656-0.00033561i,-0.00014859-0.00021975i,-9.9383e-05+0.00019178i,0.00042931+0.00039727i,0.00090343+0.00060171i,0.00041605+0.00019517i,-3.9333e-05-0.00037415i,-7.4285e-05-0.00064271i,0.00045341-0.00027604i,0.00038918-9.4477e-05i,-0.00069971-0.00027824i,-0.00062771-0.00048284i,0.00025421-0.00010796i,-0.00032994+0.00035481i,-0.00095117-0.00018313i,-0.00043811-0.00015379i
0.003111+0.0019181i,0.0032603+0.0025086i,0.0039766+0.0012264i,0.0025046-0.00062495i,0.0012444-0.001699i,0.00032625-0.001443i,-0.00015572-0.00081698i,0.00021217-0.00076268i,0.00012026-0.00058403i,0.00012821-0.0012366i,0.00020923-0.0020381i,-1.1003e-05-0.001515i,-0.00057145-0.0010902i,-0.001025-0.00069509i,-0.0010096-0.00033144i,-0.00030061+0.00033883i,9.7984e-06+0.00050012i,0.00017773+0.0005356i,0.00036441+0.00036865i,0.0003226-0.0001599i,8.489e-05-0.00017618i,-0.00051917+7.2691e-05i,-0.00015292+0.00024422i
0.0018868-0.00018686i,0.0013411-6.4504e-05i,0.0014614-0.00038639i,0.00060729-0.00025872i,-0.0003249-0.00055756i,-0.00097095-0.00083736i,-0.00076714-0.00017683i,-0.00013674+3.2385e-05i,-0.00046197-0.00041176i,-0.001096-0.00088416i,-0.00098935-0.00066756i,-0.00035399-0.00048987i,-0.00031226-0.00061213i,-9.098e-05-0.00062352i,0.00037608+4.0768e-05i,-5.5559e-05+0.00044063i,-0.00044548+0.00012036i,-0.00023408+0.00023232i,-0.00063421+0.00061678i,-0.00079994+1.1351e-05i,2.1362e-05-0.00047426i,-0.00019079-0.00035573i,-0.00047907-0.000468i
0.0011793-0.0003139i,0.00091618-0.00070431i,-0.00058101-0.0019685i,-0.00076352-0.0010626i,-0.00014017-8.4691e-05i,-0.00039754-0.00098012i,-0.00023455-0.00076954i,-2.872e-05+0.00078947i,0.00019272+0.00022225i,0.00010192-0.0013666i,-0.00024089-0.0012197i,-0.00045659-0.000326i,-0.00054929+0.00052112i,0.00039934-7.7334e-05i,0.0011848-0.0005628i,0.00063178-4.2827e-05i,-0.00036689+0.0004429i,-0.0005548+0.00055956i,-0.00090938+0.00073772i,-0.0010468+0.00070277i,-0.00023619+0.00021215i,1.2095e-05-0.00023824i,0.00065715-0.00035399i
0.00037097+0.0019082i,0.00094797+0.0022576i,0.00026274+0.0024712i,-0.0001945+0.0013322i,-4.5171e-05-7.3281e-05i,-0.00088981-0.00050585i,-0.0011537-0.00094404i,-0.00058706-0.00075067i,-0.00045185-0.00044602i,-0.00052188-6.9276e-05i,-0.00045931-0.00026758i,-0.00017626-0.00085825i,0.00023823-0.00083229i,0.00064531-0.00023133i,0.00033287-0.00057054i,-0.00028103-0.00084685i,2.4705e-05-0.00069157i,0.00092761-0.0001187i,0.00026917-1.862e-05i,-0.00075774-0.00058148i,-0.0012897-0.00069082i,-0.00041744+2.7468e-05i,0.00049442+0.00030954i
4.4607e-05+0.00072677i,0.0002441+0.00062211i,6.4676e-06-0.00023003i,-0.00020669-0.00065558i,-9.6307e-05-0.00034501i,4.6925e-06+0.00079291i,-0.00030029+0.0014531i,2.9156e-05+0.00078817i,0.00037984-3.7946e-05i,0.00024052-9.7095e-05i,-0.00021464-0.00014259i,-0.00014464-0.0013174i,0.00042875-0.0018461i,0.00064455-0.0011998i,0.00019474-0.00052878i,-0.00011137-5.8058e-05i,0.00088558+0.00034761i,0.00088002+0.00075376i,-0.0003602+0.0010868i,-0.00054332+0.00094791i,-0.00044714+0.00050266i,-0.00063106+2.1119e-05i,-0.00083969-0.00011362i
0.0013403+6.1521e-05i,0.0014943-0.00038136i,0.00084252-0.0016772i,0.0001508-0.0014379i,-0.00018241-0.00097671i,-0.00016153-0.00096873i,-0.00058142-0.0006754i,-0.001015-4.7899e-05i,-0.00091588-1.2914e-05i,-0.00039679-0.00044681i,0.0005956-0.00030745i,0.00092624+0.00025962i,0.00037975-9.848e-05i,0.00051947-0.00061017i,0.0005173-0.00044853i,-8.0979e-05-0.00028553i,-0.00097017+2.7044e-05i,-0.00091862-0.0002764i,0.00018253+9.4082e-05i,0.00055398+0.0013076i,0.00016083+0.0017046i,-0.00055232+0.0011909i,-0.00057782+0.00094058i
0.00068233+1.2318e-05i,-0.00011852-0.00034639i,0.00045115-0.00019075i,0.00063468-0.00040219i,-0.0002576-0.00058473i,-0.0010028-9.9596e-05i,-0.00083315-9.3432e-05i,-0.00047264-0.00032865i,4.5359e-05+0.0001393i,-0.00027492-0.00023662i,-0.00063084-0.0011415i,0.00012439-0.0011353i,0.00041929-0.00093966i,2.5769e-06+1.352e-05i,-9.734e-05+0.00088011i,0.00068534+4.1297e-05i,0.0015799-0.00049953i,0.0010492-0.00031102i,0.0002662-0.00016516i,0.00014713+3.1943e-05i,-0.00036434+1.5477e-05i,-0.00026232-0.00030694i,0.00030047-3.4221e-05i
0.00098766-0.0013205i,0.0013119-0.00092082i,0.00071296-0.00053073i,-0.00031715+0.00023755i,-0.0010292+0.00075865i,-0.00041467+0.00080638i,-0.00015678+0.00056285i,0.00022928-7.9527e-05i,0.00092114-0.00029538i,0.00088957-0.00059194i,0.00071603-0.00049961i,0.00053777-0.00011768i,0.00020011-0.00011805i,0.00037685-0.0007287i,0.00027244-0.00067615i,0.0001117+0.00015576i,0.00011997+0.0001626i,-9.2536e-05-0.00048671i,0.00014265+0.00015932i,1.6269e-05+0.00033096i,2.7802e-05-0.00018938i,0.00063425+7.1601e-05i,0.00024964+0.00030456i
-0.00020798+0.0018686i,-0.00012303+0.0022259i,0.00080338+0.0019614i,0.0012936+0.00082822i,0.0010738-5.9148e-05i,0.00032527+5.9455e-05i,-0.00069203+0.00055295i,-0.00060619+0.00051967i,-0.00036042+0.00013678i,0.00019722-0.00051289i,0.0012024-0.000575i,0.00031323-0.00076236i,-0.0010885-0.0010505i,-0.0013806-0.00083182i,-0.00054407-0.00032944i,4.6616e-05+0.00012036i,-0.00010377+0.00020505i,-4.7059e-05+0.00016188i,0.00047931+4.4957e-05i,0.00094765+0.00056953i,0.00055495+0.0010246i,-7.179e-05+0.00026685i,0.00042683+0.00029637i
-0.0011409+0.001071i,-0.0012751+0.0016225i,-0.002088+0.00079066i,-0.0015161+0.00081256i,0.00020808+0.0017544i,0.00081165+0.00062987i,0.00074902-0.00060142i,0.00029607-5.7801e-05i,-0.00036809+0.00082131i,1.9456e-05+0.00073193i,0.00065044+0.00025917i,0.00091084-0.00022365i,0.00091928-0.0010687i,0.0009997-0.0012808i,0.00072788-0.0010042i,0.0012508-0.00032384i,0.00093837-0.00074634i,-5.4084e-05-0.0011001i,0.00041791+0.00014915i,0.00053786+0.00095594i,0.00029879+0.00049672i,-1.9912e-05-0.00034904i,-0.0001047-0.0010798i
0.00058493-0.0011695i,-0.0001899-0.001038i,-2.3633e-05-0.00038277i,-0.00016853-0.00066002i,-0.0012261-0.00076292i,-0.001126+4.7297e-05i,-0.0005265+0.00037107i,-7.8576e-05-0.00058526i,0.00033402-0.00077843i,0.00020082-0.00054112i,0.00014421-0.00038506i,0.00050139-0.00015621i,0.0010354+0.00021829i,0.0014288+0.00019068i,0.00093963+8.5026e-05i,0.00067746+0.00038615i,0.00030804+0.00043319i,-0.00026158+0.0010508i,1.699e-05+0.0019582i,-6.6486e-06+0.0014888i,-0.00022836+0.00051105i,0.00058512-0.00016582i,0.00087455-0.00032945i
0.00045581+0.00095432i,0.00065649+0.0010564i,0.00041371+0.00014813i,-0.00023434-5.5392e-05i,-0.00047964+0.00033522i,-0.00044717+0.00026029i,-0.00022907+0.00060309i,-9.136e-05+0.00047684i,0.00037595-0.00089959i,0.00063651-0.0015823i,-7.4598e-05-0.0010942i,-0.0003341-0.001203i,0.00066956-0.0014789i,0.00074956-0.0011905i,0.00011562-0.00018271i,-0.00026955+0.00045807i,-0.0004825+0.00050057i,-0.00049283+0.00032923i,-0.00032711+6.304e-05i,-0.00051598-5.1821e-05i,-0.00051139+0.00013069i,-0.00054744+0.00025473i,-0.00035989-0.00012281i
0.00050055-0.00032642i,-0.00066524-0.0011472i,-0.00028279-0.0018356i,0.00041631-0.0017832i,-0.00046819-0.0004623i,-0.0013856+0.00080013i,-0.00057473+0.00045716i,2.0578e-05-0.00038494i,0.00012193-0.0002146i,0.00075771-0.00013524i,0.00087824+0.00026814i,0.00061627+0.00086123i,0.00041924+0.00052879i,0.00036897-0.00039558i,0.00092671-0.0012239i,0.0010927-0.00090249i,0.00012637-0.00053808i,-0.000318-0.00040924i,-7.256e-05+0.00039039i,-0.00037367+0.00057932i,-0.00058135+6.8136e-06i,-0.00090953-0.00033916i,-0.00083733-0.0012172i
0.0011847-0.00020859i,0.001607-0.00030771i,-1.0788e-05+0.00013351i,-0.0015397+0.00034943i,-0.0015456+0.00039935i,-0.00092602+0.00066271i,0.00028696+0.0011039i,0.00081872+0.0010077i,0.00066918+0.00056104i,0.00068221+0.00067449i,0.00043982+0.00016731i,0.00029579-0.00026i,0.00026571+7.5233e-05i,0.00038769-0.00012623i,0.00065115-0.0005067i,0.000149-0.00047103i,-5.0892e-05-0.00013602i,-6.5137e-05+0.0002378i,-0.00058515+0.00034995i,-0.0006311+8.1592e-05i,-0.00045045+3.1031e-05i,-0.0005368-2.7624e-05i,-0.00036748+0.00043897i
0.001797+0.0013799i,0.001261+0.0015287i,0.0015971+0.0014175i,0.0020273+0.00010253i,0.0015223-0.001012i,0.00077855-0.0012311i,0.0007268-0.00033063i,0.00046774-0.00048678i,0.00056676-0.0012967i,0.0013083-0.00069663i,0.00053787+1.5054e-05i,0.00010216-0.00070612i,0.00040058-0.00098914i,2.9422e-05-0.00054671i,-0.00038732-0.00060764i,0.00018826-0.00020453i,0.00065611+0.00053119i,4.8678e-05+0.00050138i,0.00028699+4.6502e-06i,0.00019784+2.807e-05i,-0.00049738+0.00045885i,0.00036148+0.00024541i,0.0011873+0.00024117i
0.00041541+0.0024622i,0.00029123+0.0017414i,0.0010931+0.00076655i,0.0014341-5.8795e-05i,0.00091331-0.00059309i,-0.00021653-0.00063184i,-0.00085479-0.00013984i,-0.00059818-4.9908e-05i,0.00042889-0.00013225i,0.001278-0.00035885i,0.00084441-0.00056367i,0.00028814-0.00097868i,5.113e-05-0.0014356i,-0.00054249-0.00092747i,-0.00063318-0.00063698i,-0.00036502-0.00079928i,-0.00088958-0.00066539i,-0.00033952-0.00026992i,0.00028226+0.00016628i,-0.00010785+0.00038335i,-0.0004214-0.00039677i,0.00014476-0.00049668i,0.00029758-0.00043771i
-0.00034184+0.00023368i,-0.00011012-1.4254e-05i,-0.00045636-0.00034755i,-0.00092154-0.00038111i,-0.0005127-0.0002495i,0.00063247-0.00022197i,0.0011509-0.00012717i,0.00075185-1.597e-06i,0.00058636-7.158e-05i,0.00046164+0.00051166i,0.0002295-5.7185e-06i,0.00038024-0.00091555i,0.0010875-0.00068991i,0.00077055-0.00010747i,-0.00066108-0.00018638i,-0.00076975-0.00050799i,-0.00015474+5.2567e-06i,0.00030888+0.00040252i,0.00090798+0.00018153i,0.00063677-0.00049314i,0.00021183-0.00094707i,-0.00018383-0.00078413i,-0.00097481-0.00015718i
0.0011716-0.001568i,0.00035516-0.0017892i,2.8014e-05-0.0020359i,-0.0003025-0.001777i,-0.0014922-0.0013719i,-0.0016026-0.00039246i,-0.00042155+4.7839e-05i,-6.5119e-05+4.491e-05i,0.00012195+3.8076e-05i,0.00054959-0.00038692i,0.00082156-0.00059883i,0.00049422-0.0005217i,0.00066195-0.00021844i,0.00069446+0.00031732i,0.00026307+0.00028178i,0.00026354-0.00010637i,-0.00020312+0.00018416i,-0.00040463+0.00088517i,-5.6834e-05+0.0010907i,-0.00065369+0.00064087i,-0.00078074+0.00023659i,-8.5774e-05-0.000418i,-0.00026681-0.00065598i
-0.00047845+0.00079182i,-0.00016159+0.00098401i,-0.00027704+0.00091371i,-0.00056974+0.00050161i,0.00016482-0.0001198i,0.00061504-0.00017722i,0.00073888+2.7294e-05i,-1.2901e-05-0.00037134i,-0.00049336-0.00034565i,-0.00043909+1.266e-05i,-0.00058443-0.00058893i,-0.00027429-0.0008823i,0.00022985-0.0004649i,0.00044774-0.00020688i,0.00072437-0.00037118i,0.00085734-0.00023832i,0.00046082+0.00015694i,0.00021926+2.5363e-05i,8.1451e-05-0.00016214i,0.00028761-0.00077339i,0.00045507-0.00098952i,0.0005896-0.00066388i,0.00038157-0.00048156i
0.0011045-0.0018539i,0.0012936-0.00090837i,0.00068175-0.00060982i,-0.0013643-0.00053095i,-0.0024209-0.00030381i,-0.0016273-0.00055633i,-0.0010881-0.00072476i,-0.00079982-0.0009738i,-0.00018758-0.00098512i,-0.00013623-0.00035947i,-0.0010292-0.00027326i,-0.00093549-0.00071476i,0.00074814-0.00044351i,0.0012158+0.00010071i,0.00039281+0.00038195i,0.00017381+7.4189e-06i,0.00062067-0.00022247i,0.00087171+0.00013833i,0.00019884+9.9508e-05i,-0.00036188-2.7006e-05i,-0.0010938+3.9621e-07i,-0.00061594+0.00021573i,0.0010032+0.00059358i
-0.0001641+0.0010829i,0.00028927+0.0014067i,-6.051e-05+0.00085124i,-0.00069514+0.000587i,-0.00075947-0.00017192i,-0.00090894-0.00017784i,-0.0010421-0.00021832i,-0.00082216-0.00076423i,-0.00086922-0.00056258i,-0.00045154-0.00048052i,0.00032459-0.00027113i,0.0004964-0.00028647i,0.00042581-0.00099326i,0.00081527-0.0015042i,0.000728-0.0014138i,0.00019596-0.0006969i,-0.00015441-0.00019764i,6.3045e-05-0.00032705i,0.00063016-0.00048733i,0.00034986-0.00046166i,-7.5228e-05-0.00022099i,0.00016263-0.00039308i,0.00013434-0.00062138i
0.0015673-0.00095797i,0.0015353-0.00058886i,0.00074312-0.0015237i,7.8649e-05-0.0017691i,-0.00015527-0.0012509i,-0.00059903-0.00055537i,-0.00039212+0.00068978i,-0.0002916+0.00048714i,-0.00031281-0.00091925i,-0.00024497-0.0010053i,0.00014488-0.00036087i,0.00043856+6.1124e-05i,6.2494e-05+0.0001763i,-0.00079885-0.00080665i,-0.00019937-0.0010405i,0.0010909-0.00028944i,0.00090316+0.00030932i,0.00069185+0.00026524i,0.00035902+0.00014927i,0.0003282+0.00027614i,0.00020788-0.00011486i,-0.00012134-0.00013151i,-0.00037783-3.3065e-05i
-0.00076248-3.9929e-05i,-0.00072008+0.00063745i,-0.00091236+0.00069663i,-0.00088859+0.00023607i,-0.00090544-0.00023472i,-0.0011464+0.00016307i,-0.0011154+0.00028947i,-0.00081529-0.0002834i,-0.00073142+7.0665e-05i,-0.00034951+5.7361e-05i,-0.00011963-2.7312e-05i,-0.00026599+0.00027056i,0.0001833+0.00012081i,0.00098079-0.0003857i,0.0012859-0.00042732i,0.00034351-0.00067955i,-0.00048533-0.00083741i,-7.9025e-05-0.00048315i,-9.4146e-05+0.00036408i,-0.00044356+0.00059785i,-0.00032423+6.6049e-05i,-0.00055348+8.9755e-06i,-0.0001866-0.00016936i
0.0009996+0.00074629i,0.00099222-7.7441e-05i,0.0010713+0.0004324i,0.00029152-2.4092e-05i,-0.001087-0.00089068i,-0.0015379-0.0011133i,-0.0002126-0.00061715i,0.00039463+0.00035647i,0.00055282-3.389e-05i,0.00040837-0.0011317i,-8.2462e-05-0.0011809i,0.00030298-0.0014702i,0.00072792-0.0014072i,0.00039033-0.00089262i,-0.00017567-0.00030676i,-0.00049975+0.00065489i,9.6864e-05+0.0010829i,9.6455e-05+0.00025877i,0.00012887-0.00060853i,0.00038366-0.0009324i,-0.00018314-0.00043389i,-0.00070002+0.00011281i,-0.00076106+6.8064e-05i
-0.00035808-0.0013694i,-0.0021653-0.001004i,-0.0021112-0.00065517i,-0.0007262-0.00080407i,-0.0011538-0.0010109i,-0.0023461-0.00013577i,-0.0020354-0.00048487i,-0.0015968-0.0014501i,-0.0014035-0.0012493i,-0.00056768-0.00070249i,3.3718e-05-0.00052887i,0.00076461-0.00046908i,0.0014338-0.00094998i,0.0017991-0.00084384i,0.0012768-2.3217e-05i,0.00065651-0.00017185i,0.00026116-0.0002892i,1.4744e-05+0.00038724i,6.1213e-05+0.00053863i,0.00062232+0.00010092i,0.0011009-0.00025063i,0.00022066-0.00028543i,-0.00098527+0.00028502i
-0.00050697+0.00050204i,0.0005536+0.00014629i,0.00030669+0.00034183i,-0.00041231+0.00024692i,-0.00049733-0.00011039i,0.00029327+4.7065e-05i,0.00098275+5.2476e-05i,0.00052095-0.00048364i,-0.00026373-0.00053305i,-0.00037184-0.00014455i,-0.00048707-0.00031399i,-0.00023305-0.00035664i,5.1592e-05-0.00040104i,0.00051892-0.0011484i,0.00020076-0.00097632i,-0.00017771-0.00035551i,-0.00035373-0.00023769i,-3.8008e-05-0.00043989i,0.00024307+0.00010196i,0.00020877+0.00080475i,-0.00022921+0.00056374i,-0.00053738+0.00047617i,-0.00022051+0.00038975i
0.00072339-9.3113e-05i,0.00039887-0.00015254i,-0.00018714-0.00063793i,-0.0003454-0.00020914i,0.0001451+0.00067833i,-0.0004102+0.00078456i,-0.000472+4.0411e-05i,0.00025353+0.00042171i,0.00057182+5.691e-05i,0.00030711-0.00099818i,2.8677e-05-0.00057187i,0.00026057+1.2344e-05i,0.00085074+4.2713e-05i,0.001272-0.00023579i,0.00096672-0.00019963i,0.00059494+0.00020248i,0.0006053-0.00024048i,0.00026793-0.00040431i,-0.00072574+0.00013213i,-0.00039683+0.00031166i,0.00028711-0.00026737i,-0.00013128-0.00071243i,1.4577e-06-0.00011495i
0.0014693-0.00045576i,0.00096471-0.00022217i,0.0009245-0.0012538i,0.00053729-0.0025303i,-0.00042326-0.002055i,-0.0011845-0.00062867i,-0.00077628+0.0005024i,5.4591e-05+0.00015868i,0.00079097-0.00037i,0.0010765-0.00078541i,0.00098904-0.00087551i,0.0007369-0.00062583i,-0.00018783-0.00056201i,-0.00077517-0.00015326i,-0.00026596+0.00050863i,6.2578e-05+0.00080625i,-0.0001616+0.00075992i,0.00025253+0.00045863i,0.00055443+0.00024307i,-3.8379e-05+0.00065437i,-0.0004603+0.00078309i,-0.00020601+0.0011011i,6.8385e-05+0.0010261i
-0.001698+0.0015054i,-0.00085374+0.0028576i,0.00059135+0.0030694i,0.0012615+0.0020086i,0.0010157+0.00072958i,1.8106e-06+0.00017973i,-0.00068721+0.00026751i,-0.0010261-5.0374e-05i,-0.0007737+4.2807e-05i,0.00045341+0.00044717i,0.0003175+0.00013557i,3.6201e-05-8.9534e-05i,0.00036368-0.00050166i,0.00043472-0.00071209i,0.00040839-0.00020974i,0.00024115-0.00048304i,0.0001452-0.00019514i,0.00053815+0.00084836i,0.0005737+0.00081284i,0.0010562+0.00055597i,0.00090128-0.00027418i,-0.00012461-0.0009843i,0.00044621-0.00041234i
