0.00033398+0.00021691i,0.0010652+0.00045578i,0.00089494+0.0009559i,0.00011398-0.00014329i,-0.00098375-0.00017382i,-0.00086553+0.0011317i,-0.00014546+0.0012126i,0.001042+0.0015598i,0.0016893+0.0013927i,0.0015599+0.00062785i,0.0017391+0.00038485i,0.0011038+0.00011352i,-0.0001042-5.4705e-05i,-0.00068322-0.00030311i,-0.0006528-0.00057051i,-0.00052706-0.0002091i,-0.00078001+0.00039788i,-0.00065082+0.00072472i,1.395e-05+0.00080472i,6.5743e-05+0.00054941i,-0.00054019+0.00018139i,-0.00079314-0.00041488i,-0.00071886-0.00038637i
0.0011501-0.00011323i,0.0020128-0.0017907i,0.0024489-0.0037541i,0.0018507-0.0037873i,-0.00029484-0.0018496i,-0.0016631-0.00074755i,-0.0012858-4.1889e-05i,-0.00050392+0.0005027i,-0.00042763+0.00019896i,-0.00034308+0.00044549i,0.00047522+0.00061727i,0.00093296+0.00037178i,-9.1379e-05-0.00012705i,-0.00041975-0.0003654i,-0.000402+0.00019747i,-0.00016114+4.977e-06i,-0.0002312-0.00038347i,-0.00033739-0.00015227i,0.00043361+0.000224i,0.00051533+0.00025898i,0.00076797+0.00044955i,0.0012211+0.00067957i,0.00041311+0.00044519i
0.00062434+0.00069979i,0.0020582-0.0013094i,0.0034854-0.0014002i,0.0028181-0.0015502i,0.00096416-0.0025509i,-1.1753e-07-0.002353i,-0.00017576-0.00084352i,6.8039e-05+0.00032483i,0.00058553+0.00064975i,0.00017857-0.00021949i,-0.00028637-0.00061111i,0.00025584-0.00019768i,0.00023754-0.00041457i,-8.0633e-05-0.00029661i,5.7165e-05+4.5237e-06i,0.00046806+0.0003271i,0.00088816+0.00041111i,0.0005831+0.0010171i,0.0007746+0.00096242i,0.00086475-0.00037834i,0.00039132-0.00041812i,4.3428e-06+0.00023191i,0.00017832+0.00010175i
0.00030877+6.0536e-05i,0.0012693+0.00026128i,0.0025352-0.0010533i,0.0012639-0.0023764i,-0.00088974-0.0026601i,-0.00087937-0.0016559i,-0.00067123+0.00046565i,-0.000543+0.0010181i,-0.00030172-0.00019645i,-4.0785e-05-0.00047486i,-0.00028368-0.00017673i,-0.00060011+0.00016429i,-0.0002509+0.0008033i,-7.6183e-05+0.00074619i,0.00040786+0.00087873i,0.00044508+0.00082118i,0.00053105+0.00015262i,0.00092034-0.00018861i,0.00078298-0.00028527i,0.00023601-0.00070567i,-0.00014671-0.00028693i,-0.00091453+8.0331e-05i,-0.0011704+1.8791e-05i
-0.0011092+0.00056509i,0.00041547-0.00021356i,0.0011225-0.00076687i,0.0011274-0.00089648i,0.0010456-0.00091515i,0.00074006-0.0016108i,0.00014587-0.00096024i,-0.0010022+0.00090548i,-0.0013127+0.0011249i,-0.00058695+0.00074624i,-0.0005215+0.0009089i,-0.00038906+0.00059489i,-0.00015475-0.00061466i,0.00020972-0.0012478i,0.00081131-0.00080425i,0.0012929-0.00023565i,0.0012392+0.00012986i,0.00070741+0.00086608i,0.0002815+0.0013884i,-3.8416e-05+9.7553e-05i,-0.00013917-0.00055978i,8.4253e-05+0.00035508i,-0.00027596+0.00066561i
-0.00053335+0.00064916i,-0.00030356+0.00040383i,-0.00049063+0.00045956i,-0.00019874-0.00062095i,0.00050413-0.001344i,0.00034983-0.00058468i,-0.00020271+3.4839e-05i,-0.00064415+0.00022874i,-0.0007997+0.00023789i,-0.00067363+0.00014942i,0.00056699+0.00044003i,0.00093021+0.0005523i,-0.00028996-7.9685e-05i,-0.00054685-0.00063054i,-0.00027716-0.00020512i,-2.4945e-06+0.00040309i,-0.00021003+0.00061961i,-0.00039022+0.00027795i,-0.00023842-0.00035923i,-0.00042139-0.00037416i,-0.00063119-0.0003989i,-0.00058204-0.00014626i,-0.00033232-3.2148e-05i
0.0016924-0.00029923i,0.0025632-0.0021414i,0.0021119-0.0034796i,0.0012215-0.0031187i,-9.3524e-05-0.0027837i,-0.00026435-0.0029549i,0.00042073-0.0018594i,0.00046832-0.00031989i,0.00019575+0.00063783i,-0.00027327+0.0011054i,-0.00047311+0.001024i,-0.00042239+0.0006506i,-0.00019574+0.00044662i,0.00027028-8.6413e-05i,0.0003935-0.00074149i,2.6936e-06-0.00071369i,3.154e-05+7.6596e-05i,-0.00013484+0.00020796i,-0.000427-0.00046981i,0.00061126-0.00030527i,0.0010368+0.00010634i,0.00044135-0.00031662i,0.00018637-0.00014395i
-0.00047393+0.00066162i,0.00064245+0.00060513i,0.00092948+0.0014125i,0.00010487+0.0003498i,-6.9236e-06-0.00064722i,-0.0007629-0.0010651i,-0.001277-0.0014067i,-0.00061757-0.0011245i,-0.00011593-0.00036605i,-0.00053396+0.00053847i,-0.00047702+0.00013935i,7.8509e-05+0.0001356i,0.0001301+0.0010211i,-0.00023431+0.00067224i,-0.00037028+0.00013412i,-0.00067531+8.9902e-05i,-0.0011884-0.00021534i,-0.00054807+0.00032022i,0.00013527+0.00060042i,-0.00010785+0.00055105i,-0.00038606-4.801e-05i,-0.00014738-0.0011514i,0.00026338-0.00034833i
0.0011109-0.00061096i,0.0018597-0.00029804i,0.0021841-0.00075125i,0.0023579-0.001043i,0.0010692-0.0012341i,-0.0010353-0.0013082i,-0.0017961-0.00062316i,-0.001433+0.00029083i,-0.00094022+0.0006138i,-0.00073565+0.00021763i,-0.00024207+0.00037505i,0.00033935+0.00028924i,-0.00019369-0.00042324i,-0.00022925+0.00025687i,-1.9132e-05+0.0012013i,-0.00054673+0.00087147i,-0.00047974+0.00062123i,3.1905e-06+0.0010155i,-0.00016429+0.00056788i,-0.00016295-0.00096074i,-0.00012567-0.00098446i,3.1028e-05-0.00048928i,0.00050799-0.00055962i
0.0012975+0.0012521i,0.0021772-0.00028983i,0.0031964-0.0014864i,0.0027371-0.0020623i,0.00074924-0.0030839i,-0.00050963-0.002287i,-0.00053257-0.0011252i,-0.00071831-0.00042762i,-0.00090394+0.00043546i,-0.00074842+3.2514e-05i,0.00010475+0.00018444i,-0.00030381+0.00078208i,-0.0011646+0.00081431i,-0.00065878+0.00050888i,-2.5655e-06+0.0005517i,0.00077814+0.00023414i,0.00050859+0.00053425i,-0.00041514+0.0016749i,-3.2117e-05+0.0011777i,0.00039665-2.3628e-05i,0.00023503-0.00016716i,0.00044524-0.0010461i,0.00048823-0.001376i
-0.00018881+0.00031579i,0.0013727+0.00064377i,0.0029677-0.00023148i,0.0020391-0.00079583i,-0.00024984-0.0018435i,-0.0010776-0.0019215i,-0.00097416-0.00069614i,-0.0011839+0.00018149i,-0.0009492+0.0014567i,-0.0005216+0.0015305i,-0.00040032+0.0014371i,-9.262e-05+0.00099492i,0.0005186-8.3218e-06i,0.00012298+0.00031993i,-0.00057682+0.00051746i,-0.00072743+0.00014771i,-0.00021238+9.0527e-05i,0.00042674+0.00014597i,0.00079421+0.00017719i,0.00056684+5.2491e-05i,-0.00050152-7.4738e-05i,-0.00089598-0.00053416i,-0.00064967-0.00092499i
