-0.0048625-0.0020999i,-0.0046156-0.0017384i,-0.0049811-0.00025904i,-0.0050029+0.0014274i,-0.0048207+0.0022615i,-0.0025482+0.0013837i,-0.00060045+0.00059275i,-0.00054973+0.00097961i,-0.00065985+0.00054292i,-0.00069117+8.2564e-05i,-0.00030184+0.00046792i,-0.00020751+0.0012009i,-0.00057372+0.00078694i,-0.00057551+0.00064252i,-0.0011647+0.0013829i,-0.00046283+0.0015011i,0.00066494+0.0010731i,0.00030607+0.00051178i,0.00041045+0.00053774i,0.00063055+0.0011682i,3.7591e-05+0.00063116i,-4.9453e-05-0.00058554i,0.00029599-0.00080303i
-0.0017344+0.00036923i,-0.00059728+0.00046272i,-0.00057486+0.0014542i,-0.00088398+0.0006959i,-0.0014473-0.00025361i,-0.001701-8.5252e-05i,-0.00075795+0.00010041i,-0.0002705-0.00038351i,-0.00044155-7.7342e-06i,-0.00018027+0.0013315i,-0.00025589+0.0018899i,0.00012585+0.0017017i,0.0008801+0.001358i,0.00061471+0.001617i,0.00046399+0.0014474i,0.00082502+0.0011533i,0.00095074+0.00093303i,0.00051431+0.00027425i,1.0462e-05-0.00014216i,0.00029212-0.00030092i,0.0013391-0.00016881i,0.0015353+0.00023546i,0.00079777+0.00034055i
-0.00025176+0.00077948i,-0.00046051+0.00037871i,-0.0013171-4.4369e-06i,-0.0030877-0.0010298i,-0.0037201-0.00048914i,-0.0025148-9.0313e-06i,-0.00092297-0.00056187i,-0.00055178+0.00030438i,-0.00031886+0.0017136i,0.00049877+0.0015976i,0.00039409+0.0014275i,-6.8705e-05+0.0014978i,0.00012932+0.00081i,0.00056073+0.00023887i,0.00032569+0.00015025i,0.00044222-0.00010997i,0.00069526+6.8722e-05i,0.00037838-0.00019975i,1.9262e-06-0.00077716i,-0.00029175-0.00040089i,-7.9197e-05-0.00030917i,0.00051115-0.00053369i,0.00022456-0.00020251i
0.0019804-0.0002897i,0.0016429+1.8611e-05i,0.0016444-0.00067895i,0.00029205-0.0011189i,-0.0018771-0.00091844i,-0.0025844-0.00057978i,-0.0013693-0.00065147i,-0.00091278-0.00021537i,-0.0008245+0.00072316i,-0.00029695+0.00082173i,-5.3072e-05+0.00080008i,2.9895e-06+0.00040048i,7.5224e-05-0.00045215i,0.00038378-0.00047425i,0.00064898+0.00011472i,0.00035741+9.6626e-05i,0.000267+0.00019937i,-0.00032383+0.00018008i,-0.00076297-0.00044787i,-0.00024677-0.00026093i,7.9118e-05+0.00075084i,0.00044075+0.00053923i,0.00035135+0.00014294i
-0.00011729-0.00094726i,-0.00022791-0.00051154i,-0.0010671-0.00026972i,-0.0018888-0.0011232i,-0.0017915-0.00092695i,-0.00083298+0.00017326i,-6.2809e-05+0.00050594i,-0.00027715+0.00047736i,-0.00068889+0.00057443i,0.00013817+0.00021316i,0.00076969+0.00037303i,0.00018216+0.00087585i,3.3504e-05+0.00053039i,6.2536e-05+1.4966e-05i,5.8329e-05-0.00018121i,0.00025347+8.9216e-06i,0.00060075+0.00039564i,0.00048591+0.00030615i,-0.00019121+0.00030685i,6.5697e-06+0.00050448i,5.9172e-05+0.00099501i,0.00028844+0.00093064i,8.393e-05+0.00046238i
0.00089342+7.8451e-05i,0.00031329+0.00018483i,-0.00033631-0.0011168i,-0.0010795-0.0020697i,-0.0019946-0.0021335i,-0.0014303-0.0011959i,0.00046143-6.2674e-05i,0.0013561-0.00064114i,3.0336e-05-0.00077133i,-0.00063303-0.00031747i,-0.00061938+0.00017655i,-0.0009789+0.0005036i,-0.00069127+0.00096378i,6.5783e-05+0.00067545i,-4.6818e-05+7.0155e-05i,-0.00028121+0.00024498i,-0.00012522+0.00050972i,5.0715e-05+0.00019729i,-9.6289e-05-0.00043005i,-0.00019633-0.00063927i,-0.0001163-0.00038516i,-5.2953e-05+0.00021329i,-0.0003719+0.00046067i
0.0002382+0.0017396i,0.00039902+0.0010738i,-3.6272e-05+0.00058526i,-0.0011376+0.000218i,-0.0024463-0.00087848i,-0.0027393-0.00099601i,-0.0014088-0.00076345i,-0.00060994-0.00089036i,-0.0012192-0.00076763i,-0.0012063+0.00024641i,-0.00046922+0.00042126i,-0.00031718-0.0004431i,-0.00016369-0.00054553i,-0.00018914-4.1355e-05i,0.00058472+0.00046256i,0.0014662+0.00072529i,0.0010518+0.00063152i,0.00045798+0.0011845i,8.3917e-05+0.0017831i,-0.00019903+0.00090955i,0.0001915-0.00010612i,0.00044989-0.00056047i,0.00081714-0.00070909i
0.0015346+0.0013674i,0.0011075+0.0012744i,0.00072449-1.9249e-06i,4.5361e-05-0.0012772i,-0.00093023-0.00085902i,-0.0020946-0.0004439i,-0.0013903-0.00065934i,-0.00093205-0.00037012i,-0.0015627+5.7841e-05i,-0.0015917-0.00041647i,-0.0013581-0.00095099i,-0.0012491+0.00011991i,-0.0011602+0.00091689i,-0.00075872+0.00024918i,-0.00050031-0.00017939i,-5.3505e-05-0.00012854i,0.00057476+0.00044952i,0.00061395+0.0006217i,-0.00017268-3.5361e-05i,-0.00024694-0.00028366i,-0.00018154-0.00057459i,-0.00024225-0.00017961i,7.9803e-05+0.00025405i
3.9602e-05+0.00012256i,0.0013695+1.2202e-05i,0.0013944+0.00014656i,-0.0001613-0.00090268i,-0.0014458-0.0013227i,-0.002715-0.00049661i,-0.002178+0.00027608i,-0.0013186+0.0004859i,-0.0016608+0.00086896i,-0.0013502+0.00056484i,-0.0007546-9.4305e-05i,-0.00019628+0.00039868i,0.00012136+0.00071635i,0.00032924+0.00051134i,0.00022072+0.00033436i,0.00018871-0.00021846i,0.00072252-0.00073318i,0.00056096-0.00087149i,-0.00040993-0.00070289i,-0.00012428-0.00044666i,0.00057016-0.0001021i,0.00074121-0.00039065i,0.00099437-0.00079735i
0.0018461-0.00024234i,0.0013227-0.00063836i,0.0015256-0.0022256i,0.00062423-0.0039341i,-0.0016103-0.0034376i,-0.0023816-0.0020952i,-0.0014354-0.00043149i,-0.001242+0.00033151i,-0.00060697+0.00065539i,0.000127+0.00069686i,-0.00022521+0.0010462i,-0.00054077+0.00086618i,-0.0006073-0.00014747i,-7.0694e-05-0.00080851i,0.00015506-0.00042647i,-0.00036256+0.00044577i,-0.00025565+0.00045008i,-0.0004411+0.00014316i,-0.00063472+0.00016805i,-0.00054483-0.00016782i,0.00032772-0.0004767i,0.00055393+0.00015256i,0.00023013+0.00011197i
-6.3993e-05-7.5123e-06i,0.00022972+0.00024679i,-7.4845e-06-0.00020155i,-0.0012536-0.00059244i,-0.0027431-0.00072292i,-0.0028758-0.0010373i,-0.0014829+0.00032292i,-5.7859e-05+0.0013257i,0.00060696+0.00085049i,0.00067859+0.00026409i,0.0008021-0.00036141i,0.00068247-0.00039907i,7.0767e-05-3.5067e-05i,5.1611e-05+0.00038503i,0.00028608+0.00032351i,-0.00030655-0.00011816i,-0.00091226-0.00049439i,-0.00040654-0.00016242i,0.00058409+0.00036148i,0.00053381-4.6136e-06i,8.0649e-05-0.00099433i,-0.00030195-0.0010541i,-0.00017819-0.00054192i
