-0.0027187+0.0021444i,-0.0025669+0.0011315i,-0.0025505+0.00093864i,-0.0010177+0.0014895i,0.00015957+0.0027646i,-0.00020078+0.0034191i,0.00024951+0.0027037i,0.0009403+0.0015105i,0.00045875+0.00063112i,1.149e-05+1.6263e-05i,1.0463e-05-0.00073867i,-0.00054029-0.00082098i,-0.00037875-0.00085564i,0.00025908-0.0014293i,0.00011404-0.0010703i,-0.00010391+3.3244e-05i,-0.00066324+0.00050774i,-0.00079854+0.00063957i,-0.00072487+0.00034834i,-0.00060638+7.2874e-06i,0.00010227+0.00027383i,0.00048142+0.00053412i,0.00026761+0.00042879i
-0.00077579+0.00071108i,-0.0014249-0.00014435i,-0.00070412-0.00016922i,2.6008e-06+0.00055938i,-0.0002075+0.00085135i,-0.00034597+0.00063832i,-0.00040086+0.0008958i,-0.0002144+0.00079529i,-0.00041747-6.8174e-05i,-0.00060742-0.00040315i,-3.8562e-05-0.00049903i,0.00041083-0.00025203i,0.00011728+0.00011722i,5.097e-05-0.00018807i,0.00055917-0.00048728i,0.00045832-3.8694e-05i,-0.00017701+0.00017575i,9.3625e-05-0.00012209i,0.00035444-0.0002875i,-6.6674e-05+0.00016499i,-0.00082161-0.00012837i,-0.00060314-0.00060503i,-0.00043486-0.00060133i
0.0020192-0.0023585i,0.0012111-0.0024609i,-0.00010058-0.0019013i,-0.00065333-0.00073977i,-0.00054926+0.00014166i,0.00021302+0.00037548i,0.00056767-0.00031503i,6.7147e-05-0.00073779i,0.00010416-0.00049173i,0.00030244+0.00032082i,-0.00018161+0.00064162i,-0.00029114-9.4679e-05i,0.00033463-0.00033327i,0.00078881+0.00017275i,0.00052325+2.4656e-05i,8.7353e-05+0.00022109i,-0.00026176+0.00052723i,-0.00097305+0.00037023i,-0.000586+0.00040378i,-0.00035822+0.00038742i,-0.00046717+0.0004489i,-8.5545e-05+0.00045718i,0.00050971+0.00014961i
-0.0027654-0.0011132i,-0.0027039+4.4462e-05i,-0.0022744+0.0015376i,-0.0013084+0.0027546i,-0.00041916+0.0021701i,0.00061804+0.00044549i,0.00060166+0.00066333i,-8.6814e-05+0.00129i,-0.0006282+0.00067808i,-0.00024987-0.00017147i,2.1459e-05-0.00029738i,-0.00026352-0.00034408i,0.00017425-0.00082208i,0.00014598-0.0010111i,-5.2367e-05-0.0010207i,-0.00049135-0.00075088i,-0.00033698+0.00033115i,7.6539e-05+0.0010916i,0.00039856+0.00099922i,0.00064685+0.0010788i,0.00061951+0.00036019i,0.00040851-0.00013945i,0.00074349+6.8166e-05i
-0.0010807-0.0020042i,-0.00094721-0.0022686i,-0.0014116+0.00018572i,-0.0017891+0.001969i,-0.0011226+0.0021054i,-0.0004273+0.0014464i,0.00017287+0.00068622i,0.00017174-0.00026712i,-0.00076043-0.00054213i,-0.00084431-9.3448e-06i,-0.00022468-0.00014222i,0.0002768+1.4176e-05i,0.00018237+0.0003019i,-3.9381e-05+0.0002987i,-0.00034254-0.00034394i,-0.00091432-0.00041764i,-0.00094479+0.00042626i,-0.00033796+0.00048454i,0.00010586+0.00069691i,-0.00033807+0.00071645i,-0.00052228+0.00096924i,-0.00034189+0.0010298i,-0.00014458+0.00076778i
0.00077794+0.0010355i,-0.00062885+0.00083551i,-0.0021317+0.0011583i,-0.00065371+0.0016821i,0.00069428+0.0015677i,0.0015366+0.00068589i,0.0012681+0.00050876i,0.00019042+0.00056364i,-0.00010809-0.00012121i,-5.895e-07-0.00026513i,0.00061851+0.00027646i,0.00014391+0.00045078i,-0.0007413+0.00059876i,-0.00082781+0.00039915i,-0.000695-0.00018876i,-0.00035968-0.00065579i,-0.00017684-0.00020946i,0.00020489+0.00053529i,0.00053975+0.00049469i,0.00059775-0.00015283i,0.00022299-0.00065193i,-0.00046113-0.00039594i,-0.00015125+0.00012922i
-0.00049404+0.00011459i,-0.0013631-0.00031617i,-0.00021309-0.00025125i,0.00033624+0.0010428i,0.0004876+0.0016129i,0.00067216+0.0013743i,-9.9921e-05+0.00094209i,-0.0003276+0.0005235i,-0.00054731+0.00069726i,-0.0011817+0.000403i,-0.0010124+1.1854e-05i,0.00036085+0.00052439i,0.00061649+0.00091985i,0.00028788+0.00076716i,0.00062462+0.00056312i,0.0003581+0.00094312i,0.00020332+0.00080413i,0.000699+0.00060529i,-2.5399e-05+0.00030947i,-0.00098541-0.00031099i,-0.00063838-0.00020893i,-0.00042792+0.00018259i,-0.00014965-0.00054907i
0.0019394-0.001698i,0.0012351-0.0015186i,-0.00088209-0.0015554i,-0.001695-0.0011635i,-0.0014802+0.00012214i,-0.0011615+0.0015957i,-0.000678+0.001639i,-0.00067274+0.00045354i,-0.00043614+6.633e-05i,-1.0737e-05+0.00026084i,0.00046744-4.0703e-05i,0.00075043-0.00025065i,0.00010583+0.00027134i,0.00026848+0.00026947i,0.00090274-4.7929e-05i,0.00027795-0.00019186i,0.00017404+0.00019442i,0.00057441+0.00075768i,-0.00013966+0.00095475i,-0.00056819+0.00035378i,6.7272e-05+3.7314e-05i,0.00079484-0.0002874i,0.00041595-0.00072041i
-0.0013241-0.0018693i,-0.0012264-0.0012704i,-0.00087374-0.00034626i,-0.00076204+0.0013026i,-0.00019911+0.0023676i,2.1877e-05+0.0019463i,-0.00020227+0.00090562i,-0.00026494+0.0001553i,-0.00062843-3.6361e-05i,-0.00023584-0.00045014i,0.00050588-0.00051791i,-0.00046793-0.00049704i,-0.0014229-0.00060221i,-0.0010863-0.00089797i,-0.00083466-0.0012642i,-0.00093207-0.00085444i,-0.00088257-0.0003276i,-0.00051239-0.00025473i,2.6218e-05-0.00034919i,-0.00017768+4.7358e-05i,-0.00022106-0.00024462i,-3.494e-05-0.00014827i,-0.00028955+0.00071443i
0.00079825+2.5866e-05i,0.00079796-0.0011584i,0.00051633-0.0008587i,0.00032124+0.00035491i,0.0005798+0.0010719i,0.00051662+0.00058869i,-0.00013067-0.00014852i,-0.00028441-0.0001271i,-8.2489e-05-0.00041691i,-0.00038286-0.0015704i,-0.00045932-0.00088844i,-0.00031787+0.00034268i,-0.00022043+0.00073287i,0.00045296+0.00053555i,0.0013042+0.0001723i,0.0010533+0.00044958i,0.00067039+0.0005742i,0.00055157+0.00070974i,-0.000303+0.00060619i,-0.00052353+0.00066174i,-0.00035077+0.00082743i,-7.0374e-05+0.00056029i,-0.00062939+0.00038958i
-0.0012972-0.0014436i,-0.0019619-0.00013784i,-0.0019781-0.00017204i,-0.0019544+8.6111e-05i,-0.0014383+0.0006742i,-8.9933e-05+0.00059707i,0.0003228+0.00059829i,-0.00047069+0.00043238i,-0.0013366-0.00013785i,-0.0013501-5.6368e-05i,-0.0011418+0.00061727i,-0.0012555+0.0016776i,-0.0010901+0.0014033i,-0.00048055+0.00057108i,0.00053236+0.00013289i,0.0010196+0.00031877i,0.00010796+0.00033429i,-0.00053097-0.00023023i,-0.00041504+7.5377e-05i,-0.0006814+0.00061772i,-0.00026245+0.00038053i,-0.00022878+0.00015855i,-0.00027714+0.00072064i
