-0.0043175+0.0006355i,-0.0015691+0.00034335i,-0.0007279+0.0014642i,-0.00064256+0.0021328i,-0.00018489+0.0030056i,0.00068669+0.0033396i,0.0012596+0.0027448i,0.0011017+0.00171i,0.0005022+0.00048435i,0.00069172+1.1569e-05i,0.0014247-0.00026474i,0.00075743-0.00090965i,-0.00036318-0.0012094i,-0.00057546-0.00089017i,-0.00034825-0.00059166i,-0.00029963+0.00035895i,-0.00025326+0.0012317i,0.00025587+0.00056608i,0.00032838-0.00055442i,-6.8682e-05-0.00011996i,2.2686e-05+0.00065102i,0.00035253+0.0004358i,-0.00043597+0.00036525i
0.00082309+0.0022104i,0.00091949+0.0014738i,0.0014992+0.0022281i,0.0011352+0.0019562i,0.00077677+0.00073047i,0.001121+0.00030488i,0.00010295-4.481e-05i,-0.00096606-0.00075874i,-0.00031495-0.00094082i,0.0008935-0.00060624i,0.0009931-0.00095447i,-0.00012768-0.00081416i,-0.00091502-0.00025944i,-0.0010633+0.0001468i,-0.00040324-5.6972e-06i,0.00017795-1.2243e-05i,-0.00028693+0.00013094i,-0.0008603-0.0005227i,-0.00086305-0.0010617i,-0.00050907-0.001097i,0.00038841-0.00023966i,0.00068151+0.00016161i,0.00018478+0.00049487i
0.00068844+0.00054085i,0.0010005-7.6779e-05i,0.001897+0.00023168i,0.0022479+0.00024553i,0.0015523-0.00011409i,0.00067895+0.00014104i,0.00020511-6.6395e-05i,-0.0001962-0.00056797i,-0.00028923-0.00034746i,-0.00068995-0.00041293i,-0.00086563-0.00025658i,-0.00094569+0.00037538i,-0.0010193+0.00055309i,-0.00065103-0.00038497i,0.00024808-0.00063614i,0.000702+0.00049871i,0.00014098+0.00086186i,-0.00029945+0.0001612i,0.00070224+2.7006e-05i,0.00076439+0.000233i,0.00028594+0.00027888i,0.00062964+4.8107e-05i,0.00036358+0.00011602i
0.00077839-0.0013313i,-6.7921e-05-0.0013554i,0.00010489-0.00011259i,0.00085439+0.0016648i,0.0015286+0.002075i,0.0019124+0.0012843i,0.0011591-8.8071e-05i,-0.00013749-0.00097946i,-0.00087813-0.00034569i,-0.00079884+0.00051825i,-0.0010213+0.00024446i,-0.00093295-0.00033136i,-0.00039263-0.00077135i,0.00017391-0.0018552i,-0.00020856-0.0019622i,-0.00017033-0.0010961i,-0.00029875-0.00099145i,-0.00039897-0.00062321i,8.6414e-05+0.0007318i,-9.1778e-05+0.0014884i,-3.2235e-05+0.0011587i,-5.7542e-05+0.00072485i,-0.00024424+0.00054972i
0.0012792-0.0028434i,0.00069882-0.001777i,0.00071007-0.0020369i,0.0002487-0.0016272i,-0.00054243+0.0001644i,-0.00072714+0.0016372i,0.00065577+0.0015386i,0.0013689+0.00060849i,0.0010261-0.00019728i,0.00033989+8.1645e-05i,-0.00029897+0.00014006i,3.9956e-05+0.00038426i,0.00054476+0.00051017i,0.00016838+0.00020927i,-0.00070154-0.00025177i,-0.00051348-0.0007564i,0.00040179-0.00076015i,0.00060593-0.00014489i,0.00017462+0.00068721i,-0.00055667+0.00017024i,-0.00066164-0.00044083i,-0.00089682-0.00075465i,-0.00054596-0.00087163i
0.00040588+0.0012884i,0.0009489+0.0013482i,0.0022662+0.0020259i,0.0025639+0.0020894i,0.0027492+0.001006i,0.0032412+0.00050461i,0.0027198+0.00016085i,0.00092394-0.00094132i,-0.00076885-0.001329i,-0.00096268-0.00086174i,-0.0010496-0.00013152i,-0.0011963-1.3113e-05i,-0.00069354+0.00012637i,0.00028891+0.00047258i,0.00040812-0.000247i,-5.5694e-05-0.00049825i,-0.00015017-0.0002771i,0.0003298-0.00049636i,0.0010458-0.00021312i,0.0012372+0.00071844i,-7.1469e-05+0.00088023i,-0.00071013+0.00054743i,0.00012139+0.00040716i
0.0028675+0.00061612i,0.0025142-0.00020218i,0.0028778-0.00061058i,0.0025437-0.0014132i,0.00091398-0.0015883i,-0.00022034-0.00091548i,-0.00056375-0.00057103i,-0.00076562-0.0011503i,-0.00038009-0.0017406i,-0.00049463-0.00092047i,-0.00099034+4.477e-05i,-0.00058861+0.0004291i,0.00039206+0.00057929i,0.000767+0.00073914i,-0.00032477+0.00051795i,-0.0010193+0.00057636i,-0.00047658+0.00024564i,-0.00062722+0.00027196i,-0.00052952+0.0010445i,0.00041237+0.00064675i,5.6956e-05-0.00021934i,0.0001847-0.00013912i,0.00049062+0.00033139i
-0.001735-0.0007101i,-0.00074595+0.00050914i,0.00077099+0.0012061i,0.0013857+0.00078206i,0.0010825+0.0009039i,0.00065511+0.0015316i,0.00089748+0.0010925i,0.00052668+0.00022866i,-0.00060262-0.00032245i,-0.00059893-0.00034282i,-8.7874e-06-0.00026705i,0.00016996-0.0003822i,-3.39e-05-0.00023426i,0.00035774-0.00020358i,0.00038536+0.00024357i,0.00025005+0.00023427i,-2.033e-05+0.00011906i,-0.00023602+0.00048452i,-0.00024704+0.00097303i,-0.00040357+0.0010419i,-0.0003976+0.00060075i,-0.00060179+0.00038702i,0.00011979+0.00051958i
-0.00055331+0.00047003i,0.00061004+0.001696i,0.0025814+0.0021868i,0.0033298+0.0015163i,0.0025177+8.3352e-05i,0.0013942-0.00020058i,0.00077908+0.00035399i,0.00020504+0.00029285i,-0.00039596-5.5659e-05i,-0.00090686+0.00037632i,-0.001003+0.00093041i,-0.00080604-0.00021311i,-0.00080969-0.00098462i,4.1019e-05-0.00086355i,0.0008626-0.00062717i,0.0007911-1.286e-05i,0.00021215+0.0011626i,-0.00050159+0.0009933i,-0.00067983+0.00041103i,-0.00027601+0.00029101i,4.8196e-05+4.4973e-05i,-0.00016244+5.8574e-05i,-0.00081495-0.00028554i
-0.00081384-0.0022022i,-0.00041079-0.0013963i,-0.00063242-0.00055477i,-0.00022803+3.588e-05i,0.00017446+0.0010263i,0.0009153+0.001983i,0.0012475+0.001763i,0.00024129+0.00017677i,-0.00051535-0.00078061i,-0.00080212+0.00012835i,-0.00066961+0.0009296i,0.00036901+0.0003861i,0.0010445+0.00027643i,0.00043756+0.00066174i,0.00083681+0.00048167i,0.0013694-9.0045e-05i,0.00015614-0.00024005i,-0.00068191+9.2973e-05i,-0.00035369+0.00052193i,0.00040335+0.00054501i,-2.6133e-05+0.00050724i,-0.0007481+0.00069973i,-0.00020437+3.2473e-05i
0.0015755+0.00064762i,0.002956-0.00016607i,0.0029298-0.00064723i,0.00235-0.0007885i,0.001862-0.00087951i,0.00095187-0.0009839i,0.00042474-0.00089347i,-0.00061173-0.00029152i,-0.0011801-0.00019927i,-0.0012092-0.00034496i,-0.00099593-0.00035089i,-0.00042912-0.00027905i,-3.8017e-05-0.00041309i,0.00051166-1.143e-05i,0.00079186+0.00045892i,0.00055113+0.00060074i,-0.00019674+0.00073139i,-0.00010594+0.00074732i,-0.00033578+0.00065588i,-0.00039839+0.00010182i,-0.00013735+5.7327e-05i,-0.00043624+7.1601e-05i,-0.00024709-6.8257e-05i
