-0.0017925+0.00026148i,-0.00031376-0.00023577i,-0.0016528+0.00083173i,-0.0012872+0.0012897i,0.00015986+0.0015955i,0.00085247+0.00091505i,0.00071902+0.00010795i,-0.00033657+0.00079376i,-0.00024862+0.0011155i,0.0007473+0.00063208i,0.00085234-0.00031093i,0.00071455-0.00069619i,0.00085905-0.00016642i,0.00038888-0.00030595i,-0.0005314-0.00058413i,-0.00062659-0.00010424i,-0.00059119+0.00042234i,-0.00066523+0.00052117i,-0.00082392+0.00012863i,-0.00044044+2.972e-05i,0.00014123+0.00080883i,-8.3508e-05+0.0011759i,-0.00035162+0.00060614i
-0.0013522+0.0014473i,-0.002153+0.0008932i,-0.0020268+0.0022393i,-0.0013054+0.0032288i,-6.6695e-05+0.002773i,0.00072414+0.0011294i,9.7052e-05+0.00017792i,-0.00041869+0.00050026i,-0.0010578+0.00067718i,-0.00067534+0.00050671i,0.00072406-0.00085736i,0.00095652-0.0014954i,0.00081028-0.00090556i,0.00062921-0.00012718i,-1.6079e-05+0.00026315i,-0.00049002-0.00046928i,0.00019359-0.00028228i,0.0005022+0.00032904i,-0.00024805+0.00035093i,-0.00041642+0.00058927i,-0.00047038+0.00069045i,-0.00055739+0.00042124i,-0.000101+0.00038603i
-0.0012166+9.179e-05i,-0.00049209+0.00012284i,-0.0011068+0.00099889i,-0.00014665+0.0019697i,0.0021311+0.0028102i,0.0031592+0.001179i,0.0018466-0.00086159i,-0.00042796-0.0011482i,-0.0012834-0.00081146i,-0.00041175-0.00046272i,0.00044036-0.00042054i,0.00021068-0.00047489i,0.00035114-0.00085716i,0.00018393-0.00031708i,-0.00032587+0.00071934i,0.00019815+0.0011523i,0.001468+0.00074164i,0.0011516+0.00043101i,-0.00054413+0.00069925i,-0.0014478+0.00085696i,-0.00094765+0.00098653i,-0.00082973+0.00041088i,-0.00027496-0.00040273i
-0.0021138+0.00069028i,-0.0027955+0.001091i,-0.0045018+0.0017052i,-0.0040595+0.0023379i,-0.0020215+0.0020068i,-0.00011452+0.0011236i,8.2854e-05-0.00027431i,-0.0011453-0.00099834i,-0.0012284-0.00033035i,-0.00017405+0.00030191i,0.00023363+0.00033616i,0.00030575+0.00028598i,0.0010459+6.4067e-05i,0.00098716-0.00042522i,0.00014664-0.00046726i,0.00035329+7.8932e-05i,0.00028437+0.00037121i,0.00029141+0.00053505i,-0.00029814+0.00082148i,-0.0011168+0.00096839i,-0.00038764+0.00071257i,-0.00019257+0.00034109i,-0.00032465+0.00029105i
0.00011664+0.00045124i,-0.00053814-0.00047105i,-0.0011478-0.00069818i,-0.00077078+0.0010689i,0.0010368+0.0023945i,0.0014328+0.002019i,-0.00036165+0.0010169i,-0.0011747+8.0098e-05i,0.00023577-0.00051972i,0.0019912-0.00045101i,0.0017024+0.00011142i,1.0917e-05+0.00037392i,-0.00056997+0.00026573i,-0.00039697+7.1232e-05i,-0.0010055+0.00018882i,-0.00079478+0.00054765i,-8.0943e-05-0.00030473i,0.00028009-0.00049655i,0.00021409+0.00055642i,0.00039653+0.00091904i,0.00044453+0.00077177i,0.000203+0.00026462i,0.00038825-0.0003799i
-0.001341+0.0018727i,-0.00073447+0.0013952i,-2.0906e-05+0.0018973i,0.00053775+0.0024726i,0.0016956+0.001971i,0.0022503+0.001522i,0.00072459+0.00030132i,-0.00063982-0.00042682i,8.9488e-07+0.00012456i,0.0013142+0.00015654i,0.0011127+0.00016529i,0.00019251-0.00019746i,-0.00068856-0.00047463i,-0.00018194+0.00010671i,4.8523e-05+0.0006868i,-0.00021458+0.00076609i,0.00024644+0.00071112i,0.00089183+0.00078288i,0.00061834+0.00051651i,1.3713e-05+0.00053472i,8.9284e-05+0.00061777i,4.7255e-05+0.00038031i,0.00043528+0.00057811i
0.00021925-0.00085454i,-0.0011363-0.0011303i,-0.0022512-0.0014309i,-0.0015524+0.0004107i,2.8489e-05+0.0022708i,0.00049736+0.002101i,-0.00027686+0.00051979i,-0.00089715-5.175e-05i,-0.00043753+0.00027573i,0.00048252+4.3243e-05i,0.00062495-0.0006044i,0.00068411-0.00038098i,0.00077738+0.00033481i,0.00075012-4.4261e-05i,0.00058519-5.6495e-05i,0.00030797+0.00025781i,0.00053614+0.00013732i,0.00075947+0.00039135i,0.00057796+0.00043963i,-0.00072359+0.00046212i,-0.0011716+0.00071485i,-0.00071177+0.00093568i,-0.0001656+0.00024687i
-0.00011602-0.000546i,0.00090858-0.0011216i,0.00018459-2.1732e-05i,-3.8775e-05+0.0016982i,0.00052711+0.002325i,0.0010955+0.0019658i,0.00057477+0.00048132i,-0.0005257-0.00029906i,-0.00044125-0.00021319i,0.0002063-0.00010804i,0.00088627-5.3201e-05i,0.00099679+8.9067e-05i,0.00020796+0.00035652i,0.0010586+0.0001665i,0.0012613-0.00019337i,0.00016572+0.00018249i,3.5487e-05+0.00032086i,0.0001095-0.00013538i,0.00025666+0.00026079i,0.00055661+0.00059699i,0.0004064+0.0010403i,-8.6234e-05+0.00037175i,-0.00080597-0.00087327i
-0.00067484-0.0017671i,-0.0019307-0.00083301i,-0.002485+0.00015798i,-0.0017652+0.001378i,-0.00053668+0.0020777i,0.00016089+0.0021529i,0.00089897+0.0018622i,0.0013814+0.00094982i,0.0010947+0.00037514i,0.00054471+0.00034195i,0.00056762+0.00053034i,0.00056401+0.00040971i,0.00026469+7.8597e-05i,2.0035e-06-9.1934e-05i,-0.00047179-0.00010352i,-0.00025376+0.00066359i,0.00017865+0.00074674i,0.0001718+0.00035935i,0.00024025+0.00054227i,-0.00013337+0.0004123i,-0.00018602-1.2319e-05i,0.00072075+0.00016895i,0.00071496+0.00048758i
-0.00043909-0.0017626i,-0.00048917-0.0015718i,0.00071233-0.0020586i,0.0013753-0.0010156i,0.0010086+0.0013273i,0.00080872+0.0018495i,-9.8085e-05+0.0011523i,-0.0011174+0.0010015i,-0.00084703+0.00096548i,0.00046492+0.00060762i,0.0009325+0.00016729i,2.4949e-05-9.8333e-05i,-0.00022065-0.00054556i,0.00018027-0.00019468i,0.00050623+0.00068698i,0.00013862+0.00098088i,0.00010662+0.00090141i,-0.00053749+0.0011293i,-0.0011985+0.00075235i,-0.00082152+0.00022636i,-0.00049973-0.00044616i,-0.00037233-0.00040376i,-0.00023342+0.00053415i
0.0007614+0.0021414i,-0.00021736+0.0025474i,-0.00084247+0.0026262i,-0.0009985+0.0021679i,-7.6618e-05+0.0012644i,0.0010635+0.0015381i,0.0010019+0.0018495i,0.00031307+0.001534i,0.00044335+0.00085447i,0.00066142-7.172e-05i,0.0002618-0.00096621i,-0.00021076-0.0010104i,-0.00028647-0.00051129i,-0.00019212-0.00059168i,0.00016624-0.00080727i,0.00046473-0.00041402i,0.00076597-8.4683e-05i,0.00095787-0.00037332i,0.00047773-0.0011337i,0.00044876-0.0013995i,0.0002531-0.00041343i,1.277e-05+0.00021929i,0.00035157+0.00058832i
