-0.0037504+0.00023054i,-0.0028908-0.00014582i,-0.0033192+0.0008307i,-0.0020149+0.0024141i,-0.00049193+0.0029356i,-0.0004308+0.0026391i,-0.0014547+0.002249i,-0.0012037+0.00061423i,0.00019333-0.00092511i,0.00048651-0.00082635i,0.00046797-7.001e-05i,0.0011387+0.00023905i,0.0019313+6.1581e-05i,0.0013244+4.5876e-05i,0.00054491+0.00012591i,0.000293-0.00022164i,-0.00016767-0.0004596i,-0.00026177-0.00010974i,4.4002e-05-0.00029183i,1.8683e-05-0.00022784i,-0.00026293-9.3483e-06i,0.0002452-0.00021801i,0.00037137+1.2021e-05i
0.00024389-5.8461e-06i,-0.00054175-5.8507e-05i,-0.00056999-6.5829e-05i,7.7436e-05-0.00030653i,0.00099652-0.0011491i,0.00081973-0.0013831i,0.00042425-0.00081259i,0.00013834-0.00059562i,5.1887e-05-0.00054629i,3.0656e-05-0.00077681i,-0.00024115-0.00053029i,0.000418+0.00045356i,0.00014237+0.00067295i,-0.00064742+2.2391e-06i,0.00010549-0.00037619i,0.00042565-0.00047919i,-0.00026784-6.7314e-05i,-0.0015171-0.00025893i,-0.0017115-0.00084481i,-0.0009832-0.00056494i,-0.00044055-0.00016073i,8.9533e-06+4.674e-05i,-0.00018145+0.00042694i
-0.00071209-0.00093208i,-0.00020379-0.0010681i,0.00074034-0.00018162i,0.00069057+0.00046823i,0.00064581-0.00032317i,0.00040955-0.00063334i,0.00018764-0.00053304i,-0.00031696-0.00029198i,-0.00073795+3.5391e-05i,-0.00019585-0.00021203i,0.00034522+5.3407e-05i,-3.7578e-05+0.00068892i,0.00031581+0.00053109i,0.0010459+0.00027973i,0.00076561+9.3198e-06i,0.00022225-0.00010079i,-0.00018542+0.00024775i,-0.00031085+0.00090191i,0.00022678+0.00066819i,0.00039486+0.00040195i,-0.00035093+5.2225e-05i,-0.00029121-0.00080145i,2.3933e-05-0.0004141i
0.00090065+0.001867i,0.0009568+0.00129i,0.0016134+0.00088458i,0.0023434+0.00012533i,0.0030242-0.001191i,0.0015741-0.0015407i,-0.00059289-0.00064834i,-0.001159-0.00019187i,-0.0010236-0.00043106i,-0.00083033-0.0005189i,-0.0010879-0.00015311i,-0.0015707-0.00055044i,-0.00097579-0.0004403i,-0.00012611+0.00021322i,1.8458e-05+0.00010849i,-0.00010273+4.9148e-05i,8.4742e-06+0.00022108i,0.00020877-3.7172e-05i,0.00040016-0.00052077i,0.00074054-0.00073587i,0.0010644-0.00020469i,0.00027286+0.00010119i,-0.00048695+0.0001789i
0.001143-0.00020274i,0.0011188-0.00033625i,0.00089099+0.00031002i,0.00054893-0.00045997i,0.00015199-0.0012106i,2.2266e-06-0.0014879i,-3.234e-05-0.00098398i,-0.00035217+9.0179e-05i,-0.00075261-6.0894e-05i,-0.00082072-0.00082383i,-0.00056949-0.00073138i,-8.3422e-05+0.0001425i,-2.2776e-05+0.00096444i,-0.00022565+0.00072318i,-0.00034429+0.00019828i,-0.0011632+0.00057689i,-0.0014299+0.00030152i,-0.001051-0.00010432i,-0.0013846+0.00087636i,-0.0012776+0.0014995i,-0.00078567+0.00068147i,-0.00028648-0.00022764i,1.4414e-05-0.00064488i
-0.00088404-0.00048586i,-0.0010514-0.00037793i,-0.00046954-0.00010822i,0.00033291+0.0004234i,0.00021037+0.00047855i,-0.00025936+0.00024898i,-4.4083e-05+0.00032352i,0.00046029+0.00069835i,0.00064125-9.7324e-05i,0.00012985-0.00076797i,-0.00018533-0.0008812i,0.00031049-0.0001373i,0.00085705+0.0008406i,0.00071087+0.00044396i,0.00019329-0.00039492i,-0.0002438-1.8683e-05i,-0.00055001+0.0007166i,-0.00014747+0.00073996i,0.00029867+0.00014121i,0.00011573-0.00035608i,0.00061475-0.00031878i,0.00062967-0.000288i,-0.00033156+0.00023721i
-0.0017095-0.00084936i,-0.0013946-0.00088842i,-0.00049192-0.0003369i,0.00040377+0.00053058i,0.0006544+0.00041768i,0.00070725-0.00067594i,0.00073938-0.0015256i,0.00024512-0.001298i,0.00047366-0.00064294i,0.00070256-1.4894e-05i,-1.4589e-05+0.00073611i,-0.00046895+0.00072051i,0.00012849+0.00020828i,0.00013577-8.6353e-05i,-0.00080778-0.0001106i,-0.00026709+0.00046842i,0.00099637+0.00064583i,0.0014139+0.00091551i,0.0011879+0.0011847i,0.00023398+0.00051545i,-0.00015366+0.00027382i,0.00034716+0.00019266i,0.00061259-0.00055204i
-0.00024915+0.0008455i,-0.00027579+0.00040476i,-0.00011085+0.0011055i,0.00063497+0.00037989i,0.00074944-0.0011503i,0.00045773-0.0014733i,0.00046168-0.00010961i,0.00041612+0.00096797i,0.0001174+0.00013263i,-0.00019926-0.00018201i,8.4325e-05+2.5634e-05i,0.00069344-0.00019579i,0.00093985-0.00029681i,0.0008295-0.00029316i,0.0009827-4.5699e-05i,0.00012101+0.00026373i,-0.0010805+0.00032432i,-0.00072362-0.0006531i,0.0007512-0.00085022i,0.0013381-0.00049398i,0.00046824-0.00013131i,-0.00025338-0.00017331i,-0.00055465-0.0006224i
-0.0016939-2.0529e-05i,-0.0011817+0.00051249i,-5.371e-05+0.0016346i,0.00075304+0.0017825i,0.0012641+0.0010801i,0.0013858+0.00022463i,0.00052943-8.8259e-05i,-0.00021734+0.00045545i,-0.00023729+0.0008124i,-1.7744e-05+0.00081647i,-6.0361e-05+0.00093486i,-0.00057298+0.00066681i,-4.3704e-05+0.00016986i,0.00084247-0.00046875i,0.0010891-0.00048036i,0.0010294+0.00014427i,0.000282+0.0011848i,-0.00022956+0.0016114i,-0.00018682+0.00094953i,0.00033581+0.00024547i,0.00061726+5.9526e-05i,0.00089228-5.9465e-05i,0.0013574-0.0003497i
-0.0027092-4.2558e-06i,-0.0025458-0.00027805i,-0.0026331-0.00011061i,-0.0020796+0.0006294i,-0.00042972+0.0011485i,0.00079104+0.00058566i,0.00050881+0.00015877i,0.00032914+0.00015158i,0.00039643+2.6636e-05i,0.000285+0.0002164i,8.1221e-05+0.00027739i,0.00018519+0.00043156i,0.00032449+0.00097625i,0.00057749+0.001388i,0.00054465+0.00090071i,0.00011537+0.00042721i,0.00067264+0.00013934i,0.00084943+0.00037827i,0.00022358+0.0010046i,-0.00048747+0.00084865i,-0.00011005+0.00012544i,0.00023154-0.00048367i,0.00026204-0.0001982i
-0.002141+0.0023628i,-0.002283+0.002933i,-0.00091789+0.0045338i,0.00087424+0.0031816i,0.0021702+0.00046191i,0.0018129-0.00073965i,0.0005397-0.0010718i,0.00022436-0.00076478i,8.0533e-05-0.00034296i,-0.00056114-4.3326e-05i,-0.00041536+0.00044321i,0.00024411+0.00054445i,0.00042578+6.4082e-05i,0.00056674-0.00022522i,0.0001496-0.00029483i,-0.00033827-0.00043063i,1.2951e-05-0.0002022i,0.00023496-0.00037332i,0.00061965-0.00073531i,0.0012724-0.0004676i,0.0014504-0.00053108i,0.0013153-0.00072635i,0.00031405+8.1911e-05i
