-0.0037504+0.00023054i,-0.0028908-0.00014582i,-0.0033192+0.0008307i,-0.0020149+0.0024141i,-0.00049193+0.0029356i,-0.0004308+0.0026391i,-0.0014547+0.002249i,-0.0012037+0.00061423i,0.00019333-0.00092511i,0.00048651-0.00082635i,0.00046797-7.001e-05i,0.0011387+0.00023905i,0.0019313+6.1581e-05i,0.0013244+4.5876e-05i,0.00054491+0.00012591i,0.000293-0.00022164i,-0.00016767-0.0004596i,-0.00026177-0.00010974i,4.4002e-05-0.00029183i,1.8683e-05-0.00022784i,-0.00026293-9.3483e-06i,0.0002452-0.00021801i,0.00037137+1.2021e-05i
-0.00028255-0.00053887i,-0.00092013-0.00088027i,-0.0010107-0.001096i,-0.00045054-0.00088129i,0.00019419-0.00019753i,0.00055714+9.7671e-05i,0.00060957+0.00026405i,0.00013347+0.00010789i,-1.0631e-05-0.00018299i,0.00032638+2.1524e-05i,5.011e-05+0.00032971i,-2.6322e-06-9.0415e-05i,0.00019481-0.00010915i,7.9483e-05-0.00011806i,-7.4718e-05+0.00019781i,-0.00078145+0.00060686i,-0.00087772+0.00060759i,-0.00033032+0.00058539i,-0.00048688+0.00015366i,-0.0013138-0.00028643i,-0.00082139-7.3873e-05i,4.1027e-05+0.00098739i,0.00070281+0.00081729i
0.0012839+0.0017968i,0.00115+0.0019389i,0.0015649+0.0015982i,0.0017165+0.00080224i,0.0021285-0.00088205i,0.0024699-0.0014836i,0.0014584-0.00071412i,0.00046409+0.00011723i,4.2697e-05+0.00019871i,-0.00018039-0.00037761i,-0.00090821-0.00015973i,-0.0012541-0.00032588i,-0.00053183-0.0007787i,-0.00036414-0.0001594i,-0.00057775+0.00081082i,-0.000347+0.0012734i,-8.9401e-05+0.001141i,-5.4773e-05+0.00021204i,0.00031148+0.00016655i,0.00061878+0.00012113i,0.00026409+0.00029045i,0.00027088+0.00016793i,0.00046032-0.00040632i
-0.0015858-0.0016034i,-0.0017359-0.0027005i,-0.002671-0.0026055i,-0.0020641-0.0003305i,-0.00049289+0.00077755i,8.314e-05+0.00060619i,0.00045176+5.3819e-05i,0.00024337-0.00018601i,-0.00056595+0.0001203i,-0.00071727+0.00031108i,-0.0003268+0.000233i,0.00011157+0.00051519i,0.00029926+0.0013458i,0.00022663+0.0015262i,0.00033798+0.001384i,-0.00053139+0.001372i,-0.00087048+0.00071629i,-0.00047603-0.00032069i,-0.00016388-0.00028667i,3.8487e-05+0.00017858i,-7.2331e-05+2.3996e-05i,0.00023975-0.0001913i,0.00021235-0.00033456i
9.0213e-05+0.0026004i,0.00073422+0.002236i,0.0016895+0.002315i,0.0017306+0.0010525i,0.0019064+0.00011189i,0.0025266-0.00061724i,0.0017221-0.0005776i,0.0014348+7.3692e-05i,0.00124-0.00058272i,-0.00040568-0.00099111i,-0.0013346-0.001001i,-0.00036262-0.0010698i,0.00016867-0.00034646i,-0.00016573+5.02e-05i,-0.00015887+0.00043793i,-0.00026084+0.0009439i,-0.00015101+0.00047171i,5.1469e-05-0.00048841i,-0.00023638-0.00092801i,-0.00014506-0.00060184i,-8.7156e-05+0.00019083i,8.0674e-05+0.0013202i,-6.37e-05+0.001631i
-0.0012658+0.0010219i,-0.0010897-0.00018194i,-0.00065172-0.00088017i,-5.0754e-05+0.00051227i,0.00086098+0.0010854i,0.00089912+0.00013493i,7.9482e-05-0.00014263i,-0.00027679-0.00025816i,-0.00047509-0.00074347i,-0.00019021-0.00071233i,-0.00046415-0.00059868i,-0.0006445-0.00023193i,-0.00025483+0.00023308i,0.00014084+0.00032226i,0.0009592+0.00096875i,0.00093807+0.0012618i,-1.9321e-05+0.000985i,-0.00066601+0.00057797i,-0.0003218-0.00018185i,0.0001098-0.00019369i,-0.00023411-2.3727e-05i,-0.00027277-8.2944e-05i,-0.00019999+0.00016821i
0.0014054+0.00059143i,0.0010608+0.0013457i,0.0011765+0.0012764i,0.0021454+0.00080771i,0.0017955+3.11e-05i,0.0011234-0.00087003i,0.0004363-0.00055585i,-0.00010378+7.5417e-05i,-0.00070786-0.00044565i,-0.0010834-0.0012464i,-0.0011703-0.0010398i,-0.0016241-0.00028253i,-0.0014068-7.1033e-05i,-0.0004407+0.0004496i,0.00017972+0.00035662i,-3.18e-05+4.5745e-05i,-0.00054457-0.00023164i,-0.00064358-0.00023935i,-0.00016532+5.746e-05i,0.00046762-0.00087565i,0.00053656-0.0010355i,0.00020445-8.0385e-06i,0.00025931-0.00010026i
0.002406+0.00033943i,0.0022799+0.00023373i,0.0031699-0.00084852i,0.002305-0.00088854i,0.0015027-6.3863e-06i,0.001553-0.00025797i,0.0008756-0.0011261i,-0.00028066-0.0009575i,-0.00056394-0.00064592i,-0.00026004-0.00036151i,-0.00075337+0.00021572i,-0.0016815+0.0003773i,-0.0013911+0.0008081i,-0.00050104+0.0018195i,-0.00014075+0.0020735i,-5.2161e-05+0.0013296i,-0.00013895+0.00028452i,5.5631e-05-0.00054052i,0.00022467-0.00051081i,0.00041022-0.0002192i,0.0013733-0.00049529i,0.0010832-0.00054221i,0.00014803-0.00031856i
0.0018852+0.0018808i,0.0021755+0.0015644i,0.0017861+0.0015167i,0.0011663+0.0011811i,0.0013241+0.00020906i,0.00067535-0.00068453i,-1.1251e-05-0.00041042i,0.0006897+0.00025426i,0.0011635-0.00014907i,0.0012645-0.00051282i,0.0011996-4.7857e-05i,0.00030011+0.00012067i,-0.00078174-0.0001394i,-0.00097916+0.00015958i,-0.00041844+0.0003746i,-0.00035861+0.00099751i,-0.00029763+0.0010901i,-0.00043466+0.00016916i,-0.0015584-0.00033719i,-0.0018685-0.00020339i,-0.00048097+0.00019118i,0.00071886+0.00074972i,0.0008491+0.0010116i
-0.004134+0.0015936i,-0.0040846+0.0022215i,-0.0034346+0.0031536i,-0.0016767+0.0040113i,0.00076472+0.0031033i,0.0022313+0.0017004i,0.0015363+0.00032893i,0.00046869-0.00051901i,-0.00061058+2.5327e-06i,-0.0010869+0.00056927i,-0.00098179+0.0005138i,-0.00087995+0.00062441i,-0.00044862+0.00024595i,0.00074439+0.00023259i,0.00089771+0.00079292i,0.00022661+0.00062806i,0.00011202+0.00067931i,6.5824e-05+0.00038247i,0.0002621+7.1226e-05i,0.00048005+0.0010222i,0.00046868+0.0010459i,0.00051481-0.00013508i,0.00093055-0.00019036i
-0.004221+0.0025792i,-0.0038617+0.0030389i,-0.0029157+0.0048258i,-0.00028637+0.0047156i,0.0025273+0.0030122i,0.0026503+0.000826i,0.00090035-0.00081172i,5.4501e-05-0.00060273i,0.00014709-0.00018268i,0.00013896-0.0002416i,0.00010993-0.00019146i,0.00023855-0.00037498i,0.00038463-0.00084679i,-3.5866e-05-0.00055537i,-0.00018084-3.3425e-05i,-0.00021793+0.00016626i,-0.00023305-0.00025461i,-0.00026876-0.00053167i,-0.00062443-0.00029243i,-0.00054889-0.00037854i,0.00058544+0.00045787i,0.0011308+0.00054036i,0.000671-6.5264e-05i
0.00078322+0.0033202i,0.0024027+0.0035203i,0.0046486+0.002629i,0.0055696+0.00098318i,0.0035664+0.0002186i,0.0011628-0.00013894i,-4.3241e-05-0.00025278i,-0.00036207+5.2046e-05i,0.00035248-0.00015686i,0.00087319-0.00082118i,0.00025031-0.001055i,-0.0011475-0.00073024i,-0.0022492-0.00042099i,-0.0023193+1.6774e-05i,-0.0016893+0.00083924i,-0.0015196+0.00073687i,-0.0016362+0.00030846i,-0.0016203+0.00018768i,-0.00033389-1.0851e-05i,0.00064757-0.00040154i,-0.00011735-0.00099701i,0.000131-0.00035892i,0.00070557+0.00032087i
-0.0012495-0.00073476i,-0.0015057-0.00017014i,-0.0021111-0.00083883i,-0.0014953-0.00071706i,-0.00038988+0.00013504i,-0.00015247+0.00053025i,-6.0809e-05+0.00034151i,-2.8311e-05-7.0116e-05i,-0.0002739-0.00029491i,-0.00043076-0.00058143i,-0.00072692-0.00058999i,-0.0011011+0.00016458i,-0.0016087+0.0011856i,-0.0014036+0.00093647i,-0.0010418+0.00012727i,-0.00042902-3.2486e-05i,0.00055295+0.00059313i,0.00085012+0.0010021i,0.00098477+0.0001747i,0.00092937-0.00029084i,0.0003415-0.00031499i,0.00015904-0.00054454i,-0.00018089-0.00014833i
0.0018935+0.00051157i,0.0024068+0.0011369i,0.0025587+0.0014593i,0.0027366+0.000943i,0.0022222+0.00026593i,0.0011265-0.00044953i,0.0010161-0.00024071i,0.0014156-0.00026227i,0.00079282-0.00073286i,-0.00024947-0.00038049i,-0.001372+0.00064145i,-0.00098734+0.00041657i,-0.00079911-0.00032912i,-0.00159-3.5251e-05i,-0.0012723-4.1657e-05i,-0.00069988-9.1649e-06i,-0.0011918+0.00010322i,-0.0010834-0.00062696i,-8.1486e-05-0.00033874i,0.00013721+0.00056309i,0.00017025+0.00040558i,0.00032496+0.00015398i,0.0010791+4.4656e-05i
0.00027938+0.00040205i,-0.00062188+0.0011122i,-0.0016671+0.0010159i,-0.00063667+0.00090974i,0.00053417+0.00073949i,0.00045486+7.7713e-05i,-0.0006446-0.00021315i,-0.00071304+0.00024045i,-0.00025466+0.00023251i,-0.00073782-0.00086282i,-0.0010263-0.0012339i,-0.00015676-0.0005261i,-0.00019578+0.00037375i,-0.00096704+0.00068194i,-0.0012755+0.00040391i,-0.0018054+0.00078527i,-0.0016672+0.0012362i,-0.00024892-0.00020942i,0.00072693-0.00068651i,0.00016234+0.00046715i,-0.00014927+0.00052052i,-0.00041391-6.1786e-05i,-0.00081012-0.00017856i
0.0025215+0.00010948i,0.003488+0.00062533i,0.0030246-0.00034692i,0.0030091-0.00047449i,0.002847-0.00043162i,0.0016239-0.00027589i,0.00067282+0.0004611i,0.00048092+0.00089473i,-0.00019928+0.00038213i,-0.00097372-0.00029601i,-0.00078146-0.00045784i,-0.00087737-9.5928e-05i,-0.00083492+0.00079313i,-0.00034403+0.0017945i,-0.00033473+0.0019677i,-0.00040836+0.0013085i,0.00015066+0.00089171i,0.00042728+0.00018144i,0.00028794-0.00067209i,5.2275e-05-0.00061908i,-0.00037165-0.00032924i,-0.00020719+0.00022701i,-0.00044846+0.00077601i
-0.00096039-0.00061259i,-0.0010906+2.388e-05i,-0.0010139+0.0001331i,-0.00057346+0.00055441i,-0.00010468+0.0012834i,0.00026118+0.0018375i,0.00048958+0.00098956i,-0.00045276+2.2109e-06i,-0.0014561-2.1021e-05i,-0.001044-0.00028248i,-0.0004217-0.00079457i,-0.00050531-0.00050104i,-0.00017656-0.0002142i,0.00085683-7.4084e-05i,0.0011535+0.00098148i,0.00027026+0.0011363i,-7.6055e-05+0.0004314i,0.00043095-6.7305e-05i,-0.00019994-0.0002138i,-0.000895-7.3085e-06i,-0.00069918+0.00025762i,0.00062707+0.00031757i,0.0006353-0.00034213i
-0.0010506-0.0010031i,0.00049993-0.00067949i,3.6272e-05-0.00039164i,0.00040516-0.00022772i,0.0016578-0.0001598i,0.0018079-0.00022905i,0.00060562-0.00077518i,-7.2544e-06-0.0010138i,-0.00015741-0.0010699i,-0.0004973-0.0013713i,-0.00022022-0.00028679i,-0.00015458+0.0011386i,-0.00074387+0.00082929i,-0.00085986+0.00066881i,-0.0007343+0.0011825i,-0.0010634+0.00061266i,-0.00090186-7.5312e-05i,-0.00018566+0.00025839i,0.00046825+0.00011686i,0.00015589-0.00023779i,-0.00066229+0.00022736i,-0.00062632+0.00048812i,-0.00024587+0.00057411i
-0.0015524+0.0024097i,-0.00069567+0.0016671i,0.0010014+0.0019606i,0.001924+0.0027644i,0.0020225+0.0018213i,0.0011755-0.00012564i,0.00062115-0.0011547i,-2.1168e-05-0.00065191i,-0.00045537-0.00012867i,-0.00030788-9.7885e-06i,0.00022454+3.4635e-05i,0.00083143-0.0007007i,0.00045537-0.0010184i,-0.00066885-3.6184e-05i,-0.0011842+0.00034409i,-0.00064995-0.00051026i,0.00023608-0.00078811i,-5.0381e-05-0.00022247i,-0.00088731+0.00012335i,-0.0010854+6.9259e-05i,-0.0010441-0.0004975i,-0.0007619-0.00012173i,0.00020457+0.0005278i
-0.0008299+0.0005919i,-0.00093146-4.2485e-05i,-0.0019096+0.00040138i,-0.0014162+0.0016654i,0.00075105+0.0021456i,0.0012062+0.0011949i,6.5556e-05+0.00028147i,-0.00014901+0.00058206i,0.00050973+0.00073711i,0.00047508+1.179e-05i,0.00010492+2.0778e-05i,-0.00050316+0.00083979i,-0.00026312+0.00095066i,-3.3905e-05+0.00071361i,-4.833e-05+0.00071384i,0.00034079+0.00057178i,0.0008708+0.0008669i,0.00034758+0.00078265i,-0.00024539+0.00035553i,0.00017428+0.00083208i,0.00016606+0.00092012i,-9.6117e-05+0.00091907i,-3.6318e-05+0.00080812i
-0.00096609-0.0018656i,-0.00053457-0.0017073i,-0.0012793-0.00097288i,-0.00088744-4.5503e-05i,0.00031804+0.00055173i,0.0011083+0.00015137i,0.0010534-0.00083683i,0.00080213-8.0645e-05i,0.00037278+0.0002356i,-0.00090658-0.00016459i,-0.0014293+0.0005396i,-0.00033701+0.00090236i,0.00076427+0.00086234i,0.001031+0.0016787i,0.00019571+0.0015069i,-0.00035632+0.00077202i,-0.00028433+0.0010663i,-0.00036793+0.0011485i,-4.077e-05+0.00030707i,-0.00019139-0.00014958i,-0.00053172-0.00015298i,0.0002571+0.00050222i,5.6429e-06+0.00088458i
-0.0015081+0.0019552i,-0.0015476+0.0021953i,-3.5547e-05+0.0031319i,0.0013903+0.0023009i,0.0026816+0.00034141i,0.0016674-0.00069504i,-0.00061372-0.00050909i,-0.0015149-0.00022158i,-0.0014347-0.00074594i,-0.00058265-0.0018944i,0.000229-0.0012363i,0.00039794+6.3537e-05i,0.0001947+0.00065389i,-0.0002696+0.0006203i,-6.6733e-05+0.00020458i,-2.3434e-05-1.7019e-05i,-0.00059027-0.00017433i,-0.00045695-0.00059674i,-0.00024324-0.00059251i,-0.00088938-0.00049618i,-0.00076071-1.0652e-05i,-0.00030849+0.00033678i,-0.0001839-0.00027866i
-0.0013612-0.0015851i,-0.0014083-0.0012705i,-0.00096773-0.0015572i,-0.00046889-0.00036227i,0.00038459+0.00076399i,0.0011102+0.00034523i,0.00084966+0.00055231i,-0.00048444+0.0005988i,-0.00060727-0.00018976i,0.00013631-0.00061162i,0.00013273-0.0010106i,0.0001716-0.00013587i,0.00064979+0.001008i,0.00020937+0.00011485i,-0.00028088-0.0001805i,-0.0001677+0.00051812i,-0.00056862+0.00076142i,-0.0010252+0.0011661i,-0.00089366+0.00056961i,-0.00015656-0.00051624i,0.00073019-0.00090033i,0.00092768-0.00093602i,0.00056344-0.00058445i
0.0012483+0.00063036i,0.0019884+0.00092117i,0.002609+0.0008187i,0.0025794+0.00072564i,0.001789+0.00026752i,-0.00013943-0.00022145i,-0.00097856-5.7744e-05i,-0.00034276-0.00028683i,0.00037892-0.00044631i,0.00044309-0.001032i,-0.00044876-0.0010975i,-0.00080072-0.00062288i,-0.00033541-0.00021543i,-9.4253e-05-3.1874e-05i,-0.00030971-4.2737e-05i,-0.00078255+0.0001443i,-0.00042445+0.00015039i,0.00023463-4.791e-05i,0.00039616-0.00019156i,0.00032628-0.00037253i,0.0003988-0.00035949i,-0.0002346-0.0004345i,-9.5238e-05+8.1339e-05i
-0.0015685-0.00086179i,-0.0016052-0.0014245i,-0.0012755-0.0012994i,-0.00083821+0.00022964i,0.00092864+0.0012379i,0.0023563+0.00077622i,0.0015005-0.00034194i,0.0010586-0.00084164i,0.00085411-0.00075236i,-0.00017411-0.00064091i,-0.0002-0.00051376i,0.00038613-0.00022385i,0.0004285-0.00012351i,0.00021749-9.2208e-05i,0.0003317+0.00040473i,0.00050206+0.0011112i,-0.00038132+0.0013071i,-0.00038031+0.00060768i,-0.00021276-0.00015311i,-0.00036882-0.00024509i,-4.9987e-05-0.00018885i,0.00054198-0.00010091i,0.00056143+0.0003309i
0.00093795-3.5216e-06i,0.00078717+0.00044841i,0.00048101+0.00082938i,0.00042893+0.00031417i,0.00093798-0.0011268i,0.0012736-0.0020345i,0.00040809-0.0012552i,-0.00019493-0.00062237i,0.00071145-0.00080307i,0.00063255-0.001281i,-0.00052911-0.0011706i,-0.0010013-0.0002819i,-0.001453+0.00056469i,-0.0017179+0.00076452i,-0.0012421+0.00083189i,-0.00050859+0.00091191i,-0.00044123+0.00046252i,-0.00092964-0.00014676i,-0.0016773-0.00012119i,-0.0016379+0.0002765i,-0.00076941+2.2438e-05i,-0.00027911-0.00028284i,-0.00077948+7.3015e-05i
7.6556e-05-0.0020902i,-0.0010063-0.0023569i,-0.0018071-0.0017698i,-0.0017655+0.00022712i,-0.00071534+0.0018461i,0.00021836+0.0016772i,0.00036712+0.00023762i,0.00032346-0.00065373i,-0.00012332-0.0011686i,-0.00013306-0.0014574i,-0.0002621-0.0007691i,-0.0007293+0.00041428i,-0.00083412+0.00073536i,-0.00051329+0.00064019i,0.00057204+0.00090156i,0.0012173+0.00057434i,0.00091193+0.00037057i,0.00040593+0.00020771i,0.00082202+8.3376e-05i,0.00098652+0.00066285i,0.00062133+0.0010669i,0.00013541+0.0011699i,-0.00016893+0.00092538i
-0.0016434+0.00081416i,-0.002013+0.0015544i,-0.00093639+0.0030183i,0.0010183+0.0039839i,0.0024163+0.0025946i,0.0029208+0.00075097i,0.001088+7.08e-05i,-0.00074387-0.00066825i,-0.00064992+4.2765e-05i,-7.2721e-05+0.0011954i,-0.00029154+0.0014224i,-0.001106+0.00063829i,-0.0013786-0.00074992i,-0.00060251-0.0010289i,0.0001002-0.00042612i,0.00022911-0.00083119i,-0.00036509-0.0011544i,-0.00042316-0.00077102i,0.00015741-0.00078618i,0.00034929-3.2908e-05i,0.00056692+0.0012005i,9.8459e-05+0.0010572i,-0.00046071+9.1269e-05i
0.00036121-0.00071129i,0.00078495-0.00068207i,0.0016738-0.0009046i,0.00070338-0.00079997i,0.00017766-0.0015571i,0.0012206-0.0025764i,0.0017495-0.0026728i,0.000483-0.0013491i,-0.00028874-0.00069526i,8.9472e-06-0.0013037i,0.00018894-0.0011907i,0.00034112+8.5297e-05i,0.0008689+0.0011613i,0.00080018+0.0010883i,0.00042855+0.0011027i,-0.00019518+0.00080897i,-0.0003937+0.00019562i,-0.00057357+0.00065511i,-0.00049497+0.00034564i,-0.00067516-0.00041971i,-0.00069497-0.00036373i,-0.00035587+0.00034958i,-0.00041658+0.00050566i
-0.0012333+0.00033131i,-0.0020096+0.00083104i,-0.0029637+0.00045516i,-0.0013227+0.0010705i,0.00078387+0.001714i,0.0018661+7.7422e-05i,0.001487-0.0013064i,0.00041717-0.0004399i,-9.6905e-05+0.00027907i,-0.0010639+0.00016008i,-0.0014155-0.00036793i,-0.0010888-0.00051573i,-0.00057593+0.00025628i,0.00045119+0.00013219i,0.00085078+0.00026725i,0.00012079+0.00079631i,-0.00059389+0.00064751i,-0.00038256+1.1632e-05i,-0.00035684+0.00038024i,-0.00071597+0.0010382i,-0.00076642+0.00040586i,-0.00036327-7.2207e-05i,0.00066113+2.5296e-05i
0.00091159+0.0012742i,0.0013867+0.0010279i,0.0023974+0.0011496i,0.0032493+0.00092338i,0.0040324+0.00071279i,0.0023242-0.00031697i,-0.000501-0.00099713i,-0.0012333-0.00080507i,-0.00045375-0.0010558i,-0.00037678-0.00075383i,-0.0010003-0.00036229i,-0.0012122+8.3462e-05i,-0.00053677+0.00074902i,-0.00033152+0.00041115i,-0.00025093+0.00028781i,-0.00039669+0.00056783i,-0.00093506+0.0006676i,-0.00070593-0.0003277i,-0.00056012-0.0013961i,-0.00045885-0.0012105i,0.00034358-0.00078595i,0.00044344-0.00038406i,-0.00012377+0.00014456i
-0.0012725+0.0042326i,-0.00028228+0.0042201i,0.0019577+0.0051668i,0.0041023+0.0039911i,0.0042257+0.00085082i,0.002218-0.00075628i,0.00030484+0.00010252i,0.00032575+0.0012902i,0.0013938+0.0013275i,0.0014106+0.00072116i,0.00076846-0.00032241i,-0.00029101-0.00062671i,-0.0013757-0.0004665i,-0.0012309-0.00050641i,-0.00057729-6.5522e-05i,5.4774e-05+0.00022736i,4.061e-05+0.00069809i,-0.00084848+0.0012994i,-0.0012385+0.00066045i,-0.00067083-0.00072696i,0.00024128-0.00099133i,0.00027686-0.00063874i,-2.9557e-05-0.00045594i
0.0020446-0.00018576i,0.0022108+0.00049911i,0.0020882-0.00061558i,0.0019581-0.0017896i,0.0019039-0.00069229i,0.0012024+0.00049725i,0.00071153+0.00024911i,0.00028345-0.00040806i,-0.00017126-0.00045978i,-0.00032735-0.00029493i,0.00026496+0.00039199i,-1.9476e-05+0.00074498i,-0.0014681+0.00045191i,-0.0014741+0.0005661i,-0.00068663+0.0012371i,-0.00087635+0.0020971i,-0.00044212+0.0016183i,-4.0709e-05+0.00014646i,1.9011e-05-6.1547e-05i,-0.00018473-1.6294e-05i,-0.00020591-0.00075449i,0.00040058-0.0009063i,0.00041112+0.00019417i
0.0039859+0.00064889i,0.0036071-0.00033921i,0.0046201-0.0013111i,0.0038302-0.0012408i,0.0016667-0.0015744i,0.00020326-0.0018201i,0.00030036-0.0011891i,0.001012-0.00033134i,0.0007278-0.00038524i,-0.00051046-0.0013483i,-0.0013879-0.0016397i,-0.0020143-0.00055369i,-0.0018561+0.00064347i,-0.0004254+0.00097788i,0.00010473+0.00093712i,3.5865e-05+0.00085649i,0.00048303+0.00074618i,2.0409e-05+0.00046241i,-0.00077839+0.00028597i,-0.00098367+0.0004214i,-0.0015997+0.00039814i,-0.0014102-5.4517e-05i,-0.00054356-0.00014954i
0.00056707-0.0030899i,3.1024e-05-0.0027734i,-0.00050655-0.0025942i,-0.0014675-0.0015484i,-0.0011058+0.00024997i,0.00034129+0.0015669i,-3.8692e-05+0.00045895i,-0.00037918-0.0010606i,0.00097096-0.0014437i,0.00042216-0.00095801i,-0.0013033-4.4588e-05i,-0.0016125+0.00018095i,-0.0011347+0.00021598i,-0.00080897+0.00068771i,-0.00010136+0.0014965i,0.0004811+0.00098429i,0.00066661-0.00015972i,0.00010135-0.00057262i,-6.089e-05-0.00014452i,-0.00038186-0.00023411i,-0.00058875-0.00041453i,0.00024602+0.00012869i,-7.2357e-05+5.7831e-05i
0.002367+8.8144e-05i,0.0030561-0.0002239i,0.0030852-0.0014174i,0.0024914-0.0018435i,0.0022322-0.0017021i,0.0013073-0.0021249i,0.00013397-0.0013414i,-0.00070856+0.00067152i,-7.2124e-05+0.00076377i,3.803e-05-0.00014412i,-0.0011292-0.00018087i,-0.0020373-7.7445e-05i,-0.0019465+0.00013395i,-0.00077189+0.00083405i,-0.00020574+0.0018042i,-6.2023e-05+0.0017138i,-0.00053214+0.00041305i,-0.00045618-0.00022723i,0.00039358-0.00044003i,0.00063996-3.6868e-05i,4.4772e-05+0.00017663i,-0.00062249-0.00039941i,-0.00094468-0.00074993i
0.0017536-0.0012889i,0.001578-0.00094177i,0.00131-0.00065576i,0.00092166+0.00034833i,0.00020503+0.00047056i,0.00018201+0.00039603i,8.6458e-05+0.00045784i,7.4682e-05-0.00043152i,0.0001555-0.0012206i,2.1e-05-0.0011107i,-0.00069188-0.00023105i,-0.0019249+0.00049209i,-0.0024132+0.00039598i,-0.0012381+4.9493e-06i,2.6686e-05+0.00026926i,-0.00026062+0.00068276i,-0.00060407+0.0005537i,-0.00058791+9.7013e-05i,-0.0004149+0.00039135i,-3.3218e-05+0.000305i,-0.00019943+0.00044477i,-0.0005139+0.00045127i,-0.00037258+7.9312e-05i
-0.00023276-0.0047588i,0.00036478-0.0043831i,-0.00069417-0.003589i,-0.0016291-0.0029304i,0.00020511-0.0015333i,0.001993+6.2345e-05i,0.0013213+0.00012416i,0.00068712-0.00070682i,0.00022945-0.00046764i,4.1652e-05+8.4382e-05i,-0.00072456+0.00032319i,-0.0015469+0.0014439i,-0.00076836+0.0016544i,8.828e-06+0.00066798i,-0.00028811+0.00080354i,-0.0003225+0.0015413i,3.9017e-05+0.00073527i,-3.7275e-05-0.00022905i,-0.00072302+0.00014215i,-0.0010317-0.00015781i,-0.000421+0.00037887i,-0.00015198+0.00065287i,-4.0937e-05-0.00023201i
0.00059391+0.0035509i,0.0016927+0.0031686i,0.003371+0.0036461i,0.004061+0.0029468i,0.0034476+0.0009394i,0.0018723-0.0010779i,0.00089182-0.0015945i,6.1078e-05-0.00090254i,0.00093549-0.00035152i,0.0020316-0.00097159i,0.0019838-0.0017522i,0.00074391-0.00097895i,-0.00015655+0.00040564i,-0.00026669+0.00036031i,-0.00086232-0.00048527i,-0.00085249-0.00014308i,-0.00058187+6.7305e-05i,2.5777e-06-0.0005451i,0.00080064-0.00045069i,0.00047463-0.00054133i,0.00011172-0.00013693i,0.00031507+0.00032587i,0.000174-0.00015166i
-0.0023382-0.0044103i,-0.0024907-0.0037514i,-0.0040171-0.0034512i,-0.0039331-0.0017378i,-0.0021404+0.00069924i,8.067e-05+0.0011847i,0.00069888+0.000642i,3.5859e-05+0.00032435i,-0.00057809-0.00073611i,-0.0014793-0.0012108i,-0.0016687-0.00032584i,0.00021688+0.0004822i,0.0020966+0.00070015i,0.0021687+0.0010227i,0.0015794+0.0016477i,0.00088633+0.0014526i,0.00092763+0.00043449i,0.0012179+0.00033837i,0.0010641+0.00039538i,-5.5282e-05+0.00064661i,-0.00075959+0.001039i,4.0706e-05+0.00095421i,0.00050837+0.00019269i
0.0013552+0.00054458i,0.0015043+0.0013419i,0.0016625+0.002238i,0.0020103+0.0013275i,0.001248-2.5971e-05i,0.00019145-0.00023081i,0.00035321-0.00040823i,0.00095598-0.00081156i,0.0011996-0.0010202i,0.00060935-0.0017791i,-0.00019223-0.0021001i,-0.0010518-0.0011703i,-0.00066777-0.00074952i,-5.4179e-05-0.00051004i,-0.00084494-8.3976e-05i,-0.00075376-0.00010357i,-0.00064614+0.00030721i,-6.1674e-05+8.5838e-05i,0.000291-0.00011127i,-0.00039075+0.00034728i,-0.00034296+0.00013908i,0.00040112-0.000218i,7.9432e-05-0.00036381i
0.0001092+0.0019404i,0.00022474+0.0019091i,0.00032265+0.0022201i,0.0014782+0.0024933i,0.0027681+0.0022172i,0.00308+0.00098539i,0.0016332-0.00064126i,0.00053917-0.00062502i,0.00065544-0.00033435i,0.00035554-0.00089272i,8.7524e-05-0.0014068i,-0.00052302-0.00092507i,-0.0014079+0.0001542i,-0.0014822-4.2575e-05i,-0.00067845-0.00019313i,-0.00056186+0.00027757i,-0.00088935+0.00021574i,-0.0002675+0.00016284i,0.00023391-0.00016521i,0.0003063-0.00017486i,0.00013575+0.00011775i,-0.00034079-4.6294e-05i,-0.00011429-0.0003529i
-0.00064587+0.0014464i,-0.00020865+0.0019677i,0.00059969+0.0026628i,0.0020988+0.0018449i,0.0028292+0.00070551i,0.0022653-0.00046243i,0.00088698-0.00071097i,-0.00077584-0.00037712i,-0.0012562+5.2954e-05i,1.8162e-05-0.00048951i,0.00020804-0.00090631i,-0.0010877-0.00054069i,-0.0020858-0.00029485i,-0.002239-0.00096732i,-0.0010428-0.00080977i,2.2837e-05-0.00041037i,-0.00033202-0.0005332i,-0.00059754-0.00026781i,-0.0011894+0.00036839i,-0.0016681+0.00034919i,-0.0010612-0.00023034i,-0.0002636-0.00019028i,-0.00063585+0.00039281i
0.0012507-0.00082657i,0.000174-0.00092864i,-0.0006204-0.00074449i,-0.00035165-0.00091846i,0.00097633-0.00011843i,0.0018523+0.00030206i,0.00098606-0.00040249i,-3.8709e-05-9.1215e-05i,0.0003789-0.00047163i,0.0010122-0.00075749i,0.00020607+0.00052319i,-0.0012471+0.00083239i,-0.0013388+0.0012054i,-0.00084079+0.0013948i,-0.0010398+0.00053335i,-0.00038093+0.00038505i,0.00013379+0.00029009i,-7.5604e-06-0.00054153i,-0.00035413-0.0014373i,-0.00026217-0.00098183i,0.00042407+0.00047937i,0.0013509+0.00056981i,0.0015787+0.00053039i
