-0.0049911-0.00084005i,-0.0035469-0.00025139i,-0.0039634+0.00053548i,-0.0039631+0.0015103i,-0.0034779+0.0020221i,-0.0019526+0.001989i,-0.00067824+0.001445i,-0.00040109+0.0014059i,-0.00011109+0.0020759i,-1.4587e-05+0.002341i,-0.00050159+0.0019344i,-0.00017345+0.00054808i,0.00060574-0.00031479i,0.0005186+0.00045864i,0.00034907+0.00083815i,0.00036607+0.0006718i,0.001147+0.00044674i,0.0012642+0.0006802i,0.00041685+0.00048383i,-6.1448e-05-0.00013323i,-0.00069482+0.00011381i,-0.0010368+0.00052184i,-0.00052809+0.00074041i
0.00063425-0.00055356i,0.0010844-5.3468e-05i,0.00086556+0.00013297i,-8.4648e-05-0.0011719i,-0.0010713-0.0027004i,-0.0021001-0.0019752i,-0.0018997-0.00096323i,-0.0007306-0.00057759i,-0.00069118-2.627e-05i,-0.00012278+0.00051788i,0.00077572+0.00021587i,0.00069432-0.00054882i,0.0011654-0.00014432i,0.0010726+0.00085003i,6.5767e-06+0.00027604i,0.00014519-0.00042251i,0.00053693-0.00034036i,0.00029726-5.2903e-05i,-0.00065908+0.00013568i,-0.00094974+0.00015514i,-0.00010188-0.00034066i,0.00057943+9.1094e-05i,8.2526e-05+0.00018511i
0.0007157+0.0015369i,0.0015053+0.0012249i,0.003485+0.001279i,0.0037749+0.00075556i,0.001083-0.00028569i,-0.00015326-0.00079593i,2.5096e-05-0.00037933i,-5.0377e-05-0.00059056i,0.00031976-7.6752e-05i,0.00071442+0.0010643i,0.00068467+0.00043728i,0.00093699-0.00026824i,0.00099976-0.00092466i,0.00078305-0.0015033i,0.0008289-0.00080786i,0.0010846-0.00087363i,0.001171-0.00096375i,0.00039872-0.00049483i,-0.00021871-0.00066251i,-0.00044246-0.00060736i,-0.00068024-0.00019852i,-0.00090572+9.2892e-06i,-0.00063691-0.00025975i
-0.0014055-0.00020426i,-0.00061169+0.00026343i,-0.00064981+3.3017e-05i,-0.00090008+0.00011616i,-0.0009557+0.0013633i,-0.00080719+0.0016631i,0.00015651+0.00086846i,0.00035989+0.00018516i,0.00022017+0.0001218i,5.114e-05+0.00012147i,-0.00046863+9.8085e-05i,-0.000426-0.00028699i,8.8215e-05-0.00082596i,0.00062229-0.00099506i,0.0010151-0.00098518i,0.00051922-0.00092542i,0.00035941-0.00040345i,0.00046901+0.0008906i,-0.00033478+0.0014408i,-0.00074328+0.0015011i,-0.0004355+0.0011935i,0.00065515+0.00086906i,0.0010222+0.00073638i
-2.1347e-05-0.00059252i,0.00066469+9.6777e-05i,0.00064518-0.00055346i,0.00011036-0.00067226i,-0.001803-0.00088919i,-0.0024025-0.00043452i,-0.0012327+0.00069322i,-0.00077048+0.00044543i,-0.00035041-0.00033303i,0.000257-0.00032668i,-3.8474e-06+0.0011831i,0.00028549+0.0016662i,0.00084607+0.00061715i,0.00018914+4.9773e-05i,-0.00038165-0.00021548i,-0.00058964-0.00025139i,-0.00050921+0.00026725i,-0.00026738+0.00062006i,0.00021228+0.00010529i,-0.00014376+0.00060295i,-0.00051358+0.00051844i,-0.00025271-0.00070142i,-0.00069737-0.00038141i
6.6497e-06+0.00072385i,0.00072265-0.00017429i,0.00051352-0.00054913i,-0.00012425-0.00020898i,-0.0012583+0.00079786i,-0.0011233+0.00063652i,-0.00027999-0.00077924i,0.00018309-0.0014275i,-0.00020237-0.00036459i,-0.00047254-0.00014947i,-0.00014317-0.00046366i,-0.00010353-0.00020458i,-0.00043104-0.000544i,-0.00015239-0.00062607i,0.00037502-0.00010417i,0.00053967+9.0914e-05i,0.00027359-0.00011537i,0.00054922-0.00057478i,0.0006776-0.00052361i,0.00044604-0.00033361i,8.392e-05+0.00055559i,-0.00033528+0.0010236i,-0.00012511+0.00057885i
-0.00036111+0.00076065i,-0.00016522+0.0012925i,0.00047911+0.00033542i,-0.00011274-0.00049745i,-0.00068149+1.1077e-05i,0.00028763+0.00059614i,0.00040748+2.8959e-05i,-0.0001857-0.00085313i,-0.0004033-0.0010709i,-0.00018548-0.00061471i,0.00027416-5.3987e-05i,0.0002172-0.00019789i,0.00058057-0.00039821i,0.00088752-0.00039678i,0.00063082-0.00044581i,0.00063762+8.0967e-05i,0.00049452+0.00062211i,-0.00026425+0.00050929i,-1.2028e-05+0.00052678i,0.000389-5.1213e-05i,1.4373e-05-0.0011042i,0.00038657-0.00094803i,0.0011538-0.00037337i
-0.00082806-0.0003763i,0.00010905+0.00025334i,0.0008197+0.00034021i,0.00040847-0.00012421i,-0.0009895+0.00025067i,-0.00094449+0.00042485i,0.00016764-2.6608e-05i,0.00043296+0.00030086i,0.00049229+0.00055228i,-0.00050566+0.00029361i,-0.00083827+0.00052805i,-5.0997e-05+0.00060452i,-0.0005461-2.2542e-05i,-0.00068638-0.00045867i,-2.4621e-05-0.00025913i,0.0013764+0.00012941i,0.0018859+0.00019633i,0.00075382+0.00019362i,8.0684e-05-1.828e-05i,1.0359e-05+0.0002816i,0.00022701+0.00045072i,0.00022808+0.00023744i,0.00016365+0.00053987i
-0.0019048-0.00048294i,-0.001539-0.00038315i,0.00098068+0.00034371i,0.00072452-5.1332e-05i,-0.0023597-0.00070659i,-0.0027269-0.00046276i,-0.0013137-9.1744e-05i,0.00020728-0.000252i,0.00094167-0.00039205i,0.00057315+0.00034306i,-0.0003363+0.00077489i,-0.00085765+0.00019093i,-0.00029266-0.0002967i,0.00041079+0.00037913i,0.00060605+0.00052055i,0.00030857-9.5079e-05i,-0.00012357-9.8914e-05i,-0.00037122+0.00024845i,0.00032763-3.9941e-06i,0.0013001-7.4945e-05i,0.00073302+0.0010707i,0.00010634+0.001059i,8.2211e-05+0.0006048i
0.00019536+0.00021166i,0.0016033+0.00060691i,0.0014609-0.00037962i,0.00024301-0.00038724i,-0.00073352+0.00087788i,-0.00060617+0.0011976i,-0.00024217+0.00092922i,3.4131e-05+0.00019484i,0.00044941+0.00013844i,0.00054224+0.00039034i,0.00028748+0.00045057i,-2.4704e-05+0.00058647i,-0.00016171-6.0075e-05i,0.00019608-0.00081435i,0.00048858-0.00028174i,0.00030362+0.00018391i,0.00042531-0.00023982i,0.00062553-0.00054737i,0.00061835+0.00013071i,2.1262e-06+0.00031289i,-7.8496e-05+3.1099e-05i,9.9522e-05-0.00042614i,-0.00091646-0.00054846i
-0.00047594-0.00046042i,0.00011939-0.00018027i,0.00077607-0.0012241i,-0.000696-0.0017333i,-0.0022356-0.0012508i,-0.0016723-0.00086481i,-0.00011463-0.00013048i,-0.0003507-0.00016735i,-0.0006199-0.0004422i,-0.00045383-0.000243i,-0.00060186+0.00012468i,0.00024085+0.00035759i,0.00046783+0.00039043i,-0.00021949-0.00055711i,-0.00073349-0.00065334i,-0.0006082-0.00074639i,-0.00085321-0.0010798i,-0.00067264-0.00053697i,4.7313e-05+0.00066042i,0.00028458+0.0010657i,0.00015835+0.00045073i,0.00015766+0.00060279i,0.00036722+0.0013422i
-0.0012832+0.00075935i,-0.00031832+0.00075183i,0.0011487-0.00029109i,0.00093115-0.0015429i,-0.00053664-0.0014281i,-0.0011207-0.00094433i,-0.00079452-0.00067548i,-0.00066199-0.00064193i,2.2911e-05-0.00015197i,0.0007716+0.00068563i,0.0010662+0.00056268i,0.00085613+0.00030808i,0.00086482-0.00041988i,0.0010184-0.00041701i,0.00056148+7.9946e-05i,0.00074306-0.0005458i,0.0015942-0.000349i,0.001113-3.9788e-05i,-5.1417e-05-3.7107e-05i,-0.00017671-9.6813e-05i,0.00041427-0.00022993i,0.00048617+0.00047936i,-0.00026019+0.00085323i
0.0012704-0.0009097i,0.0013926-0.00086424i,0.00063516-0.0015439i,-0.00067006-0.0021242i,-0.0017522-0.0015627i,-0.0010655-2.389e-05i,0.00057406+0.00034646i,0.00083123-0.00049776i,0.00031114-0.00024508i,-5.4013e-05+0.00027964i,-0.00059567+0.00028351i,-0.0008811+7.2401e-05i,-0.00093528+7.3293e-05i,-0.00061249+0.00010669i,-0.00018655-0.00017892i,-6.6387e-05-0.0005671i,-7.9261e-05-0.00032421i,-0.00065904+0.00040171i,-0.0012384+0.00054749i,-0.00014364+1.1403e-05i,0.001375+0.00045499i,0.00045344+0.00092736i,-0.00078519+0.00083247i
0.0011658+0.00038135i,0.0015635-0.00016469i,0.00091524-0.00078804i,-0.00025604-0.0010869i,-0.00074283-0.001057i,-0.0014279-0.0008545i,-0.001158-0.00052188i,-0.00039168-0.00060896i,-0.0003721-0.00064167i,0.00019897-6.9027e-07i,0.00071684+0.00027727i,5.5604e-05-0.00022731i,-0.00067229-0.00084674i,-0.00024347-0.00091421i,0.00073368-0.00037384i,0.0010924+0.00036777i,0.00097325+0.00067814i,0.00055021-0.0003575i,0.000134-0.0018379i,-5.6099e-05-0.0012236i,-0.00031051+0.00026238i,-0.00076699+0.0012473i,-0.00082856+0.0016325i
0.00027883+8.761e-05i,0.0021119+3.253e-05i,0.0016632+0.0002445i,0.00085791-0.0002749i,0.00074276-0.0011495i,0.00075234+1.1452e-05i,5.9377e-05+0.0010677i,-0.00034853+0.00052987i,-8.5237e-05-0.00026527i,-0.00023912+0.00059032i,-0.00081342+0.0015249i,-0.00049227+0.001064i,0.0004866+0.00035711i,0.00026917-0.00068844i,0.00020678+9.9466e-05i,7.0563e-05+0.0015288i,-0.00040247+0.0009973i,-0.00065928+2.4856e-05i,-0.00075592-0.00019848i,-6.7127e-06+0.00023434i,0.00038369+0.00055319i,0.00026854+0.0006955i,3.6698e-05+0.00058412i
