-0.0049911-0.00084005i,-0.0035469-0.00025139i,-0.0039634+0.00053548i,-0.0039631+0.0015103i,-0.0034779+0.0020221i,-0.0019526+0.001989i,-0.00067824+0.001445i,-0.00040109+0.0014059i,-0.00011109+0.0020759i,-1.4587e-05+0.002341i,-0.00050159+0.0019344i,-0.00017345+0.00054808i,0.00060574-0.00031479i,0.0005186+0.00045864i,0.00034907+0.00083815i,0.00036607+0.0006718i,0.001147+0.00044674i,0.0012642+0.0006802i,0.00041685+0.00048383i,-6.1448e-05-0.00013323i,-0.00069482+0.00011381i,-0.0010368+0.00052184i,-0.00052809+0.00074041i
0.0010164-0.00093858i,0.00065078-0.00036727i,0.00055487-0.0015626i,-0.0021385-0.0018347i,-0.0037733-0.00088376i,-0.0024655+0.00031449i,-0.00082319+0.0007415i,-0.00036187-7.0664e-05i,-0.0010823-0.00070033i,-0.0011105-0.00057847i,-0.0008406+8.9206e-05i,-0.00095642+0.00041838i,-0.00049288+0.00031605i,-2.9713e-05-0.00058268i,-0.00010082-0.0011737i,-0.00028155-0.00072193i,-0.00092783-9.96e-05i,-0.00079088-0.00024072i,-6.2428e-05-0.00037896i,0.00042706-0.00023451i,-2.1713e-06+4.9924e-05i,-0.00016221+0.00055088i,0.00033782+2.174e-05i
0.0010739-0.00038108i,0.0020836+9.4352e-05i,0.0032895+0.00043656i,0.0021446+0.00011444i,0.00021435+0.00038074i,-0.00048945+0.0010849i,-0.00011809+0.0006977i,0.00035255-0.00015384i,0.00052505-0.00066101i,0.001051-0.00050508i,0.00058356-0.00020683i,5.8115e-05-0.00071719i,-0.00024134-0.0012353i,-0.00022794-0.0013408i,0.00048268-0.0014998i,0.00083157-0.001332i,0.00062596-0.00028548i,0.00033419+0.00041844i,0.00029407+0.00020672i,-9.168e-05+0.00010031i,0.00025824+0.00045812i,0.00033688+0.00038823i,-0.00022659+0.00035105i
-0.0012903+0.00032183i,-0.00080827+0.0014052i,-9.188e-05+0.00042933i,-0.00079198-0.0010859i,-0.0013506-0.00056292i,-0.0010472+0.00035423i,-0.00028034+0.00024334i,0.00012963+0.00021537i,8.7126e-05+0.00050063i,-0.00046018+0.00046188i,0.0001229+0.00027991i,0.0010539+9.4868e-05i,0.00092078-4.3117e-05i,0.0002324-0.00053626i,-0.00016418-0.00026257i,0.00012839+0.00075369i,0.00041576+0.00028594i,0.00050766-0.00016886i,0.00041462+0.00020903i,7.3932e-05+0.00055128i,-0.00083447+0.00071621i,-0.0014223+0.00042025i,-0.00061465+0.00045633i
-0.0018653+0.0012574i,-0.00036288+0.00019739i,-8.211e-05-0.00047216i,-0.00017048-0.00072069i,-0.00044222-0.0006246i,-0.00057699+0.00027565i,-0.0005833+0.00068886i,-0.0002411+0.0001675i,4.6922e-05+0.00017413i,0.00039402+0.00064905i,0.00094631+0.0010681i,0.0009077+0.0008033i,0.00032122+0.00043222i,-0.00032623+0.00016491i,-0.00023568-0.0004744i,0.00012571-0.00018915i,0.0001635-0.00014369i,0.00023182-2.4016e-05i,0.00022004+0.00022973i,0.00058145-0.00043114i,0.0003268-0.0010278i,-0.00019143-0.0006762i,-0.00019327-0.00011665i
0.00038594+0.00040162i,0.0017391+0.00060183i,0.002351+0.00023038i,0.0013861-0.00034284i,7.5025e-05-5.2213e-05i,-0.00097829+0.00032108i,-0.00061456+0.00010479i,0.00044887+4.5125e-06i,0.0002363+7.685e-05i,-0.00039442+5.4064e-05i,-0.00043252+0.00042774i,-0.00053824+0.0010815i,-0.0001497+0.00062353i,0.00048849-0.00010308i,0.00021182-0.00083027i,0.00044971-0.00083896i,0.0010417-0.0006202i,0.00064811-0.00022625i,0.00036139-1.4924e-05i,0.00018914+8.3789e-06i,-0.00058263+3.3763e-05i,-0.00089525-2.5125e-05i,-3.1948e-05+0.0003421i
-0.00055836-0.00012637i,-3.1346e-05-0.0007195i,-0.00023836-0.00028198i,-0.00098366-0.00057938i,-0.001275-0.00019606i,-0.00032913+0.00052823i,0.0003871+0.00015364i,0.0001832-0.00077973i,-0.00063895-0.00053297i,-0.00077078+6.4685e-05i,-0.00010929-0.00011307i,0.00027381-0.00047311i,-4.7268e-05+0.00019509i,-0.00047815+0.00063309i,-0.0003465+0.0005959i,-6.4945e-05+0.0011963i,-0.00020049+0.0014577i,0.0002177+0.00076232i,0.00050241+0.00054944i,5.3018e-05+0.00075302i,0.00022044+0.00048372i,0.0005053-0.00013206i,2.5015e-05-0.0002864i
0.0021174-0.0009386i,0.0026207-0.0020895i,0.0017325-0.0033449i,-0.00034973-0.0036124i,-0.0019632-0.0023931i,-0.0021809-0.00075396i,-0.00089869-0.00011757i,2.982e-05-0.00011824i,0.00023864-0.00024586i,0.00073853+0.0003423i,0.0002978+0.00070859i,4.147e-07+0.00041632i,-0.00065718+0.00032996i,-0.00062443-0.00057383i,-0.00049727-0.00048934i,-0.00077017+0.00081523i,-0.00043444+0.00099755i,6.7202e-05+0.00049661i,0.00019898+0.00026658i,0.00011944-4.404e-05i,0.00031248-0.00042855i,0.00019552-0.00038832i,-9.3528e-06+0.00032031i
-0.00084998-0.0025634i,-0.00073413-0.001412i,-0.00032224-0.0012116i,-0.0013523-0.0010425i,-0.0022299-0.00049531i,-0.0020353-2.7698e-06i,-0.00093128-0.00027577i,-0.00084932-0.00092226i,-0.00091411-0.00049213i,-9.8168e-05-3.9197e-05i,0.00067548-7.9383e-05i,0.0011873+0.00017722i,0.00051495+7.061e-05i,-0.00067029-0.00051486i,-0.00044269-0.00030343i,-0.00011857-1.2156e-05i,-0.00049607-0.00067578i,-9.2394e-05-0.0010687i,0.00016367-0.00042595i,-0.00037353+0.00018472i,0.00065817+0.00029208i,0.00172+0.00042076i,0.00081022+0.00075772i
0.00076766+9.1789e-05i,0.0024868-0.00029858i,0.0016377-0.0013653i,0.00037579-0.0012752i,-0.0010293-0.00044296i,-0.0013385-0.00028673i,-0.00086289-0.00024337i,-0.00062751-5.1978e-05i,-0.00045925-0.00048177i,-0.00014634-0.00083963i,0.00010024-0.00050756i,0.00023784-0.00023865i,0.00042394+0.00022682i,-0.00014356+0.00018834i,-0.00056846-0.00058299i,-0.0002626-0.00062603i,0.0002524+0.00029208i,0.00098533-2.0601e-05i,0.00072598-0.00033456i,0.00037206-0.00037818i,0.0003631+7.7795e-05i,-0.00014796+0.00061713i,-0.00032159+0.00044347i
0.0011436+0.00079121i,0.00039673+0.00069545i,-0.00017225-0.00031529i,8.711e-05-0.001437i,-0.0010313-0.0011655i,-0.0011293-0.00026079i,0.0005128-8.1523e-05i,0.0010532-0.00046201i,-0.00013491-0.00062626i,-0.00082096-0.0003519i,-0.00048885-0.00012966i,0.00023346-0.00047721i,0.00094601-0.00073734i,0.00093666-0.00023115i,0.0004575-4.5747e-05i,0.0001581-0.00029524i,8.3653e-05-0.00010856i,0.0002402-0.00056361i,0.0006776-0.00037761i,0.00045068+0.00071414i,0.00026924+0.00048812i,0.00015025+5.1259e-05i,-0.00048685+0.00024602i
-4.4418e-05+0.0020671i,0.00041152+0.0013612i,0.0011881+0.00081155i,0.00079172+0.0006503i,-0.00064188+0.00062028i,-0.00075916-0.00015505i,9.9789e-05-1.997e-05i,0.00070368+0.00056373i,0.000696+0.00098959i,0.0005779+0.0010481i,-0.00020511+0.00047965i,-0.00016542+0.0001372i,0.00044881-0.00010956i,0.00015034-0.00015544i,0.00044736-0.00059241i,0.001122-5.8444e-05i,0.0012363+0.00060758i,0.0011525-7.1748e-05i,0.00054034-0.00046369i,0.00018466-0.00038812i,0.00042425+5.2941e-05i,0.00053481+0.0003676i,0.00029209+0.00043937i
0.00063261+0.00017358i,0.0011408+0.00057543i,0.00033333+0.00051172i,-0.00047694-0.000478i,-0.0011405-0.00096979i,-0.0017087-0.0005309i,-0.001347+5.5794e-06i,-0.00046128-0.00011436i,-0.00045413-0.00023063i,-0.00061476+0.00063394i,-0.00010492+0.00063367i,0.00012545+0.00023029i,0.00025669+0.00076295i,-0.00014679+0.00081552i,-0.00085551+0.00031367i,-0.00065053-0.00049968i,-7.382e-05-0.00064331i,-0.00028297-0.00018902i,-0.00030127-0.00011898i,0.00030682-0.0001613i,0.00021234-9.0164e-05i,-0.00028713+8.9726e-05i,-0.00080965-0.00049888i
0.0013674+0.00036201i,0.0020779+0.0014408i,0.0041674+0.00072021i,0.0039933-0.00073114i,0.0014774-0.0017007i,0.00012644-0.0015337i,-0.00091158-0.00051321i,-0.00069222-0.00034737i,0.00030073-0.00069005i,0.00055836-0.00050191i,0.00028301-0.00032684i,0.00073171+0.00040186i,0.0012586+0.00071333i,0.0005596+0.00084069i,-0.00017067+0.00067398i,-0.00040595+4.8824e-05i,1.7366e-05-0.00055335i,0.00025888-0.00031931i,-0.00064916-4.0063e-05i,-0.00079004+0.00035416i,-0.00022254+0.00059631i,-8.2097e-05+0.00044941i,-0.00011147+0.00044257i
0.0013872-0.001471i,0.00092432-0.00064208i,0.0002185-0.0016928i,-0.00082963-0.0025335i,-0.002533-0.0020179i,-0.0024427-0.00086215i,-0.00051457-0.00025398i,0.00080039-0.00035409i,0.00033815-0.00031642i,-0.00014106-0.00013549i,-3.9712e-05-0.00049314i,-0.00022815-0.0003512i,-0.00019019-0.00077788i,-0.00039028-0.00065162i,-0.00074571+6.8868e-05i,-0.0006471+0.00015102i,-0.0005488+0.00056665i,-0.00065491+0.0012943i,-0.00049771+0.0013726i,-0.00062749+0.00076615i,-0.0010546+0.00033605i,-0.00082332+0.00085107i,-0.00047528+0.001147i
-0.00026871+0.0016113i,0.00029645+0.0012145i,0.00060294+0.0008263i,0.00021233+0.00033162i,-0.00027213-0.00026424i,-0.00040702-0.00025149i,0.00036953-4.2671e-05i,0.00053534-0.00075665i,0.0002389-0.00048424i,-0.0002584-3.2281e-05i,0.00035483+0.00021644i,0.00091829-3.1147e-05i,0.0007261-0.00049536i,-0.00014779-0.00074245i,-0.00039187-0.00085819i,0.00031434-0.00064521i,0.00046263+3.9057e-05i,-0.00019331+0.0010636i,-0.00062235+0.0011626i,-0.00068613+0.00037807i,-0.00030661-0.00013367i,-0.0002421-0.00097059i,-0.00080635-0.00042003i
0.0012479-0.0002799i,0.0011174-0.00068478i,0.00053287-0.00012991i,-0.0001601-2.6684e-06i,-0.0006462-0.0004255i,-0.00058397+4.2024e-06i,5.9227e-05-0.00011261i,0.00071908-0.0001667i,-0.00021644-0.00025201i,-0.0012582-4.9674e-05i,-0.00048912+0.00026872i,0.00010401+0.00011761i,0.00022549+0.00054765i,-3.467e-05+0.00096992i,0.00014334+0.00014997i,0.00051277-0.00054714i,-7.8113e-05-0.00073527i,-0.0010419-0.00045758i,-0.00096607-3.2945e-05i,0.00028973+0.00013093i,0.00053551+0.00070135i,-0.00016363+0.00067463i,-8.0633e-06+0.00025894i
-4.4375e-05-0.0015825i,0.00099251-0.00096272i,0.00089978-0.0014883i,-0.0012381-0.0017148i,-0.0030395-0.00036928i,-0.0025283+2.6288e-05i,-0.0009035+0.00024259i,-9.97e-05+6.7357e-05i,-0.00037233+0.00011696i,-0.00078964+0.00097956i,-0.00085409+0.00077939i,-0.00060154-4.9542e-05i,-0.00049501-0.00010723i,-4.5678e-06+0.00040506i,0.00079906+0.00061658i,0.00042994+0.00078466i,-0.00016454+0.001034i,-0.00021043+0.00075303i,-0.00010784+8.0876e-05i,2.2182e-05-0.00083128i,0.00046273-0.00067432i,0.00046219+0.00041952i,0.00022232+0.00076652i
-0.00023442+0.00040144i,0.00043574+0.00048375i,0.00099802-0.00082031i,0.0011035-0.002392i,0.0002962-0.0022825i,-0.00045686-0.00097702i,-0.00031799-0.00041538i,-0.00019295-0.00080853i,-0.00039876-0.00058221i,-0.00045412+0.00055966i,-1.5572e-05+0.00071164i,0.00089172+4.4546e-05i,0.00079644-7.0069e-05i,0.00047273+0.00021805i,0.00027741-0.0002075i,0.00047317-0.00030534i,0.00062741+9.6657e-05i,8.3296e-05+0.00071411i,-0.00066298+0.00057978i,-0.0007088+3.127e-05i,-0.0002841-0.00063965i,6.8074e-06-0.0009419i,-8.6199e-05+9.4181e-06i
0.0020008+0.00014724i,0.0030355+7.6575e-05i,0.0017171-0.0015679i,-0.00068772-0.0024381i,-0.0027022-0.0014687i,-0.0022724-0.00045219i,-0.00023411+3.415e-05i,0.00046771+0.0002927i,-0.00053518+0.00036739i,-0.00022784+2.8336e-05i,0.00082951+0.00023016i,0.00015082+0.00039373i,-1.9836e-05-0.00036083i,0.00017193-0.00031544i,0.0001434-0.00029066i,0.00020191-0.00045968i,0.00022226+9.7171e-05i,3.2076e-05+5.907e-05i,-0.00021687-0.00020698i,-0.00042974-4.3341e-05i,-0.00079903-0.00019796i,-0.00091907-0.00071517i,0.00028676-0.00069343i
-5.4366e-05+0.00026306i,0.0004908-0.00084562i,0.0016461-0.0020338i,0.00042148-0.001969i,-0.0016736-0.0013124i,-0.0018173-2.2911e-05i,-0.00084903+0.00051041i,-0.0004179-0.00017739i,-0.00035335-5.2929e-05i,-0.00025123+0.00023829i,-0.00055706-6.7008e-05i,-0.001242-0.00046529i,-0.0011097-0.00028903i,-0.00036313+0.00011753i,-0.00043132-0.0002469i,-0.00041618-0.00060047i,-0.00029415-0.00029718i,-0.00038256-0.00012088i,-0.0001108+0.00013013i,-0.00045461-0.00066327i,-0.00024561-0.0013322i,0.00051218-0.00040681i,0.00033793+0.00014741i
0.00040573-0.0015837i,-0.00024628-0.0016524i,-0.00056297-0.00070724i,-0.00084168-0.00026799i,-0.00079536-0.00021102i,-0.00044539+0.00022114i,-0.00051711+0.00022203i,-0.0005551-0.00047007i,0.00021666-8.8606e-05i,0.00081245+0.00016527i,0.00026489+7.8839e-05i,-0.00020041-0.0003246i,-0.00034097-0.00044617i,-0.00069734-0.00012955i,-0.00044397+0.00072603i,0.00019006+0.0014052i,0.00040521+0.0011888i,-0.00045985+0.00084321i,-0.00065199+0.00072923i,-0.00039521+0.0010589i,-0.00066267+0.00064352i,-0.00081035+0.0006244i,-0.00068564+0.00089574i
-0.00031695+0.00098055i,0.00040849+0.0016986i,-0.00014357+0.0010401i,-0.00046799-0.00011496i,-0.00081674-0.00054907i,-0.00078107-0.00046335i,-0.00022577-0.0001795i,0.00030271+0.00085642i,0.00019524+0.00083565i,-0.00048844+0.00050699i,-0.00074652+0.0011631i,0.00018535+0.00085052i,0.00044016-0.00033566i,-0.00034715-0.0010653i,-0.00063183-0.00050777i,0.00019326+0.00029943i,0.00062665+0.00035537i,-0.00025739+9.3749e-05i,-0.00037918-4.0233e-05i,-7.2659e-05+0.00014225i,-0.00021281-8.1371e-05i,-0.00024711+0.00028531i,-2.0585e-05+0.00092579i
0.00063899-1.399e-05i,0.00092791-0.0011101i,0.0010021-0.0022118i,5.0436e-05-0.001861i,-0.0013891-0.00072857i,-0.0019643+0.00030512i,-0.0011871+0.00063866i,-0.00055837-0.00023768i,-0.0011679-0.00063537i,-0.00065049-0.00011903i,0.00030804+1.5547e-05i,-9.6363e-05+0.00038007i,-0.00056776+0.00043194i,-0.00052741-0.00013994i,-0.00035855-0.0011418i,-0.00066671-0.0015574i,-0.00052283-0.00076926i,0.00027299-0.00030731i,0.00038309-0.00031696i,0.00012577+0.00017797i,1.0998e-05+0.0001108i,-0.0002099+5.9239e-05i,-0.00020588+0.00043306i
0.0023019+0.00077054i,0.0030312+0.00094077i,0.0032765+0.0012943i,0.0032711-0.0004205i,0.0015199-0.0012602i,0.0001149-0.00052644i,-5.6329e-07-2.7033e-05i,0.00044992-7.658e-05i,0.00086224-0.00013573i,0.0012515+0.00031913i,0.00091474+0.00012317i,0.00038017-0.00022864i,-0.00031618-7.5485e-05i,-0.00048801+0.00011492i,0.00043418+9.2772e-05i,0.00056913-0.00020884i,-9.3974e-05-0.00021792i,0.00020644-0.0001048i,0.00069659+0.00014142i,0.00020088+0.00024168i,-0.00015227-9.2265e-06i,4.9033e-05-0.00020606i,0.00023457+0.00017124i
0.0017545-0.0010856i,0.0022226-0.0012685i,0.0021468-0.001649i,0.00084073-0.0021787i,-0.00055395-0.001711i,-0.001006-0.00057482i,-0.00060615-0.00013612i,0.00033525-7.018e-05i,0.00091013+5.2269e-06i,0.00047994-7.5099e-05i,-2.8822e-06-0.00053764i,-0.00019534-0.00033654i,0.00021686-0.00028691i,0.00095945+0.00015261i,0.0011373+0.0013326i,0.00059338+0.0011434i,-0.00029009-0.00028868i,-0.00053951-0.00070255i,-0.00018692-0.0002421i,-0.00033068-8.5568e-05i,-0.00058549-6.3441e-06i,-0.00066038+0.0001657i,-0.0005195+0.0010452i
0.0014991-0.00052801i,0.0023035-0.0010341i,0.0030885-0.0012869i,0.0020509-0.0019348i,-3.104e-05-0.0029939i,-0.00074358-0.0028731i,-0.00020447-0.0014397i,-0.00014392-0.0011502i,4.7613e-05-0.0013851i,-6.9215e-05-0.000987i,-0.00043377-5.7052e-05i,-0.00028482+0.00041928i,-0.00022842-0.00018818i,0.00032174-0.00098764i,0.001424-0.00081126i,0.001294-0.00068401i,-9.3695e-05-0.00095258i,-0.00023581-0.00083036i,0.00063489-0.0006006i,0.001066+4.1067e-06i,0.00020794+0.00064801i,-0.00056521+0.00028158i,-0.0010757-0.00023407i
0.00058704+0.00040325i,0.00065705+0.0011728i,-5.1847e-05+0.00090588i,-9.295e-05-0.00099721i,-0.00048508-0.0011855i,-0.0011044+0.00020876i,-0.00062724-8.7971e-05i,-0.00052929-0.00040839i,-0.00040349+0.00033376i,-0.00033575+0.00064018i,-0.00048261+0.00041346i,-0.00056048+0.00091612i,-0.0004726+0.00099051i,0.0006149-0.00015434i,0.0010881-0.00044542i,0.00050798+0.00017913i,-0.00035475+0.00023006i,-0.00093167-0.00011758i,-0.00031288-0.00020655i,-0.00016336-0.00028556i,-0.0011206-6.5269e-05i,-0.0009863+8.1871e-05i,-0.00050932-0.00040592i
