-0.00027559+0.00070859i,0.0014586-2.23e-05i,0.00134-0.00097528i,-0.00063324-0.0020728i,-0.0010983-0.0015307i,-0.0015866+0.0004926i,-0.0023929+0.0021925i,-0.00168+0.0027834i,-0.00046125+0.0028077i,-0.00024809+0.0018524i,0.00011808+0.00029718i,0.0010717+0.0003273i,0.00056671+0.00058436i,-0.00083481-0.00014323i,-0.00043687-0.00056062i,-0.00041355-0.00045612i,-0.00099107-0.00090315i,-0.00080879-0.00078977i,-0.00016388-0.00035069i,0.00025772-8.9119e-05i,0.00014284+0.00027211i,-1.5904e-05+0.00018001i,-0.00043685+0.00013663i
-0.001981-0.00014796i,-0.0021235+0.00019685i,-0.0017218+0.00061977i,-0.00042496+0.0014821i,0.00040104+0.0028507i,0.00039057+0.0030399i,0.00084258+0.0017096i,0.00080626+0.00061876i,-0.00055853-6.721e-05i,-0.0015736+0.00053559i,-0.001227+0.0010201i,6.465e-05+0.0002892i,0.00083137-0.00068546i,0.00049503-0.00087577i,8.4493e-05-0.0010538i,-0.00050213-0.0004548i,-0.00039044+0.00038927i,-0.00025193+2.1872e-05i,-0.00049215-0.00025086i,-8.0729e-05+0.00023363i,-4.4911e-05-0.00034325i,-1.8248e-05-0.0011412i,0.00046334-0.00065422i
-9.7773e-05+0.00070362i,0.00035373+0.00085837i,0.0011652+0.00027465i,0.0016597-0.00029342i,0.0015419-0.00021085i,0.0005233+0.00072426i,-0.00049398+0.0013912i,-0.00086266+0.00079791i,-0.00074989+0.00076125i,-0.00062861+0.0012335i,-0.00040645+0.00099547i,-0.000424+0.00060367i,-0.00052757+0.00039903i,-0.00022838+0.00033807i,0.00021363+0.00057403i,4.2371e-05+0.00071128i,-0.00040769+0.00022511i,-0.00027513+0.00034342i,-0.00013256+0.00060507i,-0.00023898+9.0705e-07i,0.0010223-0.00047217i,0.00124-0.00015375i,5.6003e-05+0.00023864i
-0.00064072-0.00060149i,-0.00047771-0.001091i,-0.00063384-0.00040956i,0.00027551+3.3525e-06i,0.0015005+0.00046841i,0.001042+0.0015509i,-2.3511e-05+0.0021522i,-0.00011459+0.0019869i,0.00040162+0.0012079i,0.00053492+0.00049359i,0.00089779+0.00045272i,0.0003474+0.00053388i,-0.00052599-0.00012792i,-0.00066414-0.00073754i,-0.00042036-0.0006364i,0.00022019-0.0003095i,0.00045866+0.00017863i,0.00017652+0.00049687i,1.0595e-05+0.00070061i,0.00011216+0.00086829i,-5.7633e-06+0.00070632i,-0.00039431-0.00020883i,-0.00014176-0.001229i
-0.0019119-5.0691e-05i,-0.0010361+0.0012333i,-0.00071509+0.0017396i,-0.00030605+0.00038008i,-0.00081231-0.000478i,-0.00051276+0.00010872i,-4.0047e-05+0.0011391i,-0.00043265+0.001529i,0.00016775+0.0017624i,0.0006601+0.001684i,0.00027787+0.00087789i,-5.4754e-05-6.8155e-05i,0.00037017-0.00035456i,0.00050821-0.00062395i,0.00012268-0.0010671i,0.00011486-0.00099448i,-0.0005795-0.00029604i,-0.0015759+0.00069484i,-0.00085566+0.00066115i,0.00035281+6.8203e-05i,0.0010034-0.00011733i,0.0002326-0.00048806i,-0.0011266-0.00051294i
-0.0010209-0.00082166i,-0.00050432-0.0017366i,0.00013115-0.0013246i,0.0002294-0.00085983i,0.00022075-0.00067934i,0.00028012+0.00033663i,0.00057983+0.0014269i,0.00053104+0.0012438i,0.0003947+0.00061964i,0.00017489+3.1624e-05i,-0.00036363+0.00021709i,-0.00042521+0.00061419i,-0.00067015+0.00049415i,-0.00097154+0.00037366i,-0.00054179+0.00013204i,-0.00045542+0.00039191i,-0.00078318-0.00015747i,-0.0006415-0.00010639i,-0.00054762+0.00066393i,-0.00078489+0.00062198i,5.9064e-05+0.0001854i,0.001002-0.00019464i,0.00087937-0.00061192i
0.0021413+0.00072045i,0.0029322+0.00012272i,0.0041044+0.00040809i,0.0036211-0.00042626i,0.0021756-0.0014285i,-0.00025115+0.00034658i,-0.0010933+0.0016618i,-0.00053038+0.00093066i,0.00033344+0.00027229i,0.0011252-0.00024868i,0.00048672-0.00033276i,4.9195e-05-0.00041119i,-8.8478e-05+0.0002969i,-0.00094276+0.00056708i,-0.00077663+0.00015028i,-0.00040977+8.6261e-05i,-0.00024984+0.00079483i,-3.9611e-05+0.0012244i,-0.00070742+0.0011713i,-0.0012183+0.00092424i,-0.00042664+0.00031451i,0.00019839-7.9315e-05i,0.000337-0.00012201i
0.0016386-0.0010058i,0.0010326-0.0013924i,0.00016856-0.0019938i,-0.0010987-0.001759i,-0.0018364-0.0011458i,-0.0012701-6.9161e-05i,-0.00058273+0.001352i,-0.00048865+0.0016302i,-0.00040606+0.001056i,-0.00054756+0.00017649i,-0.0003215-8.4283e-06i,0.000744+0.00063572i,0.0009711+0.0006038i,0.0013244-9.1204e-05i,0.0018262-0.00020914i,0.0010716+6.1615e-05i,0.00022369+0.00030506i,-0.00018238+2.1284e-05i,-9.6299e-05-0.00015392i,-0.00047617+0.000361i,-0.00055952+0.00036331i,0.00026413-0.00019694i,0.00081936+0.00010829i
0.00094548+0.0013384i,0.0011721+0.0010283i,0.002511-0.00035701i,0.0021737-0.00143i,0.00091348-0.0018939i,-0.00032512-0.0015129i,-0.0012031-0.00015519i,-0.0009412+0.00096991i,0.00022214+0.0012208i,0.0006278+0.0010175i,0.00017871+0.00065569i,0.00038146+0.00044569i,0.00049849+0.00050415i,-6.1022e-05+0.00069462i,4.5554e-05+0.00023525i,2.2136e-06+0.0001415i,-0.00050933+0.00084767i,-9.7109e-05+0.00076656i,-4.6402e-05+0.00058088i,-0.00048035+0.00055616i,-0.00039398+0.00069419i,-4.84e-05+0.00034135i,-3.474e-05-0.0001082i
-0.00036959-0.00071898i,9.4708e-05+0.0002909i,-0.00018788+0.00018345i,-0.0010768-0.00074107i,-0.0016167-0.00010074i,-0.0013302+0.0013157i,-0.00069039+0.0014388i,4.8117e-05+0.00090743i,-4.1819e-05+0.00022329i,-0.00086516-0.0002739i,-0.00069726-0.00010344i,-4.4164e-05+0.00030559i,0.00026445-0.00030389i,0.0003209-0.0010734i,0.0007007-0.00067257i,0.0006173-0.00024878i,0.00035733-0.00038454i,-0.00017852+0.00035265i,-0.00045492+0.00076099i,-0.00026397+0.00032293i,-0.00011743+0.0005051i,-3.9824e-05+0.00047497i,-0.00037597-0.00021251i
-0.00025891-0.0024184i,8.248e-05-0.0017631i,-0.00074523-0.00050081i,-0.0015-0.00028688i,-0.00067235+6.6145e-05i,0.00018511+0.0010281i,3.2079e-05+0.0018034i,-0.00026873+0.0016491i,-0.00068909+0.00068234i,-0.0012742+0.00026714i,-0.0011211+7.0051e-05i,-0.00047198-0.00062151i,-0.00028207-0.00091431i,-0.00068723-0.00074902i,-0.00036027-0.00022256i,0.00030258+0.00035421i,0.00015999+0.00022524i,-0.00033915+0.00038706i,-0.0008164+0.0010406i,-2.0931e-05+0.00090008i,0.00072244+0.00035396i,0.00034754+0.00038831i,-4.6611e-05-0.00021701i
