0.00052336+0.0012309i,7.6006e-05+0.00107i,0.00048451+0.00079221i,0.0010517+0.00012924i,0.0012747-0.00052576i,0.00042927-0.0010496i,1.1684e-05-0.00039684i,-0.00025792+0.0003672i,-0.00057176+0.00070837i,-0.00015025+9.3476e-05i,0.00059202-0.0007878i,0.00077451-0.00075326i,-0.00016115-0.00023842i,-0.0007418+0.0010239i,-0.00018095+0.0013607i,-0.00030977+0.00066808i,-0.00078452-0.00015828i,-0.00030623+0.00022654i,1.9895e-05+0.00079107i,-0.00022386+3.6685e-06i,-0.00038368-1.0489e-05i,-6.6459e-05+0.00046854i,0.00066977+0.00043223i
0.00043576-0.0016738i,-0.00010261-0.0025744i,-0.00098352-0.0010819i,-0.00030824+0.00047099i,0.0004489+0.00052449i,0.0006151+0.000669i,0.00081901+5.3227e-05i,0.00034688-0.00042758i,-0.00025946+0.00029436i,-0.00044791+0.00069941i,8.8125e-05+0.00036854i,0.0003171-0.00015953i,-9.8523e-05+6.0691e-05i,-0.0003132+0.00082305i,-0.00037947+0.00047879i,0.00033941-0.00048112i,0.00035594-0.00098901i,3.7198e-05-0.0004122i,0.00032801+2.2395e-05i,0.00037484-0.00022147i,0.00056496-4.8477e-05i,2.7177e-05+0.00012076i,-0.00042032+7.6397e-05i
-0.00060142+0.0003469i,-6.9197e-05+0.00047077i,0.00047564+0.00013522i,-1.0844e-06+0.00032651i,-0.00047831+0.0011083i,-0.00047763+0.0010801i,-0.00029994+0.00053577i,-0.00030787-0.00026744i,-0.0010147-9.2097e-05i,-0.00073121+0.00032819i,0.00079308+0.00014184i,0.00082659+6.656e-06i,8.4498e-05+0.00018909i,0.00040095+9.7515e-05i,-0.00030829+5.4015e-05i,-0.0012516+0.00030224i,-0.0006293+0.00019316i,0.00041613+0.00046661i,0.00083928+0.0011546i,0.00063271+0.00094361i,0.0005114+0.00010372i,0.00042597+0.00057732i,0.00039276+0.00032378i
-0.0011217+0.0011053i,-0.0015519+0.0010238i,-0.0011096+0.0020418i,0.00058067+0.0023393i,0.0013904+0.0011393i,0.0013717+0.00023496i,0.00073902+0.00028267i,-0.00014984+0.00046197i,-0.0004099+0.00040417i,-0.00030323-7.1289e-05i,0.00018192-0.00028916i,0.00026614+0.00015066i,-6.8794e-05-0.00013427i,-5.5796e-05-0.00022861i,-0.00012814+0.00036887i,-0.00062526+0.00024277i,-0.00028374-0.00045435i,-0.0007227-0.00041453i,-0.00091261+0.000568i,-0.00087927+0.00081872i,-0.001053+0.00040627i,-0.00042551+4.7905e-05i,0.00022568-0.00028412i
0.00015128-0.0024182i,0.0005421-0.0020718i,0.0001884-0.001227i,-0.00065129-0.00098728i,-0.0011607-0.00034097i,-0.00095283+0.00052098i,-0.00024604+0.00016599i,0.00047234-5.9636e-05i,-2.0566e-05+0.0007976i,-0.00079013+0.00011473i,-0.00062405-0.00067185i,-0.00014468+0.00073641i,0.00016106+0.00070404i,0.0006621-0.00071i,0.0011232-0.00052087i,0.0007121+0.00066727i,0.00031332+0.0012449i,4.566e-05+0.0007487i,-2.1916e-05+0.00031984i,-0.00027346-0.00010306i,-0.00076955-0.00056634i,-0.0012766-0.001256i,-0.00096477-0.00075529i
-0.00047027+0.00090675i,-0.00041491+0.00012804i,0.00039456+0.00077477i,0.00038339+9.5368e-05i,-0.00012417-0.0015414i,0.00037486-0.0014309i,0.00058404-0.00023706i,0.00070292+0.00067654i,0.00017087+0.00099214i,-0.0007399+0.00065708i,-0.00013351+0.00011911i,0.0003365-0.00072097i,-4.9923e-05-0.0011432i,-0.00072478-0.00053807i,-0.00061054-0.00043024i,-0.000242-0.00062076i,-6.6445e-06-0.00024258i,0.00047438-0.00020503i,0.00023859+0.00033097i,-0.0004274+0.00087098i,-0.00047753+0.00039537i,-0.00026768-0.00020771i,-0.0006815-0.00026099i
0.0007151-0.00033831i,0.00085073-0.00023151i,0.00046927-0.00077138i,0.00054473-0.00045926i,0.00068996+0.0007059i,0.00044771+0.0011314i,0.00066096-6.6975e-05i,9.0494e-05-0.001776i,-0.00064712-0.0016436i,-0.00055611-0.00023245i,-4.701e-05+0.00045582i,-2.1158e-05+0.00026092i,3.1246e-05-7.5563e-05i,-6.2922e-05+5.064e-05i,-0.00066558+0.00059922i,-0.00046649+0.00086371i,0.00012339+0.00070641i,6.9139e-05+0.00027456i,-8.189e-05-9.4317e-05i,7.0206e-05-0.00031767i,0.00031436-0.00026533i,0.000265-0.00014144i,0.00021984-0.00033206i
0.001187-0.00059966i,0.00072525-0.00050444i,0.0003687+0.00017548i,-0.00030174+8.0024e-05i,-0.00027896-0.00037788i,-0.00089186+0.00029844i,-0.0015183+0.00050244i,-0.00084834+0.00020529i,-0.00045483+0.00027713i,-0.0011302+0.00024465i,-0.00035668+0.0005048i,0.00031647+0.00060767i,6.8156e-05+0.00064929i,0.00010246+0.00083364i,0.0001599+5.1331e-05i,-0.0001167-0.00087645i,-0.00048443-0.0011232i,-0.00055234-0.00040902i,-0.00023731-8.706e-05i,0.00074168-0.00028662i,0.00059458-0.00036931i,0.00018013-0.00070195i,0.00021618-6.0269e-05i
-0.00013979-0.0021167i,-9.329e-05-0.0019865i,-0.0001434-0.00098185i,-0.00018133+0.00034049i,-0.00062063+0.0011084i,-0.0007887+0.00084466i,-0.00050141+0.00066177i,-0.0001829+1.3344e-05i,-0.00011776-0.0005077i,-0.00053412-0.00043853i,-0.0001308-0.00019828i,0.0012057-0.00039692i,0.0012066-0.00098713i,-1.1782e-05-0.00040813i,-3.6321e-05-1.313e-05i,8.0945e-05+7.8205e-05i,-0.00011036+0.00022357i,-0.00036684-0.00030028i,-0.00027905-0.00086847i,0.00014192-0.00097414i,0.00040734-0.0003207i,0.00029201+0.00035244i,-8.7546e-05+0.0002811i
-0.0021183+0.0011854i,-0.0015138+0.0013266i,-0.0011011+0.0017091i,-0.00065603+0.0019488i,0.00021806+0.00089479i,0.00071398-0.00045826i,0.0016876-0.00054942i,0.0017975+0.00012599i,0.00089632-0.00013984i,0.00062707-0.00046313i,0.00026911+7.4932e-05i,-5.7333e-05+0.00059807i,0.0001581+0.00056684i,-0.00020192+0.00050324i,-0.00070693+0.00039889i,-0.00035065+7.4508e-06i,-0.00057274+7.4146e-06i,-0.00092898+3.5083e-05i,-0.00059462-0.0003405i,-0.00025368-0.00066485i,0.00018301-0.00062276i,0.00025163-2.0796e-05i,0.00027496+0.00051534i
