-0.0030616-0.000619i,-0.0018123-0.00056056i,-0.0022444+0.0013704i,-0.0024372+0.0021501i,-0.001081+0.0019789i,0.00029801+0.0017768i,0.0008415+0.0018789i,8.0355e-05+0.0018609i,-0.00036099+0.0010284i,0.00092537+0.00013911i,0.0023502-0.0003668i,0.001962-0.00034301i,0.0010256-0.00026349i,0.00038767-0.00029769i,-0.00025689+1.2514e-05i,-0.00037623+0.00026164i,-0.00014571-0.0004849i,1.7312e-05-0.001164i,0.00010879-0.00045022i,0.00037698-0.00033297i,0.00044215-0.00075537i,0.00063108-0.00023548i,0.00040324-0.00022021i
0.00024855-0.00079473i,-2.2677e-05-0.00076721i,-0.0010159-8.757e-05i,-0.0017286+0.00031399i,-0.00020543-6.2398e-05i,0.0010777+0.00030722i,0.00035341+6.6029e-05i,-0.00011309-9.1183e-05i,-0.00052017+3.4085e-05i,-0.0011567-1.8459e-05i,-0.00093696-7.3673e-05i,-0.00046438-0.00013899i,-0.00023289-0.00076843i,-0.00011893-0.0011116i,-0.00011344-0.00061436i,-0.00037068-0.00070609i,-0.00049265-0.00094289i,-0.0004551-0.000663i,0.00048046-0.00068661i,0.00050071-0.0004262i,-1.4357e-05-0.00048765i,0.00032807+0.00019018i,-0.00020266+0.00084264i
-0.00018618-0.0013807i,0.0015917-0.0010493i,0.0020226-0.00081675i,0.00064702-0.00073079i,1.5166e-05-0.00077693i,0.00074459-0.00038988i,0.0007876-0.0004834i,0.0003276-0.00075002i,0.00014926-0.00076153i,-1.572e-05-0.00017381i,-0.00075365-7.2285e-05i,-0.00075585-0.00059698i,0.00018769-0.0010171i,0.00033398-0.00073063i,0.00041005-1.1331e-05i,0.00015697-7.8741e-05i,-0.00065717-0.00068291i,-0.00023554-0.00089905i,0.00036935-0.00048708i,-0.00015171+0.00012262i,-0.00079663+0.00016978i,-0.00081342+0.00016299i,-0.00079332+0.00026302i
0.00058769+0.00036971i,4.1463e-05+0.00095093i,9.7147e-05+0.0011385i,0.00010247+0.0011728i,0.00083615+0.00066267i,0.0011358+0.000236i,0.0007245-0.00013107i,0.00039204-0.00060801i,-4.8936e-05-0.00063775i,-0.00035486-0.00063717i,-0.00076372-0.00045408i,-0.00070511-0.00042328i,0.00022723-0.00071225i,0.0005476-0.00061135i,-7.0556e-05-0.00021202i,-0.00058499+0.00015891i,-0.00047266+0.00046807i,-0.00057953-0.00019704i,-0.0006962-0.0011499i,-7.4678e-05-0.0010761i,0.00022979-0.00037563i,-0.00014958-0.00051569i,-0.00054258-0.00071871i
-0.00079148-0.00020585i,-0.00063815+0.00031705i,-0.00050176-0.00057732i,0.00038778+0.00019772i,0.0012845+0.0018219i,0.0022718+0.00090977i,0.001553-0.0012067i,-2.5533e-06-0.0013545i,-0.00088634+4.8763e-07i,-0.0012271+0.0005681i,-0.00075027+0.00033808i,5.566e-05-0.00042923i,0.00059961-0.00092019i,0.00062551-0.00041651i,-0.00014907-0.00010094i,-0.00039968-0.0004168i,-0.00049193-0.00072702i,-0.00081051-0.00072154i,-0.00083372+2.7382e-05i,-0.00080826+0.00048988i,-0.00074106+0.00057114i,-0.00050351+0.0003673i,0.00043948+1.5057e-06i
0.0013785-0.0016169i,0.00049763-0.0017161i,0.00054393-0.0019045i,0.0010158-0.0010518i,0.0011721+1.4504e-05i,0.00054854+0.00043158i,-0.00016544-0.00064433i,5.6732e-05-0.00069046i,0.00076968+0.00013111i,0.00075064+0.00018163i,0.00062319-5.9927e-05i,0.00017111-0.00091641i,-0.00021037-0.0014252i,0.00022928-0.00068317i,0.00014821+0.000179i,-0.00037878+0.00061799i,-0.00059852+0.00069329i,-0.00096197+0.00052011i,-0.00068163+0.00055928i,-0.0001952+0.00012866i,0.00025301-0.00068802i,0.00021054-0.00077302i,-0.0001727+2.7205e-05i
-0.00096547+0.00074825i,0.0010923+0.0013019i,0.0017681+0.0015402i,0.0015144+0.00083127i,0.0015578+0.00031829i,0.0009531+0.00053836i,0.00055543-9.8986e-05i,0.0005315-0.00015211i,0.0005151-0.00013483i,0.00049522-0.00020911i,0.00096534+6.1447e-05i,0.0011377+0.00018438i,0.00055021-0.00038317i,0.00025725-0.00066639i,-0.00027833-0.00019139i,0.00012608-0.00045135i,0.00049988-0.0006887i,0.00032688-0.0010525i,0.0006739-0.00078083i,0.00097097-0.00028972i,0.00033544-0.00029541i,2.4783e-05+0.00014342i,9.6e-05+0.00039649i
0.00075089-0.0011922i,7.9803e-06-0.0010354i,0.00065486-0.0010786i,0.001821-0.00058442i,0.0024147-0.00036606i,0.0013047-0.00054126i,0.00028796-0.00090601i,0.00083958-0.00064142i,0.0010032-0.00043532i,-0.00016188-0.00054127i,-0.00052582+6.78e-06i,-0.0007347+0.00039541i,-0.0010611+0.00026354i,-0.00051396+0.0005023i,3.9309e-05+0.00053817i,0.00012663+0.00042626i,0.00023516+8.4025e-05i,0.00054007-0.00056542i,0.00050326-0.00061655i,5.4076e-05-0.00038461i,-9.4882e-05-2.9435e-05i,0.00015337+0.00011941i,-0.00020354-0.00014682i
0.00094958-0.00031604i,0.0011342+0.00035233i,-0.00031903+7.2355e-05i,-0.00076175-0.00016541i,0.0006427-0.00055254i,0.0015196-0.0011063i,0.00073094-0.00073974i,-5.0056e-05-0.00024105i,8.2398e-06+0.00066252i,3.1284e-05+0.00034121i,-5.5681e-05-7.8433e-05i,0.00012227-0.00040185i,0.00051252-0.00065797i,0.00070475+0.00014403i,0.00030142+0.00048699i,-0.00043908-0.00028129i,-0.00090593-0.00056843i,-0.0010669-6.8146e-05i,-0.00068292-0.0003356i,6.0727e-05-0.00017313i,-2.6002e-05+0.00047038i,-0.00032087+0.00017072i,-0.00060087-0.00013584i
-0.0017049+0.00093375i,-0.0013883+0.00056726i,-0.0013574+0.001124i,-0.00028459+0.0015619i,0.00091473+0.00090809i,0.0012424-0.00035784i,0.00073247-0.00076232i,-0.00016645-0.00035137i,0.00016494+0.0001683i,0.00053084+0.00047588i,0.00028155-0.00077001i,0.00045005-0.0022087i,2.511e-05-0.0020274i,-0.00039209-0.00098682i,2.3072e-05+5.3632e-05i,8.6088e-05+0.00030973i,0.00071567-0.00022522i,0.00091241+0.00023082i,-6.9371e-05+0.00058763i,-4.227e-05+2.3294e-05i,0.00090067-0.00030654i,0.0010404+0.00041995i,0.00071592+0.00049347i
0.0023581+0.00018966i,0.0021546+0.00015868i,0.001652-3.144e-06i,0.001103+0.00040746i,0.00067778+0.0010432i,4.6902e-06+0.00078969i,-0.00034265+0.00022764i,-0.00045618+7.5746e-05i,-0.0003431-9.0889e-05i,-0.00014373-0.00013257i,-0.00048431-6.7553e-05i,-0.0010091-0.00032251i,-0.00075252-0.00073274i,-0.00068639-5.0239e-05i,-0.0010591+7.7746e-05i,-0.00087243+0.0007277i,-0.00070333+0.00093289i,-0.00084401+0.00026052i,-0.0010177+0.00010991i,-0.00079472-0.00043691i,-0.00072001-0.00099594i,-0.00075523-0.0011591i,-0.00041213-0.0009292i
