-0.0011689+4.0816e-05i,-0.00089441-0.00059176i,-0.0017306-0.00063891i,-0.0017006-0.00026198i,-0.0017898+0.00066375i,-0.001654+0.0014642i,-0.00078842+0.0017712i,0.00025788+0.0014911i,0.0011312+0.00066214i,0.0013704+0.00054772i,0.0012839+0.0010435i,0.0011922+0.0004635i,0.00098319+0.00038749i,0.00016154+0.00037271i,-0.00019257+0.0003002i,-0.00035996+0.00028826i,9.9865e-05-2.5545e-05i,0.00096674+0.00060466i,0.00050153+0.0013646i,-0.00038731+0.001247i,-0.00058791+0.00066971i,0.00017644+0.0006129i,0.00026667+0.00040773i
-0.0017714-0.002199i,-0.0018438-0.00056614i,-0.0023217+0.00090735i,-0.0022329+0.0018435i,-0.0009632+0.0014477i,0.0005725+0.0009217i,0.00058444+0.00059915i,-0.00061055+0.00010929i,-0.00069358-0.00059515i,-0.00043774-0.00019077i,-0.00044044+0.00082606i,0.0001229+0.00096243i,0.00060832+0.00050473i,0.00069735+0.00075785i,6.6718e-05+0.00085376i,-0.00012159+0.00073244i,0.00068035+0.00033379i,0.00060501+0.00010037i,0.00072697+0.00052877i,0.00074831+0.0010511i,-0.00043931+0.001015i,-0.0010359+0.00012425i,-0.00025287-0.00019322i
0.00075259-9.1231e-05i,0.0012003-0.00056891i,0.001339-0.00062822i,0.0012794-0.00066373i,0.00065139-0.0013259i,-0.0002242-0.00072058i,-0.00031322-0.00010629i,-0.00024256-0.00036013i,0.00037519-6.9549e-05i,0.00056635-0.00032359i,-0.00031101-0.00039869i,-0.0008837+0.00050691i,-6.6357e-05+0.00056881i,0.00057613+0.00050975i,3.516e-05+0.001247i,9.9529e-05+0.0004975i,0.00045592-0.00022281i,0.00036223-0.0002736i,1.9831e-05-0.00029139i,-3.065e-05-0.00036612i,-0.00049347-0.00046057i,-7.5687e-05-7.5004e-05i,0.00073933+0.00046758i
-0.0010784-0.00048995i,-0.00085963-0.00048996i,-0.0011333-0.001022i,-0.00072883-0.001173i,0.0004721-0.00024781i,0.0011605+0.00047634i,0.0006418-0.00016192i,-0.00027484+0.00022167i,-0.00042187+0.0007237i,3.7307e-05+4.8726e-05i,0.00026836+1.8117e-05i,0.00013842+0.00050629i,0.0002601+0.00086997i,0.00070384+0.0010571i,0.00074085+0.00065423i,0.00039585+3.0188e-05i,7.4706e-06-0.00041042i,0.00027057-0.00049137i,-0.00022887-0.00028217i,-0.00063453-0.00037872i,-0.00031185-0.00075477i,0.00020273-0.0011697i,0.00058502-0.00095951i
-4.8638e-05-0.00027564i,-0.0006392-0.00010532i,-0.0012659+0.00050314i,-0.00034639+0.00054457i,0.0004419+0.00020893i,0.00053398-0.00021852i,0.00049901+2.6675e-05i,0.00035354+0.00059471i,0.00039368+7.0348e-05i,0.00070599+0.00046347i,0.0005343+0.0006231i,0.00038463+0.00011148i,0.00073173+0.00052332i,0.00055463+0.00027489i,0.00016534-0.00033165i,0.00036477+0.00020108i,0.00082128+0.00092795i,0.0011834+0.00074216i,0.00040558+0.00067159i,-0.00031734+0.00079235i,2.632e-05+0.00077669i,0.00051609+0.00044334i,0.0010087+5.7839e-05i
0.00053939+0.0016691i,0.00070785+0.00024449i,0.00057154+0.00088854i,0.00074768+0.00067692i,0.0014287-0.00045564i,0.00066149-0.00089117i,-0.0006344-0.00025225i,-0.0008916+0.0001553i,-0.00053919-0.00021062i,-2.4942e-05-0.00034286i,0.00025757-0.00011823i,0.00016964-4.0019e-05i,0.000294+0.000563i,3.377e-05+0.0010483i,1.404e-05+0.00080554i,0.00030715+0.0011309i,-4.7439e-05+0.0010517i,-0.00020925+0.00039319i,-0.00016531+0.00045376i,-0.00010546+0.00053592i,-0.00077954+0.00025006i,-0.00030308-0.00050034i,0.00062507-0.00018857i
-0.0014906-0.00053477i,-0.0013996-0.00073809i,-0.0011321-0.00087619i,-0.00042243-0.00050298i,-0.00033908-0.00043241i,-8.2582e-05-0.00020659i,7.6633e-05+4.8957e-05i,0.00047951-0.00014172i,0.00062688-0.00066394i,-0.00051085-0.00022416i,-0.00073068+0.000409i,-0.00016983+0.00044115i,6.281e-05+0.00075929i,-0.00030815-4.7497e-05i,-0.00067773-0.00090889i,-0.00065771-4.2445e-05i,-0.00037584+0.00083166i,-0.00023629+0.00015976i,-0.00045682-3.2518e-05i,-0.00018452+0.00038423i,1.6665e-05+0.00021761i,-0.00021321+0.00084079i,0.00027274+0.0010509i
-0.0009577-0.0010124i,-0.000311-0.00025628i,-7.9098e-06+0.00032615i,-0.00016762-0.00012021i,-0.00029909+5.448e-06i,-0.00045586+0.00028581i,-0.00016203+2.2538e-05i,-0.00012425+0.00023997i,-0.00072571+0.0001539i,-0.00090201-0.00064223i,-0.0006338-0.0011448i,-0.00035602-0.00088951i,-0.00042498+0.00031997i,-0.00073539+0.001164i,-0.0013291+0.0012281i,-0.0011675+0.00069857i,-0.00053399+5.8093e-05i,-0.00023271+2.2039e-05i,-2.0135e-05-0.0004769i,7.1348e-05-0.00042723i,-0.00012893-4.4924e-05i,-0.00029325+6.338e-05i,-0.0005253-0.00032112i
1.3292e-05+0.00070269i,-0.0001999+0.00063836i,0.0003995-0.00057976i,0.00051814-0.00050385i,-0.00043726+0.00055272i,-0.00091189+0.0010896i,-0.00035484+0.0012225i,-0.00028158+0.00089191i,-0.00046285+0.000326i,-5.2616e-07+0.00057132i,0.0001462+0.00047354i,0.00034994+0.0007532i,0.00057776+0.00083042i,0.00043278+0.00015218i,-0.00017467-0.00047143i,-0.00040049-0.0002578i,-0.00033456+0.00032272i,-0.00027485+0.00016201i,-0.00033255+0.00029186i,-0.00045431+0.00073694i,4.8082e-05+0.0006815i,-0.00019782-9.1819e-05i,-0.00047286-0.00089675i
-0.0009883-0.00082678i,-0.001059-0.000645i,-0.001818-0.00087231i,-0.00077705+6.3699e-05i,0.00065292+0.00064661i,0.001017-0.00062658i,0.00021694-0.00097736i,-0.0001644-9.5366e-05i,-0.00013315+3.3305e-05i,0.00011325-0.00039455i,0.00034875-0.00081544i,0.00056373-0.00077582i,0.00016675-0.00079668i,0.00018132-0.00073065i,0.00018069-0.00025628i,-0.00061583-0.00022974i,-0.00065999-8.8925e-05i,0.00026689-0.00020647i,0.00037345-0.0012315i,9.7542e-05-0.0015366i,-0.00030751-0.00089471i,-0.00065693-0.00054333i,-6.8526e-05-0.0005808i
-0.00027369+0.0014773i,-0.0014131+0.0018693i,-0.00081887+0.0017727i,0.00098888+0.0011874i,0.0012353+0.0003538i,0.00050277-1.466e-05i,-0.0004768+0.00033023i,-0.00097622+0.00050934i,-0.0011987+0.00030239i,-0.00091625+0.00014474i,-0.0001653+0.00039622i,0.00011383+0.00027703i,0.00062619-4.6451e-05i,0.0012435-0.00033582i,0.00034925-0.00029883i,-0.00078726-0.00023012i,-0.00042777-2.7439e-05i,-0.00044291-0.00032651i,-0.0010756-0.00044905i,-0.00093552-0.00030406i,2.7882e-05-0.00027052i,0.00069707-0.00026489i,0.00060948-0.0005322i
-4.7117e-05-0.00031686i,-0.00042553-0.00059229i,-0.00065394-0.00063122i,-0.00013003-0.00066473i,-2.7706e-05-0.00043927i,-0.00012867-0.00018599i,-0.00043289+7.0726e-05i,-0.0012879+0.00026513i,-0.00083971+0.00010356i,-6.0093e-05+0.00060063i,-0.00036823+0.0011704i,-0.0010751+0.00096722i,-0.0010722+0.00030939i,-0.00082887+0.000348i,-0.00054061+0.00047756i,-0.00018643+0.00038558i,-0.00038545+0.0005755i,-0.00092279+0.00053611i,-0.00070239+5.6486e-05i,0.00018875-0.00021506i,0.00015607-0.00075249i,4.9399e-05-0.00095228i,0.00030819-3.766e-05i
-0.00058824-0.0011689i,-0.00026324-0.0013314i,-0.00014562-0.0019773i,-0.00021337-0.0018119i,0.00039346-0.00055424i,0.00023907-7.367e-05i,-0.00025675-1.311e-05i,-0.00070154+4.1805e-05i,-0.00031+4.6638e-05i,-0.00039633+0.00058172i,-0.00047413+0.0010316i,-0.00017094+0.00093346i,0.00029857+0.00094209i,0.00063174+0.00095407i,0.00010888+0.00060038i,-0.00063244+0.00078086i,-0.00055107+0.0011407i,-0.00040102+0.00085512i,-0.00062236-9.358e-05i,-0.00040534-9.3345e-05i,-0.00022107+0.00059401i,-0.00082174+0.00046156i,-0.00040226+0.00027927i
0.00088454+0.0011694i,0.00053863+0.0013929i,0.00035099+0.00014042i,0.00037649-0.00054012i,0.00042888-0.00089189i,0.0011196-0.0008689i,0.00074407-0.00024268i,-0.00053701+0.00021166i,-0.00021857+0.00068398i,0.00026688+0.00069678i,0.00017514+0.00030546i,0.0004785+0.00055678i,0.00073427+0.0013986i,-5.314e-05+0.001327i,0.00024159+0.00091508i,0.00069447+0.0006222i,0.00029635+0.00010459i,-0.00017893+0.00019311i,0.00011757-0.00011918i,-6.1203e-05-0.00034606i,0.00016847+3.0729e-05i,0.00046278+0.00060948i,0.00021981+0.00043384i
