-0.0011689+4.0816e-05i,-0.00089441-0.00059176i,-0.0017306-0.00063891i,-0.0017006-0.00026198i,-0.0017898+0.00066375i,-0.001654+0.0014642i,-0.00078842+0.0017712i,0.00025788+0.0014911i,0.0011312+0.00066214i,0.0013704+0.00054772i,0.0012839+0.0010435i,0.0011922+0.0004635i,0.00098319+0.00038749i,0.00016154+0.00037271i,-0.00019257+0.0003002i,-0.00035996+0.00028826i,9.9865e-05-2.5545e-05i,0.00096674+0.00060466i,0.00050153+0.0013646i,-0.00038731+0.001247i,-0.00058791+0.00066971i,0.00017644+0.0006129i,0.00026667+0.00040773i
-7.1804e-05-1.6939e-07i,-0.00031616+0.0011387i,0.00060261+0.0015127i,0.00068319+0.0010431i,-0.00036577+0.00038532i,-0.00016717+0.00026726i,0.00045534+0.00014355i,0.00068506-6.3547e-05i,0.00047304-0.00023234i,-0.00061939-1.7093e-05i,-0.00072701-1.5926e-05i,0.00031034-0.00012587i,0.00042682+0.00020955i,-0.0004055-0.00016736i,-0.00080938-0.00022365i,-0.00078833+0.00021033i,-0.00071999+0.00041892i,-0.00013501+0.0003304i,0.00056216+0.00068746i,0.00097735+0.0004349i,0.00096707-3.5387e-05i,7.7981e-06+0.00048911i,-0.00042536+0.00047836i
-0.00048879-0.0013631i,3.7893e-07-0.001228i,-0.0010312-0.00096869i,-0.0016343-0.00077157i,-0.00031189-0.00043432i,0.00014007-0.00058075i,-0.00021269-0.00054697i,-0.00069031+0.00019559i,-0.00084534-0.00028279i,-0.00060031-0.0011103i,-0.00058828-0.00094552i,-0.00063904-0.00071763i,-0.00043121-3.6366e-06i,-0.00036492+0.00092867i,-0.00040112+0.0010608i,-0.00047135+0.00072745i,-0.00058541+0.0011701i,-0.00071139+0.00085283i,0.00012042-8.6467e-05i,0.00071142+9.1443e-05i,0.000774+0.00074279i,0.00054635+0.00016248i,-0.00021098-0.00065124i
-0.00024201+0.00050046i,7.5577e-05+0.0016756i,0.00062398+0.001226i,0.001275-0.00027703i,0.0018881-0.00044682i,0.0012291-0.00049339i,0.00035915-0.00049278i,-6.6481e-05+2.3407e-05i,-0.00057993+0.00030747i,-0.00084447-0.0003307i,-0.00052053-0.00012215i,7.4134e-05+0.00055998i,-7.837e-05+0.001431i,0.00010138+0.0013166i,0.00017618+0.00043436i,-0.00019991+0.00026858i,-0.00058591+0.00024025i,-0.0008382+0.00031249i,-0.00039873+0.000257i,-8.7546e-05+0.00027523i,-0.00013632+0.00030096i,0.0001617+0.0005621i,0.00064491+0.00075836i
0.0011746-0.00093148i,0.0015867-0.00078527i,0.00043759-0.0016357i,-0.00027151-0.0010975i,-0.00025241+0.00042183i,-0.00060058+0.00090871i,-0.001128+0.00075784i,-0.0012395+0.0011369i,-0.0011814+0.00046552i,-0.0005292-0.00080971i,-0.00053895-0.00058461i,-0.0006405+7.0996e-05i,-0.00072626+0.0004301i,-0.0010133+0.00082477i,-0.00097063+0.0006381i,-0.00090804+0.00048403i,-0.0008537+4.2112e-05i,-0.00025307-0.00064809i,0.00085908-0.00081886i,0.0011258-0.00058603i,0.00032966-0.00040314i,-0.00040744+0.00027764i,-0.00095143+0.00080374i
-0.00028532-0.0015156i,-0.00050235-0.00039411i,-0.0011096+0.00033693i,-0.0015553+0.0007533i,-0.00051977+0.00077902i,0.00070161+0.00042925i,0.00057424+0.00062824i,0.00032809+9.0014e-05i,0.00040765-0.00099995i,0.00029305-0.00093312i,-0.000234-0.00016828i,-0.00038374-0.00011933i,-7.4776e-05+0.0003164i,-0.00077788+0.0010623i,-0.0015411+0.00066411i,-0.00094235-0.00062249i,-0.00053391-0.0010942i,-0.0003371-0.00072853i,-9.9161e-05-0.00018324i,3.4668e-05-0.00020536i,0.00049844-0.00011311i,0.00038081+0.00017423i,0.00013804+0.00015592i
0.00040197+0.0010461i,-5.5356e-05+0.0012866i,0.00047466+0.00058784i,9.2164e-05-0.0012656i,-0.00045505-0.0013343i,-0.00041718-0.00036619i,-0.00057924-0.00026679i,-0.00098031-0.00052847i,-0.00093369-0.00067181i,6.8392e-05-0.00019928i,0.00040769+0.00011369i,0.0002206-0.00042215i,-0.00031737-0.00034105i,-0.0011071+0.0002283i,-0.001143+0.00036755i,-0.00075359-7.7298e-06i,-0.00085713-5.8968e-05i,0.00010479+0.00077472i,0.00031798+0.00057117i,-0.00075428+0.00028136i,-0.00072445+0.00015968i,-8.0842e-05+4.1099e-05i,-0.00047528+0.00032696i
0.0015236-0.00073677i,0.0017252-0.0018656i,0.0020312-0.0029351i,0.00075516-0.0020718i,-0.00038872-0.00052874i,-0.00085549+0.0002164i,-0.0011341-2.2038e-05i,-0.00045296-0.00043613i,0.00043307-9.1152e-05i,-4.2152e-05-0.00034748i,-0.00062003-0.00045723i,-0.0011583+0.00016523i,-0.0013873+0.00021201i,-0.00032591-4.5805e-05i,0.00049075+0.00029265i,0.00044604+0.001441i,0.00036296+0.0013053i,-0.00033975+0.00053604i,-0.00022478+0.00075529i,0.00025157+0.00019997i,-0.00016117-0.0011494i,-0.00028984-0.00092072i,9.654e-05+0.00016509i
-0.00024862-0.0013402i,-0.00047715-0.00087998i,-0.00123+0.00033732i,-0.0013368+0.00035838i,-1.4621e-05+0.00017687i,0.00069738+0.0001848i,0.0010687-0.0002094i,0.0014039-0.00060172i,0.00093286-0.0006168i,-0.00022926+7.5471e-05i,-0.0010545-0.00013394i,-0.0006047+0.00010896i,0.00035461+0.00094207i,0.00037316+0.00060431i,-0.00039041+7.7961e-05i,-0.00089908+0.00068167i,-0.00032951+0.00080762i,0.0011412-6.9163e-05i,0.001089-0.0004705i,0.00021856-0.00020885i,-0.00045768+0.00039041i,-0.00043047+0.00077143i,-0.00021084+0.00087001i
-0.00057417-0.0014051i,-0.00050551-0.0013439i,-0.00063264-0.001246i,-0.00084995-0.0006362i,-0.00045737+3.7178e-05i,0.0004506-6.773e-05i,0.00037412-0.0003495i,-0.00025528+0.0003583i,-0.001067+0.00071034i,-0.00099357+0.00027488i,-0.0004183+0.00013886i,-7.613e-05+0.000308i,-1.3517e-05+0.00067938i,-0.00046023+0.00070703i,-0.00039582+0.00029812i,0.00034548-0.00031946i,0.00016394-0.00018591i,-9.8389e-05+0.00026197i,8.5847e-05+0.00022329i,-0.00041844-0.00015348i,-0.00063284+0.00024866i,-0.0010613+0.00063069i,-0.00094174+0.00041363i
-0.0012621+0.00024375i,-0.0020948+0.0013786i,-0.0017921+0.0021025i,-0.0003947+0.0015019i,0.00054424+0.00060435i,0.0012563+0.00064801i,0.00089874+0.0012407i,0.00014289+0.0017056i,-1.971e-06+0.0020334i,-8.5769e-06+0.0010678i,-0.00024312+0.00010004i,-0.00020737-0.00032219i,0.00053231+0.00031911i,0.00069118+0.00066282i,-0.00017864+9.6149e-05i,-0.00068023-0.00015987i,-0.00024132+0.00017525i,-2.5497e-05+0.00040732i,-3.7564e-05+0.00031396i,-0.00021027+0.0010868i,-0.00010956+0.0013034i,0.00032995+0.00082553i,0.00032225+0.00025065i
-0.00037953-0.00030486i,0.00026574-0.00066869i,0.00056945-0.0011841i,4.6061e-05-0.0007374i,0.00024397+0.00023606i,0.00093355+0.00040933i,0.0010916-0.0002981i,0.00060756-0.00043165i,0.00056666-0.0004602i,0.00038291-0.00079807i,-0.00050932-0.00032671i,-0.0003144+0.00060937i,0.00020271+0.0013961i,0.00075269+0.00183i,0.0015239+0.0015194i,0.0013251+0.0020427i,0.00049931+0.0021628i,0.00041101+0.00094194i,-1.2628e-05+4.6676e-05i,-0.00050324-0.00068932i,0.00019189-0.0002611i,0.0005524+0.0010354i,0.00050584+0.00039848i
0.0015372+0.0011525i,0.0013046+0.0012891i,0.00066938+0.00047064i,0.0011066-0.00085057i,0.0012574-0.00093159i,-3.5433e-05-0.00086065i,-0.00081861-0.00075752i,-0.00082533-0.00027143i,-0.00036731-8.252e-05i,-0.00017578-0.00035727i,-0.00036411-0.00093704i,-0.00066704-0.00089025i,-0.0011562-0.00071369i,-0.00089318-0.00049033i,-0.00068373-2.4181e-05i,-0.00076372+0.00088422i,-0.0010521+0.0012536i,-0.00091066+0.0008405i,0.00017591-8.8955e-05i,0.00051268-0.00035932i,-0.00037296-8.6142e-05i,-0.00053402+0.00010976i,0.00041046-0.00017943i
0.0020075-0.0012322i,0.0012823-0.0014512i,0.0013554-0.00089437i,0.00136-0.00015406i,0.00056408-3.7022e-06i,-4.2283e-05-0.00055116i,-9.2933e-05-0.00077148i,-0.00067296-0.00039009i,-0.00049192-1.2335e-05i,0.00028581+0.00075588i,0.00023128+0.00049714i,-0.00030676-0.00019343i,-0.00056846-0.00022458i,-0.00013302+0.00017235i,-2.648e-05+0.00086797i,-0.00038216+0.0012022i,-0.00064741+0.00064349i,-0.00040722-0.00063436i,-0.00013721-0.00096444i,-0.00027432-0.00069024i,-0.00059757-0.00018895i,-0.00061029+6.6809e-06i,-0.00028547-0.00015519i
0.0012934+0.00010752i,0.0015892+0.00050842i,0.00053668-0.00021051i,-7.3266e-05-0.00053979i,-0.00013786-0.00037386i,0.00016152-0.00025977i,9.8205e-05-0.00013813i,-0.00022669-0.00053021i,-0.00039213-0.0007422i,0.00015915+0.00036281i,-0.00016924+0.0011003i,-9.5689e-05+0.00087521i,6.0205e-05+0.00041555i,-8.4962e-05+0.00032551i,-0.00012325+0.0003798i,0.00032636-0.00019583i,0.00053922-0.00013665i,0.00041678-6.1479e-05i,0.0004468-3.3553e-05i,0.00014204-0.0001069i,-0.00045207-0.00010208i,-0.0008135-9.6398e-05i,-4.1487e-05-0.00056074i
-0.0006675-0.00049606i,-0.00050393-0.00042387i,-0.0020465+7.833e-05i,-0.0016516+0.00097579i,-0.00025626+0.0015564i,0.00019448+0.00060475i,5.665e-05+7.2196e-05i,0.00020781-0.00040328i,0.00066901-0.00018536i,0.00036664+0.00057313i,-0.00021271+0.00032356i,2.9508e-05+0.00062364i,0.00059132+0.00092098i,0.001021+0.00091089i,0.00090237+0.00022815i,0.00040855-7.8346e-06i,7.3188e-05+0.00073936i,-0.00035848+0.00059178i,-0.00026993+0.00015857i,0.00032345+0.00020251i,-0.00021059-8.2411e-05i,-0.00040238-0.00016405i,0.00023249-0.00012052i
-0.00076872+0.00020578i,-0.00048328+0.0012183i,-2.3183e-05+0.0017073i,-0.00018244+0.0015957i,0.00023305+0.00070431i,0.00080126-0.00040544i,0.00069438-0.00023329i,0.0011028-0.00010354i,0.00082499-4.7675e-05i,0.00014931+0.00018725i,-0.00038198+0.0002499i,-0.00061997+0.00054903i,3.0672e-07+0.0002848i,0.0010461-0.00021363i,0.0013053+0.00035991i,0.00021154+0.001078i,-0.00062226+0.00038711i,-0.00055931+0.00018602i,8.2913e-05+0.00014609i,0.00029652-1.3989e-05i,-0.00054772-0.0003192i,-0.00032105+0.00014216i,-0.00019693+0.00094288i
-0.00078873+0.00030846i,-0.00068288-0.00043052i,-0.00070315-0.00027147i,1.551e-05+0.00043719i,0.00086513+0.00026857i,0.00082842-0.0005867i,0.0004308-0.00042245i,0.00037685+0.00097024i,-4.995e-05+0.0014125i,0.0002203+0.0011105i,0.00024803+0.0011695i,0.00048992+0.00039906i,0.00057859+0.00011742i,-0.00034999+5.9233e-05i,-0.00058989-0.00052088i,-0.00068869-0.00035397i,-0.0010266+0.00011879i,-0.00053708+0.00031253i,0.00048586+0.00043135i,0.00026281+6.4238e-05i,-0.00083658+0.00023895i,-0.0012204+0.00083371i,-0.00027846+0.0009269i
-0.0010239-0.0014563i,-0.0011379-0.0013077i,-0.0012792-0.0013604i,-0.0015814+0.00030338i,-0.0010881+0.0014411i,6.0259e-05+0.0010084i,0.00017057+0.00070405i,-0.00095108+0.00019808i,-0.0015389-0.00055761i,-0.0011382-0.00025803i,-0.00098623+0.0008515i,-0.00065891+0.0013572i,4.2354e-05+0.0013785i,0.00071071+0.0008698i,0.00092095-5.0569e-05i,0.00058478-0.00083377i,0.00017391-0.00085514i,-0.00012767-8.559e-05i,-0.00060247+0.00037931i,-0.00068661-0.00013914i,5.0321e-05+5.0216e-05i,0.00063193+0.00058874i,0.00045672+0.00047741i
0.00067941-0.0018005i,0.0002856-0.0020205i,0.00030826-0.002356i,-0.0005521-0.0019904i,-0.0010182-0.0012712i,-4.3455e-05-0.0002144i,0.00016085-0.00022885i,0.00021542-0.0012303i,0.0004279-0.001246i,4.7497e-05-0.0017253i,-6.2785e-05-0.0012584i,0.0003963+0.0002005i,0.00028735+0.00069098i,-5.2522e-06+0.00024855i,-0.00062694+0.00062489i,-0.00047419+0.0017412i,-0.00030327+0.0017879i,-0.00096144+0.001407i,-0.0006475+0.00057804i,1.0586e-06-0.00013742i,3.0927e-05+4.2811e-05i,6.5554e-05+0.00069091i,-0.00019004+0.0010086i
0.00019491+0.00020993i,-0.0011102+0.00058819i,-0.0010938+0.0003898i,-0.00033094-0.00015253i,0.000203+0.00031226i,0.00074438+0.0012318i,0.00053895+0.0013366i,-0.0003402+0.00016174i,-0.00086505-0.00053463i,-0.00072714-0.00062833i,-0.0003637-0.0004842i,-0.00045492-2.5748e-05i,-0.00073559+0.00015476i,-0.00022417+0.00025709i,0.0007385+0.00059525i,0.00025827+0.00039575i,-0.00052575+8.9634e-05i,-0.00068165+0.00013711i,-0.00065405+9.3431e-05i,-0.0005007+5.0032e-05i,-0.00045471+0.00027762i,-6.4847e-05+0.00067419i,-0.00023401+0.0011111i
0.0024442-0.00067163i,0.0016493-0.00010181i,0.0011151-0.00076798i,0.0011538-0.00052927i,0.0005686+0.00023002i,-0.00016558-0.00039455i,-0.0011543-0.00086204i,-0.0010318-0.00020802i,0.00011364-0.00044603i,0.0005643-0.0010671i,0.00033236-0.00022341i,-0.00072998+0.0010944i,-0.00087278+0.0011477i,-0.0007073+0.0014539i,-0.0011493+0.00081121i,-3.7899e-05-0.00056447i,0.000395-0.00066368i,-0.00031178-0.00018884i,-0.00046135+0.00024152i,-0.00035483+0.00050543i,-0.00016679+0.00064491i,0.00076605+0.00070579i,0.00087614+0.00017284i
0.000208+0.00039047i,1.7896e-05+0.00027468i,2.4092e-05+0.00073661i,-0.00016157+0.0005596i,0.00012638-0.00049719i,-0.0004253-0.0010598i,-0.0002522-0.0005594i,-0.00011662-0.00013672i,-0.00081503+0.00021262i,-0.00060839+0.00068921i,-6.8922e-05+0.00044805i,-6.3798e-05-0.00015369i,-0.00041984+0.00020016i,-0.00016052+0.00081181i,0.00042573+0.0010712i,1.5583e-05+0.00035689i,-0.00024564+0.00022226i,0.00031701+0.00026553i,0.00051288-0.00022985i,0.00031-3.2275e-05i,-2.0917e-05+0.00031376i,3.7463e-05+0.00011077i,1.3603e-05+0.00062978i
0.0037379-0.0016902i,0.0032918-0.0014473i,0.0024979-0.0018419i,0.0014291-0.0028854i,0.00040671-0.0029076i,-0.00050367-0.0014883i,-0.00054003-0.00065502i,-0.00049865-0.00014143i,-0.00025021+0.00042438i,2.5657e-05+0.0002132i,-0.00077399-0.00013355i,-0.0019395+0.0001437i,-0.0012487+0.00039419i,0.00020685+0.00029279i,-0.00034361+7.9575e-05i,-0.00090574+0.0005506i,-0.00084815+0.0015369i,-0.00045794+0.0008388i,7.0525e-05+8.9294e-05i,-0.00065453+0.00027678i,-0.0009302+0.00074469i,-0.00036236+0.0013046i,-0.00035998+0.00085091i
-0.00088635+0.0011742i,-0.0015611+0.0015499i,-0.0012924+0.0022633i,0.00015793+0.0024671i,0.0008174+0.0016076i,0.00036768+0.00062639i,-0.00011597+0.00028852i,-0.0006215+0.00037982i,-6.0249e-05+0.0008273i,0.00019204+0.00096017i,0.00017259+6.9965e-05i,0.00027475-0.00056495i,-0.00010752+0.00054559i,-0.00079009+0.00095431i,-0.00032303+0.00028795i,-0.0002622+0.00041062i,-0.0010675+5.532e-05i,-0.0011816-0.00053798i,-0.00089659-0.0007418i,-0.00028388-0.00052867i,-0.00046332-0.00041877i,-0.00046408+0.00045759i,-2.3607e-05+0.00086711i
0.0017193+0.0011981i,0.0015513+0.0013857i,7.7398e-05+0.0001373i,-0.0001993-0.00077769i,0.00053384-0.00025362i,0.00051534-0.00024467i,-0.00020438-0.0012833i,-0.00013437-0.0018142i,0.00029574-0.001324i,0.00046454-0.00037704i,0.00043463+0.0002459i,0.00029608+0.00044343i,-5.8148e-05+0.00045131i,-1.6804e-05+0.00088978i,0.00012908+0.0012587i,-0.0005654+0.00073492i,-0.0015521-0.00010295i,-0.0016413-0.00034692i,-0.00075226-0.00068889i,-0.00031741-0.00076606i,-0.00033559-9.256e-05i,-0.00039762+9.9161e-05i,-0.00050436-0.00017339i
-0.00053241-0.00039907i,-0.00024884+0.00046626i,0.00068937+0.00068719i,0.0013933+1.9034e-05i,0.0017435-0.0003439i,0.0019625-0.0010464i,0.0011197-0.00074629i,-0.00064459-0.00039415i,-0.00037431-0.00063949i,0.00046721-0.00032188i,0.00031964+0.00010593i,-0.00032147+0.00017809i,-0.00018275-8.4712e-05i,8.0034e-05+0.00011798i,-0.00014564+0.00043768i,-7.2914e-05+0.0007029i,0.00016005+0.00051421i,0.00055926+0.00011769i,0.0005119-6.0582e-06i,3.648e-05-8.573e-05i,-0.0002411-7.7508e-05i,0.00048121-4.7709e-05i,0.00055208-0.00012895i
0.00091251+0.00022428i,3.6441e-06+0.00080901i,-0.0006523+0.0006904i,-0.0013188+0.00053648i,-0.00084864+0.00076045i,-0.00015375+0.00054919i,-0.00080013-0.00046728i,-0.00082843-0.00042799i,-0.00053168+0.00027115i,-0.00026203+0.00057466i,-0.00019322+0.0011452i,-0.00036025+0.0013787i,0.00036897+0.00094242i,0.00077141+0.00072948i,-0.00043757+0.0011756i,-0.0010932+0.0011186i,-0.0011303+0.00036782i,-0.0013351+0.00031112i,-0.00099859-8.1647e-05i,-0.00013879-0.00051276i,0.00010493-0.00051713i,0.00021665-0.00044157i,0.00057696-0.00025965i
0.00080958-0.0011919i,0.00074279-0.0010754i,0.00037666-0.00075592i,0.00039189-0.00067983i,0.0003428-0.00032206i,-0.00043541+0.00078318i,-0.00082823+0.0017776i,-0.00044658+0.0012324i,0.00010968+0.00027982i,0.00067355+0.00024616i,0.00031305+0.0004444i,-5.7032e-05+0.00075874i,0.00029265+0.001407i,0.00035785+0.001155i,0.000554+0.00038323i,0.00020055+0.00032708i,-0.00018901-0.00054599i,-9.9355e-05-0.0008371i,-0.00034973-0.00096867i,-0.00034026-0.00064299i,-7.4036e-05+0.00040175i,1.8698e-05+0.00071652i,0.0001054+0.00044181i
-0.00098941-0.00079842i,-0.00093434+0.00038215i,-0.0016258+0.00051627i,-0.00075843+0.00075478i,-0.00012921+0.0010634i,-0.00014149+0.00041789i,0.0003061+0.00047402i,-1.4927e-05+0.00021621i,-0.00019833+0.00040091i,0.00069271+0.00097482i,0.0010092+0.00022748i,0.00084434-0.00026311i,0.00087516+0.00017239i,0.00050008+0.0012409i,-0.00026903+0.0013886i,-0.00010756+0.00071612i,-0.00010771+0.00022562i,0.00019322-0.00041488i,0.00047852-0.00048157i,-0.00025686+0.00046431i,-0.00033623+0.00099448i,-0.0001297+0.00037449i,-0.00039176-0.00030312i
-0.0011076+0.00045295i,-0.00097201+0.00028651i,-0.00087137+0.00078529i,1.1993e-05+0.00193i,0.0013091+0.001273i,0.0012364+0.00067961i,3.4472e-06+0.00029363i,-0.00090668-0.00026245i,-0.0009746-0.00082177i,7.5714e-05-0.0015537i,0.00031771-0.0011937i,-0.00068343+1.1991e-05i,-0.00029971+0.00069633i,0.00063984+0.0012688i,0.00055346+0.00091027i,3.003e-05+0.00012898i,-0.00028326+0.00018316i,-0.00015898+0.00045802i,0.00019798-4.9802e-05i,0.00022506-0.00031749i,-0.00016101-5.3838e-05i,-0.00067731+0.00042493i,-0.00058005+0.00034354i
0.0010273-3.8346e-05i,0.00015643-0.00065024i,-0.00022273-0.00097466i,-0.00037633-0.00018796i,-0.0002145+0.00012044i,-1.9234e-05-0.00018617i,-0.00067453-0.0007159i,-0.00081189-0.00047762i,-0.00067602+2.9979e-05i,-0.000336+0.00029529i,-5.7718e-05+0.0001223i,-9.7634e-06+2.9795e-05i,-0.00050643+0.00039602i,-0.00037118+0.00039057i,-0.00016884+0.00094694i,-0.00073513+0.00095501i,-0.00056381+8.8211e-05i,5.0076e-05-0.00054241i,-2.9839e-05-5.9152e-05i,7.7769e-05+0.00069646i,0.00039505+0.00062916i,-4.4875e-05+0.00051195i,-0.00044589+0.00034808i
0.00075266-0.0014432i,0.00073806-0.0011584i,-0.00020511-0.0012511i,0.00034559-0.0014834i,0.00053174-0.0006559i,0.00045025-0.00024193i,8.1976e-05-0.00015968i,-0.00049887-0.00057668i,0.00011879-0.00056463i,0.00071994-0.00039533i,0.00029171+7.3678e-05i,-0.00074655+0.00035434i,-0.0002924-0.00037726i,0.00063519-0.00033854i,0.0006422+0.0008431i,-9.9453e-05+0.0012367i,-0.00040451+0.0011509i,0.00036913+0.00068198i,0.00064191+0.00035217i,0.00037625+2.8502e-05i,0.00077208+9.3653e-06i,0.00051273+0.00029806i,0.00034538+0.00056986i
-0.001102+0.00024908i,-0.0011852+0.00016836i,-0.0018879-0.00014614i,-0.00079621+3.077e-05i,0.00037835+0.00049298i,0.00028294+0.00022276i,-0.00024278+0.00034854i,-0.00048678+0.00022776i,0.00013083-0.00068246i,0.00031801-0.00066368i,-0.00027197+0.00046515i,6.8072e-05+0.00066501i,0.00051502+0.0009464i,-0.00027754+0.0013084i,-0.00051342+0.00054055i,-0.00023356+0.00037573i,-0.00020963+0.00065966i,-0.00084274+0.00068075i,-0.0012515+0.00058858i,-0.00086663+0.00038139i,-8.917e-05-0.00012422i,0.0003355-0.00061888i,-5.8423e-05-0.00062514i
-0.002083-0.0022491i,-0.0012125-0.0020162i,-0.00055943-0.0017837i,-0.00014751-0.0010784i,-0.00022908+0.00013837i,0.00033144-0.00016333i,0.00054981-0.00028624i,0.00037634+0.00040466i,-0.00021337+0.00059454i,-0.00035771+0.00033544i,0.00062348-0.00014392i,0.001108-0.00020308i,0.00076603+0.00025245i,0.00027629+0.00077699i,9.0316e-05+0.00065688i,-0.00049664+0.001125i,-0.00041144+0.0014375i,0.00018021+0.00041807i,-9.0433e-05+0.00033453i,-0.0007123+0.001042i,-0.00090188+0.0010359i,-0.00073626+0.00045579i,-0.00012878-0.00010325i
-0.00059243-0.00086227i,-1.6562e-05-0.00094732i,-0.00027662-5.2265e-05i,-0.00015611+0.00056787i,0.0001955+0.00054115i,-0.00012841+0.00062123i,-0.00017537-0.00038001i,0.0002486+6.7452e-05i,0.00016016+0.00092955i,-0.00045734+0.00070487i,-0.0004759+0.00062279i,-0.00061603+0.00035344i,-0.0011008+0.00015674i,2.0623e-05+0.00027982i,0.00059828+7.9788e-05i,-0.00061619-0.00068332i,-0.00099745-0.00074481i,-0.00094843-0.00051822i,-0.00037239-0.0010765i,-0.00035022-0.00069278i,-0.0010608-0.00013408i,-0.00095241+2.5026e-05i,-0.00021977-0.00019766i
0.00046126+0.00094688i,0.00026088-5.1513e-06i,0.0016856-0.00076124i,0.0017818-0.00044146i,0.0009365-0.00058562i,0.00052959-0.00054377i,0.00029294-0.0001807i,0.00020636+0.00020102i,3.7304e-05-0.00030998i,-7.0266e-05-0.00047028i,-0.00076715-0.00039975i,-0.00047115-0.0011278i,5.5823e-05-0.00021547i,-0.00066297+0.0012776i,-0.00085932+0.0013671i,-0.00085368+0.00097216i,-0.00048164+0.00094726i,0.00016231+0.0009338i,0.00061424+0.00067726i,0.00022397+0.00032601i,0.00016004-5.2241e-05i,0.00064677-0.00034548i,0.00028092-0.00041797i
-0.00080482-0.00030691i,-0.00019562-0.00075655i,0.00012063-0.00032406i,0.00013867+0.00066656i,0.00057776-1.9058e-05i,0.0012294-0.00058416i,0.00061951-0.00027982i,-0.00047086-0.0003821i,-0.00067057-0.00031135i,-0.00020856-7.17e-05i,-8.3165e-05+0.00038552i,-0.00043328+0.00067494i,-0.00085344+0.00036269i,-0.0010355+1.0777e-05i,-0.00096982+0.000637i,-0.00070672+0.00098775i,1.4842e-05+0.0004366i,0.0010958-6.1411e-05i,0.0010265-0.0001728i,0.00018781-6.7203e-05i,-2.0051e-05+0.00031685i,0.00047209+0.00037886i,0.00035145+0.00028462i
-0.00015511-0.00017291i,0.00011215-0.00052125i,-0.00024725+0.0011871i,-0.00025378+0.0016737i,0.00069274+0.00077317i,0.0012528+0.00065874i,0.0002919+0.00067153i,-0.00033056+0.00011561i,-0.00044631-0.00010225i,-0.00047958-0.00042224i,-0.00032212-0.00057921i,4.8488e-05+0.00010511i,0.00011752+0.0013561i,-0.00042546+0.00049342i,-0.0011281-0.0011803i,-0.0018128-0.00043882i,-0.0018877+0.00090014i,-0.0014646+0.0012843i,-0.00052342+0.00091071i,0.00024079+0.00030809i,0.00039471-4.621e-05i,0.00054148+2.3969e-05i,0.001048-0.00016428i
-0.00094996-0.00063041i,-0.00072834-0.00018824i,-0.00071844-6.8267e-05i,-0.00021452+0.00057098i,0.00069549+0.001302i,0.0014141+0.00067168i,0.0010681-0.00012972i,-0.0002329-0.00021502i,-0.00087186+6.8855e-05i,-0.00068313+0.00058458i,-0.00046806+0.00079492i,8.6559e-05+0.0010738i,0.00045581+0.00089729i,-0.00039833+0.00034668i,-0.00079509+8.6792e-06i,-0.00020683-0.00058965i,0.00043205-2.0779e-05i,0.00017431+0.0013246i,-0.00050296+0.00060865i,-0.0011287-0.00018262i,-0.0011208+0.00017958i,-0.00010263+0.0005892i,0.00038932+0.00046036i
-0.0023643-9.5039e-05i,-0.0022748-0.00057994i,-0.001807+0.00096534i,-0.00070704+0.0025525i,0.00034526+0.0030918i,0.00016684+0.0024238i,-0.00045978+0.0016104i,-0.00045696+0.0012492i,-0.00014597+0.00090344i,0.00047576+0.0012809i,0.00079721+0.0020068i,0.00024943+0.001155i,-0.00027229-0.00021375i,0.00011883-0.0010825i,0.00053399-0.0007603i,0.00019544+0.00012054i,-3.5249e-06+0.00042025i,-0.00018914+0.00026088i,-0.00042888+0.000595i,-0.0004118+0.00059208i,-0.00037075+0.00024992i,9.1769e-05+0.00029794i,0.00033318-0.00020311i
0.0013503+0.00054412i,0.0021277-0.00021577i,0.0015703-0.0014372i,0.0009582-0.00075063i,0.0008759+0.00032352i,0.0010039+0.0004054i,0.00095211+0.00026547i,0.00039241-0.00028096i,-0.00016435-0.00025575i,-0.00021088-0.00018153i,-0.0001317-0.00070188i,-0.0008832-0.00075294i,-0.0015762-0.00045416i,-0.00047062+0.00026088i,0.00025676+0.0010693i,-0.00013145+0.00088302i,-0.00049208+0.00014566i,-0.00019265-0.00064897i,0.00055401-0.00071584i,0.00017917+0.00029493i,-0.00077754+0.00032188i,-0.00065975-0.00075489i,0.00018244-0.0010252i
-0.00075954+0.0011514i,-0.00026685+0.00017997i,0.00039302+0.00098906i,0.00055582+0.00092755i,0.00067957-0.00027264i,0.00072371-0.00084104i,-0.00026597-0.00078276i,-0.00056957-0.00051799i,0.0006939+1.3443e-05i,0.0013598+0.00071893i,0.00087361+0.0014716i,0.00043475+0.0018254i,0.00017084+0.0010663i,-0.00015089+0.00022368i,-0.00017613-1.557e-05i,-0.00041223+1.9151e-05i,-0.00053654+0.00058361i,-0.00086548+0.00030981i,-0.00084161-0.00010349i,-0.00049281-9.7515e-05i,-0.0002385+0.00028708i,0.00043687+0.0004337i,0.00082259+0.00025249i
