-0.00022369+0.0020454i,0.00061002+0.00086312i,-0.00032542-0.00063119i,-0.0010058-0.00077186i,-0.0012375+0.00012188i,-0.00095931+0.00082544i,-0.00073094+0.00082131i,-0.00047715+0.00066159i,0.00055199+0.0011882i,0.0017621+0.0010843i,0.0017002-0.00058905i,0.00091447-0.00071779i,-0.00023997-0.00024394i,-0.00019225-0.0005474i,-6.9968e-06+0.00013855i,-0.00039013+0.00069915i,0.0001603-2.9334e-05i,0.00011262-0.00011062i,-0.00068764-0.00057611i,-0.00087714-0.001386i,-0.00044969-0.00062446i,0.00047315+0.00014101i,0.00075177+0.00032621i
0.0014346-0.0019568i,0.00058832-0.0016524i,-0.00015434-0.0012014i,-0.00079642-0.0011331i,-0.00037569-0.0011889i,-0.00019401-0.00077109i,-0.00032207-0.00019548i,0.00025289-0.00021526i,0.0001495-0.00060605i,1.9731e-05-0.00089745i,0.00019831-0.00075719i,-0.00031437-0.00033029i,-0.00086325-0.00048423i,-0.00069782-0.00058858i,-4.1871e-05-0.00025991i,-0.00012083-0.00033561i,-0.00052719-0.00041794i,-0.00016427-3.1198e-05i,-0.00049175+9.1894e-05i,-0.00073337-0.0005035i,-0.00031371-0.00086927i,1.94e-05-0.00059844i,0.00025389-0.00013905i
0.00020106+0.00010726i,0.00064427-0.00036093i,-0.00042148-0.00015893i,-0.00069297+0.00025568i,-0.00013999-0.0003136i,0.00045346-0.00068777i,0.00052166-0.00045187i,0.00027709+6.0867e-05i,0.00062276+0.0002835i,0.00034127-6.6521e-05i,0.00056742-0.00042045i,0.00057108-0.00051829i,-0.00011772-0.00023016i,0.00013377+8.9811e-06i,0.00040704-0.00021962i,0.00011771-0.00050356i,-0.00022615+0.00035361i,-0.00061479+0.0004523i,-0.00045307-0.00012898i,5.8365e-05-0.00010036i,5.0951e-05+4.3053e-05i,-0.00028868+0.00022754i,-0.00064447+0.00039801i
-0.0011136-0.00021128i,-0.00043825+0.00048305i,-9.133e-05+0.00054314i,-0.00012374+0.00023771i,-0.00086626-7.6743e-05i,-0.0010693-0.00090133i,-0.00058826-0.0015011i,0.00012767-0.0015005i,0.00037711-0.00076765i,-0.00019668+0.00037884i,-0.00028271+0.00058578i,0.00020727-0.00023093i,2.4612e-05-9.329e-05i,-0.00014237+0.00094547i,8.6917e-06+0.0010235i,0.00023105+0.00080911i,0.00056298+0.00055809i,0.00032826-0.00070437i,-0.0001074-0.0012613i,-0.00029061-0.00040794i,-0.00031929+0.00024707i,-0.00040664+0.00033817i,-0.00070598+0.00031429i
-0.0025622+0.00067009i,-0.0020319+0.00061299i,-0.0022022+0.001561i,-0.00095655+0.0025333i,0.00060111+0.0024482i,0.0011273+0.00058636i,0.00079343-9.6099e-05i,-0.00034455+0.00052918i,-0.0008648+0.00070644i,-0.00017935+7.2207e-05i,-0.00014255+5.0354e-06i,6.7707e-05+0.00074307i,0.00072545+0.00038473i,0.00049092-0.00066547i,0.0003561-0.00076165i,0.0003895-0.00011479i,-6.9676e-05+0.00035082i,-0.00027158+8.7236e-05i,0.00015621-0.00010133i,0.00036844+0.00021444i,-0.00029652+0.00023511i,-0.00037044+0.00058418i,0.00057386+0.00078115i
-0.00095359-0.0015398i,-0.0012415-0.00062357i,-0.0019136-0.00030832i,-0.0022284+0.00063618i,-0.001531+0.0014606i,-0.00049325+0.00068204i,0.00014719-0.00048177i,-9.798e-05-0.00057121i,-0.00063297-0.0004491i,-0.00038749-0.00019279i,0.00049416+0.00067576i,-1.6711e-05+0.0011016i,-0.00073497+0.00066222i,-0.00052704+0.00062383i,0.00030193-0.00023266i,0.0014713-0.00091062i,0.0017828-0.00048735i,0.00061657-0.00016272i,-0.00055182+0.0001327i,-0.00031871+0.00047179i,0.00067393-2.1421e-05i,0.0009618+7.1548e-05i,0.00085362-6.4782e-05i
-0.00016014+0.0014188i,-0.00066832+0.001475i,-0.0013229+0.0004736i,-0.00049366-0.00072349i,0.00065045-5.3436e-07i,0.00013584+0.00058011i,-0.0001779+0.00012681i,-8.3758e-05+0.00018073i,0.00019572+0.0004393i,0.00078092+0.00021306i,0.00063301-0.00033903i,0.00027041-0.00024932i,-0.00034803-0.00030159i,-0.00038588-0.00078665i,0.00038714-0.00087302i,0.00068062-0.0010298i,0.00011299-0.00062316i,-0.0003008+0.00010775i,0.0001721+0.00022098i,0.00034031+7.8479e-05i,0.00025961-0.00017483i,1.8223e-05-4.5179e-05i,0.00048771+0.00014247i
-0.00027849+5.4245e-05i,0.00018218-0.00045668i,-0.00049215+0.0003757i,-0.00081+0.00073109i,-0.0002565+0.00035704i,-0.0001498+9.9043e-05i,-1.0801e-05-0.00035201i,0.00031584-0.00036741i,0.00086501-0.00081277i,0.001104-0.00078648i,0.0008281+0.00011824i,0.0006011+1.2845e-05i,0.00042082-0.00071977i,2.3153e-05-0.00060073i,-0.00056929-0.00050384i,-0.00024176-0.00026581i,-0.00024714-0.00010729i,-0.0002966-0.00033487i,0.00052621+0.00023533i,0.00062792+0.00028474i,0.00023844-0.00063275i,0.00042028-0.0011339i,0.00095447-0.00044713i
0.00041971+0.00035055i,-0.0011095+0.00043417i,-0.0015938-0.00023782i,-0.0011545-0.00080961i,-0.0011947+0.00014793i,-0.00034615+0.00045299i,0.00034678-0.00022791i,-5.2137e-05-8.9026e-06i,7.3367e-05+0.00030192i,-4.714e-05-0.0002585i,-4.2885e-05-0.00016597i,8.604e-05-0.00066404i,-0.00030087-0.001122i,-0.00013785-0.00014104i,-8.1417e-05-0.00020402i,6.1418e-05-0.00036126i,0.00037213-0.00011566i,0.00062407-4.6344e-05i,0.00022418-2.5507e-05i,0.00038814-7.5759e-05i,0.00077571+0.00018417i,0.00053134+0.0005487i,8.0691e-05+0.00042841i
-0.00042231-0.0010519i,-0.00052985-0.0010819i,0.00026609-0.00062209i,-0.00013808-0.00058234i,-0.00089947-0.00070518i,-0.00058915-0.00069463i,-5.9013e-05-0.0010206i,-5.0138e-05-0.00083807i,0.00052972-0.00087998i,0.0011604-0.00076491i,0.00043831+0.00029215i,-0.00058139+0.00037682i,-0.00031486-5.3413e-05i,0.0001502-0.00016785i,-0.00048827+6.6033e-05i,-0.00048285+0.00040419i,0.00034434+0.00028404i,0.00045957-0.0002818i,0.00031083+2.6743e-05i,0.000127+0.00079049i,-0.00020684+0.00038359i,-0.0003656-1.9167e-05i,-0.00021512-0.00027012i
-0.0012295-0.00016764i,-0.00079349-0.0002623i,-0.00075089+0.00027254i,-0.00069932+0.00072654i,4.6916e-05+0.00049206i,0.00028785-0.00017282i,0.00019902-0.00062155i,-0.00033517-0.00042208i,-0.00064129-0.00027299i,0.00015192+0.00027981i,0.0004171+0.00088056i,-3.2505e-05+0.00041151i,-0.00026623-0.00094806i,-0.00051088-0.0010968i,-0.00092363-0.00044865i,-0.00049558-0.00014085i,0.00032211-0.00062291i,0.00051604-0.00083898i,0.00024735+0.00020062i,-1.5075e-05+0.00092942i,0.00011742+0.00076821i,0.00011774+0.00041583i,0.00019782+0.00023911i
-0.0017674-4.6588e-05i,-0.0023732+7.6607e-05i,-0.0020827+0.00061445i,-0.0017205+0.00070424i,-0.001483+0.00039066i,-0.00091173+9.4934e-05i,-7.7464e-05-0.00033732i,5.1752e-05+2.7158e-05i,-7.1072e-05+0.0010992i,-4.4026e-05+0.0009831i,-9.9105e-05+0.00093508i,-0.00013552+0.0010371i,0.00063491+0.00086786i,0.0008112+0.00012071i,9.9767e-05-0.00072339i,-0.00022471-0.00036864i,0.00049282-0.00015005i,0.00069267-0.00037916i,-1.3884e-05-0.00038722i,0.00036606-0.00039437i,0.0007158-0.00012378i,0.00060136+0.00017587i,-0.00023356-0.00029348i
