-0.00081497+0.00077197i,0.0014086+0.00022999i,0.0033871+0.0011095i,0.0034684+0.0019805i,0.0018088+0.0022641i,0.00065481+0.0015572i,-1.6833e-05+0.00049064i,-0.0004492+0.0012692i,0.0004502+0.0018109i,0.0016646+0.0011303i,0.0011256+9.3853e-05i,7.4865e-05-0.00056228i,-0.00028645-0.00015698i,0.00029487-3.7526e-05i,2.7978e-05-6.5291e-05i,3.0198e-05-0.00010825i,-0.00013319-0.00068859i,-0.00038957-0.0011651i,0.0010891-0.0009125i,0.0016122-0.0011382i,0.00097696-0.0015522i,0.00079814-0.0013205i,0.00042157-0.00055478i
0.00070495+0.0006537i,0.00044712+0.0019648i,0.00030399+0.0017579i,0.00056413+0.00051582i,0.001151-0.00042653i,0.0010913-0.00095765i,0.00013404-0.001405i,-0.00017471-0.0010636i,0.00059589-0.00015527i,0.00075062+0.00027067i,0.00026226+0.00044811i,0.00031955+0.00014621i,0.00043745+4.0881e-05i,-0.00011031+0.00036266i,9.8451e-05+0.00039839i,-1.722e-05-0.00013902i,-0.0002985-0.00081396i,0.00030447-0.0010178i,0.00050173-0.0005709i,0.00043469+1.497e-05i,0.00036121-0.00025105i,0.00019768-0.00033209i,-7.7919e-05+9.9264e-05i
7.3547e-05-0.00014687i,0.0009114+0.00098831i,0.0026081+0.0015456i,0.0032161+0.002193i,0.0018909+0.0021037i,0.0017166+0.0007952i,0.00083619+3.9016e-05i,-0.00046933+0.00028994i,-0.00015587+0.00090356i,0.00059589+0.00096304i,0.00077299+0.00056731i,0.0010345-0.0001189i,0.0008488-0.00060655i,0.00028656-0.0005051i,0.00051202+1.6876e-05i,-0.00015767+0.00050415i,-0.001217+0.0005523i,-0.00089344+0.00011956i,-0.00024861-0.00050333i,3.1962e-05-0.00074367i,-0.00013574-0.00019725i,-0.00012167-0.00012025i,0.00030647-0.00085119i
0.0005111+0.00040143i,0.00091616+0.0014972i,0.0011958+0.0023537i,0.0010476+0.002227i,0.00033675+0.0014628i,-4.3338e-05+0.0008823i,-0.00027808+0.00033128i,-0.00035288+0.00039004i,7.6426e-05+0.00069563i,0.00057187+0.00043919i,0.00060265-0.00010242i,0.00021923-0.00024578i,-0.0004986-0.0004801i,-0.00025042-0.0004071i,-0.00017615+0.00038035i,-0.00070763+0.00061613i,-0.00058243-8.5881e-05i,-0.00080191-0.00012361i,-0.00073194-0.00032585i,-0.00018082-1.3272e-05i,-0.00010798+0.00061121i,-6.0536e-05+0.00018295i,-4.1132e-06+2.5004e-06i
0.00013051+0.0011329i,0.00048453+0.0018863i,0.0015378+0.0025387i,0.001713+0.0023428i,0.0015925+0.0018238i,0.00070344+0.00050065i,-0.00081877-0.00021505i,-0.001424+0.00092832i,-0.00088249+0.00068532i,-0.00020722+0.00020306i,0.00015506-0.00011239i,0.00067168-0.00068119i,0.00083837-0.0007253i,0.00063929+3.8149e-05i,0.00060981+0.00015705i,0.00068519-0.00037126i,0.00035898+0.00043935i,-0.00033194+0.00058476i,-0.00042207-0.00032525i,3.3525e-05-0.00090896i,0.00031142-0.00034065i,-0.0002322+3.1504e-05i,2.1135e-06-0.00013852i
0.00062201-0.00039364i,0.0014455+0.00019225i,0.0025523+0.001063i,0.0026341+0.000644i,0.0020128-0.00015657i,0.001581-0.00061571i,0.00042341-0.00076043i,-0.00046365+0.0004174i,-0.00079875+0.00090446i,-0.00085957+0.00014404i,-0.00028103-0.00024211i,-0.00016202+0.00014774i,-0.00050929+0.00012461i,-0.00016301+0.00022863i,0.00028903-0.00025165i,0.00066808-0.0014768i,0.00094446-0.0017867i,0.00054875-0.0014588i,0.0003-0.0008327i,0.00044571-7.6089e-05i,0.00045754-0.0003382i,4.5505e-05-0.00050793i,-0.00031561-0.0002108i
0.0016234+0.00026977i,0.0021209+0.00085572i,0.0034016+0.0015098i,0.0035561+0.0017846i,0.0021324+0.0010288i,0.00011988+0.00033305i,-0.00070404-0.00031064i,-0.00084626+0.00043776i,-0.00037162+0.0014567i,0.00036331+0.00095605i,0.00023156+0.00036344i,0.0001352+0.00029636i,0.00038778-0.00012442i,0.0001054-0.00064685i,7.6015e-05-0.00030804i,-6.829e-05+1.5145e-05i,-0.00024052-0.00055044i,-0.00014266-0.00095883i,-0.00022265-0.00027958i,-0.00043042-0.00039015i,-0.00060698-0.00071403i,-0.0010429-0.0010689i,-0.00071216-0.001153i
-0.00041378-0.00040694i,0.00098007+0.0008536i,0.0017056+0.0027644i,0.0016272+0.0028756i,0.0012163+0.0016884i,0.00095627+0.0010907i,-0.00025721+0.00074057i,-0.00082325+0.00055422i,-0.00017663+0.0002233i,0.00039609-0.00025912i,0.00021091-9.6647e-05i,-0.00058802+0.00057135i,-0.00067604+0.00052803i,-9.7536e-05+3.0977e-05i,0.00025823-2.601e-05i,-0.0005595-0.0005104i,-0.0008645-0.0015052i,-0.00029372-0.0018781i,-0.00018173-0.0015867i,-3.2952e-05-0.00071656i,0.00039359+5.0291e-05i,0.00039859-3.202e-05i,0.00068984-0.000227i
0.00035486-0.00022731i,0.0019179+0.00035696i,0.0018348+0.0015182i,0.0025307+0.0021749i,0.0022007+0.0022174i,0.00080166+0.00069442i,-0.00025339-0.00059744i,-0.00059036-0.00051238i,-0.00037341+0.00045279i,-0.00068956+0.0010646i,-0.00081799+6.0898e-05i,7.2786e-05-0.00055078i,0.001248-0.00010603i,0.0010914+0.00046581i,-0.00022418+0.00053744i,-0.0010199+1.384e-05i,-0.0010131-6.6949e-05i,-0.00050902+6.3721e-05i,-0.00038532+0.00015268i,-0.00020026+0.00061318i,-0.00044474-8.0036e-05i,-0.00048645-0.00055651i,0.00016869-0.00095253i
0.0011376+0.0017492i,0.0012015+0.0025219i,0.0017744+0.003128i,0.0020666+0.0022445i,0.0015779+0.0010007i,0.00086683-0.00026614i,-0.00027308-0.0011852i,-0.0013636+8.1545e-05i,-0.00094123+0.001748i,-0.00019436+0.0019281i,-0.00024209+0.0012004i,-0.0002056+0.0012534i,0.00054231+0.0014622i,0.00071506+0.00069036i,0.00048731+0.00017747i,0.00068149-0.00051304i,0.00033456-0.0013061i,-0.0012202-0.00051852i,-0.001428+0.00038453i,-1.3176e-06+0.00089787i,0.00038678+0.0010458i,0.00056209+0.00090543i,0.0008212+0.00069574i
0.0023187-0.00028565i,0.0024361+0.00072449i,0.002293+0.00062604i,0.0010784+0.00049328i,0.00043753+0.00036331i,7.5246e-05-6.4734e-05i,-0.00072353+0.00039261i,-0.0012032+0.0015491i,-0.00088986+0.0022814i,-0.00098078+0.0014455i,-0.00032685+0.00076311i,6.8396e-05+0.00094317i,0.00047199+0.00022755i,0.00075492-5.1912e-05i,0.00059595-0.00027237i,0.00090503-0.00097496i,0.00098303-0.00093349i,0.00096585+0.00014036i,0.00076124+0.00070239i,-5.4589e-05+0.00024167i,-0.00053864-0.00030383i,-0.00030558-0.00091311i,-0.0003669-0.0011129i
