-0.0021134+0.00069986i,-0.001303+0.00012516i,-0.0002866+0.00021929i,-0.00016883-2.1596e-05i,-0.00142+0.00013718i,-0.0019512+0.00087373i,-0.0019443+0.0019005i,-0.00098676+0.0029135i,0.00072091+0.002829i,0.0013479+0.0015552i,0.0016051+0.00011803i,0.0016698-0.0010429i,0.0015401-0.00085807i,0.0012596-1.1834e-06i,0.000934+0.00060862i,0.0010459+0.00058592i,0.00068124+0.00024969i,-0.0005038+0.00025582i,5.7046e-05+0.00045304i,0.0010696+0.00020671i,4.8349e-05-0.00026676i,0.00022289+2.8271e-05i,0.00072172+0.00057422i
-0.00098231-0.0021574i,-0.001874-0.0017305i,-0.0024985-0.0021391i,-0.0023726-0.0015107i,-0.0025815+0.0001892i,-0.0023096+0.0010616i,-0.00035841+0.00084403i,0.00075542+0.0010398i,0.00097579+0.0004024i,0.0012224-0.00048088i,4.7501e-05-0.0009397i,-0.00097402-0.001434i,-0.00058064-0.0014036i,2.3649e-05-0.00074909i,-0.00031414-0.00039155i,-0.00071429-0.00064857i,-0.00041464-0.00091761i,-8.0577e-05-0.0012411i,0.00015195-0.00090485i,0.00081467+0.00046691i,0.00074652+0.00089479i,0.00025917+0.00094885i,3.2102e-05+0.00084395i
-0.0012979+0.0012488i,-0.0017319+0.0013955i,-0.00094073+0.0020707i,-7.4408e-06+0.0017039i,-0.00076393+0.0011573i,-0.0015716+0.0017312i,-0.00099655+0.0017294i,0.00015676+0.00066751i,0.00057639-0.00075374i,8.361e-05-0.001324i,-0.00080067-0.0015498i,-0.0013338-0.0010484i,-0.0011815+5.6426e-05i,-0.0015187+0.00026164i,-0.00099152+0.00027372i,0.0010273+0.00019745i,0.0015727-0.00026283i,0.001049+0.0002037i,0.00041312+0.00061493i,-0.00018918+0.00060908i,-3.9284e-06+0.001011i,0.00061234+0.0011695i,0.00051777+0.00042581i
0.0020231-0.0020582i,0.0013543-0.0011202i,0.0005974-0.0005337i,0.00013154+6.4474e-05i,-0.000761+0.0002397i,-0.0013604+0.00029249i,-0.00083439+0.00059008i,-0.00023278+5.0754e-05i,0.00016382-0.0015743i,0.00029224-0.00068658i,-0.00020829+0.00077687i,-0.0010897+0.00075399i,-0.0013729+0.00090721i,-0.00088333+0.00058268i,-0.00038301+0.0004102i,0.00062149+0.0014234i,0.00062105+0.0017398i,-0.00013416+0.00022981i,1.9777e-05-0.00059866i,-0.00023212-1.4105e-05i,-0.00020502+0.00060517i,-0.00019725+0.00075961i,-0.00027572+0.00043004i
0.00058014+0.00033152i,0.00093775-0.0005857i,0.0024387-0.0009359i,0.0025878-0.0010898i,0.00085666-0.00095884i,-0.00076656-0.0010702i,-0.00069567-0.00080666i,-0.00051754-0.0002656i,-0.00021263-0.00072206i,0.00036423-0.00080049i,4.2263e-05-0.0001506i,-0.00085073+0.0005136i,-0.0010677+0.00050533i,-0.00072633+0.00038673i,-0.00023973+0.00052649i,-1.3973e-05+0.00032615i,0.00059233-0.00036209i,0.00093851-0.00020794i,0.00028214-0.00042992i,-0.00018532-0.0010913i,0.00013558-0.001069i,0.00031904-0.00052583i,0.00033762+0.00038726i
-0.00080827+0.00032819i,-0.00076437+0.00058512i,-0.00023455+0.0011392i,0.00069405+0.0010105i,0.001216+0.00036173i,0.00071996+0.00010305i,0.00026404+3.9499e-05i,-0.00011775+2.7204e-05i,-0.00046286-0.00022204i,-0.00068608+0.0003886i,-0.00084514+0.0018802i,0.00035293+0.0018861i,0.0019076+0.00067315i,0.0022525-8.8112e-05i,0.001226-3.3776e-05i,0.00012784+0.00053036i,5.1373e-05+0.00056049i,0.00015712+8.425e-05i,0.00039332+0.0002658i,0.00068846+0.00024056i,0.00040921+0.00046178i,0.00062498+0.00022774i,0.0006413-0.00016429i
0.0016374+0.00060803i,0.001306-0.00015649i,0.00064759-0.0013608i,0.0003558-0.0021057i,0.00011247-0.0019642i,-1.2917e-05-0.00068145i,-0.00044003+4.8536e-05i,-0.00060554-0.00021958i,-0.00041525+6.8271e-06i,-0.00064768-0.00014415i,-0.00070818-0.0010298i,-0.00079859-0.0011135i,-0.00039703-0.000781i,0.00044575-0.00045389i,0.00042702-0.00010472i,-0.0002061-0.00062602i,-0.0005258-0.0016645i,-0.0005679-0.001158i,6.3522e-05-0.00019685i,0.0004894-8.3073e-05i,0.00025332-0.00039032i,6.7798e-05-0.00042106i,-4.7474e-06-0.00038052i
-0.0010738+0.002087i,-0.00085603+0.00028516i,-0.00091733-0.000244i,-0.00085307-0.00057419i,0.00038101-0.0013792i,0.00010989-0.0019912i,-0.00054122-0.00081164i,-0.00020577+0.0010997i,0.000384+0.00092867i,0.0012671-0.00029864i,0.001004-0.0010272i,0.00019376-0.0012856i,-0.00011111-0.0010091i,7.6111e-05-0.00016548i,0.00024011-7.1317e-07i,0.00022075-0.0007854i,0.00038038-0.00096455i,0.00026588+0.00011891i,6.7802e-05+0.00060322i,-6.763e-05+0.00019123i,-0.00024466-0.00024837i,-3.0256e-05-0.00036917i,0.00025088+7.244e-05i
-0.00026707-0.00087595i,4.0764e-05-0.00019417i,8.6291e-05-0.00085387i,-0.00097229-0.0011582i,-0.0018174-0.0005406i,-0.001251+3.5962e-05i,-0.00017923+0.00055158i,0.0014176+0.0008341i,0.0018794+0.00051778i,0.0006561-0.00056217i,-0.00043753-0.00094416i,-0.0013944-0.00061797i,-0.0017053+4.0762e-06i,-0.00098444+0.00059448i,-0.00073131+0.0004866i,-0.00038811+0.00029729i,0.00094888+0.00053537i,0.00171+0.00013467i,0.00064411-0.00066619i,-0.00028194-0.00083754i,-0.00058856-0.00033015i,-0.00041806+1.365e-05i,-8.7621e-05-1.5349e-05i
0.0002345-6.337e-05i,0.0017496+0.0005126i,0.0012144+0.0011185i,-0.00032991+0.00055552i,-0.00059582+2.106e-05i,-0.00081761-1.9896e-05i,-0.00031858-0.00025763i,0.0010911-0.00064277i,0.0009746-0.00074798i,5.7255e-05-0.00081183i,-0.00057831-0.00043236i,-0.00061449+4.7611e-05i,-0.00083325+6.2365e-05i,-0.00078181+0.00034207i,2.9617e-05+0.00061836i,-4.3587e-05+0.00010622i,-0.0010819-1.7385e-05i,-0.0010747-8.7397e-05i,-0.00026176-6.1294e-05i,-0.00019416-7.0363e-05i,-0.00010328-1.5978e-05i,-1.5986e-05+0.00046721i,-1.7974e-05+0.00073386i
0.00096148+0.00064018i,0.0010428-0.00040832i,0.00073958+0.00042154i,0.00025941+0.001366i,0.00016775+0.0011688i,0.00032404+0.00044488i,0.00043847+0.00063507i,0.00036207+0.00028102i,0.00012825-0.00087494i,-0.00023151-0.00042997i,-0.00088041+0.00049006i,-0.0010548+0.0012491i,-0.0010364+0.0011898i,-0.00076263+0.000137i,-0.000276-6.7926e-05i,8.8345e-05-0.00037654i,-8.0607e-05-0.000809i,-0.00085704-0.00055291i,-0.0016302+0.00031622i,-0.0014196+0.00072933i,-0.00048404+0.00025237i,0.0007761+0.00027163i,0.00064363+0.00050202i
