0.00083291-8.3223e-05i,0.00078356-0.00022918i,-0.00014868-0.00014458i,-0.0011921-0.00019439i,-0.0022122-7.4346e-05i,-0.0024305+0.00031999i,-0.0012835+0.001206i,0.00015933+0.0014454i,0.0010142+0.00041606i,0.0013206-2.3842e-05i,0.00087496+0.00036045i,0.000614+0.00057489i,0.00031608+0.00040555i,-0.0003798-5.678e-05i,-0.0010821-0.00019494i,-0.00068314+0.00026452i,0.00020675+0.00026748i,0.00054974-0.00021794i,0.00048557-0.00021717i,-0.00029837+5.537e-05i,6.1833e-05-5.7113e-05i,0.00091883-7.9319e-05i,0.00061684+0.00034091i
-0.0018326+0.0010567i,-0.0017817+0.0018807i,-0.001676+0.0024392i,0.00035212+0.002078i,0.0018856+0.00099881i,0.0013583-0.00025217i,0.0005817-0.00057581i,5.5805e-05-0.00015867i,8.9092e-05-0.00016525i,0.00066434-0.0001198i,0.00015403-0.00048849i,7.2407e-05-0.00067779i,2.5305e-05-0.00066166i,-0.00020418-0.00072603i,-0.00071578-0.0010033i,-0.0012357-0.0010656i,-7.827e-05-0.00031718i,0.00088901+6.2066e-05i,0.00058142-0.00025964i,-8.1555e-05-0.00025384i,-0.00052273-0.00023894i,-0.00029816-0.00024647i,-0.00030394-0.00013292i
-0.00058106-0.00022427i,-0.0010517+7.4048e-05i,-0.00051142+0.00073832i,0.00022056-0.00080171i,7.4879e-06-0.0020027i,-0.0007156-0.0015092i,-0.00072249-0.00025704i,-0.00061683+0.00074003i,-0.00019134+0.00071096i,0.0004154+0.00045313i,0.00049131+0.00016939i,0.00041092-0.00051476i,0.00029735-0.00012839i,-0.00015547+0.00033885i,-0.00070927-0.00028736i,-3.7094e-05-0.0002591i,0.00063848+0.0001229i,0.00061125+0.0002412i,3.1204e-05+0.00020494i,-0.00013457-0.00017171i,0.00040185-0.00068855i,0.00056294-0.00075196i,0.00036364-0.00045112i
0.0016409+0.00098307i,0.00073229-0.00069031i,0.0011975-0.0019852i,0.001267-0.0014011i,0.00042211-0.0008063i,-0.0009646-0.00064983i,-0.0011396+5.1157e-05i,-0.00058808+5.7824e-05i,-0.00017245-0.00046684i,0.00036806-0.000487i,0.00034446-0.00041957i,-0.00021505-0.00045662i,-0.00028194+0.00019462i,0.00042237+0.00052905i,0.0003467+0.00090671i,-0.00049976+0.00075873i,-0.00022508+3.215e-05i,0.00032569-5.2073e-05i,0.00049714+7.177e-06i,-0.00032253-0.00023427i,-0.00042632-0.00082778i,-0.00022788-0.00085468i,-0.00049667-0.00035193i
-0.00053032-0.0022684i,-0.0011902-0.00071346i,-0.0016369+0.00044385i,-0.00065779+0.00082427i,0.00066498+0.00090076i,0.0009284+0.00083886i,0.00024869+0.00082878i,-4.8307e-05+0.0010308i,-0.00011521+0.00092898i,-0.00027508-0.00048046i,6.8622e-05-0.0013905i,0.00067268-0.0009316i,0.00096354-0.001168i,0.00097278-0.0017288i,0.00059697-0.0014333i,0.0004248-0.00085434i,0.00040743-0.00072343i,0.00024745-0.00020828i,-0.00041774+0.00029903i,-0.00043816+0.00040718i,-0.00014882+0.00060464i,0.00014556+5.6888e-05i,1.8484e-05-0.00049898i
-0.00011508+0.00084215i,-0.00034031+0.00091594i,0.00031812+0.00012625i,0.0013114-0.0005832i,0.0011644-0.0009301i,0.00029526-0.001458i,-0.00051784-0.0014173i,-0.00080675-0.00018111i,-0.00057451+2.8994e-06i,-0.00044017-0.00036284i,-0.00032941+0.00019864i,0.00044496+0.00011328i,0.00027048-0.00027025i,-0.00043247-0.00043578i,-0.00058888-0.00065061i,-2.2257e-06-7.4663e-05i,0.00026735-7.1152e-05i,-9.9065e-05-0.00041884i,0.00019229+0.00020378i,0.00037478+0.00056207i,-0.00010289+0.00028373i,0.00029364+8.903e-05i,0.00015303-0.00015099i
0.00012508+0.00075012i,-0.0002001+0.0012123i,0.00022779+0.0008702i,0.0013704+7.0351e-05i,0.0012416-0.00055581i,5.2315e-05-0.00098716i,-0.00075714-0.0012912i,-0.0010892-0.0010864i,-0.0010404+0.00028597i,-0.00048271+0.0012291i,-0.00074198+0.00077635i,-0.00066061+0.00046897i,-0.00039189+0.0010468i,-0.0005886+0.001764i,-3.3655e-05+0.0013794i,0.00030135+0.00020269i,0.00047284+1.147e-05i,0.00022203+0.00036529i,0.00056195+0.00028141i,0.0014072+6.2728e-05i,0.0016575-0.00042498i,0.0012096-0.00056327i,0.00020272-0.00026015i
0.0001203+0.00010716i,-0.00042057+0.00031046i,0.00067339-0.00047005i,0.00083454-0.00095539i,0.00019636-0.0010771i,-0.0006164-0.0012859i,-0.00073253-0.00026176i,-0.00071891+0.0010975i,-0.0001311+0.00099746i,0.00024584+3.7797e-05i,-0.0002954+0.00031871i,-0.00083189+0.00066162i,-0.00073669+0.00034607i,0.00026001+0.00064982i,0.00050162+0.00081061i,0.00040907+0.00028651i,0.0003378+0.00020285i,-3.8049e-05-0.00011138i,-0.00038953-0.00019906i,-0.0001639+1.0639e-05i,0.00010415-8.1568e-05i,0.00019147-0.0001996i,0.0003028-0.00033958i
0.00070509+0.00026166i,0.00051546+0.0005048i,-0.00098135+0.00030076i,-0.0014075+0.00026627i,-0.00048302-0.00051028i,0.00035571-0.0010581i,0.00044872-0.00043591i,-0.0001931+0.00021654i,-0.00059353+0.00035312i,-0.00088107+0.00080797i,-0.0008844+0.0013054i,-0.0007763+0.0010142i,-0.00072644+0.00081648i,-0.00030512+0.00021637i,0.00053776-0.00058715i,0.00017875-9.8851e-05i,-0.0005583+3.9288e-05i,5.5765e-05-0.00016248i,0.00017952+0.00012729i,-0.00058955+4.1989e-05i,-0.00022058-4.4472e-05i,0.00051362-0.00012814i,0.00023788+6.7981e-05i
-0.0022193+0.0020249i,-0.0010228+0.0031246i,0.00043624+0.0031966i,0.0015619+0.0015547i,0.001767+2.4217e-05i,0.00067318-0.00078735i,-0.000147-0.00091i,-0.00084226-0.00069878i,-0.0010497+3.4032e-05i,-0.0002392+7.558e-05i,-0.00025605-0.00015173i,-0.00066559+0.00029417i,-0.001077-0.00023205i,-0.00078934-0.00038723i,-0.00024803+3.375e-05i,0.00013739+8.4862e-05i,-9.768e-05+0.00049228i,-0.00012892+0.00058375i,6.0767e-05+0.00018214i,0.00020302+0.00066443i,0.00025854+0.00098695i,0.00013555-9.1062e-05i,-0.00044691+1.7231e-05i
-0.0010489+0.00044831i,-0.0015481+0.0013213i,-0.0018927+0.0015694i,-0.0014036+0.00090289i,9.3752e-05-0.00022407i,0.00098936-0.00037172i,-0.00016465-0.00025909i,-0.00058035+2.4398e-06i,-0.00019388-4.9444e-05i,-8.5315e-05-0.00028678i,-0.00044497-0.00024403i,-0.00022874-0.00016247i,0.00026375-0.000298i,0.00050769-0.00063309i,0.00046345-0.00032533i,-0.00037627+8.7863e-05i,-0.00023451-0.0003693i,0.00052671-0.00044545i,0.00053683+0.00018757i,0.00075099+9.4312e-06i,0.00057431+0.00024867i,0.00016797+0.00065524i,-0.00024196+0.00051102i
