-0.00017659+0.00018952i,0.00046868-0.0016088i,-0.00050044-0.0034963i,-0.0016557-0.00097051i,-0.0026914+0.0017057i,-0.0019139+0.001651i,-0.00081951+0.0017153i,0.00063663+0.0021073i,0.0018+0.0014415i,0.001024+0.00018631i,0.00027096-0.00018817i,0.00035052+0.00023257i,-3.9827e-05+0.00014768i,0.00012711+0.00021523i,0.00012319+0.00074333i,-6.2325e-05+0.00060832i,-0.00022926+4.2791e-05i,-0.0005497-0.00010018i,-9.0236e-05+0.00013022i,0.00029934+0.00015884i,0.00025068+7.8109e-05i,0.0005455-0.00066268i,0.0005818-0.00055896i
0.00070511-0.00063001i,-6.3782e-05+4.4164e-05i,-0.00086427+0.00079372i,-0.0010543+1.3543e-05i,-0.00081341-0.00069515i,-0.0014174-0.00032826i,-0.0015189-0.00066856i,-0.00062459-0.0009603i,0.00016817-0.00051393i,0.00046897-0.00069669i,0.00074698-0.0006274i,0.00068186+0.00027i,-0.00032418-1.324e-05i,-0.00052718-0.0003988i,8.3209e-05+8.7949e-05i,-0.00018658-0.00062927i,-0.00041979-0.0009712i,1.2583e-05+9.9056e-05i,0.00015399+0.00067188i,-0.00029114+0.00023789i,0.00015226-0.00020559i,0.0009195-0.00050701i,0.001084-0.00023966i
0.00080655+0.0013186i,0.0013553+0.0013029i,0.0017556+0.0018033i,0.0014624+0.0016165i,0.00095383+0.0016996i,-0.00054872+0.001489i,-0.0013354+0.00049572i,0.00011383-0.00015731i,0.0013151-0.0004029i,0.00092656-0.00024987i,-0.00010087-0.0003327i,-0.00046598-0.00066473i,0.00050221-0.00051557i,0.00092066-0.00051433i,0.00047218-0.00041325i,-0.00024601-3.5009e-05i,0.00037792-4.1492e-05i,0.0012986-0.00025319i,0.00076358-0.00078476i,0.00015717-0.00085825i,-0.000306-0.00075167i,-0.00049476-0.00083836i,0.00040237-0.00068203i
0.0017619+4.9203e-05i,0.00092644-0.00079497i,0.00061802-0.0004865i,7.678e-05-0.00027831i,-0.00043083-0.0013501i,-0.00033471-0.0014816i,-8.9385e-05-0.00089337i,-0.00020189+0.00012157i,-0.00027601+0.00053831i,7.0983e-05-0.00012665i,0.00034196-0.00085366i,0.00015206-0.00079424i,-0.00033554+0.00058075i,-0.00021125+0.0010224i,-0.00011957-0.00078024i,-0.0005417-0.0017463i,-0.00011688-0.00093408i,8.1947e-05-0.0001985i,-0.00022638-9.2853e-05i,-0.00033067+0.00010795i,-2.0615e-05+0.00042986i,0.00051722+0.00021675i,-7.9891e-05+0.00022021i
0.00088842+0.0011524i,0.00040941+0.0017582i,0.00011506+0.0020823i,-0.00061052+0.0015098i,-0.00099007+0.00050676i,-0.00093904-0.00034587i,-0.00077735-0.0010594i,-0.0004957-0.0011165i,-0.00015058-0.00089292i,-0.00044282-0.00063494i,-0.00032583-0.00061646i,-0.00013195-0.00020734i,-0.000962+3.4896e-05i,-0.00059435-0.00064614i,8.794e-05-0.00087406i,-0.00031881-0.00062856i,-0.00071982-0.00050691i,-0.00081627+5.4536e-06i,-0.0014454+0.00020558i,-0.0010459+0.00061899i,0.00026444+0.00050254i,0.00082231-0.00013825i,0.00044356-0.00026938i
-0.00041824+0.0002587i,-0.00031161-8.8643e-05i,0.00048998+0.00060816i,7.4646e-05+0.00074978i,-0.0003878+0.0001354i,-0.00069723-3.2686e-05i,-0.0006811-0.00054375i,0.00041681-0.00054i,0.0011278+0.00020695i,0.0013584+8.035e-05i,0.0014921-0.0010299i,0.0011932-0.001395i,0.0004789-0.00046055i,-0.00024592-0.00043762i,-0.00040463-0.0010465i,-9.6493e-05-0.00078663i,-0.00017024+0.00021241i,0.00015821-0.00019585i,0.00010273-0.00063618i,-0.00074043+9.2317e-05i,-0.00062197+0.00065095i,7.3784e-05+0.00031153i,-0.00040119-0.00096104i
0.0010726+0.00059667i,0.00094633+0.00022323i,-5.3509e-05+8.462e-05i,-0.00093547+0.00016526i,-0.00065112+0.0006207i,-0.0004186+0.00035561i,0.00015748-0.00020164i,0.0010889+0.00023206i,0.0015951+0.00019921i,0.0011466-0.00059703i,0.00068691-0.00070361i,0.00027118-0.00062765i,0.00027844-0.00074696i,0.00027809-0.00084015i,-0.00015935-0.00049258i,-0.00054653-0.00013065i,-0.00065438-0.00014345i,-0.00081341-0.00014449i,-0.00081914-0.0005463i,-0.00036781-0.00024395i,-0.00050663+0.00026997i,-0.00064302+5.2523e-05i,-0.0001876+8.0635e-05i
0.0010078-0.00047704i,-0.00058669-0.002343i,-0.00065286-0.0025052i,-0.00068275-0.0017732i,-0.0018098-0.0015827i,-0.0019283-0.001056i,-0.00054014-0.00021424i,0.001149+0.00032513i,0.0015254-0.0004407i,0.00081105-0.0010121i,0.00016805-0.00012117i,-0.00038448+0.00044171i,-0.00016524+0.00098084i,0.00040635+0.0011313i,0.00050625-9.5252e-05i,0.00112-0.00075718i,0.0012543-0.00043125i,0.00058913+0.00025538i,0.00037219+0.00076078i,0.0010424+0.00018989i,0.00090418-0.0003532i,0.00026445-0.00024497i,6.4193e-05+0.00023959i
-0.00067282-0.00088511i,-0.00050746-0.0011443i,-0.0020635-0.00015338i,-0.0018872+0.00057084i,-0.00085364+0.00143i,-0.00026964+0.0010698i,0.00048709+0.00031253i,0.00083774+0.00065874i,0.00094962+0.00078337i,0.00090283+0.00091646i,0.00070434+0.00081865i,-0.00029634+0.00034963i,-0.00066405-0.00012301i,-0.00090909-0.0010589i,-0.00092158-0.0012497i,0.00033355-0.0005584i,0.00060353-0.00028315i,-0.00014413+4.469e-05i,-0.00065579+0.00071241i,-0.001002+0.00088531i,-0.00036715-3.2093e-05i,0.00015058-0.00069982i,1.6572e-05-0.00052448i
-0.0016634+0.00069047i,-0.0022128+0.00087812i,-0.0016546+0.0014597i,-0.0014007+0.0013581i,-0.001164+0.0012673i,-0.00047191+0.00091561i,1.4699e-05-0.00044884i,0.00029448-0.00079045i,0.00034359-0.0003137i,0.0006919-0.00051238i,0.00082427-0.00069712i,0.00033781-0.00034186i,-0.00015634-2.8737e-05i,0.00042088+0.00056488i,0.00070674+0.00038965i,0.00018379-0.0006738i,0.00022816-0.00062621i,0.00029612-7.6118e-05i,-0.00032242+0.00012239i,-0.00046728-0.00019609i,-0.00014813-0.00090449i,-0.00069355-0.00075751i,-0.00091298+0.00016707i
0.0011151-0.0011461i,0.0011795-0.0012924i,0.00048637-0.0018965i,-0.00067682-0.0010454i,-0.0014494-0.00034676i,-0.0018252-0.00034351i,-0.0011932+6.2596e-05i,0.00036805+0.00043552i,0.0010102+0.00035932i,0.00090133-1.4865e-05i,0.00088248-0.00020852i,0.00016658-7.2616e-05i,-0.00053144+0.00019127i,-0.00099216+0.00029284i,-0.00081479+9.3353e-05i,-0.00027973-0.00071007i,-0.00069697-0.00092571i,-0.00078245-0.00063816i,-0.00018315-0.00072143i,-5.8263e-05-0.00030846i,0.0004662+0.00029777i,0.00063053+0.00032668i,0.00017364+0.00029385i
-0.00032474+0.0019467i,0.00010721+0.0032459i,0.00011354+0.0039154i,0.00056009+0.0027971i,0.0009152+0.0014506i,0.0011347+0.00063008i,0.00052274+2.6325e-05i,-9.7254e-05+0.00036374i,-0.00027351+0.00062635i,-7.8728e-05+0.00032519i,0.00019773-0.00015837i,0.0003215-0.00076877i,0.00053124-0.00078192i,0.00038939-0.00041268i,0.00042536-0.00075909i,0.00057455-0.00056952i,-7.9416e-05-0.00014818i,-0.00031211-6.4165e-05i,0.00029868+7.8365e-05i,0.00047254+0.00028046i,0.00044487-0.00085726i,0.00044334-0.0017058i,0.00021133-0.0011182i
-0.0014542-0.0011788i,-0.0011119-0.001793i,-0.0020606-0.0014554i,-0.00234-0.00039629i,-0.0019831+0.0010227i,-0.0014321+0.00079123i,-0.0005602-0.00018915i,0.00020614-0.00021337i,0.00027024-0.00029847i,-5.328e-06+5.2262e-05i,-0.00060643+0.00042848i,-0.00045481+0.00032991i,-0.00038741-6.4759e-05i,-0.00020554-0.00033416i,0.00060378-0.00067614i,0.00074082-0.0010684i,0.00081479-0.0014825i,0.0007678-0.0008951i,4.6875e-05-2.5413e-05i,-0.0001741-0.00025934i,-0.00014116-0.00062038i,-0.0003546-4.63e-05i,-0.00052428+0.00041811i
-0.00044594+0.0013424i,0.00041411+0.0011698i,0.00061934+0.0020234i,0.00037324+0.0020211i,0.00048284+0.00083288i,0.0014463-0.00037823i,0.0016271-0.00046458i,0.00018963-0.00026945i,0.00030037+6.0904e-05i,0.00050867+0.00051371i,8.9059e-05+0.00047766i,-0.00040984+0.00023973i,-0.0013562+0.00024517i,-0.0015144+0.00016561i,-0.001106-0.00049395i,-0.00018153-0.00063573i,-0.00024141-0.00041546i,-0.00054375-0.0001748i,-3.8663e-05-0.00030567i,0.00012095-0.00056735i,0.00014401+0.00011597i,-0.00012203+0.00080702i,-0.00013816+0.00052348i
-0.0016414-0.0031404i,-0.0019817-0.0024196i,-0.0023932-0.0013975i,-0.0026783+0.00040398i,-0.0029887+0.0020234i,-0.0017353+0.0022147i,0.00018186+0.0010597i,0.00067817+3.3747e-05i,0.0010507-0.00045808i,0.0011278-0.00076753i,0.0011935-0.00012378i,0.001073+0.0004469i,0.00076506+0.00061289i,0.00036885+0.00060984i,-7.3012e-05+0.00076672i,1.8153e-05+0.00030576i,0.00051235-0.00065464i,-0.00024744-0.00082i,-0.0013304-8.0082e-05i,-0.00081743-5.3814e-05i,0.00030821-0.00033433i,0.00050094-0.00020889i,0.0002167-0.00049161i
0.00016008-0.0022177i,0.00060971-0.0025647i,-0.00073156-0.001526i,-0.0027204-0.00037661i,-0.0021256-0.00018044i,-0.00061011+0.00046703i,-4.5441e-05+0.00080796i,0.00076613+0.00027207i,0.00083864+6.3905e-05i,0.00083715+1.7136e-05i,0.0015618-0.00033444i,0.0014727-0.00041355i,0.0015323-5.3419e-05i,0.00085658-0.00011547i,-0.00093902+0.00016955i,-0.0016837+0.00068073i,-0.00065468+0.00023824i,-0.00051297+0.00026332i,-0.0010218+0.00092185i,-0.00072601+0.0011251i,7.4568e-06+0.00076292i,9.4614e-05+0.00020945i,-0.00072209+0.00020674i
0.001045+0.00059706i,0.00026119+0.00039878i,-0.00043516-0.00025831i,-5.1454e-05-0.00083947i,-0.00057106-0.0013406i,-0.0010611-0.0016422i,-0.00023761-0.00091842i,0.00056201-1.2857e-05i,0.00086553+0.00040483i,0.00010053+0.00010823i,-0.00036149-0.00051514i,-7.527e-05-0.00030675i,0.00010157-0.00027236i,9.3504e-05-0.00088747i,0.00018714-0.00086546i,2.5214e-05-0.00033278i,-0.00039252-0.00011769i,0.00029719+0.00013816i,0.00032253+0.00061553i,0.00066401+0.00071281i,0.00081977+0.00074972i,0.00016785+0.00081263i,-0.00018993+0.0003778i
-0.00016592-0.00077602i,-0.00043818-0.002106i,-0.0011272-0.0016603i,-0.00201+0.0003914i,-0.0022923+0.0012968i,-0.0018428-0.00016975i,-0.00081294-0.0006401i,-0.00040862-1.414e-05i,-0.00066306+0.00050701i,1.3918e-05+0.00052264i,0.00044324-0.00031299i,0.00036362-0.00078081i,0.00057274-0.00073586i,0.00041118-9.9453e-05i,-2.5614e-05+6.7159e-05i,0.00022274-0.00016473i,0.00036332+0.00033858i,0.00030803+0.00088614i,-6.7509e-05+0.00021925i,-0.00011225-0.0001093i,8.6571e-05-0.000125i,-0.00024217-0.00061869i,0.00012111-0.00067377i
0.0010635-0.0001003i,-0.00033644+0.00035251i,-0.0013959-0.00018375i,-0.0017187-0.00092736i,-0.0017793-0.0011016i,-0.0019636-0.00064399i,-0.0016846+3.4579e-05i,-0.0002402+0.00055738i,0.00067068+0.0010145i,0.00016347+0.00067561i,0.00044954+0.00061595i,0.00069797+0.0009989i,0.00027717+0.0004347i,0.00032339+0.0002333i,-8.8696e-05-0.00045198i,-0.000185-0.0013464i,-6.6639e-05-0.001279i,-0.00022795-0.00051542i,-0.00072081+0.00018133i,-0.0001596+5.9723e-05i,0.00046234+0.00040492i,4.0304e-05+0.0010213i,-0.00043146-0.00022989i
0.00070639-0.00077198i,-0.00072765-0.0019912i,-0.00065837-0.0022754i,-0.0010307-0.0015343i,-0.0013571-0.00038746i,-0.0010674+0.00082514i,-0.000755+0.00064166i,0.00035962+0.00045296i,0.0015966+4.9334e-05i,0.0015943+6.0745e-05i,0.00097779+0.00013578i,0.0012319+0.00018411i,0.00077591+0.00024533i,0.00046935-0.00020451i,0.00034572-0.00051497i,-6.3012e-05+0.00014918i,-0.00062736+0.00045306i,-0.0010612-0.00018128i,-0.0012065-0.00048256i,-0.00066564-0.00017225i,-0.0001383-0.00012627i,0.00018435-7.7976e-05i,0.0003034+0.00036808i
0.0024756+0.001647i,0.0018583+0.00061259i,0.0013829-0.00046475i,0.00087041-0.0019557i,0.00013658-0.002726i,-0.0004049-0.0018825i,-0.00070894-0.00036149i,9.8678e-05+0.00089174i,0.00091574+0.001181i,0.0014613+0.0010841i,0.00071468+0.00091442i,0.00023865+0.00063756i,0.00085442+0.00025457i,0.00041821+0.00069673i,0.00018754+0.0010409i,-0.00016404+0.00037756i,-0.00072491-0.00020366i,-0.00080286+6.1132e-05i,-0.00078568+0.00019202i,-2.9816e-05+0.0001997i,0.0006519+0.00036382i,0.00064833-2.5212e-05i,0.00045384-0.00039006i
-0.00010073+0.00041449i,0.0002778-0.00076424i,3.2408e-05-0.0011089i,-0.001401-0.0014528i,-0.0024328-0.0015425i,-0.0021217-0.00064441i,-0.00053024+1.9005e-05i,0.00067469-0.0004289i,0.00076527-0.00081756i,0.00065084-0.00025239i,0.00016647-0.00040493i,-0.0002274-0.00056986i,0.00011321+0.00026798i,0.00010781+0.00035207i,0.00015278+0.00011161i,0.00049684+0.00015673i,0.00047665+0.00043261i,0.0004389+0.00046425i,0.0004291+0.00010302i,0.00045905+0.00014094i,0.0006999+0.00042649i,0.00017331+0.00038024i,-0.00034753+0.00028788i
0.00041288-0.00049128i,-3.3424e-06-0.000487i,-0.00030305-0.00044157i,-0.0015337-3.8835e-05i,-0.002564+8.2371e-05i,-0.0026683-0.00058622i,-0.0015659-0.00061758i,-0.00015228+0.00010356i,0.0011983+0.00029092i,0.0018315+0.00069827i,0.00063944+0.0005224i,-1.6428e-05+0.0003691i,2.3684e-05+8.794e-06i,0.00023042-0.0008306i,0.0010518-0.0014079i,0.0011473-0.0016503i,0.00087006-0.0013366i,0.00023864-0.00048873i,-0.00059764-0.00014954i,-0.00052016-0.00014045i,-0.00014432+9.3532e-05i,-0.000334+0.00048471i,-4.1489e-05+0.0005669i
0.0025101-0.00093449i,0.0014423-0.0013666i,-0.00072963-0.0019361i,-0.0024354-0.0014462i,-0.0024886-0.00010882i,-0.002004+0.00055785i,-0.00078227+0.00043953i,0.00051839-0.00020153i,0.00091113-0.00050378i,0.00067186-0.00066904i,4.0533e-05+0.00029154i,-0.00035783+0.0015707i,-0.00018624+0.0014448i,-5.7601e-05+0.00052531i,-0.00058811+5.8147e-05i,-0.0008338-0.00034426i,-0.00030867-0.00080968i,-0.00079696-0.000689i,-0.0011864-0.00048435i,-0.00065482-0.00036601i,-0.00038418-0.00041943i,-0.00031408-0.00032866i,0.00022657-0.00033155i
-0.00069329-0.0014183i,-0.0013121-0.0019519i,-0.0010645-0.0011867i,-0.00088837-0.00013707i,-0.00090713+0.0006979i,-0.00044747+0.0012043i,-0.00055984+0.00038715i,-0.00092396-0.00024438i,-0.0001379+0.00011913i,0.00073418+0.00017627i,0.001213-0.00014508i,0.0012757-0.00029739i,0.0004646-0.00031404i,0.00044504-0.00019106i,0.00045646-0.00032727i,-0.00078977-0.00053992i,-0.0017231-9.673e-05i,-0.00099949+0.00084223i,-0.00055705+0.00066636i,-0.0003288-0.00014881i,0.00037389+5.7775e-05i,0.00027523+0.00024856i,0.00028206-8.138e-06i
0.00012679+0.0018399i,0.0017463+0.0025818i,0.0018278+0.0027404i,0.0015023+0.0012852i,0.0012374-0.00026749i,0.0011837-0.0014399i,0.0010831-0.001183i,0.00087214-0.000568i,0.0011104-0.00044968i,0.0019145-0.00032716i,0.0022611-0.00023648i,0.0010584-0.00033603i,-6.0928e-05-0.00052465i,-0.00050175-0.0005486i,-0.00016039-0.00022024i,0.00054838-0.00021804i,0.00056655+7.1524e-05i,0.00021431-0.00031076i,0.00061478-0.00070889i,0.00069892-9.854e-05i,0.00060172-0.00027766i,0.00015794-0.00026414i,-0.00080137+0.0005375i
0.00048422-0.0011751i,-0.0014923-0.0008493i,-0.0028199-0.00013678i,-0.0028816+6.4064e-05i,-0.0025714-0.00061002i,-0.0018982-0.00087237i,-0.0012564-0.000784i,-0.00017016-0.00025416i,0.00078624-0.00043763i,0.0011266-0.00054981i,0.0011515+5.6604e-05i,0.0002741+0.00031451i,-0.00015452+0.00071181i,-0.00013196+0.00024892i,0.00013828+0.00015393i,-0.00026599+0.00042169i,-0.00059547-0.00044939i,4.7809e-05-0.00085342i,-0.00018718-0.00045686i,-0.00042114+1.419e-05i,-0.00028936-0.00039533i,-0.00063271-0.00026577i,-0.00074383-0.00016336i
0.0014233+0.00022789i,0.0013979+0.0009354i,0.00063656+0.00085742i,-0.00094311+0.0001008i,-0.0013427-0.00041846i,-0.0003883-0.00028206i,-0.0002146-7.7247e-05i,-0.00023189+6.3118e-05i,9.1861e-05-0.00017752i,0.00012716-0.00054702i,-0.00052339-0.00075163i,-0.0010506-0.00048782i,-0.00064777+0.00013181i,-3.5419e-05-0.00041643i,0.00065703-0.00075693i,0.00093325-0.00058512i,0.00078999-0.00063699i,0.000494-0.00059341i,0.00064468-0.00042765i,0.00036848+0.00015656i,-0.00027185+0.00043247i,0.0001331+0.00070765i,0.00061526+0.00037051i
-0.0023361-0.00064804i,-0.0027956+0.00035468i,-0.0034037+0.0022316i,-0.0025049+0.0025933i,-0.001075+0.0032043i,0.00044326+0.0028766i,0.0014678+0.0010419i,0.00087469+0.0010807i,0.00058796+0.0013229i,0.00083975+0.00093844i,0.00074815+0.00079688i,0.00065409+0.00058841i,0.00054571-0.00057352i,0.00014097-0.0013206i,9.0968e-05-0.0010465i,3.1321e-05-0.0011057i,-0.00041887-0.00089597i,-0.00054326-0.00021867i,-0.00036566+0.00022885i,0.00012232+0.000505i,0.00035902+0.00027527i,-0.00012757+0.00057089i,-0.00062853+0.00087642i
-0.0011001+0.0018762i,0.0007255+0.0011031i,0.0014173+0.002017i,0.0016954+0.0013096i,0.0018646-0.00082983i,0.0012416-0.002114i,-0.00017995-0.001792i,-0.00058633-0.00018823i,0.00031778+0.0010586i,0.0014292+0.0011699i,0.00088248+0.00093373i,8.1329e-05-0.00017199i,0.00062251-0.0010752i,0.00045426-0.00080743i,-0.00024929-0.00071253i,-0.00056157-0.00078174i,-0.0007472-0.00054725i,-0.00084931-0.00041672i,-0.00014284+0.00011608i,0.00026601+0.00039034i,0.00021066+0.00072087i,0.00052921+0.00061457i,0.00040674-0.00013209i
-3.9434e-06+0.00034458i,-0.00020922-2.9292e-05i,-0.00032307-0.00075002i,-0.00010413-0.00094519i,-0.00041676-0.00097564i,-0.00095245-0.00096444i,-0.00093172-0.00018035i,0.00033438+2.1437e-05i,0.00099369-4.2048e-05i,0.00087778+2.4345e-05i,0.001084-0.00043122i,0.00082125-0.00088124i,0.00043691-0.001119i,2.7763e-05-0.00051568i,9.2415e-05-0.00017204i,0.00051343-9.1396e-05i,0.00033763+0.00088645i,0.00017342+0.0017358i,0.0006555+0.0011854i,0.00030214+0.00050968i,-0.00026067+0.00015042i,-2.732e-05-0.00019379i,-0.00036997+0.00018135i
0.0028655+0.0015924i,0.0026841+0.001362i,0.00279+0.00089043i,0.0022601-0.00014599i,0.00055417-0.0022017i,-0.0010988-0.0029329i,-0.00065062-0.0019597i,0.00076577-0.00065854i,0.001265-5.1816e-05i,0.0014252-0.00082433i,0.0011657-0.0017544i,0.00059836-0.0015415i,3.8297e-05-0.0012632i,-9.9778e-05-0.00088692i,0.0005647+0.00025023i,0.00085871+0.00080573i,0.00040242+0.00059299i,-3.5511e-05+0.00072034i,0.00059915+0.00071347i,0.0008777+0.0001115i,0.00096351-0.00036261i,0.0003177-9.9778e-05i,-0.00021506-2.9199e-05i
-0.0016381+0.0019606i,-0.00040584+0.002695i,-0.00068331+0.0029301i,-0.00031497+0.0023317i,0.00082132+0.0018826i,0.0012166+0.0012103i,0.00076594+0.00053386i,0.00013+6.9083e-05i,0.00013896-0.00064088i,0.00028924-0.00044298i,-9.5347e-06+0.00050744i,-0.00028992+0.00069868i,-0.00049028-0.00038827i,-0.00036662-0.001197i,0.00054716-0.0012728i,0.0007868-0.00040196i,-0.00056344-0.00041314i,-0.0014944-0.0012572i,-0.001353-0.0007032i,-0.0005524+0.00012651i,-0.00017429-0.00021753i,0.00011744-0.00045816i,-5.3701e-05+0.00030716i
0.00022646-0.0025841i,-6.2223e-05-0.0022336i,-0.0013091-0.0017058i,-0.0018429-0.0019359i,-0.0025671-0.0010043i,-0.0021777-0.00014431i,-0.00053074-0.00014953i,0.00036225+0.00021443i,-0.00020722+0.00033584i,0.00021645-0.00024545i,0.00070474-0.00042884i,0.00012103-0.00026183i,-0.00034056-0.00023249i,-9.3289e-05+1.2591e-05i,0.00064013-0.00012421i,0.00073078-0.00095808i,-0.00017184-0.00080149i,-0.001109+0.00016143i,-0.00088029+0.00075498i,6.2965e-05+0.0010504i,9.8884e-05+0.00029659i,-0.00019935-0.00010463i,0.00047308+0.00019896i
0.00088281-0.0038397i,-0.00091501-0.0018363i,-0.0027892+0.00060477i,-0.0036821+0.0018673i,-0.0036356+0.002756i,-0.0011058+0.0024611i,0.001285+0.0010867i,0.0014468-0.0002542i,0.00069651-0.00063493i,0.00030675-0.0002154i,0.00038216-0.0002618i,0.00034002-0.00020098i,0.00050167-0.00035412i,0.0008182-0.00078441i,0.00050191-0.00092069i,0.00024734-0.00041963i,-0.00028723+0.00014882i,-0.00096695-0.00014764i,-0.00056182-0.00051773i,0.00023369-0.0002529i,0.00062479-0.00026931i,0.00082874-0.00041432i,0.00067938+0.00029703i
0.00012171+0.0016819i,0.00012068+0.00023379i,0.00073998-0.00074812i,0.00080483-8.651e-05i,0.00057062-1.0115e-05i,-0.00035778-0.00089881i,-4.1854e-05-0.0012479i,0.0011366-0.00046181i,0.0016779+0.00035395i,0.0021495-0.00033584i,0.0021817-0.00088035i,0.0010918-0.00018932i,-0.00020205+0.00035824i,-0.00084631+0.00068742i,-0.00090372+0.00061983i,-0.00033666+0.00048935i,-0.0005383+0.00037815i,-0.0011914-1.0474e-05i,-0.0014496-0.00013754i,-0.0012405+0.00021948i,-0.00071992+0.00065624i,-0.00041303+0.00086772i,-0.00053958-3.8073e-05i
0.00096123-0.00066862i,0.001442-0.00076253i,0.0013046-0.0011238i,-0.00022489-0.00169i,-0.0012349-0.0014164i,-0.00066391-0.0012788i,-0.00023006-0.00095815i,-9.43e-05-0.00087009i,0.00065439-0.00081116i,0.00073431-0.0003189i,0.00032685-0.00058178i,0.00042154-0.0011176i,0.00040708+0.00038151i,0.00068369+0.00090154i,0.00015147+8.1697e-05i,-0.00029354-0.00030735i,0.00028573-0.00067248i,0.0004833-0.00032526i,0.00032037-2.1199e-05i,-0.00016709-0.00075593i,-0.00042569-0.00090009i,-0.00011218-0.00016286i,0.0003543+0.00059588i
-0.00053952-0.0011136i,-0.0011909+6.1208e-05i,-0.0022222+0.001395i,-0.0033379+0.0021546i,-0.0031354+0.0020054i,-0.0016939+0.0017166i,-0.0012564+0.001045i,-0.00055818+0.00048759i,0.00062399+0.00010805i,0.00041603+3.0228e-05i,-0.00015929+0.00010335i,-0.00034879-5.7491e-05i,-0.00060803-0.00083532i,0.0002019-0.001808i,0.0013556-0.0017688i,0.00081729-0.0015139i,-0.00022082-0.00097627i,9.1254e-05+0.00013822i,-0.0010732+0.00038528i,-0.0019554+0.0007056i,-0.00077657+0.0005804i,-0.00030654-0.00023469i,4.9619e-05-0.00033077i
0.0014349-0.00094963i,0.0019601-0.002917i,0.0010551-0.0037283i,-0.00056277-0.0028661i,-0.00057298-0.0024266i,-0.00066158-0.0017781i,-0.0002812-0.00055903i,0.001305-0.00010112i,0.0011384-0.0004554i,0.0005989-0.00042304i,0.00088606-0.00028654i,0.0013039+0.00026004i,0.00055868+0.00047668i,-0.00069245+4.8492e-05i,-0.00023811+0.00023044i,0.00070506+0.00043248i,0.00046453+0.0005459i,-0.00071149+0.00053432i,-0.00067938+0.00012005i,4.4752e-05-8.8873e-05i,0.0002409-0.0003204i,0.0002876-0.00026224i,-0.00019632+0.00041028i
-0.00051719+0.0014456i,-0.00031556+0.0011906i,0.00078477+0.0007358i,0.00079691+0.00066036i,0.00034969+0.00022018i,0.00021909-0.00070095i,4.576e-05-0.0010747i,0.00012864-0.00045696i,-2.8075e-05-0.00041981i,-0.00029732-0.00053376i,-0.00024617-6.9709e-05i,-0.0001347+3.2901e-05i,6.6038e-06+0.00056222i,0.00041357+0.00066675i,-7.8084e-05+0.00016485i,-0.00062583-9.2675e-05i,-0.00010771+0.00031438i,-8.2282e-05+0.00089905i,-0.0006721+0.00078509i,-0.00089699-0.00031454i,-0.00063863-0.0015652i,-0.00019035-0.001656i,-0.00040167-0.00032878i
-0.00078241+0.00049882i,-0.00037532-0.0015896i,-0.0001903-0.0022197i,-0.00051702-0.00097346i,-0.0013437+0.00013546i,-0.0014211-1.8908e-05i,-0.0002362-0.00070861i,-0.00043381-0.00084285i,-0.0010793-0.00062229i,-0.0011676-0.0010694i,-0.00054399-0.0014643i,0.00047614-0.0015178i,0.00048229-0.0009471i,0.00040092-6.6646e-05i,0.0009083-6.6224e-05i,0.00047345-0.00083814i,0.00012807-0.0011195i,-5.6124e-05-0.00032295i,-0.00049486+0.00041925i,0.00010127+0.00095056i,0.00038264+0.0010899i,5.487e-05-0.00020162i,-2.3672e-06-0.00075192i
-0.00024073+0.00059122i,-0.00060849+0.0020855i,-0.001242+0.0016284i,-0.0017776+0.0016322i,-0.0015516+0.0018347i,-0.00056784+0.001091i,-6.0413e-06+0.00034358i,0.00033687+0.00069271i,0.0010717+0.00026285i,0.00074002-0.00057148i,0.00039117+0.00018654i,0.00078878+0.00017041i,0.00046427-0.0002251i,-4.81e-05-0.0008431i,-0.00012012-0.0011094i,-0.0002021-0.00014804i,0.00027615+9.9248e-05i,0.00085876+0.00013153i,0.00062508+0.00032591i,0.00031731+0.00044675i,0.00056848+0.00071085i,0.00073017+0.0010692i,0.00019282+0.0004235i
-0.00015249-0.0022812i,-0.0013066-0.001199i,-0.001643-0.00031436i,-0.0018193-0.00045039i,-0.0022933-0.00053617i,-0.0011717-0.00022671i,0.00059758+7.3631e-05i,0.0016487+0.0011197i,0.001621+0.0010878i,0.00092392+0.00071511i,0.00050608+7.6681e-05i,0.00019996+3.7469e-05i,-1.2146e-05+0.00055931i,0.00013463+0.00067971i,-0.00020408+0.00040472i,-2.0673e-05+2.9182e-05i,0.00074603+1.9091e-05i,0.00069472+0.00023839i,0.00030421+0.00013317i,0.00017893-0.00027208i,5.1438e-05-0.00050433i,0.00048439-0.00019292i,0.00047719-0.00044338i
-0.0014977+0.0016358i,-0.00054745+0.0014689i,-0.00044208+0.0020057i,0.00011621+0.0022714i,0.00090693+0.001298i,0.00027677+0.0003571i,0.00011652+0.00022232i,0.00081275+0.00037018i,0.0017723+0.00035113i,0.001708-0.00018737i,0.00085261-0.00070182i,0.00013006-0.00059893i,-0.00090065-0.00048476i,-0.0012417-0.00094175i,-0.00089224-0.00062728i,0.00024416+0.00016628i,0.0015253+0.00075776i,0.0010665+0.00043833i,4.5703e-05-0.00096934i,-0.00018824-0.00083129i,-0.00056704-0.00014743i,-0.0008392+0.00018804i,1.9586e-05+0.00015755i
