-0.0032716+0.00019657i,-0.0027645-3.968e-05i,-0.0024879+0.00071044i,-0.0016713+0.001519i,-0.00055024+0.0022394i,-0.00049606+0.0022832i,-0.0010258+0.0018278i,-0.00070143+0.0011324i,-0.00098483+0.00077384i,-0.00045762+0.00091101i,0.00095987+0.00044012i,7.5622e-05+4.5929e-05i,-0.0014535+0.0002603i,-0.0021621-0.00018532i,-0.0019978-0.00063653i,-0.00041082-0.00088349i,0.00064632-0.00080068i,0.00072902-0.0010808i,0.00031762-0.0009482i,-6.4439e-05-0.00058481i,0.00031435-0.0010955i,0.00011682-0.0011708i,-0.00057309-0.00025509i
0.00069175-0.00044379i,0.0010905+0.00015307i,0.00067136+0.00062282i,-8.4017e-05+0.00071548i,-0.00091115-9.5263e-05i,-0.0009985-0.0015735i,-0.0012654-0.0016211i,-0.0014815-0.0007031i,-0.00088309-0.0005752i,-0.00085338-0.00034668i,-0.0010991+0.00014823i,-5.9482e-05+0.00054045i,0.00085298+0.0007529i,0.00046959-1.3243e-06i,-0.00014749-0.00066565i,0.00019321-0.00051335i,0.000322+9.1259e-05i,0.00025449-0.00012084i,0.00076678-0.00076014i,0.00094533+5.001e-05i,0.00038085+0.00070167i,0.00077657+0.00024248i,0.0013326-0.00026273i
-0.0007682+0.00058745i,0.00036411+8.8598e-05i,0.00079253-0.0013669i,-0.00053184-0.0013727i,-0.0016097-0.0014445i,-0.0014232-0.0019962i,-0.00067936-0.0017364i,-0.00014065-0.00094773i,0.0003968-0.0001377i,-2.2556e-05+0.00023345i,-0.00091072+0.00077191i,-0.00022425+0.00055954i,0.00047746+0.00090329i,0.00040718+0.00079072i,0.00058432+0.00043045i,0.0007274+0.00062407i,0.00026511+0.00048557i,-0.00016617+4.2719e-05i,-8.5453e-05-1.3255e-06i,0.00057889-0.00018288i,0.000477-0.00045291i,-0.00012604-0.00062485i,0.00037846-0.00087544i
0.0017134-0.0012635i,0.0012478-0.0016708i,-0.00013753-0.0016753i,-0.001444-0.00085636i,-0.0013622+9.966e-05i,-0.00092811-0.00093294i,-0.00074118-0.002279i,-0.00093709-0.0012359i,-0.00080573+0.00019324i,-0.00077387-5.7976e-05i,-0.00067588-0.00031375i,5.8554e-05-0.00023553i,0.0011645-1.0124e-05i,0.0016032+0.00055178i,0.0017351+0.00075166i,0.0012951+0.0008357i,0.00099773+0.00030382i,0.00078614+1.6226e-05i,-1.2676e-05+0.0001311i,2.0453e-05-1.5545e-05i,0.00025285+0.00019265i,0.00034571+5.2875e-05i,0.0002164-0.00045045i
7.4691e-05+0.001055i,0.00038147+0.00068667i,-0.00068108+4.3269e-05i,-0.00065445+0.0010043i,-0.00011625+0.00085524i,-0.00018202-0.00065128i,-0.0006398-0.00073663i,-0.0008153-0.00016447i,-0.00094087+9.9648e-05i,-0.00040381+0.00074657i,7.706e-06+0.0010698i,-0.00051978+0.00076666i,-0.00080651+0.00014011i,-0.00065456-0.00030018i,-0.00069117-0.00044108i,-0.00050306-0.00011569i,-0.0001153+0.00018435i,0.00019883+0.00037708i,0.00022236+0.00036894i,-0.00018535+0.00018353i,-0.00052477+0.00022257i,-0.00097728+0.00037962i,-0.00080503+0.00044758i
-0.00049107-0.0004591i,-0.00049982-0.0016505i,-0.00068778-0.0011202i,-0.00043127+1.0497e-05i,0.00016398-0.00038652i,-0.00015499-0.0010894i,-0.0005522-0.00071438i,-0.00041668+4.6711e-05i,2.0462e-05+0.00062681i,0.00014547+0.0004473i,3.6683e-05+1.7308e-05i,7.9407e-05+0.00033308i,-0.0001961+0.00038521i,8.5031e-05-0.00072555i,0.00061395-0.00083073i,0.000317-6.1712e-05i,-4.5942e-05+5.0058e-05i,-0.00041798+6.3386e-05i,-0.00017322+4.742e-05i,-8.0741e-05-0.00036171i,-0.00034856+0.00027307i,-0.00111+0.0010941i,-0.0016501+0.0012278i
0.00055943-0.00084324i,0.00010392-0.0011821i,-0.00038013-0.0021452i,-0.00078702-0.0028596i,-0.00055297-0.002812i,-0.00084259-0.0027542i,-0.0013127-0.0017559i,-0.00093152-0.00055662i,-6.6992e-05-0.00016801i,7.8822e-06+2.8723e-05i,-0.00021009+0.00018731i,-0.00065709+0.00070216i,-0.0010992+0.00084132i,-0.00010408-0.00044624i,0.0012781-0.001059i,0.0011997-0.00066083i,0.00065331-0.00029735i,0.00058358+0.00041384i,0.00025319+0.00034725i,-0.00046703+9.0895e-05i,-6.6238e-05+8.1029e-05i,-0.000171-0.0003102i,-0.00042663-0.00059655i
-0.0012216+0.00085716i,-0.00098165+0.0021656i,-0.0010026+0.0028402i,-0.00034088+0.0020458i,0.00029297+0.00060736i,0.00020413-0.00067428i,-0.00056052-0.0011477i,-0.001525-0.00072606i,-0.0015779-0.00032856i,-0.00082778-2.2242e-05i,-0.00062459+0.00095455i,-0.00053698+0.0005964i,-0.00052838-0.00028884i,-0.001338+0.00046342i,-0.0019679+0.0012521i,-0.001243+0.00096786i,-8.4653e-05+0.00049787i,0.00044047+2.9967e-05i,0.00083279+5.1869e-05i,0.00040146-0.00045414i,-1.8753e-05-0.00050819i,7.9037e-05+0.00015408i,-0.00024317+0.00064946i
0.0021017+0.00014478i,0.0015762-0.00062975i,0.0005521-0.0015665i,-0.00064351-0.001477i,-0.00075042-0.0015279i,-0.00011318-0.0016753i,-0.0001566-0.0012494i,-0.0006405-0.00056341i,-0.00034399-0.00084107i,0.00034211-0.00063993i,0.00049605+0.00081213i,9.0261e-05+0.0012894i,-0.00026921+0.00042326i,-0.00037937+6.7494e-05i,0.00035976+8.9646e-05i,0.00062181-0.00074754i,0.00080323-0.0011266i,0.00030737-0.00071881i,-0.00058118-0.00080966i,-0.00014109-0.00026843i,0.00022554-5.2536e-06i,-0.0002431+4.6217e-05i,-0.00076751+0.00092599i
-0.0017276-0.0026211i,-0.0018756-0.0015887i,-0.0014277-0.0016177i,-0.00212-0.0010822i,-0.0015673-0.00042161i,-0.00021646-0.00047969i,7.2625e-05-0.0018493i,0.0003234-0.0020686i,-2.9706e-05-0.0008136i,-0.00086167+0.00013393i,-0.00083755+0.0008271i,7.4039e-06+0.00076125i,0.00072103+0.00032141i,0.001527-0.00060328i,0.0011429-0.00099295i,-0.00066872-0.00026582i,-0.0011222-0.00012444i,-2.2067e-05-7.3571e-05i,0.00052217+0.00076827i,0.00046372+0.00099503i,-0.00012608+0.00077359i,-0.00049656+0.00013852i,0.00040069-0.00089848i
0.0011494+9.2567e-05i,0.0011161+0.0012224i,0.00093421+0.0013947i,0.00020351+0.0004979i,-0.00044011-0.00061569i,-0.001339-0.00089071i,-0.0017906-0.00048478i,-0.00089225+8.4188e-05i,-0.00039563+0.00073638i,-0.00059454+0.00075147i,-0.0001948+0.00025219i,-0.00033641+7.483e-05i,-0.00076242+0.0003177i,-0.00085578+0.00011684i,-0.0011328+2.0568e-05i,-0.00044795+0.00019524i,0.00050156+0.0010478i,0.00035175+0.0013299i,-0.00047154+0.00043691i,-0.00054451-3.5039e-05i,-0.00050813+6.5929e-05i,-0.00071079+0.00036137i,-0.0005154+0.00060276i
-0.0014487-0.001763i,-0.0016622-0.0016763i,-0.0012954-0.0012486i,-0.00057385-0.00029089i,-0.00030107-0.00077981i,-0.00049267-0.00099591i,-0.0012724-0.0011638i,-0.0014157-0.0017631i,-0.0004955-0.00097867i,-0.00022545+7.0935e-05i,-0.00036445+0.00029365i,-8.7052e-05+0.00011977i,0.00012663-0.00020958i,0.00019698-0.00073769i,4.9922e-05-0.00045893i,0.00033551+6.9699e-05i,0.0005288+7.9354e-05i,0.00037437+0.00027128i,0.00035028+0.00014309i,0.00027031-0.00026282i,0.00018127+0.0002131i,0.00059309+0.00078857i,0.00079092+0.00084393i
0.0005815+0.0010648i,0.00019894-0.00012679i,0.00040248-0.001448i,0.0001629-0.0017776i,-0.00083482-0.0011718i,-0.0024485-0.0012748i,-0.0024331-0.0016161i,-0.00085468-0.0010127i,-0.00035878-0.00080138i,-4.3486e-05-0.0012386i,0.00016715-0.00068289i,0.00019842-0.00010161i,0.00032809+1.0629e-05i,0.00017987-0.00039055i,0.00024023-0.00039284i,-0.00024676+0.00010314i,-0.00058665-9.3636e-05i,0.00029841-8.9091e-05i,0.00075697-2.5755e-05i,-0.00015029+0.00019751i,-0.00050732+0.00047499i,-0.00024344-3.9731e-05i,-0.00044958-0.0001729i
-0.00058348+0.00054896i,-3.9526e-05-0.00032831i,0.0001665-0.00050112i,-0.00040449-0.00060701i,-0.00055868-0.0015737i,-0.00019352-0.0024395i,-0.00025883-0.0026847i,-0.0002411-0.0018093i,2.3034e-05-0.0010424i,0.00046218-0.0002649i,0.00051425+0.00015225i,0.00047072+0.00039129i,-0.00026089+0.0010814i,-0.00065925+0.00083718i,0.00018138+7.2743e-05i,8.655e-05-0.00054324i,-8.3707e-05-0.00066387i,0.0002471-0.0003312i,0.00033851-0.00055981i,0.00035317-0.00066925i,8.7795e-05-0.00038448i,-0.00034327+1.8887e-05i,-0.00013336-0.00020963i
