0.0002039+0.0008845i,-0.00078421+0.00064659i,-0.00095204+0.001338i,-0.00077184+0.0022592i,0.00038655+0.002012i,0.0018934+0.0013241i,0.0019859+0.00080984i,0.0010885+0.00045545i,-0.00018485+0.00064782i,-0.00022089+0.00051071i,0.00012408+0.00030565i,-0.00026392+0.00032528i,-0.00032739-8.6257e-05i,-0.00013426+0.00019856i,0.00040747+0.00034028i,0.00096844-5.6894e-05i,0.00098625-0.00019037i,0.00051909-0.00028238i,-0.00017074+0.00020458i,-0.00054872+0.00016215i,-5.0247e-05-0.00039486i,0.00066476+3.1494e-05i,0.00043049+0.00054551i
0.00038207-0.002675i,-0.0011029-0.0031184i,-0.0014762-0.0038204i,-0.00089468-0.0034576i,0.00012994-0.0013671i,0.00051206+0.00039716i,0.0010368+0.00014147i,0.00090452-0.00044699i,1.8784e-05-0.00054609i,0.0001894-6.4659e-05i,0.00068151+0.0003886i,0.0007189+0.00041538i,0.0005788+0.00012683i,3.3329e-05-0.0002406i,-0.00060833-3.693e-05i,-0.00043569-4.4678e-05i,-8.6515e-05-0.00022312i,0.00016214-0.00042248i,0.00026214+1.5167e-07i,2.291e-05+0.00080681i,-9.7435e-05+0.00020189i,-0.00059945-0.00058144i,-0.00076264-0.00077531i
-0.00089907-0.00057117i,-0.00059804-0.00052052i,-7.8705e-05+0.00088296i,-0.00014999+0.0021458i,0.00013508+0.0021679i,0.0012661+0.0014468i,0.00073255+0.00099324i,-2.5393e-05+0.00031248i,-0.00032785-0.0010581i,-0.00082034-0.0013116i,0.00012732-0.0011073i,0.00081256-0.001386i,7.5109e-05-0.0011538i,-0.00026119-0.00072903i,-0.0005524-0.0012587i,-0.0011508-0.001289i,-0.0005946-0.00047617i,-0.00049794-0.00044479i,-0.0008849-0.00015377i,-0.00098689-0.00025286i,-0.0006216-0.001145i,-4.9571e-06-0.0010799i,0.00054464-0.00086627i
-0.0019534-0.0012473i,-0.0024535-0.00057197i,-0.0028358+5.6705e-05i,-0.0020775+0.0015085i,-0.00098537+0.0018955i,-0.00025989+0.0013405i,-8.3206e-05+0.00017459i,-0.0001214-0.0012132i,-0.00056437-0.0015638i,-0.00087745-0.0011867i,-0.00042143-0.00065482i,-0.00021704-0.00046403i,-0.00063778+0.0001176i,-0.00076706+0.0007073i,-0.00066346+0.00081728i,-0.00047179+0.00075515i,0.00063978-6.9085e-05i,0.00071634-0.00046947i,0.00028682-0.00051245i,0.00057332-0.00063711i,0.00040909-0.00077012i,-1.7912e-05-0.00073725i,0.00017337-8.9351e-05i
0.00071895-0.0010121i,0.0019612-0.0025323i,0.0013529-0.0029905i,6.5307e-05-0.0024581i,0.00015126-0.00062277i,0.0012546-0.0002031i,0.00060126-0.00046233i,-0.00075395+0.00020519i,-0.0016866+0.00077187i,-0.001887+0.0007761i,-0.001314+0.00025468i,-0.00079872-7.1621e-06i,-0.00083751+0.00049052i,-0.00098192+0.00064624i,-0.00078946+0.00085689i,-0.00050472+0.0010183i,0.00010928+0.00038514i,0.00078521+0.00031994i,0.00023432+0.00076325i,-0.00065006+0.00029196i,-0.00017479+0.00048808i,0.0006668+0.001216i,0.00087019+0.0010087i
-0.00013377+0.0012668i,0.00054738+0.00069208i,0.0017255+0.0011003i,0.0027122+0.0020619i,0.0031604+0.002415i,0.0021539+0.00034557i,0.00070388-0.00057485i,0.0003475-0.00012039i,0.0003288+4.0841e-05i,-1.2506e-05+0.0010064i,-0.00013754+0.00061209i,0.00019575-0.00064878i,0.00022657-0.00059933i,0.00019326+0.00011606i,0.00055106+0.0001173i,0.00040433-5.0949e-05i,-0.00032404-0.00026557i,-0.00034926-0.00090283i,0.00021214-0.00057176i,0.00049211+0.00057395i,6.2057e-05+0.00031442i,0.00041495-0.00026724i,0.00047007+7.9486e-05i
-0.00023602-0.00040604i,-0.00010411-0.0010649i,-0.00055778-0.0012334i,-0.00056393-3.3491e-05i,-0.00011163+0.00090787i,0.00060722+0.00077326i,0.0014386-0.00037224i,0.000781-0.0012481i,-0.00079795-0.0011157i,-0.0010372-0.00031631i,-0.00045096-0.00023817i,0.00027728-0.0004319i,0.00062124-0.00080906i,0.00042947-0.0013677i,0.00045759-0.0014606i,0.00030015-0.00095069i,2.5312e-05-0.00025183i,-0.00021846-6.1807e-05i,-0.00067467+0.00012269i,-0.0009236+0.00011848i,-0.00059786-0.0002438i,0.00042822-0.00025473i,0.00045394-0.0003178i
0.0011894+0.00078318i,0.0020754-0.0011825i,0.0022009-0.00056888i,0.0019815+0.0012361i,0.0021899+0.0018667i,0.0022154+0.00079129i,0.0016732-0.00042808i,0.00025395-0.00065991i,-0.00070003-0.00057477i,0.00017232-0.00018582i,0.00081571-0.00017635i,0.00076581-0.0007024i,-0.000344-0.0001617i,-0.0014339-0.00047832i,-0.0011167-0.00050156i,-0.0006136+0.00053955i,-0.00030773+0.00033816i,-0.00042407-2.3188e-05i,-0.00081169+0.00049025i,-0.000197+0.00073991i,0.00073045+0.0003955i,0.00015095+0.00027839i,0.00017735-0.00014425i
9.0257e-05+0.00079616i,-0.00011725-0.00063447i,0.00064784-0.0016326i,0.00093827-0.0017649i,0.0012718-0.0015226i,0.0014981-0.0022346i,0.0010468-0.0024469i,-0.00038468-0.001131i,-0.0014043-0.00025532i,-0.00088094-9.1888e-05i,-0.0012054+0.00017582i,-0.001665-0.00055383i,-0.0013397-0.00039644i,-0.0012813+0.00059103i,-0.0011952+0.00048809i,-0.00094361+0.00015649i,-0.00028488+0.00068802i,-4.7218e-05+0.00069697i,-0.0001884+0.00036916i,-0.00048557-0.00040545i,-0.00043384-0.00051815i,-0.00032418+9.9624e-05i,-0.00045071+0.0002646i
-0.0018844+0.00042011i,-0.00024709+0.00018316i,0.00030958-0.00013842i,0.00013779+0.00058206i,0.00095661+0.0013118i,0.0018715+0.00053979i,0.0007586-6.3256e-05i,-0.0003264-0.00017398i,-0.00019834-0.00052274i,-0.00033967+0.00043976i,-0.00053679+0.0014598i,0.00045857+0.00095169i,0.0012708-2.1554e-05i,0.00050475-0.00025257i,-0.00033428+0.00044371i,0.00061381+0.00041054i,0.00093394-0.00022134i,0.00026728-0.00013452i,-0.00036719+0.00035151i,-0.00044393-1.0094e-05i,-0.00022972-0.0006047i,0.00021807-0.00076151i,0.00054075-0.0011455i
