-0.0013532-0.00063584i,0.00023578+0.0004372i,7.6554e-05+0.0014478i,-6.7527e-05+0.0020865i,0.0014016+0.0016071i,0.0019358+0.00019466i,7.4666e-05-0.00028075i,-0.0012547+0.00087639i,-0.0013344+0.0013674i,-2.3988e-05+0.00079073i,0.0015182+0.00020124i,0.00085334-0.00044659i,-0.00043181-0.0010609i,-0.00071034-0.0013687i,3.1541e-05-0.00053224i,0.00052075-4.4148e-06i,8.8361e-05-1.2101e-05i,-0.00033904+0.00047331i,-4.2166e-05+0.0006004i,-0.00016067+0.00027499i,-0.00018474-1.9417e-06i,-7.6978e-05-0.00015118i,9.1221e-05-0.00020302i
-0.00049211-0.0016091i,-0.0004465-0.0018704i,-0.00027612-0.0016602i,0.00056824-2.4007e-06i,0.0012927+0.00097405i,0.0013389-3.6557e-05i,0.00034393-0.00059674i,-0.0011168-0.00064325i,-0.0013839+0.00010775i,-0.00074076+0.00097443i,0.00014552+0.00065179i,0.00081858+0.00049796i,0.0007982+0.00047954i,0.00010884-4.2596e-05i,-0.00014735-0.00014446i,0.00072668-0.00018296i,0.0011441-0.0001339i,0.00053103+4.8382e-05i,0.00017639-3.4872e-05i,0.00018147+0.00024409i,0.00023911+0.00063406i,-0.00018546+0.00055657i,0.00044074-9.7076e-05i
0.0014262-0.0011067i,0.0018172-0.0018469i,0.0015076-0.0015721i,0.0012233-0.00039466i,0.0012709+0.00028568i,0.0010522+5.9995e-05i,0.0003859-0.00029089i,-0.00041649+0.00013885i,-9.2379e-05+4.6745e-05i,-0.00019286+0.00023321i,-0.00083648+0.00055706i,-0.0006852+0.00011539i,-2.174e-05-0.00049281i,0.00085927-0.00076244i,0.00076719-6.9228e-05i,0.00047048-0.00010187i,0.00061147-0.00019286i,0.0010403+0.00026955i,0.00051716+0.00068854i,-0.00058883+0.0010365i,-0.00064962+0.00065975i,0.00015726-0.00011713i,0.00063158+0.00011077i
0.00015569-0.00040912i,0.00025293+0.00062718i,0.00037498+0.00058242i,0.00063981-0.00019526i,0.0012892+0.00014942i,0.0015121+0.0003883i,0.00079123-1.7297e-05i,0.0001714+3.8099e-05i,-0.00048651+0.00010472i,-0.00070522+2.5483e-05i,-0.00090906-0.00014297i,-0.00045174-0.00013674i,0.0006155-0.00023276i,0.0010612-0.00082471i,0.0012262-0.0011195i,0.0007191-0.00053966i,4.8333e-05-4.7802e-05i,0.00055768+0.00060882i,0.0012634+0.00055839i,0.0012089+0.00017128i,0.00056776+0.00023021i,2.0722e-05+0.00026912i,-0.00039527+0.00043938i
0.0005336-0.0019738i,0.00027864-0.00135i,0.00082669-0.00066633i,0.0015113-0.00062322i,0.0020958-0.00057365i,0.0020476-0.00034328i,0.001165+5.591e-05i,0.00038322-0.00047487i,-0.00036974-0.0014252i,-0.00087733-0.0013772i,-0.00083012-0.00010789i,-0.00045798+0.0005336i,0.00057715-0.00057115i,0.00060821-0.0012191i,0.00016368-0.00085794i,0.00025506-0.0012627i,0.00033945-0.0013312i,-1.5735e-05-0.00051724i,-0.00020815-0.00013452i,-0.000442-0.00017928i,0.00015356+4.463e-05i,0.00065099+0.00067023i,0.00022122+0.00060094i
0.00070425+0.00088437i,0.00065992+0.0013599i,0.00046115+0.0022176i,0.0015585+0.0017257i,0.0022721+0.00067785i,0.0014546-0.00050522i,0.00038607-0.0012952i,-0.00031741-0.001421i,-0.00082956-0.00044749i,-0.00017659+0.00029889i,0.00050745-0.00060505i,0.00030098-0.00086239i,-0.00065139+0.00042455i,-0.00035146+0.0008323i,0.00058274-0.0005189i,0.00058762-0.0011808i,0.00017282-0.00089271i,-0.00069124-0.00031802i,-0.0012033+0.00013567i,-0.0011091-0.00033728i,-0.00071598-0.00026078i,-0.0004879-0.00011742i,-0.0003309-0.00057944i
-0.0013133-0.0018736i,-0.0013582-0.0016524i,-0.00088974-0.00047707i,6.129e-05+0.0018467i,0.00082363+0.0030411i,0.0014333+0.0016973i,0.00066478+0.0003504i,0.00041806+0.00046154i,-7.621e-05+0.00080151i,-0.00065454+0.00078847i,-2.7502e-05+0.00048225i,-8.8194e-06+0.00049286i,0.00020894+0.00064435i,0.00014503+0.00035248i,0.0004128-0.00026368i,0.0005435-0.00045847i,0.00011926-0.00012291i,0.00024955-0.00017681i,0.00036358-0.00021257i,0.00032998+0.00016154i,-9.5693e-05+0.0001006i,-0.0003051-3.0563e-05i,0.00012361-0.00015456i
0.00017877+0.00054797i,0.00064735+0.0010688i,0.0018504+0.0014765i,0.0026282+0.0016133i,0.0025242+0.0016171i,0.0024002+0.0012001i,0.0010956+0.00050848i,-8.2812e-05+0.00013294i,0.00018159+0.00065405i,0.00021574+0.00068404i,-0.00043697+7.5709e-05i,5.2575e-05-0.00041458i,0.0010784-0.00040164i,0.0012168-0.00022454i,0.0010952+0.00013338i,0.00073509+2.4342e-05i,0.0007049+7.2549e-05i,0.0010019+6.3845e-05i,0.00095586+0.00022369i,0.0011267+0.0001229i,0.0006099-7.8063e-05i,-0.00023506-0.00041027i,-0.00070111+0.00034232i
0.00035572-7.9362e-06i,0.00043522-0.00043706i,0.00035581-0.00056238i,0.00041545-0.00020182i,0.0015899+1.4667e-05i,0.0022642-0.00032748i,0.0013675-0.00071987i,-0.00020339-0.00010733i,-0.001+0.00099748i,-0.00056407+0.00092442i,4.3988e-05+0.001081i,0.0003155+0.00088269i,0.00042312+0.00039502i,0.00049032+0.00033324i,0.00046192+0.00046346i,0.00059706+0.00065368i,0.00075888+0.00018004i,0.00034819+0.00023184i,2.227e-05+0.00077294i,-0.00029744+8.0774e-05i,-0.00055547-7.3577e-05i,-0.00063125+0.0010641i,-0.00023948+0.00050744i
0.0010626+0.00013933i,0.0013711+0.0008477i,0.0013442+0.0010749i,0.0020825+0.0015261i,0.0023558+0.0016548i,0.0015792+0.00031515i,0.00035828-0.0009694i,-0.00026408-0.0012024i,7.7565e-05-0.00060363i,-2.6688e-05-0.00038511i,-0.00011809-0.00024731i,0.0005948-3.6157e-05i,0.0009769+0.00013609i,0.0012754+0.00035833i,0.00074764+0.00045872i,-0.00067361+0.0006555i,-0.00042129+0.00045939i,-0.00024764+0.00050488i,-0.00077313+0.00074405i,-0.00078829+0.00062848i,-0.00038269+0.00036864i,-1.3283e-05+0.00032534i,1.2495e-07+0.00021302i
-0.0004818-0.000554i,-0.00091758+5.5626e-05i,-0.0014375+4.8426e-05i,-0.00063544+0.0010927i,0.00062476+0.002265i,0.001537+0.0011596i,0.00086921-0.00023374i,-0.00027436-0.00016022i,-0.0012177+0.00033692i,-0.0016688+0.0010368i,-0.001058+0.0016547i,-7.9775e-05+0.00038722i,0.00038306-0.00066621i,0.00029343-0.00038636i,0.00025037+0.0001711i,0.00096269+5.6451e-05i,0.0013896-0.00034612i,0.00072345-0.00053939i,-0.00037497-0.00028623i,-0.00018246-0.0003123i,0.00048696-0.00036893i,4.6117e-05-0.00039651i,-0.00090911+6.3417e-06i
