-0.00018202+0.00077052i,0.00084668+0.00055416i,0.00012366+0.00082953i,-0.00054247+0.00042529i,-0.0014585+1.7296e-05i,-0.0021191+0.00044537i,-0.0016002+0.0013741i,-0.00062427+0.0013317i,0.00063995+0.00040335i,0.00099224+0.00012298i,0.0007339-0.00036343i,0.00030911-0.00082758i,-0.00023933-0.00026912i,-0.00055142-0.00020473i,-0.00044234-0.00038972i,-0.00013535-0.00040335i,0.0003691-0.0006628i,0.00064689-4.331e-05i,-0.00024439+0.00095901i,-0.00082396+0.00084957i,4.94e-05-9.3521e-05i,-3.2139e-05-1.8577e-05i,-0.00074492+0.00021858i
6.1712e-05+0.00013307i,-0.0011479+0.0010448i,-0.0006718+0.00091077i,-0.000328-0.00035269i,-0.00045712-0.0018884i,-8.6251e-05-0.0017467i,-0.0011767-0.00090613i,-0.0018477-0.00015608i,-0.00094056+0.00027851i,-0.00061499+0.00040493i,-0.00044356+0.00018388i,0.00010176+0.0003233i,0.00053094+0.0004017i,0.00082114-3.3809e-06i,0.00031408+0.00025611i,-0.00011927+0.00015834i,-3.3234e-05-3.078e-05i,-0.00023713+0.00057586i,-0.00030762+0.00080161i,-0.00043174+0.00041544i,-0.00041567+0.0001267i,-0.00037814-8.1829e-05i,-0.00088813+0.00016757i
0.0015729-0.0018526i,0.00056844-0.0029159i,0.00032276-0.0026711i,0.0004081-0.0012412i,-0.00074049-0.00039307i,-0.0014695-0.0015715i,-0.0010855-0.0021337i,-0.00098656-0.0013329i,-0.00081842-0.00052933i,4.9314e-05-5.6597e-05i,-0.00031404+0.00055913i,-0.00035189+0.00081667i,8.3352e-05+0.00076879i,0.00044189+0.00053466i,0.00078158-5.5525e-05i,7.404e-05-0.00033461i,-0.00052014+3.9796e-05i,0.00026685+0.00015071i,0.00097313+0.00040562i,0.00078324+0.000361i,0.00059167+2.121e-05i,0.00017998+0.00022121i,-7.382e-05+0.00054366i
0.00093373+0.00013977i,0.00088544+0.00033322i,0.00059375-0.00082248i,2.5474e-06-0.0013051i,-0.00039775-0.00091803i,-9.6953e-05-0.00058578i,0.00011249+0.00054289i,-0.00023938+0.0010366i,-0.0011137+0.00039487i,-0.0016997-0.00049346i,-0.0010455-0.00084676i,-0.00055971-5.0196e-05i,-0.00063204+0.00043817i,-0.00069297+0.00082592i,-0.00076909+0.00099228i,-0.00063316+0.00072417i,-0.001339+0.00043601i,-0.0013062-0.00020561i,-0.00040598+5.5661e-05i,-0.00027545+0.00042213i,-0.00033628+0.00031046i,-9.3762e-05+0.00075049i,-8.1351e-05+0.0011328i
-0.00048189-2.2045e-07i,-0.00039422+0.00028913i,-0.00024025-0.00058643i,-0.00039842-0.0014061i,-0.00059457-0.0016427i,-0.00064315-0.001828i,-0.0010549-0.0013757i,-0.0017213-0.0007214i,-0.0015053-0.00098191i,-0.001286-0.00050219i,-0.0012418+0.00042577i,-0.00038253+0.00066045i,6.3989e-05+0.00041699i,0.00034593+3.359e-05i,-0.00043602+0.00013395i,-0.0010147+0.00055145i,-0.0008569+0.00094007i,-0.00016849+0.00048454i,0.00070443+0.0002206i,0.00079642+0.00069258i,0.00048569+0.00041166i,0.00092956-9.5416e-05i,0.00059667+6.1432e-05i
-0.00068025-0.00045667i,-0.00060784-0.0011618i,-0.00063834-0.0011893i,-0.00069681-0.00057141i,-0.00028121+5.5911e-06i,-0.00091998-7.8832e-05i,-0.0015647-0.00077254i,-0.00090362-0.00083768i,-0.00037127-0.00057781i,-4.7357e-05-0.00035719i,0.00054477+0.00012934i,0.00067956+0.00031095i,0.00060828-0.00017865i,0.00054062-0.00053121i,0.0004787+0.00012327i,0.00017732+0.00054487i,-0.00016254+8.5619e-05i,3.5702e-05-0.00016964i,0.0002488-0.0001693i,-0.0001991-0.00035502i,-0.00017461-4.4747e-05i,-0.00031275+7.3835e-05i,-7.9501e-05+0.00062825i
-0.00099896+1.7846e-06i,-0.0019597-0.00018486i,-0.001122+0.00083238i,-0.00041993+0.0010313i,-0.0002539-6.8876e-05i,0.00032453-0.0007211i,-2.2911e-05-0.00062746i,-0.00079831-0.00019206i,-0.001745+0.00031006i,-0.0021343+0.00047242i,-0.0020513+0.00055287i,-0.0010128+0.00040498i,0.0006637-1.4431e-05i,0.00063305-0.00048119i,-0.00040445-0.00072079i,-4.7757e-05-6.2604e-05i,0.0007534+0.00028616i,0.00035773+0.00041013i,3.7057e-05+0.00050632i,0.00014471+0.00039635i,0.00045246+0.00039683i,0.00047287+0.00039387i,0.00011018+0.00022762i
0.0022828+0.0012127i,0.001967+0.00055711i,0.0027346-0.00049231i,0.0018182-0.001365i,-0.00011078-0.0020539i,-0.00094104-0.0020486i,-0.0010207-0.0013218i,-0.00082808-0.0016224i,-0.0009959-0.0016001i,-0.00099115-0.0012726i,-0.0010097-0.0013856i,-0.00080305-0.00089482i,-0.00015401-0.00028711i,-0.00043353-0.00027464i,-0.00065819+2.225e-05i,0.0002409-0.00025251i,0.00073501-0.00079956i,0.00030578-0.00074582i,0.00017429-0.0001897i,0.00025525+0.00013907i,0.00050152+0.00022019i,-3.8301e-05+0.00055933i,-0.00051727+0.00012342i
4.8132e-05-0.0014542i,0.00013628-0.0018457i,-0.0013332-0.0020402i,-0.002043-0.00064977i,-0.0013654+0.00048481i,-0.0012018-0.00010499i,-0.0013981-0.0012727i,-0.0014562-0.0016198i,-0.0013554-0.0016672i,-0.00068871-0.00097289i,-0.0008533+0.00067834i,-0.00043327+0.001198i,0.00038028+0.00086373i,-0.00031209+0.00064957i,-0.00018461+0.00076041i,0.00075414+0.00037128i,0.00042419-1.2539e-05i,0.00044293-0.00010977i,0.00033631+3.0494e-05i,-0.00057203+0.00030699i,-0.00026741+4.5147e-05i,0.00036444+1.2409e-05i,-8.7492e-05+0.0002908i
0.0023736+0.00062244i,0.0024074+0.00013294i,0.0019162-0.00058812i,0.00056378-0.0017548i,-0.00014459-0.0019459i,9.3152e-06-0.0010356i,-0.00029843-0.00027053i,-0.00014725-0.00060848i,0.00030396-0.00093866i,-0.00053295-0.0010343i,-0.0010039-0.0012804i,-0.00086414-0.0008726i,-0.00058255-2.5169e-05i,0.00016286+0.00031971i,6.4849e-05+0.00031765i,-0.00072599+0.0004471i,-0.00076194+0.00011926i,-0.00096338-0.00080267i,-0.0010002-0.0012495i,-0.00036376-0.00018653i,-0.00063426+0.00074712i,-0.000457+0.00013975i,0.00033285-0.00037166i
-0.00061641-0.00072308i,-0.00031525-0.0012053i,-0.0011427-0.00023256i,-0.0011781+0.00089965i,-0.00052096+0.00077268i,-0.00042784+5.5009e-05i,-8.5666e-05-0.00020933i,-0.00035954-0.0006437i,-0.00022791-0.001414i,-0.00020786-0.0013067i,-0.00081011-0.00028808i,-6.8143e-05+0.00047223i,0.001408+0.00080093i,0.001843+0.0011949i,0.00072439+0.00033298i,-0.00066209-0.00031826i,-0.0011863+1.2551e-05i,-0.00059595+0.00013862i,-0.0004054+0.00014879i,-0.00081884+0.00011244i,-0.00015304-0.00030389i,0.00096986-0.00095032i,0.00063405-0.0010835i
