0.0010057+0.00036165i,0.00047663-0.0012949i,-0.00098875-0.0033281i,-0.0018749-0.004467i,-0.0021837-0.0034259i,-0.0026941-0.00090116i,-0.0017084+0.0012315i,-0.00032148+0.0014916i,0.00088353+0.00030411i,0.00074681-0.001298i,-5.3722e-05-0.0018616i,0.0004943-0.00089236i,0.00075969-3.0424e-05i,0.00067875+3.5623e-05i,0.0014311+0.00047013i,0.00070498+0.0011409i,-0.00028518+0.001203i,0.00010437+0.00083574i,0.00021243+0.00035549i,0.00023729-0.00034345i,0.00039972-0.00087433i,0.00043391-0.00073226i,-0.00039382-0.00039513i
-0.0011295+0.0007619i,-0.0009158+0.0015398i,-0.00033356+0.0020671i,-0.00018986+0.0012068i,0.00010654-4.2446e-06i,0.00025972-0.00042153i,-0.0001978-0.00030042i,-0.00034062-2.8668e-05i,-0.00089306+0.00045279i,-0.001305+0.00022414i,-0.00069435-0.00052754i,0.0001282-0.00046646i,0.00045468-0.00065334i,0.0003748-0.0009087i,0.00044073-0.00072706i,3.0022e-05-0.00099312i,-0.00013603-0.0010345i,0.00050196-0.00032868i,0.00050565+0.00043856i,-0.00043133+0.00073238i,-0.00083613+0.00058841i,0.00011716-0.00056068i,0.00026955-0.00059241i
-0.001733-0.001226i,-0.0027229-0.0016245i,-0.0031559-0.0014694i,-0.0017591-0.00078834i,0.00012589-0.00063493i,0.0012602-0.00105i,0.00034586-0.0016201i,-0.0010064-0.0015745i,-0.00094606-0.00031727i,-0.00036195+0.00099159i,-0.00019112+0.00094138i,9.2592e-05-0.00028884i,0.00012771-0.0012172i,-0.00041941-0.0016207i,-0.00014971-0.001861i,0.00062539-0.00065655i,0.00085356+0.00028951i,0.00051269-0.00047553i,-4.1661e-05-0.00064645i,3.2628e-05-8.5917e-05i,0.00033735-0.00022199i,0.00016329-4.4709e-05i,0.00042699+0.0004155i
-0.00041378-0.0022816i,-0.00066453-0.00080807i,-0.00063718+0.00057127i,-0.00044828+0.0009551i,7.1584e-05+0.0012323i,0.00088128+0.0007193i,0.0010011-0.00026867i,-2.5815e-06-0.00061092i,-0.00087562-0.00026651i,-0.00019126+0.00033552i,0.00030395+0.00069528i,0.00039966+0.00033021i,0.00054151+0.00014706i,0.00087582+0.00057652i,0.0012206+0.00065773i,0.0011412-0.00030586i,0.00063691-0.00096134i,0.00012229-0.00087609i,0.0002409-0.00030941i,0.00011063+0.00043703i,0.00021009+0.00045261i,0.00095121-0.00030955i,0.00059587-0.00050836i
0.0011464-0.00087704i,0.00050952-0.0025308i,-7.2117e-05-0.0026802i,0.00010228-0.0015694i,0.00039539-0.00083705i,0.00075394-0.00099562i,0.00055407-0.0015251i,-0.00029584-0.00084736i,-0.0011558+0.00023394i,-0.0019425+5.6471e-05i,-0.0011862-0.00010333i,-0.00031174+0.00014453i,9.4427e-06+0.00044874i,3.5354e-05+0.00040698i,0.00016035-0.00042408i,0.00095004-0.00052737i,0.00054219+0.00033471i,-9.3011e-05+0.00076813i,0.00053508+0.00035973i,0.0011497-0.00020587i,0.00066826-0.00014215i,0.0002895-0.00019328i,0.00034296-0.00029925i
-0.0019806+0.0012875i,-0.00062412+0.0011398i,0.0003012+0.00064118i,0.0016546-1.6263e-05i,0.0033119-0.00087066i,0.0031939-0.0012228i,0.0013126-0.00070332i,-0.00010785+0.00045934i,-0.00031998+0.00164i,-0.00082774+0.0012782i,-0.00081542+0.00061274i,0.00018191+0.00052852i,0.00071392+0.00072946i,-0.00030219+0.00091319i,-0.00065928+0.00022484i,-0.00013077-0.00085651i,0.00022591-0.0005631i,0.00053803-0.00014364i,0.00058067-0.00087374i,0.00011276-0.0016175i,-0.00031072-0.0013028i,2.6498e-05-0.0006119i,-7.7101e-05+0.00029128i
0.00088326+0.000808i,0.00031327-6.5394e-05i,0.00017228-0.0017026i,0.00068954-0.0015352i,0.00088121-0.0011616i,0.00070327-0.0017931i,-0.00027299-0.0015936i,-0.0014205-0.00041922i,-0.0016652+0.00089363i,-0.00147+0.0014545i,-0.0016226-0.00010183i,-0.0011535-0.0011748i,-0.00010728-0.00020518i,-4.825e-05+0.00085552i,-0.00017253+0.0003931i,0.00018429-9.2819e-05i,0.00083818+0.00029901i,0.0010961-9.945e-05i,0.00033604-0.00059949i,-8.4837e-05-0.00038092i,-5.9367e-06-0.00030948i,-5.0193e-05-0.00045519i,-0.00041527-0.00060468i
0.0011572+0.00040845i,0.0015904-0.0015291i,0.0024357-0.002164i,0.0029137-0.0019896i,0.002306-0.0010875i,0.0019473-0.0013907i,0.0011579-0.0017508i,-0.00042063-0.00033918i,-0.0014573+0.00069828i,-0.0014457+0.00049541i,-0.0002106+0.00058652i,-1.6972e-05-0.00021508i,-0.00034793-0.0010855i,0.00015881-0.00072963i,9.5532e-05+0.00054568i,0.00017986+0.0012198i,0.00034968+0.00067587i,0.00047667+0.00017842i,0.00066148-8.4838e-05i,7.4973e-06+7.1105e-06i,-0.00073946+0.00013919i,-0.00044148-0.00013002i,-0.00019558-0.00047847i
0.00023861+0.0011763i,-7.9674e-05+0.00072789i,-0.00045606-0.00055424i,0.00012818-0.0018595i,0.001227-0.001414i,0.0011776-0.0018024i,-0.00016016-0.0015747i,-0.001584-6.771e-05i,-0.0015297+0.00081387i,-0.00078301+0.00058403i,2.1775e-05+0.0007746i,-9.3039e-05+0.00089702i,-0.00018247-0.00018767i,9.0654e-05-0.00047288i,-0.00011647-0.00031089i,-0.0003566-0.00076994i,9.1577e-05-0.0013321i,0.00056142-0.001101i,0.00026271-0.00025932i,0.00016016+0.00047021i,-0.00019996+0.00040966i,-0.00054032+0.00031052i,-0.00026282+0.00056048i
-0.00078702+0.0013198i,-0.00015039+0.00068596i,-0.00065039-0.00016561i,-1.9364e-05+5.191e-05i,0.0010673+0.00026407i,0.0012417-0.00094134i,0.00033122-0.0014487i,-0.00050741-0.00067445i,-7.06e-05-9.9017e-05i,-9.8753e-05+0.00042472i,-0.00025174+0.00018699i,-0.00024328-6.4672e-05i,0.00051784-0.00010371i,0.00088288-0.00053156i,0.00012821-0.00086064i,-0.00040996-0.00065139i,-5.1642e-05-0.00040208i,0.00044693-0.0004789i,0.00016238-0.00026416i,-0.00037663+8.4434e-05i,-0.00041876-0.00021964i,-7.5711e-05-8.6539e-05i,0.00027311+9.4529e-05i
0.00025444-0.0014237i,-0.00033414-0.00030163i,-0.00073067-0.00022942i,-0.0011577-0.0011501i,-0.00046372-0.0013347i,0.00050417-0.00064222i,0.00020014-0.00041612i,-5.5867e-05-0.00063782i,9.9887e-05+0.00011449i,-0.00017442+0.00078801i,-0.00065454+0.00032818i,1.4511e-05-5.0031e-05i,0.00072004-0.00012394i,0.00047324-0.00016188i,0.00036282-0.00039862i,0.00019742-0.00062116i,0.00017297-2.6822e-05i,0.00057449-4.3142e-05i,0.000783-0.00091183i,0.00036878-0.00050134i,-1.1183e-05+0.00052613i,-0.00024592+0.00051631i,-0.00024456-0.0001589i
5.7249e-05-0.0020133i,-0.0013625-0.0017153i,-0.0015279-0.0028666i,-0.0010275-0.0034884i,-0.00063038-0.0022447i,-0.00086921-0.0015381i,-0.00049119-0.0012094i,0.00056128-0.0002793i,0.00026467+0.00049431i,-0.00041402+0.00084515i,-0.0009613-0.0002438i,-0.00095987-0.00025779i,-0.00069979+0.0007712i,-0.00027464+0.00047116i,0.00085295+0.00032133i,0.0013069+0.00036667i,0.00035584-0.0002195i,-0.00024021-0.00032793i,-0.00069624+0.00022606i,-0.0011138+0.00013605i,-0.00096664+9.1704e-06i,-0.0002499+0.0005167i,-4.4047e-05+0.0010788i
0.00070978-0.0017006i,0.00033632-0.0018702i,-0.0012163-0.0015567i,-0.0011579-0.0016884i,6.1884e-05-0.0020815i,0.00056863-0.0015499i,0.00058384-0.00045784i,-1.3423e-05+7.8569e-05i,-0.0010266+0.00023663i,-0.001167-0.00018256i,-0.00060407-0.00025992i,2.8183e-05+0.00016538i,0.00049351-0.00012814i,0.00056975+0.00011557i,0.00062105+0.00033856i,0.00080392-6.7332e-05i,0.00078198+0.00023877i,0.00023035-0.0001072i,0.00032377-0.00053788i,0.00098737+0.00015665i,0.00082107+0.00027152i,-0.00038775+5.2398e-05i,-0.00028706-0.00045588i
-0.0014571-0.002111i,-0.0017921-0.0028511i,-0.0023124-0.0017119i,-0.0024542-0.00073802i,-0.0018886-0.0010607i,-0.00096593-0.0014564i,-0.00059999-0.0013428i,-0.0015134-0.00035589i,-0.0017006+0.00035082i,-0.0011627+0.00054479i,-0.0012678+0.00017079i,-0.000719-7.1667e-05i,0.00032772-0.00025712i,0.00060508+9.5537e-05i,0.00033807+0.00028845i,0.00062317-0.00058835i,0.0011136-0.00034422i,0.0011413+0.00033636i,0.00035244+0.00012168i,-0.00069467+0.00019704i,-0.0015646+0.00013382i,-0.0011241+8.7471e-06i,-6.3466e-05+0.00060348i
-0.00078557-0.00025893i,-0.0016525+0.00055829i,-0.0017139-0.00049989i,0.00040181-0.0012557i,0.0017165-0.00061441i,0.0012927-0.00092076i,0.0002526-0.0010861i,-0.00078085-0.00046441i,-0.00096127-0.00042336i,-3.9875e-05-0.00011774i,5.3324e-05+4.2276e-05i,-0.00057278-0.00037804i,-0.00036189-0.00064535i,1.2601e-05-0.0010815i,0.0003962-0.00058741i,0.00039084+8.7732e-06i,0.00039412-7.1957e-05i,0.00047136-0.00025357i,6.8535e-05-0.00057119i,-4.4043e-05-0.00076027i,-0.00048595-0.00071782i,-0.00051862-0.00068752i,0.00033861-0.00053713i
-0.00025717+0.0021377i,-0.00015865+0.0013566i,0.0011274+0.000759i,0.0021949+0.00059914i,0.0026028+0.00039157i,0.0021894-0.00020408i,0.00082284-0.00056759i,0.00021295-0.00053278i,0.00045054+0.00019287i,0.0005802+7.7177e-05i,0.00014491-0.0002363i,-0.0001093+0.00015454i,-0.00011818-0.00038673i,-0.00036034-0.00094285i,-0.00035956-0.00073827i,-0.00021465-0.00030577i,4.5355e-05-6.8047e-06i,0.00019414-8.4305e-05i,0.00026641-8.1447e-05i,5.9083e-05+0.00032306i,-7.7855e-05+0.00085916i,0.00017242+0.00050796i,0.00044542+0.0002416i
-0.00052436+0.00012136i,-0.0011236+6.35e-05i,-0.00056258-0.00029963i,0.00088345-0.00089075i,0.0018206-0.0016834i,0.0014067-0.001762i,0.00083239-0.0019423i,-7.9875e-05-0.0015391i,-0.0011831-0.00033096i,-0.0011939+0.00075285i,-0.00063639+0.00064446i,9.7148e-05+0.00016959i,0.00020267+8.3277e-05i,0.00064299-0.00027169i,0.0012416-0.00070425i,0.0013107-0.00083691i,0.0015934-0.00069504i,0.001613-0.00028956i,0.0015934+0.00047902i,0.00027632+0.0004195i,-0.00041805-0.00021089i,-0.00022232-8.7856e-05i,-0.00013821+2.2212e-05i
-0.00060908-0.0010676i,-0.0012318+0.00013023i,-0.0023033-5.1649e-05i,-0.0015172-0.0014486i,-3.0568e-05-0.0023055i,0.0004737-0.0018448i,0.0002695-0.00067687i,-7.8622e-05-0.00071156i,-0.0006346-0.00064054i,-0.00022682+0.00050355i,0.00030704+0.0012494i,-3.4576e-05+0.00073336i,2.2998e-05-3.8897e-05i,0.00054851-0.00077668i,0.0012786-0.00113i,0.0012736-0.00086962i,0.00070129+5.4641e-05i,0.00075865+0.00085521i,0.00075704+0.0012309i,9.9278e-05-2.976e-05i,0.00044091-0.0014227i,0.0003411-0.0013542i,-0.00098508-0.00022596i
0.00036885-0.0010696i,-0.00081413-0.0013851i,-0.00097299-0.0018015i,-0.00069971-0.0016313i,0.00031933-0.00084758i,0.00117-0.00037888i,0.00035008-0.00082544i,-0.00023743-0.0013444i,0.00025411-0.0011821i,-3.9089e-05-1.0921e-05i,-0.00038879+0.00096703i,-0.00044052+0.0011199i,0.00043881+0.00065647i,0.0010624+0.00068532i,0.00067746+0.00097608i,0.00031397+0.00058545i,0.0004773+0.00031193i,0.00079651+0.00030639i,0.00025482-0.00023972i,0.00036736-0.0001754i,0.00061944+0.00038062i,-0.00018393+0.00027675i,-0.0007224+0.00011094i
-0.00086504-7.7269e-05i,-2.0903e-06-0.0007585i,-0.0010954-0.00099467i,-0.0015515-0.0017694i,-0.00011213-0.0020536i,0.00094369-0.0015418i,0.00039821-0.00074354i,-0.00081798-0.00023226i,-0.00017224+0.00058419i,0.0010735+0.00066836i,0.0010928+0.00035216i,0.0002396+0.00038581i,-0.00043954+0.0001351i,-0.00027546-0.00019818i,7.1768e-05-0.00040603i,0.00061747-0.00078107i,0.00074844-0.00056432i,0.00015556-0.00019795i,-0.00035931-0.00034165i,2.9489e-05+0.00018252i,-1.9562e-05+0.00091788i,-0.00026057+0.00023469i,4.5967e-05-0.00083984i
-0.00062518-0.0027238i,-0.001086-0.0011534i,-0.00083377-0.0011972i,-0.0012049-0.001962i,-0.0010457-0.002099i,0.00023683-0.0016115i,8.2612e-05-0.0010991i,-0.0012521-0.00047316i,-0.0017941-0.00036675i,-0.0015492-0.00027582i,-0.0010703-0.00025559i,9.7783e-05+0.00041388i,0.0012862+0.00055723i,0.0018147+9.242e-05i,0.0015874-0.00019428i,0.0013677-9.861e-05i,0.00080344-0.00020459i,-1.2431e-05-0.0010515i,-5.1813e-05-0.0010224i,5.3095e-05-0.00025999i,-0.00020035+0.00060834i,-0.00032955+0.00094247i,-0.00054807+0.00046832i
-7.2526e-05+0.0015568i,0.00068848+0.0010577i,-0.00020793+0.00071814i,0.00083179+0.00020706i,0.0026097-0.0008536i,0.0016671-0.0020336i,0.00095507-0.0011697i,0.00027245+0.00041911i,-0.0010512+0.00084623i,-0.00093153+0.00090973i,-0.00066696+9.1004e-05i,-0.00089018-0.00050724i,-0.0009252-0.00017978i,-0.00061681-0.00066587i,0.00049132-0.00088874i,0.0013795-0.00049911i,0.0011969-0.0005623i,0.0011106-0.00094864i,0.0015613-0.0001833i,0.00095145+0.00042485i,0.0010511+0.00064487i,0.00060203+0.00095604i,-0.00018128+0.00070335i
0.0010278-0.0024183i,0.00033864-0.0020464i,-0.00026461-0.0021318i,-0.00013691-0.0021407i,0.00023828-0.0024221i,-0.00035391-0.0017644i,-0.00054389-0.00088784i,-0.0001548-0.00043254i,-0.00057223-0.00023147i,-0.00062524-0.00044155i,-0.00039095-0.00054798i,-0.00032022-8.4898e-07i,-0.00024108+0.00090162i,0.00015577+0.0016196i,0.00097769+0.0010442i,0.0016685-0.0002561i,0.00090389-0.00017054i,2.6642e-05+0.00029352i,-0.00045301+0.00056392i,-0.00080652-0.00039844i,-0.00072197-0.00076729i,-0.00071979+0.0001475i,-0.00064319+0.00031507i
0.00078832+0.00060004i,-0.00027092-0.0012402i,-0.00042509-0.0027319i,0.00087222-0.0023891i,0.001631-0.0014554i,0.0010871-0.0011167i,0.00015186-0.00083745i,-0.00078668-0.00092516i,-0.0014249-0.00020538i,-0.00048611+0.00012947i,-0.00044637-0.00042992i,-0.0007683-0.00046615i,-0.00046416-9.9266e-05i,-0.00014449-0.00033365i,0.00017526-0.0012184i,0.00013627-0.0010583i,7.1125e-05-0.00010331i,9.5301e-05+0.0003502i,-9.7687e-05+0.00030621i,-0.00036392+0.00039372i,8.6132e-05+0.00028434i,0.00043641+0.00041407i,0.00042671+0.00017656i
0.00041205-0.0010132i,2.713e-05-0.0012685i,-0.00016692-0.0016144i,-0.00021893-0.00080735i,-0.00050104-0.00072341i,-0.00070913-0.0014077i,-0.00058955-0.0011114i,-0.001111-0.00014126i,-0.0016761+0.0004696i,-0.0012303+0.00046116i,-0.00011803+0.00020333i,0.00040354+0.0003274i,0.00054986+0.00091614i,0.00054169+0.00082822i,0.00072964-8.9463e-05i,0.0014704-3.8698e-05i,0.0017654+0.00016489i,0.001065+0.00010509i,0.000464+7.3863e-06i,0.00031553+0.00013098i,0.00074686+0.00011291i,0.0011896-0.00037539i,7.3052e-05-0.00027651i
-0.00073804-0.0014331i,-0.0009002-0.0015841i,-0.00078638-0.0010573i,-0.00064073-0.00043458i,0.00053956-0.00015009i,0.0015975-0.0002234i,0.0015391-0.00081211i,0.00092133-0.00077934i,-0.0005069+0.00056866i,-0.0017379+0.00096666i,-0.0014275+0.00096513i,-0.00057249+0.00067251i,0.00060421-0.00034515i,0.0011374-0.00044819i,0.00029572-9.8689e-05i,-0.00062038-0.00010814i,-0.00080954-0.00060061i,-0.00032468-0.00052662i,0.00015416+6.9177e-05i,0.00048466+0.00034127i,0.00069578-1.0897e-05i,0.0002343-0.00033361i,-2.5451e-05-0.00066509i
9.0604e-05-0.00030463i,-0.00038032-0.00077908i,-0.00060671-0.0010251i,-0.00030585-0.00099213i,0.00041859-0.00035504i,0.0011584-0.00031282i,0.0010814-0.00046827i,-0.00022718-0.00041568i,-0.00086599-0.00011461i,-0.00085725+3.8264e-05i,-0.00078976+0.00048606i,-0.00059957+0.00046411i,0.00035105-4.6798e-05i,0.00081749-3.932e-05i,0.00069561-0.00027212i,0.00087464-0.00054986i,0.00098837-0.00082451i,0.00043086-0.0009064i,1.6203e-05-0.00051626i,6.973e-05-0.0004492i,-0.00036464-0.00077523i,-0.0002495-0.00015525i,-0.00016599+0.00052026i
0.00095644+0.0017657i,0.00051087-0.0011166i,0.0028608-0.0017093i,0.0037035-0.00094806i,0.0020951-0.001542i,0.0002061-0.0015882i,-0.0011497-0.001233i,-0.0013838-0.00036092i,-0.00051824+0.00046522i,0.00095618-0.00026505i,0.00035467-0.0006681i,-0.00031285+3.7113e-05i,0.00023983+0.00030827i,7.6812e-05+6.1066e-05i,0.00033692+0.00055659i,0.0003432+0.0016057i,0.00010683+0.0011721i,0.00025097-0.00017013i,0.00019623-0.00035919i,-3.6592e-06+0.0002811i,-0.00015475+0.00082919i,0.00019828+0.0011376i,0.00024267+0.00093326i
-0.00067508-2.1622e-05i,-0.0010369-0.00056786i,-0.00067379-0.0012724i,0.00072294-0.0014088i,0.00097675-0.0014143i,0.00030447-0.0012532i,-0.00043109-0.0001404i,-0.0013683+0.00094779i,-0.0014037+0.0010731i,-0.00072067+0.00015292i,-0.00026094-4.8906e-05i,-0.00018538+0.00012064i,-9.9931e-05-8.128e-05i,-7.0417e-05-0.00016716i,-0.00013176-0.0006282i,0.00020696-0.00095371i,0.00068284-0.00065423i,0.0012617-0.00011442i,0.00088592+5.1064e-05i,0.00019899-2.5691e-05i,-0.00050354+0.0001918i,-0.00058534+0.0002477i,-2.893e-05+0.00018015i
0.00051458-0.0017184i,0.00064456-0.0011182i,0.001195-0.0006033i,0.0013813-0.0005454i,0.0012325-0.00096997i,0.001241-0.00097079i,0.00094343-0.0017415i,0.00033342-0.001294i,-0.000408+0.00044782i,-0.00040055+0.00093181i,0.0002285+0.000488i,0.00043708+0.00045455i,0.00088297+0.00085635i,0.00076091+0.00048308i,0.00028656+0.00011083i,0.00035855-0.00012929i,0.00050707-0.00019485i,0.00087627-0.00018324i,0.00068347-0.00053032i,-0.00015225-0.00048401i,-0.00071942-8.2465e-05i,-0.00061055-1.0195e-05i,9.0057e-05+0.00029004i
-0.00093472-0.0027193i,-0.0024836-0.0009214i,-0.0030711-2.1192e-05i,-0.0015166-0.00043485i,0.00015428-0.00015034i,0.00068567+0.00095138i,0.00043048+0.00080405i,-0.00012684+0.00049672i,-0.00076321+0.00062231i,-0.00037543+0.0003436i,5.7464e-05-0.0001706i,-0.00038757+0.00055362i,-3.3167e-05+0.0011042i,0.00064612+0.0002319i,0.00039268-0.00038048i,-0.00016071-0.00043478i,-0.00024827-0.00042977i,2.4047e-05-0.00013838i,-0.0002349+0.00020029i,-0.00043236+7.9498e-05i,-0.00070283+0.00016777i,-0.00078273+0.00018547i,-0.00046243-0.00021527i
