-0.0050768+0.00034501i,-0.0037281+0.0013997i,-0.0030166+0.0023059i,-0.0033784+0.002982i,-0.0036124+0.0023011i,-0.0021438+0.0014381i,-0.0011091+0.0012306i,-0.00062473+0.00062873i,-0.00030617+0.00084901i,-4.0451e-05+0.0015632i,0.00074551+0.00028136i,0.00097901-0.0013691i,0.00023794-0.0014728i,0.00016329-0.0014488i,-0.00019144-0.00073604i,-0.00078485-0.00011263i,-0.00078058-0.00032145i,-0.00052145-0.00051234i,0.00027018+0.00043985i,-4.3815e-05+0.00021931i,-0.00050569-0.00043327i,-0.00018824-0.00032176i,-0.00011082+0.00022144i
0.00050963-0.00070241i,-0.00035983-0.00029904i,-0.0018284-7.9944e-05i,-0.0022973-0.00050801i,-0.0028087-0.00077233i,-0.002167-0.0003224i,-0.00080798+8.8568e-05i,-0.00062614-3.8419e-05i,-0.00046342+0.00011819i,0.000222+0.00021244i,0.00071035-0.00038798i,0.00084665-0.00074856i,0.0010355-0.00044647i,0.00085981-0.00015784i,0.00030782+0.00034524i,0.00011285+0.00098586i,0.00017648+0.0011569i,-0.00021643+0.0003113i,1.6425e-06-0.00077822i,7.6315e-05-0.00083271i,-0.00031327-0.00041547i,-0.00011335+0.00038877i,-0.00030301+0.00059744i
-0.0013005-9.1095e-05i,-0.0024504+0.0010077i,-0.0024957-0.00059579i,-0.0034539-0.0024337i,-0.00477-0.0026095i,-0.0038082-0.0015043i,-0.0020305-0.00020231i,-0.00023489-4.0853e-05i,0.00053386-9.8529e-05i,0.00044032+0.00049016i,0.00023198+0.001098i,-0.00033252+0.00088985i,-0.00059872+7.8784e-05i,-0.00049792-0.00022757i,-0.00038797-0.00037009i,-0.00021588-0.00067526i,0.00030692-0.00036346i,0.00030629+6.8248e-05i,-0.00010416-0.00074669i,-0.00017297-0.00079064i,-0.00033686-0.00034959i,-0.0002926-0.0002579i,-0.0002384-0.00028785i
-0.0003693-0.00043455i,-0.00070047+0.00047359i,-0.00054025+0.0010776i,-0.00074341+0.0016038i,-0.0010261+0.00062729i,-0.00041553-0.00050782i,-0.00024201-0.00028054i,-0.0003794+6.0272e-05i,-0.00070385+0.00025053i,0.0005498-0.00014941i,0.00089415-0.00077713i,-0.00013272-0.00028979i,-0.00029298+0.00032947i,0.00011697+0.00053027i,0.00012751+0.00054291i,-0.00038614+0.00018692i,-0.00073604-0.00038196i,-0.00014736-0.00044623i,-0.00020764-0.00061801i,-0.00038152-0.00015717i,0.00012571+0.00048849i,0.00035223-2.4717e-05i,0.00023202-0.00014253i
7.9946e-07-0.00040955i,-0.00056156-0.00077335i,-0.0010485-0.0010576i,-0.0017038-0.0019025i,-0.0025276-0.0023889i,-0.0029288-0.001309i,-0.0015364-0.00041739i,-0.00019396-0.00056253i,0.00042914-0.0010868i,0.00036042-0.00082668i,0.00022444+0.00015015i,-0.00026984+0.00067329i,-0.00059538+0.0010309i,6.4219e-05+0.00071324i,-8.4413e-05-0.00018634i,-0.0007218-0.00062198i,-0.00016239-9.1278e-05i,0.00028818+0.00039369i,5.4873e-05+0.00023671i,-0.00019309+0.00012093i,-0.00079853+4.7882e-05i,-0.0012403-0.00028576i,-0.00078432-0.00023175i
-0.0014804+0.00059018i,-0.0011876+0.0011217i,-0.00087194+0.0021721i,0.00069049+0.0012293i,0.0010608+0.00020361i,0.00030761-0.00016852i,-6.7249e-05-0.00060655i,-0.00091187-0.0014701i,-0.0010807-0.0009932i,-2.4882e-05+0.00084015i,0.00073402+0.00090294i,-0.00011561-1.8606e-05i,-0.00081989+0.00020661i,-0.00067662+0.0010112i,-0.0010269+0.0011448i,-0.001148+0.00077868i,-0.00044857+0.00072152i,-0.00022561+0.0005516i,-0.00033804+7.9455e-05i,-9.8194e-05-5.5278e-05i,0.00032737+0.00012595i,0.00047565-0.0001864i,0.00011812+8.5499e-05i
-0.0021729+0.0009078i,-0.0022111+0.0012908i,-0.0022345+0.00066701i,-0.0033027-0.00032366i,-0.0042727-0.0010467i,-0.0031439-0.0014285i,-0.00083708-0.0016597i,0.00033889-0.0016587i,0.0003682-0.0009508i,0.00020464-0.00033272i,-0.00036815-2.6631e-05i,-0.00071658+0.0001441i,-0.00091966+7.2972e-05i,-0.00071319+4.794e-05i,-0.0003562+0.00010684i,-0.00038168+0.00076721i,-0.00067748+0.00070795i,-0.0010679-0.00011927i,-0.0013421+0.00030057i,-0.0012354+0.00072479i,-0.00076792+0.000217i,-0.00050823+0.00019195i,-0.00017359+0.0008295i
0.00087878-0.0002813i,0.001109+0.00045115i,0.0010175+0.00032923i,-0.0010046-0.00072897i,-0.002409-0.0019866i,-0.0024934-0.0015582i,-0.0014475-0.00042982i,-0.00011742-0.00013086i,0.00014625-0.00015427i,1.7476e-05-0.0004526i,-0.0001255+4.4342e-05i,-0.00061535+0.00027974i,-0.00075916+0.00022554i,5.6795e-06+0.00018736i,0.00086866-8.225e-05i,0.000421+0.00037266i,0.00018843-8.8599e-05i,0.00071931-0.00079968i,0.00086266-0.00049813i,0.0010723-4.9646e-05i,0.001121-0.00058934i,0.0012552-0.00062664i,0.00092285+4.3158e-05i
-0.00044864-0.0005707i,-0.00062468-0.00044661i,-0.0011713-0.0011656i,-0.0018661-0.0013708i,-0.0025936-0.00099277i,-0.0022783-0.00020763i,-0.001607+0.00032979i,-0.0007454-0.00055295i,0.00011029-0.0010705i,0.00014994-0.00071834i,0.00030992-0.0010798i,0.00016612-0.00070747i,2.4606e-05-0.00028511i,0.0002733-0.00047959i,-0.0001778-0.00058772i,-0.00010441-0.00014009i,0.00055421+0.00030873i,0.00071544+0.00030672i,0.00020006-0.00011377i,0.00032509-0.00012325i,0.00030895+0.00015945i,0.00021196+1.5223e-05i,0.00018966+5.3452e-05i
0.00085011+0.00038189i,0.0013993+0.00097818i,0.0012475-4.8167e-05i,-0.00090544-0.0012377i,-0.0030248-0.0017443i,-0.0026758-0.0015185i,-0.00087071-0.001084i,0.00062174-0.0013526i,0.00066196-0.0008034i,0.000619+0.00022763i,0.00031533+0.00068442i,-0.00031059+0.0003479i,-0.00031827+0.00066293i,-0.0004158+0.00081428i,0.00023143+0.00049489i,0.00069582+0.00056301i,0.00072994+0.00042944i,0.00069121+0.00027687i,0.00037268-0.00010191i,0.00078109-0.00033685i,0.00063704-0.00034392i,0.00061561-0.00059945i,0.00096557-0.00024502i
9.1452e-05+0.00083158i,-0.00046322+0.00038329i,-0.0020785+0.00074454i,-0.0031664+0.00020396i,-0.00336-0.00050988i,-0.0030465-0.00041475i,-0.0021608-0.00018033i,-0.00094434-0.0002285i,-0.00048595-5.4314e-05i,0.00060417+0.00090888i,0.0017752+0.0012393i,0.0014752+0.00073551i,0.00022229+0.0004955i,-0.00026501+0.0002495i,3.9289e-05+0.00037727i,-0.00033149+0.00066488i,-0.00069772+0.00040689i,-0.00031293+2.7697e-05i,0.00019974-0.00077935i,0.00081109-0.0010902i,0.00074297-0.000624i,-0.00039341-0.00028621i,-0.0009997-3.1157e-05i
0.0013852-0.0014905i,0.0019618-0.0024284i,0.00060059-0.0016996i,-0.0016435-0.00097153i,-0.0033178-0.0022742i,-0.0037101-0.0022045i,-0.0022167-0.00096264i,-0.00032152-0.0012511i,0.00057463-0.0012004i,0.00026578-0.00097952i,-0.00029575-0.0011715i,-7.58e-06-0.00070388i,0.00025522+0.00053081i,-0.00010635+0.0012042i,0.00017228+0.0009506i,0.0005269+0.00033536i,0.00078802-0.00010581i,0.00049447-0.00023956i,2.7013e-05-0.00022978i,-0.00025479+0.0001165i,-0.00038101+0.0002839i,-0.0004969+0.00078819i,-0.00032996+0.00070925i
0.0011043+0.00027115i,0.0008777+0.00012602i,0.00061413-0.00063998i,-0.00084358-0.0017904i,-0.0020871-0.0009524i,-0.0023261+0.00014884i,-0.0010759+0.00045127i,-3.2288e-06-8.9317e-05i,-4.7981e-05-0.00091855i,0.00049477-0.00063157i,0.00047762-0.00037427i,-0.0007797-0.00024637i,-0.0011708+8.3471e-05i,-9.3228e-05+0.00053134i,0.00065391+0.00099582i,-0.00022503+0.00060602i,-0.00081673-3.6651e-06i,-7.7323e-05+0.00010181i,0.00044507+6.0894e-05i,9.6954e-05-0.000353i,-0.00032576-0.00022202i,-0.00039272+0.0003457i,-0.00037093-7.672e-05i
-0.00049627+0.00033816i,-0.00086098+0.0015909i,-0.001557+0.001887i,-0.0012189+0.0011698i,-0.0013659+0.00019774i,-0.002123+7.1372e-07i,-0.0010071+0.00025755i,4.1663e-05-0.00023043i,-0.0002118-0.00080351i,-0.0003916-0.00093766i,-0.00058977-0.001155i,-0.0002436-0.00099675i,0.00028602-0.00026253i,0.00034476+0.0003503i,0.00067854+0.00045566i,0.00021835-4.4784e-05i,-0.00055943+0.00010969i,-0.00048355-0.00011504i,-0.00063717-0.0008295i,-0.00034068-0.00065041i,0.00015733+0.00010884i,0.00034639+0.00026378i,0.00049937-0.00013101i
0.00024529+5.0987e-05i,-1.9189e-05-0.0010662i,0.00043509-0.0017437i,-0.0016935-0.0022004i,-0.0034365-0.0024486i,-0.0033452-0.0013559i,-0.0016304+0.00010418i,-0.00037221+0.00012391i,8.1114e-06-0.00028656i,5.2769e-05+0.00012768i,0.00023125-0.00018496i,0.00034423-0.0010567i,6.5807e-05-0.0001016i,-0.00032113+0.0005371i,-0.00020419+0.00040285i,-0.00072051+0.00042361i,-0.00082709+0.00045983i,-0.00062157+0.00014741i,-0.00084776-0.00013686i,-0.000858-0.0004485i,-0.00042768-0.00073496i,-0.00040809-0.00034334i,-0.00094356-0.00022015i
0.00064038+0.00053431i,0.00070801+0.00038832i,-0.00049599+0.00038703i,-0.0018582-0.0003486i,-0.002766-0.0015441i,-0.0037832-0.0015982i,-0.0019429-0.00098247i,0.00026481-0.00083165i,-2.4862e-05-0.0011151i,-0.00015578-0.0011887i,2.2281e-05-0.0011228i,-0.00015495-0.00092858i,-0.00063247-0.00029621i,-0.00078507+0.00039355i,-6.7616e-06+0.0011119i,-0.00011711+0.0018403i,-0.00084117+0.0013496i,-0.00099098+0.00021965i,-0.00064703-0.00011554i,0.0001042-0.00016153i,-0.00012276-0.00063011i,-0.00055264-0.00059925i,4.8724e-05-0.00041632i
-0.00010622-0.001018i,-0.0014417-0.00046199i,-0.0024502-0.0010114i,-0.0037404-0.0017897i,-0.0041214-0.0013462i,-0.003874-0.00025333i,-0.0015894-0.00017657i,0.00080487-0.00077096i,0.00052168-0.0012242i,-0.00077015-0.00080845i,-0.0011965-7.3259e-05i,-0.0008431+0.00070655i,1.9656e-05+0.0014635i,0.00052106+0.0014203i,0.00019124+0.00050852i,-0.00022579+0.00012134i,-0.00038627+0.00025565i,-0.00043844+2.5811e-05i,-0.00038354-8.062e-05i,0.0001199-0.00067294i,0.0004696-0.0010008i,3.0951e-05-5.076e-05i,-0.0003687+0.00050985i
0.00042214+0.0011293i,-6.3878e-05+0.00024912i,-0.00018449-0.00052026i,-0.00043854-0.0017835i,-0.0018555-0.002095i,-0.0028735-0.001423i,-0.0015807-0.00080863i,0.00022651+9.5912e-05i,0.00033571+0.00032955i,0.00022542+7.3869e-05i,0.00037733-0.00014669i,3.0328e-05-0.00038096i,-0.00030594-0.00098839i,-1.0374e-05-0.00039342i,-0.00024939+0.00058376i,-0.00045802+0.00042077i,-4.6245e-05+0.00035212i,-0.00015746+0.00019019i,-0.00024737-5.5951e-05i,-3.1537e-05-0.00034328i,0.00013713-0.00054309i,-7.7427e-05+0.00055393i,0.0002057+0.0013125i
4.2109e-05+0.001123i,-0.00067816+0.0022151i,-0.0012529+0.001459i,-0.0022413+2.5728e-05i,-0.0037004-0.00033043i,-0.0034027-0.00024383i,-0.00071922-0.00046977i,0.00010858-5.1958e-05i,-0.00058319-0.00033728i,6.9821e-05-0.0005167i,0.00080046-0.00063823i,0.00061822-0.0016052i,0.00032953-0.001486i,0.00059432-0.00078512i,0.00069453+7.6518e-05i,0.00031451+0.00058033i,0.00020678+0.00025525i,-4.6218e-06-0.00033339i,-4.6342e-05-0.00029559i,-0.00014407-0.00022567i,-0.00053306-0.00088793i,-0.0003761-0.0010096i,0.00017759-0.00074544i
0.0012604-0.00061332i,-0.00056593-4.8158e-05i,-0.0018595-0.00093416i,-0.0025086-0.0013015i,-0.0028655-0.0011916i,-0.0015936+0.00048877i,-0.00041472+0.00085484i,-0.00051974-0.00028792i,-0.00094991+0.00011524i,-0.00096958+0.00013203i,-0.0010407-0.00047487i,-0.00087442-6.2603e-05i,-0.00011836+0.0010777i,0.00021014+0.0011537i,-0.00014408+0.00051807i,-0.00014821-9.3307e-05i,1.4683e-05-6.2053e-05i,0.00017987+0.00015494i,-9.3729e-05+5.4856e-05i,-0.00048169-0.00033439i,0.00010828+3.2787e-05i,0.00058209+0.00012504i,-0.00037951-0.00017755i
0.00050411+0.00054475i,0.0004083+0.00078778i,-0.00064369+0.00035713i,-0.0017579-0.00055649i,-0.0028475-0.00061694i,-0.0026412+0.00021962i,-0.0010725+0.00087657i,0.00074469+0.00090491i,0.00060994+0.00087013i,-0.00054937+0.0012341i,-0.00029426+0.00065954i,0.00012009+0.0010192i,-0.00019+0.0015001i,-0.00033292+0.0012095i,6.4593e-05+0.0010779i,-0.00016997+0.00118i,-0.00036115+0.0012264i,-0.00076536+0.00019267i,-0.0014088-0.00034191i,-0.00053248-0.0004755i,0.00063312-0.0010636i,0.00039309-0.00066121i,0.00041923-0.00011361i
-0.0010437+0.00044911i,-0.0010661+4.53e-05i,-0.00043538-0.00014672i,-0.0016178+0.00044289i,-0.0040889+0.00038751i,-0.0041449+0.00027745i,-0.0019801+0.00068979i,-0.00080861+0.0001144i,-0.00053583-0.00080617i,-0.00016981-0.00043911i,-8.5474e-05-0.00043016i,0.00018346-0.00012326i,-6.3991e-05+0.00061584i,-0.00020223+0.00066885i,-0.00035918+0.00043873i,-0.0009053+0.00033944i,-0.00072278+0.00050537i,-0.00015631+0.00021823i,0.00022152-0.00042641i,1.6907e-05-0.00052436i,-0.00028625+0.00016669i,-0.00030599+0.00067677i,-9.9177e-05+0.000429i
