-0.0012318+0.00072036i,5.0234e-06+0.00039177i,0.00090215-0.00067652i,0.00066821-0.00076205i,-0.0011318+0.0004384i,-0.0023509+0.00074848i,-0.0017889+0.00072453i,-0.00068431+0.00075076i,0.00014325+0.00083423i,0.00069329+0.00049206i,0.00091413+0.00064128i,0.00043721+0.00066899i,-0.00030154-0.00010076i,-0.0004577-0.00050036i,-0.00083501-0.00054404i,-0.00069865-0.00035809i,0.00027866+0.00048925i,0.00021869+0.00088462i,-0.00023208+8.3853e-05i,-0.00032456-0.00090333i,0.00020939-0.0011531i,-5.9905e-05-0.00096328i,-0.00042066-0.0011286i
0.0022651-0.00063129i,0.0010541-0.00030121i,4.1241e-06-0.00014286i,-0.00015-0.00058969i,-0.00030934-0.00075375i,-0.00090643-8.3284e-06i,-0.0011388+0.0011085i,-0.00068268+0.0014034i,-0.00087226+0.0013738i,-0.00040632+0.00094092i,0.00072042+0.00043567i,0.00063611-4.7895e-05i,0.00012204-1.1236e-05i,0.00011282+0.0001848i,0.0002998+5.8348e-05i,0.00024286-0.0004888i,-0.00010474-0.00069851i,-0.00035768-0.00036803i,-0.00034016+0.00021547i,-0.00054613+0.0002233i,-0.000505+4.105e-05i,-0.00031258+0.00017337i,-0.00032781+0.00027699i
0.00070751-0.00013543i,0.00035999+0.00050749i,0.00028872+0.00034615i,-0.00020372+0.0002904i,-0.00039659+0.00066441i,-0.00079896+0.00042791i,-0.0010009+0.00078087i,-0.0012421+0.0010277i,-0.001014+0.00019725i,-0.00011368-5.2271e-05i,0.0003959+0.00066474i,0.0010723+0.00080564i,0.0011453+0.00027793i,0.0005787-0.00011567i,0.00058409-5.2566e-05i,0.00051409-0.00078247i,0.00013066-0.0012993i,-0.00047743-0.00109i,-0.00034389-0.00091228i,1.6368e-05-0.00092396i,-0.00044639-0.00075551i,-0.00086407-0.0003516i,-0.00094696+0.00026102i
0.00076896+0.00079787i,0.0010302+0.0012461i,0.0017368+0.0010033i,0.001209-0.00016046i,0.00042076-0.00086718i,0.00042675-0.00038635i,-8.061e-05-0.0003589i,-0.00055096-0.00029229i,-0.0008727+0.00076925i,-0.00072498+0.00086022i,0.00042741+0.00034194i,0.0013307+0.00011605i,0.00094452+0.00018969i,0.00040631+0.00040401i,0.00011302+0.00081056i,0.00033065+0.00049733i,0.00098708-0.00045537i,0.00041867-0.00061973i,-0.00049574-0.0004601i,-0.00032914+1.2888e-05i,0.00012374+0.0005163i,3.3697e-05+0.00016009i,0.00019968+4.2038e-05i
0.00064883-0.0003201i,0.0008014-0.00036305i,0.00033131+0.00015989i,-0.00039944-2.3384e-05i,-0.00036259-0.00053892i,-0.0004437-0.0012014i,-0.00029181-0.0010693i,-0.00041189-0.00015577i,-0.00099878+9.4422e-06i,-0.0010362-0.00029245i,-0.0004566-0.00081385i,0.00010854-0.00086486i,0.00049934-0.00071874i,0.00073865-0.00074523i,0.00056978-0.00063365i,-0.0001961-0.00010849i,-0.0012755-2.5152e-05i,-0.0018937-0.0002185i,-0.0013202-0.00023345i,-0.00078473-0.00036385i,-0.00042431-0.00026605i,-0.00021665-0.000199i,-0.00033578+7.316e-06i
-0.00073777+0.00056108i,-0.0013777+0.00051293i,-0.00049861+0.0004468i,-0.00043719-0.0002695i,-0.0010925-0.0012054i,-0.0012106-0.0014261i,-0.0014241-0.00068218i,-0.0011929+0.00016763i,-0.00076115+0.00074405i,-0.00045065+4.523e-05i,0.00015965-0.00062776i,0.00077624-0.00065037i,0.00076798-0.00054968i,0.00097052-0.00040445i,0.00057415+0.00034425i,-7.3423e-05+0.00094367i,0.00013821+0.00051804i,-0.00010163+4.9728e-05i,-0.00088672-0.00012512i,-0.0012523-0.0001279i,-0.000715-0.00024849i,-6.1513e-05+1.8174e-05i,7.8942e-05+0.00031921i
0.00055715+0.00014541i,0.00090175-0.00060562i,0.0021581-0.00011583i,0.002033+6.1197e-06i,0.00054979-0.0011725i,-0.00088415-0.0013445i,-0.0017718-0.00066424i,-0.0016656-0.00031854i,-0.0011056+0.0001766i,-0.00059695-0.00017051i,-0.00012152+0.00034957i,0.00058654+0.0012784i,0.00060793+0.00077643i,0.00083758+0.00021229i,0.00066147+0.00054864i,-0.00023181+0.00033045i,-9.8447e-05-0.00065701i,0.00010331-0.0012478i,-0.00015852-0.0006197i,9.084e-05-2.8458e-05i,6.1505e-05+0.00033155i,0.00071698+0.00042381i,0.0011605-8.7562e-05i
0.00066627+0.00095018i,0.00037321+0.0014973i,0.00042473+0.0016834i,0.00032163+0.00054654i,-0.00066935-0.00075014i,-0.001071-2.577e-05i,-0.00050575+0.00068245i,-0.00073807+0.00016962i,-0.001191-0.00013794i,-0.00061183-0.00036567i,-0.00047534-0.00055897i,-0.00046962-0.00054167i,0.0001649+8.4179e-05i,0.00036878+0.00037735i,0.0001456-9.3805e-05i,-9.6588e-05+0.00014311i,-0.00033447+0.00046393i,-0.00024795+0.00068221i,-7.9359e-05+0.00054091i,8.7425e-05-0.00040618i,-3.5942e-05-0.00056326i,-0.00014617+4.5238e-05i,0.00052347+0.00044099i
-0.0017233+0.00068284i,-0.001962+0.0010995i,-0.001495+0.0010323i,-0.0012914+0.00024858i,-0.00055419-0.00065348i,0.0003299-0.00075672i,0.00016848-0.00057049i,-0.00038096-0.00026937i,2.0786e-05+0.0011749i,0.00030812+0.0022007i,0.00020968+0.0016685i,6.6806e-05+9.5795e-05i,0.00017146-0.001701i,0.00045347-0.0018108i,0.00050029-0.0010432i,0.00029323-0.0011194i,2.6932e-06-0.0010761i,-0.00018733-0.00040556i,-0.00046419-0.00065623i,-0.00065159-0.00038775i,-0.00068309+0.00053391i,-0.00097432+0.00051886i,-0.00095173-0.00010982i
0.0014959+0.0004229i,0.0020795+3.131e-05i,0.0020655-0.0010399i,0.00091868-0.0017365i,-0.00059812-0.0019607i,-0.00066039-0.0016407i,-0.00034906-0.00011405i,-0.0012032+0.00082471i,-0.00093846+0.0013934i,-0.00034904+0.0011464i,0.00031407-8.7184e-05i,0.00031613-0.00053821i,-0.00039532-0.0002775i,-0.00088883+0.00080278i,-0.00051546+0.0011149i,1.8377e-05-5.3341e-05i,0.0007019-0.00041376i,0.00096318+4.0845e-06i,0.00084468+0.00036126i,0.0008365+0.00032354i,0.00096296-0.00012129i,0.00083645-0.00032781i,0.00053847-0.0001417i
0.00082093-0.0004806i,0.00019181-8.9313e-05i,-0.00034051+0.00026074i,-0.0004298+0.00026657i,-0.00043757+0.00033122i,-0.0003193+0.0011061i,-0.0010488+0.00079043i,-0.00098835+0.00026937i,-0.00094268+0.00030076i,-0.00097093+0.00015118i,-0.00039421-0.00032039i,0.00043559-0.00043221i,0.00036722-0.00053104i,0.00057605-0.00078941i,0.00057549-0.00032705i,-0.00041737-0.0002709i,-0.00025255-0.00043085i,0.00022783-0.00043335i,0.00049818+0.00021311i,0.00063334+0.0003496i,0.00040209-0.00011708i,0.00016762+0.00031723i,-0.00042273+0.0009586i
-0.00092767+0.0010458i,-0.00043376-0.00021489i,0.00058728-0.00041965i,0.0013738-0.00064794i,0.0010101-0.00073436i,-0.0002315-0.001134i,-0.00065814-0.0013982i,-0.00081-0.00041051i,-0.0010266+0.00058941i,-0.00026046+0.00085697i,0.00045677+0.00083626i,0.000309+0.00045004i,0.00036094-0.00072926i,0.00046266-0.0015461i,0.00015133-0.00074997i,0.00022026-9.3279e-05i,-2.7282e-05-0.00080474i,4.8129e-05-0.00095937i,0.0001271+5.3107e-05i,-0.0001436+0.00045575i,-0.00046158+0.00036781i,-0.00050343+0.00027546i,-0.00030068+0.00077533i
0.0010596-0.0015759i,0.00090284-0.00029528i,-9.5386e-05-3.8573e-05i,-0.002083-0.0010959i,-0.0028203-0.00065826i,-0.0027835+0.00012384i,-0.0022711+7.9231e-05i,-0.0010935-0.00013832i,-0.0006726+4.8553e-05i,-0.00061521+0.00042751i,-0.00036753+0.00013971i,-0.00028044+5.7024e-06i,-8.8415e-05+0.00092345i,0.00041718+0.00067719i,0.001372-0.00023316i,0.0021852-0.0006782i,0.0022072-0.00094982i,0.001108-0.00081079i,0.00036229-0.0010198i,2.2606e-06-0.0011005i,0.00010745-0.0011899i,0.00081185-0.00062902i,8.168e-05+0.00016364i
0.0013256-0.00014308i,0.00069701-0.00038706i,0.00057162-0.0012426i,-2.1419e-05-0.0012332i,-0.00060718-0.0012481i,-0.0013136-0.00035913i,-0.0010986+0.00045724i,-0.0012766+0.0004344i,-0.0010784+0.0010231i,0.00042281+0.0010778i,0.0009239+0.00023999i,0.00072271+1.8144e-05i,0.00027892+0.00037928i,0.00036573+0.00013666i,0.00040706-0.00055059i,0.00066964-0.00073022i,0.00096148-0.00054594i,0.00034853-0.00037404i,0.00035887+0.00019887i,0.00040964-0.00023812i,0.00016015-0.00029665i,-0.00044419+7.5385e-05i,-0.001399+0.00032936i
0.0016248-0.00019968i,0.0022077+2.7809e-05i,0.0019644-0.00049456i,0.00089815-0.0012966i,-3.9251e-05-0.0012263i,-0.00099264-0.0010911i,-0.00079-0.00033346i,-0.00022879+0.0012193i,-5.9689e-05+0.00153i,0.00043754+0.0002999i,0.0010737-0.00055088i,0.00061994-0.00090291i,0.00011676-0.0002333i,0.00049446+0.00055547i,0.0011392+0.00054231i,0.0011044-1.7545e-05i,0.00073961-0.00067092i,-0.0001728-0.00034357i,-0.0012502+0.00049444i,-0.00078262+0.00060026i,0.00024233+0.00023683i,-0.00034561+0.00021713i,-0.00096461-0.00024129i
