0.0032577+0.0019347i,0.0032449-1.1208e-06i,0.0028563-0.0025057i,0.0014016-0.0039139i,-0.0010364-0.003216i,-0.0026909-0.00030543i,-0.0012291+0.0015898i,0.00043735+0.0014102i,0.0010072+9.4013e-05i,0.00090695-0.00050081i,-0.00010877-0.00084691i,-0.00019336-0.00072976i,-4.811e-05-4.7964e-05i,-0.00063591+0.00059208i,-0.0011891+0.00050198i,-0.0012349-0.00012594i,-0.00035805-0.00092853i,-2.2261e-05-0.0010975i,-0.00036096-0.00092857i,-0.00039449-0.00062514i,0.00035579-0.00018537i,0.00087441-0.00019207i,0.00077935-5.3256e-05i
-2.5074e-05+0.00036132i,0.00056608-0.00041687i,0.00075183-0.0012803i,0.00010026-0.0024079i,-0.00090137-0.0021813i,-0.0013349+4.5492e-05i,-0.00023173+0.00073471i,0.00070242-0.00018039i,-3.24e-05-0.00053096i,-0.0010554-0.00059189i,-0.00095473-0.00022139i,0.00031956-0.00014609i,0.00068962-0.00058716i,0.00011153-0.00050946i,-0.00032302-8.7553e-05i,-0.00017731+0.0001065i,-0.0005243-0.00023785i,-0.00010869+2.5908e-05i,0.00035683+0.00069793i,0.00026163+0.00036477i,-0.00028647+0.00030894i,-0.00055959+0.00033169i,0.00026077+0.00028832i
-0.0015977-0.0010033i,-0.0014425-0.0022221i,-0.00071452-0.0027367i,-0.00019211-0.0017195i,-0.00084751-0.00081738i,-0.0011095-0.00016392i,-0.0012256+0.000393i,-0.0010471+0.00039996i,-0.00053062+9.1654e-05i,0.00028956-0.00066283i,0.00090349-0.00020499i,0.00052139+0.00032745i,-0.00015839+0.00016088i,-0.00030129+0.00040536i,-0.0003024+0.00070141i,-0.00010582+0.00045192i,6.2557e-05+0.00034611i,-0.0004763+0.00045599i,-0.0009056-0.00026105i,-0.00085334-0.00013009i,-0.00023728+0.00013609i,0.00052271-0.00051446i,0.00074967-0.0008346i
-0.0010284-0.00060154i,0.00017454-0.00059292i,0.0003926-0.00090995i,0.00034927-0.00013197i,-7.4557e-05+0.0015798i,-0.00014469+0.002023i,-3.4188e-05+0.00058763i,-0.00010615+0.00011851i,2.318e-05+0.00048178i,-9.9731e-05+0.00085231i,-0.0010092+0.0011852i,-0.00078994+0.00068421i,0.00026696-4.4205e-05i,0.00081621-0.00014102i,0.00014835+0.00043346i,-0.00035268+0.00071354i,-0.00024448+0.00021447i,9.1964e-05+0.00022921i,0.0002449+0.00065214i,0.00012626+0.00039398i,-0.0002225+0.00019754i,-0.00046586-9.2127e-05i,0.00024914+7.4269e-05i
0.00075806-0.00162i,0.0012133-0.0028939i,0.00095177-0.0026633i,0.00026781-0.0020908i,0.00021689-0.0011446i,0.00013031+0.000425i,-0.00049946+0.00087627i,-0.0008795+0.00047954i,-0.00046134-4.9252e-05i,-0.00019745+0.00017965i,-0.00032778+0.0010098i,0.00064223+0.00055423i,0.001192-0.00036655i,0.00020345-0.0007044i,-0.00021667-0.0006734i,0.00056064-0.00029725i,0.0006184+0.00021573i,0.00016993+0.00050073i,-9.0488e-05+0.00013909i,-0.00060159-0.00056724i,4.2557e-05-0.0007287i,0.00055139-0.00060294i,0.00037328-0.00067964i
0.00040913+0.00055648i,0.00067235+0.00029444i,0.0015306+9.4304e-05i,0.0011265-0.0012293i,-1.7547e-05-0.002146i,-0.00065021-0.0015117i,-8.7037e-05-0.00094066i,0.00054417-0.0008769i,0.00031577-0.00084056i,0.00032035-0.00079667i,0.00031127-0.0012524i,6.1227e-05-0.0012812i,0.00020017+7.095e-05i,0.00011715+0.0011038i,8.9066e-06+0.0010029i,0.00022072+0.00086883i,-0.000486+0.00048758i,-0.0010003-0.0001629i,-0.00046736-0.00096463i,-9.807e-05-0.00075368i,-0.00051183+0.00039621i,-0.00052349+0.0011032i,0.00036793+0.00018381i
0.0015535-0.00057726i,0.0012547-0.0013022i,0.001625-0.0026955i,0.00065287-0.0030555i,-0.00081169-0.0016125i,-0.0019107+0.00037889i,-0.0015614+0.0011308i,-0.0013329-1.5539e-05i,-0.00084761-0.0012828i,1.0775e-05-0.0011272i,-2.7438e-05-0.0005212i,-0.0003683-0.00027364i,-0.00027928+0.00035441i,-0.00039893+0.00073439i,-0.00024227+0.00016498i,-0.00031793-0.0001617i,-0.00069969+0.00019915i,0.00049691+0.00071414i,0.00097932+0.00074169i,0.00021176+0.0004108i,-0.00017956+0.00037599i,-0.00046908+0.0002125i,-0.00090707-0.00031317i
0.00037641+0.00095585i,7.4188e-05+0.00044009i,0.00086363-0.00034661i,0.00021974-0.0016306i,-0.00091709-0.0014468i,-0.00069122-0.00060728i,0.00037762-0.00066298i,0.00031242-0.00025874i,-0.00085762+0.00026517i,-0.00081775+0.00073788i,1.678e-05+0.00091568i,0.00073277+0.00083382i,0.0013078+0.0003245i,0.00041795+0.00024201i,-0.00053625+0.00027858i,-0.00043086+8.4175e-05i,0.00025248-0.0002298i,0.00054634-4.361e-05i,0.00063087+0.00024993i,0.00040862+0.00038611i,0.00030639+0.00038334i,0.0002013+9.8122e-05i,-0.00033518+0.00063417i
0.00056448-0.0010997i,0.00080345-0.00076497i,0.0010184-0.0021448i,0.00081284-0.0026485i,-0.00091691-0.0019548i,-0.0014149-0.0013332i,-0.00030391-0.00084685i,4.5441e-05-0.00083601i,0.00030651-0.00073966i,0.0010042-0.00048503i,0.00033844-9.4233e-05i,-0.00092041+0.00030561i,-0.00093039-0.00038848i,-4.6236e-05-0.00098008i,-0.00027639-0.00068059i,-0.00073165-0.00083099i,-0.00016328-0.00045337i,0.0010199-0.0002246i,0.0011883-0.00015106i,0.00030112+0.00012898i,-0.00010746+3.0165e-05i,-0.00029594-0.0007816i,9.4906e-05-0.0010539i
0.00034884+0.00023066i,-0.00030271-0.000813i,-0.00057025-0.0015497i,0.00021483-0.0018029i,7.3964e-05-0.00028872i,-0.00083356+0.00097114i,-0.00058474+0.00045002i,0.00045656-0.00029277i,0.00072055+0.00020333i,-0.00012035+0.00053849i,-0.00063739+0.00023337i,-0.00073215-0.00019221i,-0.00082594+0.00032853i,-0.00021038+0.00052358i,0.00018902+0.00055226i,-0.00029344+0.00025441i,0.00019845-0.00062428i,0.00050897-0.00074438i,-0.00038888-0.00081708i,-0.0010565-0.0011023i,-0.00098647-0.00018405i,-0.00054406+0.00056362i,-0.00071104+0.00062969i
0.0001859+0.00015792i,0.0007275-0.00020001i,0.00064838-0.0012123i,0.00014662-0.0023958i,-0.00033568-0.0018896i,-5.5435e-05-0.0007936i,-4.5817e-05+0.00013899i,-0.00071636-0.00029838i,-0.00042161-0.0014022i,-0.00040056-0.00098214i,-0.00034995+0.00081152i,3.9897e-05+0.0012327i,0.00022817+0.00036539i,0.00042985-0.00080868i,0.00027256-0.00028083i,-0.00033527+0.00051409i,-0.00071116-0.00014855i,-0.00011546-1.2093e-05i,0.00085791+0.00089906i,0.0011718+0.00044881i,0.00075582+0.0002734i,-0.000427+0.00086321i,-0.00055487+0.00057082i
