5.4704e-05+0.0018925i,-0.00064933+0.0019398i,-0.0017921+0.0017898i,-0.0011811+0.00087066i,0.0005217+0.00026142i,0.00044984+0.00024028i,7.2988e-05+0.0016737i,0.00035339+0.0022334i,0.00081249+0.0025449i,0.0012456+0.0018211i,0.0012709+3.0184e-05i,0.0012836-0.00039124i,8.3498e-06-0.00020454i,-0.0014424+8.3243e-05i,-0.0012462-0.00016616i,1.2898e-06-0.00018417i,0.00050324-0.00050476i,0.00014859-0.00085166i,7.642e-05-0.00023878i,-0.00019196-1.7765e-05i,0.00011057-7.0929e-05i,0.00072527-0.00015851i,5.549e-05-0.0002577i
0.0031121+0.00027002i,0.0035218-1.3205e-05i,0.0028079-0.00025184i,0.0019369-0.00046653i,0.0011488-0.0016472i,1.4931e-05-0.0017405i,-0.00011761-0.001309i,0.00045214-0.0004366i,0.00073241+0.00016279i,0.0010149-0.00020987i,-4.3825e-05+0.00029731i,-0.0013124+0.00043276i,-0.00031935+0.00034636i,0.00040528+0.00043503i,0.0002678+3.258e-05i,-0.00031294+0.00020993i,-0.0014055+0.00069733i,-0.0016209+0.00045036i,-0.00082228-0.0004321i,-0.00015984-0.00014809i,-5.5053e-05+0.00015607i,-3.5152e-05+0.00050981i,0.00066525+6.0167e-05i
-0.0019689-0.0010089i,-0.0024165-0.0016551i,-0.0017105-0.0016258i,-0.00063449-0.0010388i,0.00065089-0.0016025i,0.0013124-0.0016047i,0.00061232-0.0012999i,0.00062864-0.00095553i,0.00061233-0.00027883i,-0.00051792-0.00012601i,-0.00067818-0.00044367i,-0.00048302-9.3995e-05i,-0.00034976+0.00021187i,-0.00062367+0.00028561i,-0.0013875-0.00035807i,-0.00045083-0.00084211i,-0.00014432-0.0013264i,-0.00033132-0.0015594i,-0.00013962-0.00071719i,9.7278e-05-0.00026358i,4.5241e-05-0.00021563i,-0.00015591-4.3468e-05i,-0.00012024-0.00057844i
0.0034453+0.0023705i,0.0039172+0.0028051i,0.003388+0.00098294i,0.002266-8.4116e-05i,0.00077259-0.0010379i,0.00054733-0.0022106i,0.00038062-0.0019257i,-0.00053882-0.0004877i,-0.00085521-0.00015965i,-0.00011173+2.5816e-05i,-0.00020991+0.00085283i,-3.1563e-05+0.0003582i,0.00058605-0.00038921i,0.00056698-0.00050477i,0.00093645+0.00038577i,0.0009494+0.00071149i,0.00024003+0.00043196i,-0.0001157+0.00029626i,0.00060521+0.00022613i,0.00042199+0.00054307i,-0.00022503+0.00058396i,-0.00063188+1.0772e-05i,-0.00045137-0.00044806i
-0.003472+0.00029137i,-0.003635-5.2216e-05i,-0.0027448-0.00070925i,-0.00082066-0.00024222i,0.00074366-0.0013704i,0.0011548-0.0026729i,0.00044673-0.0020696i,6.625e-06-0.0013858i,0.00039024-0.00078704i,0.00033389+8.8674e-05i,-0.0004728+0.00055569i,-0.00049614+0.00054588i,-0.00035604+0.00038838i,-0.00058441+0.00013535i,-6.2627e-05-0.00057804i,0.0006216-0.00065833i,0.00070456-0.00044683i,-0.00017634-0.00062891i,-0.0013205-0.00023367i,-0.0005618-0.00035444i,0.00041168-0.00046531i,0.00060205-0.0002058i,0.00024717-0.00025952i
0.00368-0.00038786i,0.0046945-0.0014736i,0.0036025-0.001855i,0.0020464-0.0010801i,0.00097517-0.00053227i,0.0011244-0.001211i,0.0019195-0.0012063i,0.0017217-0.00063044i,-0.00017381-7.675e-05i,-0.001696+0.00027472i,-0.00099132+0.0006904i,0.00033863+0.00085337i,0.0010721+0.00054662i,-2.9423e-05+0.00083149i,-0.00045391+0.00055611i,0.00057702+0.00017703i,0.0011184+5.5775e-05i,0.00014509-0.00021401i,-0.00054635-0.000269i,-0.00021727-0.00043095i,0.00012144-0.00027646i,8.246e-05-0.00011725i,-0.00048823-0.00020272i
-0.00090591+0.0015166i,-0.0020064+0.00096569i,-0.0014934-2.7176e-05i,-9.9976e-05-0.0016289i,0.0006713-0.0026947i,0.0010025-0.0023771i,0.00087695-0.0012949i,0.00050081-0.0001113i,0.00045899-9.0856e-05i,0.0001995-0.00038165i,-0.0005514+0.00021452i,-0.00094698+0.00028281i,-0.00052445+0.00021749i,0.00014705+0.00048095i,-1.1981e-05-3.0523e-05i,-2.3508e-05+0.00010066i,0.00043408-0.00023313i,0.00080525-0.00072062i,-1.2601e-05-0.00075562i,-0.00083911-0.00043429i,5.4078e-05-0.00033082i,0.00060588-0.00061959i,0.00043977-0.00033877i
0.0020373+0.00011385i,0.004116+0.0001582i,0.0031056+0.00073198i,0.001733-0.00014753i,0.0010441-0.0009861i,0.00062884-0.0017092i,-0.00014523-0.001088i,-0.00016969+0.00026683i,0.00031485+0.00050865i,7.9065e-05-0.00042375i,0.00016301-0.00034781i,-0.00011384+0.0001895i,-0.00089276+0.00036391i,-0.00063159+0.0012109i,9.0669e-05+0.0014553i,-0.00047553+0.00057159i,-0.00086526+0.00095147i,-3.3354e-05+0.0008166i,0.00095121+7.1802e-05i,0.00043281-0.00017431i,-0.00014702-0.00079516i,-0.00057323-0.00088605i,-0.0014491-0.00059137i
-0.00031328+0.00046337i,-3.5424e-05+0.00088438i,0.0010908+0.00014649i,0.0018404-0.0010347i,0.001846-0.0012867i,0.00079974-0.0011064i,0.00058612-0.0010868i,0.0011698-0.0011059i,0.00050217-0.0011898i,-0.00045243-0.0011388i,-0.00038329-0.00064018i,-0.00035426-0.00019888i,5.6985e-05-9.0954e-05i,0.00058597+4.2236e-05i,0.00032459+0.00017657i,0.00016974+0.00042753i,0.00041883+0.00026366i,0.00081811-0.00013026i,0.00090621-0.000375i,0.00025572-0.00029783i,-0.00057739+0.00022937i,-0.00083299+0.00063409i,-0.00052792+0.00079241i
-2.5238e-05-0.0020386i,0.0022006-0.0025696i,0.0020161-0.0016788i,0.00046956-0.00029368i,0.00076046-6.9652e-05i,0.0011904-0.0010709i,0.00052985-0.0014278i,-0.00012505-0.00034093i,-0.00039402+0.00078767i,-0.00064822+0.0010598i,-0.00088343+0.00098545i,-0.00055503+0.00023566i,0.0001185-0.00024539i,-8.656e-05-0.00029101i,0.00013894-0.00031752i,4.2136e-05+0.00028935i,-0.00049924+0.0001725i,-9.2152e-05+0.00028765i,0.00032641+0.00064489i,7.2363e-05+0.00045203i,-0.00027163+0.00045691i,-0.00027538+0.00043428i,-0.00049948+0.00013973i
-0.0012154+0.001479i,-0.0016798+0.0024206i,-0.0015364+0.001256i,-2.1313e-05-0.000447i,0.0013515-0.0018681i,0.0016116-0.0026985i,0.0014392-0.0019498i,0.0015079-0.00055644i,0.0013073-0.00066225i,0.00023934-0.00089467i,-0.00048718-0.00056523i,-0.0003912-0.00027874i,-8.5651e-05-0.00016936i,9.8801e-05+0.00019869i,-5.5676e-05-0.00024358i,0.00012408-0.00057261i,0.00010115+0.00010429i,0.00018632+0.00012776i,0.00030724-0.00023995i,3.413e-05-0.0003484i,1.801e-05-0.00072789i,-0.00088507-0.0010289i,-0.0013483-0.0011963i
0.0013919+0.00011766i,0.0026072-0.0019112i,0.0032685-0.0019641i,0.003179-0.00084277i,0.0023179-0.00059119i,0.0011634-0.001574i,-0.00023121-0.00081683i,-0.00060153+0.0005278i,4.12e-05+0.00055743i,-0.00032855-0.00045076i,-0.00066546-0.0010333i,-0.0005438-0.001257i,-0.00052191-0.00077252i,-0.00082798+0.00057482i,3.2209e-06+0.00073857i,0.00038817+0.00011504i,0.0002523-0.00019026i,7.3022e-06-0.00022936i,-0.00030566-0.00031236i,-0.00032616+0.00017038i,4.9874e-05+0.00068057i,0.00024677+0.00042858i,9.5652e-05+0.00029071i
-0.0004714+0.0030461i,0.00055018+0.0032574i,0.00097321+0.0021517i,0.00093524-0.00029162i,0.0009232-0.0012969i,0.00071388-0.00062555i,0.0004586-0.00042604i,0.00018976+2.261e-05i,2.7531e-05+0.00049849i,0.00013886+0.000663i,-0.0005731+0.00051558i,-0.001097-8.5994e-05i,-0.00063869-7.9642e-06i,-0.00042443+0.00020947i,-0.00057416+0.00010451i,-6.5231e-05-0.00023239i,-0.000203-0.00022359i,-0.00058852-0.00020385i,-0.00016878-0.00056954i,0.000194-0.00040897i,0.00013932+5.6015e-05i,0.00024402-0.00013445i,0.00048739-0.00064577i
-0.00019459-0.0020824i,0.0009628-0.0035026i,0.0014739-0.0025951i,0.0007037-0.0017517i,0.00055561-0.0030712i,0.00038155-0.0043858i,0.00013076-0.0030902i,0.00024372-0.0011427i,0.00029201-0.0011572i,-8.3447e-05-0.0012402i,-0.00025896-0.00056463i,-0.00043788-0.000608i,0.00011201-0.00031846i,-9.523e-05+0.00062554i,-0.00027295+0.00047408i,-0.0005006-8.7003e-05i,-0.00017427-1.5854e-05i,0.00083276-0.00010632i,0.00071789+6.9582e-05i,0.0003742+0.00013912i,7.4363e-05+0.00092826i,-0.00036711+0.0015036i,-8.5955e-05+0.0010709i
0.00094352+0.0016358i,0.0016892+0.0035667i,0.0020243+0.0022313i,0.0011332+0.00078981i,-0.00065138+0.00032675i,-0.00099459-4.4883e-05i,-0.00044935+4.204e-05i,-9.1195e-05+0.00038555i,-0.00039493-0.0003319i,-0.0012595-0.0010609i,-0.0014347-0.00024293i,-0.001237-0.0001321i,-0.0012484-0.00016989i,-0.00059482-0.00061459i,-0.0003286-0.00073098i,-0.00019499+0.00025299i,-0.0002215+0.00052369i,-0.00044211-0.00018639i,-0.00033809-0.00076901i,-0.00010555-0.001023i,0.00052104-0.00056843i,0.00088325-9.2638e-05i,0.00053678-0.00037504i
0.0019189-0.0023972i,0.0013234-0.0041289i,0.0024667-0.0040176i,0.0033855-0.0033632i,0.0024322-0.0034694i,-6.4481e-07-0.0034002i,5.4536e-06-0.0018546i,0.00057452-0.00011949i,0.00093848+0.00058109i,0.00044757-0.00042328i,-0.00014509-0.0013073i,-0.00048567-0.00058385i,-0.00031498+0.00074533i,-0.00034545+0.0014369i,7.4695e-05+0.0010877i,0.00060176+0.0001101i,0.00021778-0.00015559i,-0.00024285+4.9892e-05i,-4.3142e-05+0.00041868i,0.00020243+0.00059948i,-0.00039149+0.00025392i,-0.0004874+0.00075643i,-0.00057857+0.00091952i
-0.0031889-0.0061846i,-0.0063092-0.0037848i,-0.011815-0.0016415i,-0.010908+0.001012i,-0.0068387+0.0041755i,-0.00090904+0.0039297i,0.0014987+0.00012042i,0.0010441-0.0016715i,-0.00087099-0.0011893i,-0.0021751+0.00079021i,-0.0019233+0.0021321i,-0.00065633+0.0008982i,0.00029637-0.001183i,-2.1553e-05-0.0031949i,0.00044541-0.0045054i,0.0013031-0.0029756i,0.0014688-0.0013284i,0.0011866-0.0012652i,-0.00014368-0.00035322i,-0.0007797+0.00069388i,-0.00083573+0.0004393i,-0.00073478-0.00038958i,0.00013292-0.00099067i
-0.0012851-0.0038004i,-0.0021863-0.0058733i,-0.0036733-0.0047468i,-0.0023985-0.0019926i,0.00016776-0.00044682i,0.00081332-0.00049218i,0.00037302-3.3248e-05i,-0.00063142+0.00053069i,-0.00051017+0.00094815i,0.00047788+0.00091914i,0.00094066+0.00069101i,0.00076792+0.00064565i,0.00037911-5.0245e-05i,0.00010686-0.00074182i,-0.00040336-0.00079876i,-0.0008778-0.0008354i,-0.00030864-0.00015053i,-5.3866e-05-3.9179e-05i,0.00026406-0.0005332i,0.00042066-3.5702e-05i,-0.00014028+0.00021997i,-0.00065927-9.9029e-05i,-0.00072771-0.00022653i
0.0025692+0.00073001i,0.0029553+0.0007035i,0.0014013-0.00028227i,0.00040251-0.0015539i,1.9819e-05-0.0023692i,-0.00014168-0.0020768i,0.00028692-0.001336i,-0.00016981-0.00035824i,-0.00053156-0.00049613i,-0.00076109-0.00050754i,-0.0012359+0.00043524i,-0.0014214+0.00081391i,-0.0011437+8.4487e-05i,-0.00021203-0.00050065i,0.00093359-0.00082398i,0.0010963-0.000763i,0.00096044-0.00037867i,0.00070241-0.00032711i,0.00047545+3.0146e-05i,0.00057765+0.00018303i,0.00075066+0.00028484i,0.00047445-0.00050568i,4.3086e-05-0.0013104i
0.00037843-0.0023383i,-0.0016318-0.0042017i,-0.00090344-0.0045122i,0.0001456-0.003428i,-0.00021044-0.0020149i,9.1046e-05-0.0010543i,0.0010314-0.00023702i,0.0014952-0.00031664i,0.0013613-0.0012672i,0.0011554-0.0010896i,0.00090746-0.00028148i,6.7471e-05+9.4303e-05i,-0.0004721-0.00010905i,-0.00014395-7.2581e-05i,0.0011095+4.2975e-05i,0.0014855+0.00015808i,0.00034038+8.4773e-05i,-0.00019529-0.00037256i,0.00013873-0.00042771i,0.0001215+0.00033239i,-0.00052702+0.00032162i,-0.00056016+0.00055468i,-0.00012777+0.00086569i
0.0023109+0.0019044i,0.0020998+0.0021306i,0.00010003+0.0010959i,-0.0014224+0.00010063i,-0.00070526-0.00093694i,0.00097553-0.0016504i,0.0017754-0.0016682i,0.0011469-0.0004875i,-0.00044107+0.00074905i,-0.0014639+0.00067021i,-0.0010403+0.00010063i,-0.00034062-0.00074878i,0.00031662-0.00089861i,0.00018991-0.00075299i,-0.00011027-0.00084899i,-0.00013626-0.00038366i,-0.0002922+0.00023418i,-0.0003605+3.1435e-06i,-5.3559e-05+0.00031912i,-0.00060103+0.00022934i,-0.00049-0.00067025i,-0.00025509+3.8974e-06i,-0.00048421+0.00051444i
-0.00031411-0.0021696i,-0.00058095-0.0025952i,-0.00045603-0.0026492i,0.00024395-0.0020842i,0.00023181-0.0013623i,0.00044005-0.0010844i,0.00048701-0.0010317i,0.00020577-0.0014593i,0.00065147-0.00099943i,0.00027414-7.2874e-05i,-0.00070686+0.000639i,-0.00090041+0.0002178i,-0.00093414-0.00021756i,-0.00081821+5.2634e-05i,0.00023251-8.7028e-05i,0.00026879+0.00021292i,-0.00022631+0.00058115i,-8.334e-05-9.8734e-05i,0.00065477-0.00049774i,0.00071001-0.00043128i,-0.0010335-0.00033679i,-0.0015711-0.00045324i,-0.00040123-0.0001593i
0.0022708-0.0012859i,0.0022253-0.0007332i,6.335e-05-0.0015947i,-0.0015739-0.001989i,-0.0011697-0.00080247i,-0.0004236-0.00046686i,0.00046934+0.00010568i,0.00075473+0.00033487i,-0.00014821-0.00066472i,-0.0013009-0.00012746i,-0.0014677+6.8122e-05i,-0.0010815-0.00022042i,-1.6063e-05+0.00011003i,0.00043701+0.0003285i,0.00046875+0.00021724i,0.0008737+0.00024297i,0.00058539-0.00023607i,0.00070793-0.0010522i,0.00069856-0.00071975i,-0.00021578-0.00064388i,0.00031552-0.0011936i,0.00094964-0.00033597i,0.00041281+0.00017911i
-0.00058526+0.00032226i,-0.00015627-0.00044805i,0.0014445+0.00025504i,0.0016958+0.00098547i,0.0016376-0.00071712i,0.0017418-0.0012943i,0.00052849-0.00046812i,-0.00047702-9.9981e-05i,-0.00090403-0.00040463i,-0.0014379-0.00071812i,-0.0013149+0.00031054i,-0.00044419+0.0010493i,0.00015797+0.001019i,0.00042356+0.0010766i,-0.00022621+0.0013573i,-0.00029706+0.0010198i,-0.00057301+0.0006558i,-0.00057544+0.00058881i,0.00012785+0.00073379i,-0.00020444+0.00016235i,-0.00026816-0.0010668i,-9.0848e-06-0.0011076i,-0.00016749-0.00043123i
0.00080542-0.00058006i,0.00060527-0.00050375i,0.00067886-0.0006679i,0.00089159-0.0012377i,0.0012313-0.0022077i,0.0012497-0.0025847i,-0.00014736-0.0018784i,-0.00036996-0.00091851i,0.00022347-0.00032699i,0.00038026-2.6756e-05i,0.00024216-1.9675e-05i,0.00033319-0.00032504i,-0.00028963-4.5709e-05i,-0.00086302+0.00060009i,-0.0005745+0.00033346i,-0.00099206+1.8088e-05i,-0.0013297-0.00013625i,-0.00061666-0.00051456i,3.0825e-05-4.1612e-05i,-6.5994e-05+6.4429e-05i,-0.00072086-0.00015901i,-0.00097854-0.00024914i,-0.00096387-3.2072e-05i
-0.00095413-0.0021042i,-0.00034365-0.0040189i,-0.00054098-0.0026818i,-0.0011641-0.0010209i,-0.0010276-0.00070506i,0.00080545-6.2854e-06i,0.0013535+0.00013996i,4.2704e-05-0.0002586i,-0.00064918+1.693e-05i,-0.00038925+0.00027671i,-0.00031151+0.00060649i,1.1869e-05+0.00057668i,0.00061357+0.00019196i,0.00054943+0.00067112i,0.00058689+0.0009696i,0.00037698+0.0005636i,-3.5951e-05+0.0004361i,-0.00041298+4.7101e-05i,-0.0003026-0.00036113i,0.00040919+4.9104e-05i,-0.00063479+0.00039407i,-0.0015693-0.00010034i,-0.00077415+0.00028927i
0.0018724-7.3648e-05i,0.0022161+0.00037544i,0.0011541+0.00027337i,-0.00018335-0.00055074i,0.00044079-0.0015183i,0.0010627-0.0016788i,8.0483e-05-0.00095163i,-0.0010289-0.00041357i,-0.0014654-0.00031503i,-0.0012165-7.1699e-05i,-0.0005598-9.8152e-06i,3.4454e-05+1.1097e-05i,-0.00028298+0.00031561i,-0.00080897-0.00032745i,-0.00031491-0.0010792i,0.00018962-0.00056377i,0.00022716-0.00040367i,0.00019277-0.00096414i,-0.0001067-0.00029909i,-0.00050021+0.00017755i,-0.00078133-0.00040752i,-0.00098581-0.00062191i,-0.00079271-0.00042116i
-0.00074069-0.00094092i,0.00031709-0.0018277i,0.0013568-0.00095069i,0.0011765-0.00058773i,0.001411-0.0013041i,0.0015606-0.00162i,0.0014704-0.00087123i,0.00075143+0.00044241i,0.00048667+0.0011388i,0.00084988+0.00088834i,0.00078059+7.3083e-05i,0.0006667-6.1715e-05i,-2.8507e-05-0.00059964i,-0.00075534-0.0010037i,-0.0006746+0.00018488i,5.3606e-05+0.00037469i,-4.0453e-05-0.00011459i,-0.00019626-0.00049304i,0.00026744-0.0001355i,0.00026673+0.0004023i,-0.00051557-0.00024452i,-0.001201-0.00062115i,-0.00084759-0.00014273i
0.00015092+0.0011587i,4.5958e-05+0.0015976i,-0.00078097+0.0003463i,-0.0012172-0.00091789i,-0.00066691-0.0014676i,0.00034681-0.0017364i,0.00063083-0.00097631i,0.00070809-0.00035042i,0.0003554+0.00012049i,-0.0011621+0.00082978i,-0.0010829+0.0011352i,0.00053328+0.00074378i,0.00081433+0.00051883i,-0.00017054+0.00067269i,-0.00036311+0.00043353i,1.4507e-05-0.00024814i,0.00052714-0.00059669i,0.00042115-0.00046675i,0.00023843-0.00027927i,4.7853e-05+0.00020311i,4.4596e-05-2.1887e-05i,1.3982e-05-6.2128e-05i,-0.00023378+0.00057104i
0.0016572-0.0030204i,0.00088351-0.0030814i,0.00065-0.0020993i,0.00084118-0.0011204i,0.0009157-0.00068897i,0.0010338-0.00082832i,0.00082231-0.00085934i,0.00017723-1.1635e-06i,0.00024585-6.5913e-05i,-0.00010302-0.00068408i,-0.0010739-0.0004234i,-0.0015536-7.8584e-05i,-0.00073924-0.00017301i,0.00023128-0.00036671i,0.00033808-5.1129e-06i,0.00085862-0.00019989i,0.00092763-0.00012084i,5.2446e-05+0.00054389i,0.00052577+0.00017182i,0.00019705-0.00050083i,-0.00026946-0.00088809i,-0.00013722-0.00060079i,-0.00063572-9.8079e-06i
0.0012135+0.0013518i,0.0030029+0.0013998i,0.0030862+0.0011927i,0.0021869+3.1879e-05i,0.0016616-0.00085592i,0.0018672-0.0012491i,0.0014295-0.0010796i,0.00046444-1.6439e-05i,-0.00023698+0.0012015i,-0.00066246+0.0015258i,-0.0012278+0.001025i,-0.00069318+0.00057287i,-0.00075336+0.00073155i,-0.00074692+0.00065225i,0.00025095+0.00046134i,0.00072912+0.00017151i,0.0007781-0.00039409i,0.00095367-0.00026834i,0.00088+0.00074634i,6.353e-05+0.00071981i,-0.00010401+0.00031842i,0.00023716+0.00035159i,-0.00016802+9.7423e-05i
-0.00084334-0.0017475i,0.0002969-0.0024133i,0.00035815-0.0015814i,-5.9049e-05-0.00074161i,0.00054454-0.0014902i,0.0013431-0.0021059i,0.0013378-0.0011362i,0.0012854-0.0004812i,0.00063395-0.0016657i,-0.0005058-0.0019402i,-0.0010998-0.000418i,-0.00077629+0.000389i,-9.2977e-05-0.00026789i,0.00011817-0.00029367i,-2.5445e-05+0.00077807i,-6.6201e-05+0.0010828i,0.00019359+0.00079436i,0.00047357-0.00017648i,-9.5835e-05-0.00075135i,-0.00072525+0.00013267i,-0.00081044+0.00089176i,-0.00089427+0.00082535i,-0.00048607+0.00089103i
0.00065734+0.0004395i,0.0011081+0.00069418i,0.00044919-1.6052e-05i,0.00014708-0.00048783i,0.0011312-0.00061894i,0.0017025-0.0010009i,0.00057566-0.0010862i,-0.0003097-0.00051048i,-0.00064764-3.4443e-05i,-0.0012054-1.6213e-05i,-0.0018217+0.00039365i,-0.0014611+0.00013639i,-0.00034636-0.00030028i,0.00072589-1.6742e-05i,0.00063117-3.0509e-05i,0.00037918-0.00076612i,0.00065316-0.00029528i,-5.5315e-06+0.00091458i,-0.00030835+0.0008487i,0.00010751+3.1375e-05i,-0.00017676-0.00025351i,-0.0008451+0.00011197i,-0.00056453-5.1366e-05i
0.0014987-0.00070172i,0.001145-0.0025704i,0.00088005-0.002493i,0.00068316-0.0017502i,-0.00082186-0.0025935i,-0.0003784-0.0029381i,0.0012483-0.0014259i,0.0012216+0.0001335i,0.00050443+7.8921e-05i,-0.00045556-0.00053671i,-0.0011868-0.00014676i,-0.0012608-0.000358i,-0.00018173+0.00015767i,0.00093809+0.00074622i,0.0013413+0.0007199i,0.00078532+0.00061868i,0.0003803-0.00040037i,0.0010411-0.00081276i,0.0012755-0.00048873i,0.00094555-0.00013511i,0.00044238+0.00013716i,0.00026151+0.00027751i,0.00011574+0.0002906i
0.00012957+0.00081829i,0.0012666+0.0012313i,0.0023802-8.6039e-05i,0.0021579-0.0010608i,0.0010509-0.00092444i,0.00070364-0.001408i,0.00069516-0.0023698i,0.00099242-0.0015988i,0.000185-0.00042508i,-0.0014309-0.00047402i,-0.0021221+4.3114e-05i,-0.001408+0.00085913i,-0.00046115+0.0008092i,2.0315e-05+0.00040768i,-0.00018044-4.8515e-05i,9.0059e-06-0.00053832i,0.00031913-0.0006581i,-6.35e-05-0.00075244i,-0.0001245-0.00054292i,0.00057033-0.00014702i,0.0012362+2.3535e-05i,0.00075797+0.00012812i,-0.00031185-6.5366e-05i
-0.00079821-0.00091466i,-0.001742-0.0022177i,-0.0012047-0.0011032i,5.0215e-06+5.0613e-05i,0.0014039-0.00054964i,0.00181-0.001286i,0.0011203-0.00085239i,0.00023946-0.00015927i,0.0005563+0.00039917i,0.00034751+0.00042442i,-0.00059279-9.3432e-05i,-0.00016883-0.0003418i,0.00033438+9.3161e-05i,8.1463e-05+0.00099904i,-0.00015957+0.0014994i,-4.6e-05+0.0011972i,-0.00036892+0.00039151i,-0.00016883-4.3628e-06i,0.0008452+0.00017276i,0.0010055+0.00033107i,0.0006993+0.00019305i,-0.00042662+0.00010593i,-0.0011799+8.2694e-05i
0.0040163+2.1542e-05i,0.0050336-0.00027703i,0.0039653-0.0016787i,0.0017931-0.0020756i,0.0001394-0.0021786i,-9.4418e-05-0.0019258i,0.001008-0.0012391i,0.0017591-0.00024116i,0.00078912-0.00050933i,-0.00032419-0.0005715i,-0.0010122+0.00048599i,-0.00097682+0.00010379i,-0.00068289-0.00034308i,-0.0002296-0.00018693i,-1.4339e-05+0.00026162i,-6.723e-05+0.00018118i,5.9911e-05-0.00079412i,0.00011807-0.00052429i,-4.8409e-05+0.00037933i,-0.00075+0.00010232i,-0.00043074+0.00016115i,0.00031288+0.00024575i,-0.00013408+0.00031204i
4.1056e-05-0.0031405i,-0.0011718-0.0030867i,-0.0019936-0.0026006i,-0.0017114-0.0015714i,-0.00012406-0.00073686i,0.00070741-0.0010982i,-6.5423e-05-0.0011987i,-0.0011279-0.00082305i,-0.0012727-0.00091932i,-0.0010998+0.00016429i,-0.00096426+0.0011509i,-0.00065665+0.00030551i,-1.0175e-05-0.00050598i,0.00024117+0.00011817i,0.00032471+0.00096156i,0.00089873+0.00090342i,0.0010302-0.00035483i,0.00032713-0.001171i,-0.00056597-0.00041927i,-0.00049337+0.00016401i,-0.00079233-0.00028075i,-0.00076024-0.0008378i,-4.5505e-05-0.00045173i
0.0020525+0.0030173i,0.0039216+0.0032587i,0.0034641+0.002147i,0.002306+0.00089429i,0.00207-0.0013138i,0.001773-0.0027048i,0.00043701-0.0011586i,-0.00048073+0.00096818i,-0.00017415+0.0015517i,-0.00011465+0.0006708i,-0.0005984-5.6254e-06i,-0.00093349+0.00018011i,-0.00075622+0.00048138i,-0.00018372+0.0012441i,-0.00036933+0.0013157i,-0.00092558+0.00033992i,-0.00052069+0.00011949i,-0.00046653+0.00014069i,-0.00078185+1.5532e-05i,-0.00034585+0.00031279i,-0.00025951+0.00017327i,-0.00051165+5.4564e-05i,-0.00043128+0.00052544i
0.00056617-0.001354i,0.0010193-0.0038755i,0.0015066-0.0050076i,0.0013707-0.0041555i,0.00025608-0.0032607i,-0.0001955-0.0024376i,0.0004501-0.001172i,0.00038708-4.8937e-05i,-4.0742e-05+0.00030152i,-0.000451+0.00041369i,-0.0005803-0.00014963i,-0.00028542-0.00099375i,-9.3823e-05-0.00085227i,2.0862e-05+0.00018609i,0.00063277+0.00066356i,0.00078687+0.00062409i,7.7538e-05+0.00067447i,-0.00035207+0.00039706i,-0.00054417+6.565e-05i,-0.00041198+0.00017184i,-7.5584e-05+0.00048631i,0.00014106+0.00042189i,-0.00022337+0.00048788i
0.00099677+0.0022682i,0.0019146+0.0022261i,0.0013194+0.001964i,0.00092749+0.0007603i,0.0012163-0.00096172i,0.00060235-0.0017536i,-0.00042019-0.0015026i,0.00035102-0.001189i,0.00084798-0.00064079i,0.00043581+0.00025825i,-6.3404e-05+0.00089666i,-0.00024275+0.00041845i,-0.00017599-0.00050391i,-0.00070858-0.00055873i,-0.00054412+0.00027321i,-4.1704e-05+0.00036937i,-0.00038193-7.924e-05i,-0.001322-0.00021286i,-0.0012588-0.00026035i,-0.00036552-3.5979e-05i,-7.194e-05+0.00045631i,-5.5725e-05+0.00026171i,-0.00012081+0.00025244i
-0.0006426-0.0020034i,-0.00063002-0.0033284i,7.4783e-05-0.0025814i,0.00073701-0.0013107i,0.0014482-0.00184i,0.0017781-0.002034i,0.0010184-0.00086441i,0.00029725-0.00025215i,-0.00044104-0.00076494i,-0.00071282-0.00138i,-0.0004451-0.0007409i,-0.0006076+0.00018537i,-0.00097954+0.00023993i,-0.00028083-0.00021313i,9.2071e-05-0.00028523i,0.0008373+0.0002253i,0.0011619+0.00042799i,0.00051074+0.00041344i,0.00032882+0.00026322i,0.00022567+5.4472e-05i,0.00017177+7.1388e-06i,8.9463e-05-0.0004942i,-0.00066631-0.00070544i
0.0015481+5.082e-05i,0.0010924-1.5114e-05i,0.00038169-0.00095063i,-0.00010978-0.0013729i,-4.5716e-06-0.0017298i,-0.00013721-0.0019067i,0.00023005-0.0011737i,2.2394e-05-0.00053413i,-0.00085455-0.00073695i,-0.00078249-0.0011386i,-0.00043737-0.00022717i,-0.00057594-0.00010204i,2.2057e-05-0.00085313i,0.00043235-0.00096257i,0.00045819-0.00013197i,8.8987e-05+0.00050892i,-0.0001186+0.00029353i,0.00037714+0.00023877i,0.00047788+9.358e-05i,-1.3832e-05-0.00041773i,-0.00055314-0.00024216i,-0.00043847-0.00022874i,0.00011141-0.00084479i
