0.000132+0.00024705i,0.00041949-0.00048324i,-0.00090267-0.00012886i,-0.0014521+0.00051768i,-0.0007691+0.00082205i,-9.5977e-05+0.0013783i,-0.00015207+0.0020309i,-0.00011946+0.0021705i,0.00046163+0.0012519i,0.00031665-7.388e-05i,-0.00033482-0.00068712i,-0.00082588-0.0005809i,-0.0010003-0.00032846i,-0.00076489+0.00015453i,-0.00055471+0.00046074i,-0.00053694+0.00067345i,-2.6022e-05+0.00091442i,0.00037532+0.00049037i,-0.00016263+0.0002684i,-0.00048076+0.00049526i,-7.5542e-05-7.7131e-06i,0.00077015-0.00071628i,0.00098184-0.00012098i
-0.0011802+0.0016114i,-0.00085915+0.00090121i,-0.00028383+0.00064178i,0.00060279+0.00092511i,0.00093984+0.00077112i,0.00062841+0.0011178i,-0.00030831+0.00062838i,-0.00051952+8.14e-05i,-0.00011641+0.00060964i,-0.00048052+0.00072579i,-0.00087034+0.00021675i,-0.00076273-0.000346i,-0.001258-0.00048913i,-0.00094999-0.00015711i,-0.00080597+0.00026517i,-0.00089897+8.2867e-05i,-0.00042918+7.2503e-06i,4.9564e-05+9.6057e-05i,-0.00023461-0.00091268i,-0.00041225-0.0016313i,-8.0545e-05-0.0010235i,-8.0337e-05-0.0001655i,-0.00044644-0.00066323i
-0.00033198-0.00097685i,-0.0012943-0.00033531i,-0.0015226+7.2796e-05i,-0.0014363+0.00071655i,-0.0011078+0.00097977i,0.00057617+0.00044812i,0.00095292-8.8267e-05i,0.00016354-0.00051122i,-0.00019417-0.00050355i,-0.00064697-0.00075948i,-0.0011389-0.0010542i,-0.0007523-0.0011525i,0.00027565-0.00093029i,0.0005454-0.00068883i,5.9227e-05-7.4337e-05i,6.4679e-05+0.00065088i,-0.00025485+0.00098032i,-0.00012666+0.00085103i,0.00032628+0.00083693i,-0.0001611+0.00074219i,-0.00053591+0.00076465i,-0.0010368+0.00051725i,-0.0012142+0.00010808i
0.00048926-0.0013524i,0.0023073-0.00094577i,0.0022717-0.0014573i,0.0015325-0.0010766i,0.0013731+0.00032961i,0.0010716+0.00072557i,-0.00055008+0.00068456i,-0.00093127+0.00083128i,-0.00043635+0.00022808i,-0.00096363-0.0007536i,-0.00082302-0.0010689i,-0.00063686-0.00047421i,-0.00079393-0.000322i,-0.00099687-0.0003844i,-0.0013655-0.00023173i,-0.0011844-0.00040832i,-0.00074161+0.00020926i,-0.00063377+0.0011011i,-0.00032359+0.00096305i,-0.00023727+0.00016505i,0.00023342-0.00013754i,0.00031069-7.0452e-05i,-0.00075966-0.00014184i
0.00090343+0.00067862i,-0.0001814+0.00035394i,-0.00045575+5.7981e-05i,0.00011163+0.0001949i,5.4206e-05+0.0010284i,0.00047691+0.0014959i,0.00061978+0.0011872i,0.0001696+0.00036655i,-0.00049646-4.7676e-05i,-0.0010985-0.0005499i,-0.00094495-0.00011867i,-0.00077392+0.00044437i,-0.00058796+0.00025667i,-0.00048771+6.2899e-05i,-0.00053212-0.00012959i,-0.00036443-0.00021454i,-0.00037072+5.8609e-05i,-0.00065634+0.00037708i,0.00020152+0.00036909i,0.00048516-0.00052823i,-0.00066321-0.00064395i,-0.00011446-0.00014158i,0.0003944-0.0004135i
0.0018033-0.00053004i,0.0022859-0.0017578i,0.0021951-0.0026068i,0.00076732-0.0022713i,6.0651e-05-0.00082535i,0.00039211-0.00022481i,0.00032815-0.0010428i,-0.00041037-0.0014094i,-0.00036427-0.00066534i,-0.00021888-0.00010727i,-0.0013421-4.5267e-05i,-0.0019162-0.0003705i,-0.0012801-0.0010413i,-0.00075418-0.0015253i,-0.00098467-0.00091011i,-0.00084143+1.8955e-05i,-0.00016652+0.00062038i,0.00017164+0.00019816i,0.00013716-0.00053095i,-0.00016436-0.00016479i,0.00062491-0.00017416i,0.00069906-0.00019022i,-0.00028666+0.00077307i
-0.0014486+0.002429i,-0.00016252+0.0032484i,-0.00019534+0.0042931i,0.00030376+0.0034339i,0.0015623+0.0019809i,0.0016453+0.00068473i,0.0004179+0.00052916i,-0.00052006+0.00070152i,-0.00061317+0.0007658i,-0.00047073+0.00052259i,-0.00021501-0.00026844i,0.00055702-0.0011421i,0.00087223-0.0015315i,0.00044406-0.0011707i,0.00025958-0.00058719i,-0.00021451-0.00028587i,-0.00031882-4.6906e-05i,-0.00078811-7.5093e-05i,-0.0010748+0.00046618i,-0.00054453+0.0008987i,8.6806e-05+0.00048125i,0.00043584+0.00064242i,0.00025317+0.00053102i
-0.00051884+0.0015465i,-0.00034921+0.00063579i,-2.341e-05-0.00020069i,0.00035927-0.00021309i,0.0012737+9.0447e-05i,0.0014542+0.00031863i,1.013e-05+0.00022332i,-0.00019317+0.00054056i,0.00013454+0.00107i,-3.2887e-05+0.00065026i,-9.1781e-06-0.00033087i,-2.5075e-05-0.0010931i,-0.00018337-0.0012271i,-0.00039907-0.00066674i,-9.6918e-05+0.00012773i,-0.00011463+0.001059i,-0.00048811+0.001473i,-0.00028826+0.0011324i,0.00017706+0.00074583i,1.8421e-05+0.00060098i,0.00020106+0.00010074i,0.00099979-0.00025623i,0.0012152-6.1341e-05i
-0.00053747+0.0013676i,-0.00023449+0.0013769i,0.00016088+0.0030277i,0.0005973+0.002827i,0.0010515+0.0018408i,0.0010539+0.0010146i,0.0013996+0.00033286i,0.0010428+0.00039962i,-8.7261e-05+7.2289e-05i,-0.00015903-0.00029098i,-0.00012118-0.00015087i,0.00013137+0.00025965i,-0.00014768+0.00012322i,-0.00045548-6.6808e-05i,-0.00030567+2.891e-05i,0.00011319+7.094e-05i,0.00010002+0.00058568i,-0.00022814+0.00033655i,0.00029801-0.00027699i,0.00047436-0.00027976i,0.00038997-0.00032995i,0.00052795-0.00013865i,0.0012209+0.00036883i
-0.00019148-0.0016293i,-0.00078393-0.001364i,-0.0010238-0.001815i,-0.00088133-0.0010952i,-0.00046023-0.00039133i,0.00029503+0.00047694i,7.7091e-05+0.0010622i,-9.6996e-05+0.00086944i,0.00025123+0.00088831i,7.5633e-06+0.00058875i,-0.0009213-0.00024727i,-0.0011935-0.0002325i,-0.0011362+0.00019915i,-0.00088854+0.00044099i,-0.00011702+0.00081908i,6.0429e-05+0.00043627i,-0.00060136+0.00012025i,-0.0009939+0.00055406i,-0.0010617+0.00051662i,-0.00068562-2.0107e-06i,-0.00059729-0.00026124i,3.1158e-05-0.00012961i,0.00024704-0.00039109i
-0.00015185-0.00096426i,0.00026692-0.00030411i,0.00025726+0.00089375i,-0.00017236+0.001276i,-1.4695e-05+0.00092363i,-2.4457e-05+0.0018346i,9.4232e-05+0.0015109i,-5.7916e-05+0.00018962i,-0.00017128-0.00029455i,-0.00015092-0.00044371i,0.00011728-0.00060701i,0.00028634-0.00086657i,0.00060474-0.00090122i,0.0010842-0.0003476i,0.0012305-6.3507e-05i,0.00067442-0.00013968i,2.0018e-05+4.8991e-05i,0.00030472+3.7314e-05i,0.00061767+7.9374e-05i,-0.00023191-0.00023529i,0.00033471-9.9769e-05i,0.0007383+0.00070272i,0.00012243+0.00030653i
0.001422+0.00052364i,0.00097442-0.00036217i,0.0017761-0.0020627i,0.0015854-0.0027972i,0.0009988-0.0016524i,0.00076221-4.1835e-05i,0.00022856+0.00015106i,-0.00034841-0.00022466i,-0.0009002+0.00011578i,-0.00096285-0.00046684i,-0.0016976-0.0012068i,-0.0021972-0.0011154i,-0.0012685-0.00074068i,-0.00087799+0.00034106i,-0.00095534+0.001138i,-0.00081658+0.0012859i,-0.00075817+0.0014128i,-0.00044513+0.00093109i,-0.00022402+0.00018656i,-0.00017149-0.00029808i,-0.00010533-0.00034287i,-0.00049812-0.00022545i,-0.0013109-0.00048473i
0.0014273-0.0014297i,0.0024185-0.0018392i,0.002324-0.001313i,0.00076703-0.0011524i,-0.00015964-0.0012127i,-8.7321e-05-0.00022556i,0.0002624+0.0003042i,6.6263e-05+0.00015498i,-0.0003219-0.00028699i,-0.0007285-0.00078617i,-0.0014485-0.00064343i,-0.001177-0.00010531i,-0.00042541-0.00030968i,-0.00083068-0.00053761i,-0.00096942-0.00016444i,-0.00027161+0.00094746i,-0.00057995+0.0011029i,-0.00091308+0.00056839i,-0.0002703-1.2359e-05i,0.00034471-0.00023087i,0.00024496+9.904e-05i,-0.00033984-3.8505e-05i,-0.00062765-0.00054583i
-0.0020443+0.00021127i,-0.002384+0.00025488i,-0.0019072-1.3705e-05i,-0.001326+0.00039222i,-0.00012136+0.001207i,0.00069698+0.0010536i,0.00025846+0.00066798i,-0.00071737+0.00065834i,-0.00065277+3.1637e-05i,-0.0005104-0.00032693i,-0.0011582-0.00031796i,-0.00045466-0.00037708i,1.5015e-05-0.00042487i,-5.1728e-05-0.00077325i,0.00033607-0.0002302i,6.8224e-06+0.00066295i,-0.00051246+0.00082967i,-0.00049831+0.000699i,0.00035338+0.00071506i,0.00098476+0.00063233i,0.00060702+0.00025739i,0.00041625-0.00011417i,0.00017786-1.0486e-05i
-0.0016684-0.00019146i,-0.0011105-0.00093121i,-0.0013824-0.00081806i,-0.00055586+0.0011289i,0.0013895+0.0027564i,0.0019193+0.0025041i,0.0008726+0.00047794i,2.1916e-05-6.8577e-05i,-0.00029065+0.00046094i,-1.7006e-05+0.00023801i,0.00011493+0.00018002i,-0.00048072-0.00038775i,-0.00053938-0.001147i,-0.0004773-0.00090649i,-8.0271e-06-0.00048237i,0.001146-0.00051894i,0.0011401-6.3276e-05i,0.00079037+0.00027139i,0.00084608+0.00017912i,0.00045451-0.00024254i,0.00013942-0.0006495i,5.5979e-05-0.00029832i,1.4124e-05-0.00024334i
-0.00035598-0.00039424i,-0.0009635+0.00017383i,-0.00090254-0.00013027i,-0.0013796-0.00011396i,-0.0011846-6.5212e-05i,-0.00010927-0.00063039i,0.00054165-0.0012981i,3.7001e-05-0.0010934i,-0.00028029-0.00094963i,-0.00047209-0.0010885i,-0.00095755-0.00088799i,-0.0005659-0.00062283i,-6.5772e-05-0.00079008i,0.00030283-0.00095956i,-0.00029345-0.00029361i,-0.00084685+0.00049339i,-0.0006435+0.00032495i,-0.0006802+0.00042855i,-0.00064962+0.00051791i,-0.00061142-5.0451e-05i,-0.00071836+0.00014706i,-0.00038806+0.00041124i,0.00020682+0.00053553i
0.0023058-0.00071664i,0.0015894-0.001286i,0.0023801-0.0012892i,0.0012703-0.00039825i,-0.00047793+0.00029454i,-0.00097662+0.00089491i,-0.00087389+0.0009234i,8.7659e-05-0.00011414i,0.00095243-0.00065425i,-3.997e-05-0.00043459i,-0.0011302-0.00087519i,-0.0013341-0.00077679i,-0.0013513-0.0002481i,-0.00081981-0.00016544i,-0.00057214-0.00035828i,-5.7555e-05+0.00052123i,0.00076618+0.00029659i,0.00028626-0.00040515i,-0.00024613-2.3654e-05i,-0.00025709+0.00042766i,-0.00011957+0.00062095i,-6.6432e-05+0.00014042i,-8.2471e-05-7.1014e-05i
-0.0014415+0.0031648i,-0.0013456+0.0028359i,-0.00062537+0.0029754i,0.0013057+0.0027299i,0.0020632+0.0021868i,0.0012001+0.00038169i,0.00034561-0.0010047i,-0.00068514-0.00038268i,-0.00085957+0.00039116i,-0.00039372+2.7539e-05i,0.00053219-0.00028011i,0.00082088-0.00025703i,-0.00051406-0.0015179i,-0.0010711-0.0024696i,-0.00073195-0.0014603i,-0.0011557-0.00023807i,-0.00091071+0.00066158i,-0.00065676+8.4232e-05i,-0.00058278-0.00067083i,-0.00030317+0.00040387i,-0.0004608+0.00036948i,-0.00026079-0.00067883i,-0.00045034-0.000549i
0.00075707+0.0012988i,0.00075154+0.00067815i,0.0015118+0.00032883i,0.0016147+2.3341e-05i,0.00081618-0.00036878i,7.9795e-05-6.342e-05i,9.5035e-05+0.00064266i,-0.00020114+0.00081098i,9.8527e-05+0.00094379i,0.00024079+0.00081455i,-0.00035028-0.00041447i,-0.0003488-0.0009559i,-0.00091349-0.0011563i,-0.0012121-0.00026398i,-0.00083253+0.00029161i,-0.00068387-0.00026704i,-0.00052316-0.00010705i,-0.00030124-1.8309e-05i,-0.00023847+0.00028664i,-2.3398e-05+0.00054922i,0.00029578-0.00016624i,0.00024027-0.00028501i,-2.4796e-05+0.00038369i
-0.0010666-8.7828e-05i,-0.00083049+0.001193i,-0.0014605+0.0020441i,-0.0011386+0.0010297i,-2.9405e-05+0.0010422i,0.00089331+0.0016835i,0.00097987+0.00077049i,-3.501e-05-0.00021205i,-0.00057966-0.00013991i,0.0001836+0.00033618i,0.00048938+0.00032917i,-0.00016148-0.00019232i,-0.00054574-0.00071156i,-0.00080699-0.0012596i,-0.00067045-0.00096456i,-0.00065751+0.00011395i,-0.00064522+0.0011219i,-0.00071302+0.0013879i,-0.00019429+0.00077925i,0.00011249+0.00026535i,0.00060672-0.0006027i,0.00033969-0.000598i,-0.00027964+8.8089e-05i
0.00068244-0.00079249i,6.2787e-05-0.0014388i,0.00010447-0.0004974i,0.00056554-0.00035132i,0.00021089-0.00025008i,-0.00045379+0.00031919i,-0.00058083+0.00015451i,-0.00055289+0.00026765i,-0.0010898+0.00010727i,-0.00052345-0.00063092i,0.00033869-0.00088282i,-0.00028596-0.00086487i,-0.0012075-0.00052298i,-0.0015562-0.00048318i,-0.0012413-0.00066975i,-0.001026+0.0001782i,-0.00077883+0.0012293i,-0.00029487+0.0014604i,0.00014838+0.00099495i,0.0003888-0.0001242i,0.00048032-0.00057014i,0.0005258-1.3025e-05i,0.00088711+6.6694e-05i
-0.00081856+0.0014244i,-0.00069729+0.0016343i,0.00071217+0.0012138i,0.0013368+0.0016441i,0.0010941+0.0020334i,0.00075614+0.0012267i,0.00072079+0.00075833i,-0.00016559+0.00085923i,-0.00090708+0.00086346i,-0.00051579+0.00059181i,-0.00040699-0.00010294i,-0.00015786-0.00014394i,5.9685e-05-0.00093397i,-0.00013217-0.0012196i,-0.00067625-0.00017823i,-0.00067984+0.00010564i,-0.00029665+0.0003018i,-0.00054834+0.00031437i,-0.00047476+0.00025602i,-0.00017857+0.0004174i,5.882e-05+0.00048702i,0.00013068+0.00030768i,-1.1164e-05-8.1375e-05i
-0.0011535+0.00066029i,-0.0017059+0.0003731i,-0.00075946+0.00086353i,0.00075556+0.0011915i,0.0014308+0.0015205i,0.00066104+0.0013442i,-0.00078773+0.00041571i,-0.0011106+4.7281e-05i,-0.00078144+0.00028946i,-0.00036614+0.00051936i,-0.00030011+0.00052119i,-0.00031585+0.0002818i,0.00027752-0.00034955i,0.00081779-0.00034338i,0.00042722-7.6116e-05i,0.00029926+8.1878e-05i,0.00054271-0.00019786i,0.00070452-0.00030165i,0.0006342+5.3412e-05i,-0.00016401-0.00029356i,-0.00024763-0.0002853i,0.0012014-0.00027378i,0.0014498-6.6938e-05i
-0.00085155-0.0010211i,-0.0011493-0.00074003i,-0.0015047+1.372e-05i,-0.0009406+0.0015098i,7.8724e-05+0.0019764i,0.00017517+0.0012151i,-7.2666e-05+0.00061298i,-0.00029423-0.00033699i,-0.0010177-0.00087333i,-0.0017304-0.00062846i,-0.0016001-0.00020422i,-0.0018643+1.1429e-05i,-0.0013062-5.2248e-05i,-0.00018263+0.00033535i,0.00037204+0.00040834i,0.00016001-7.8077e-05i,0.00035147-3.5562e-05i,-1.9409e-05+0.00020683i,-0.00066701+0.00067499i,-0.00033118+0.00032793i,0.00046321-0.00057561i,0.00079268-0.00072246i,0.00057934-0.00038297i
-0.0015993-0.00030796i,-0.0017662+0.00030365i,-0.0013301+0.0017349i,-0.00081252+0.002034i,0.00026391+0.0012387i,0.0012141+0.00052394i,0.00052948+0.00047806i,-0.00036076+0.00069791i,-0.00025309+0.00012113i,-0.0001688+0.00025106i,-0.00031644-0.00031426i,-0.0001508-0.0011595i,-0.00010098-0.0015039i,-4.127e-05-0.0015305i,-0.00025078-0.0008117i,6.9469e-05-0.00014213i,0.00024303-6.3713e-05i,0.0001039-4.6409e-05i,-0.00028508-0.00024103i,-0.00027138-0.00021852i,-0.00033702+0.00024437i,-0.0006272-0.00011101i,-0.00051515-0.00060999i
-0.00085022-0.001068i,-0.0011349-0.00039111i,-0.0010097-0.00043691i,-0.00085918+0.00029369i,-0.00072586+0.00078575i,0.00012677+0.00080901i,-0.00017619+0.00037259i,-0.00093809+0.00026441i,-0.0008738+0.00056461i,-0.00036282+0.00036809i,-0.00048255-0.0002009i,-0.00098886-0.00077742i,-0.0014944-0.00099615i,-0.0016706-0.00053676i,-0.0010795-3.6454e-05i,-0.00061189-2.6155e-05i,-0.00093041+0.00070573i,-0.00091187+0.001401i,-1.4198e-06+0.00132i,0.00038685+0.0010621i,0.0004965+0.00094092i,4.6629e-05+0.00029321i,0.00043092-0.00026735i
0.0011404-0.00053362i,0.0014303-0.00039679i,0.0011689-0.00033762i,0.00036455+0.00022488i,0.0005538+0.00099857i,0.0014635+0.0014594i,0.0012147+0.0010762i,8.8472e-05+0.00090513i,-0.00040425+0.00053633i,-0.00073389+0.00011975i,-0.0015499+1.7084e-05i,-0.0014817-3.6293e-05i,-0.00099167-0.00050946i,-0.00033128-0.0015544i,-0.0001158-0.0015085i,-0.00029881-0.00061293i,-0.00083796-0.00016651i,-0.0007694-0.00024044i,-0.00027702+1.8205e-05i,8.1699e-06+0.0010326i,0.00035825+0.0011181i,0.00048601+0.0006605i,0.00018156+0.00044159i
0.00024161+0.00062608i,0.0010359+0.00054858i,0.0010149+0.00070396i,0.0005847+8.0405e-05i,0.00053072+3.0499e-06i,0.00089954+3.532e-05i,0.00030676-0.00017835i,-9.842e-06-0.00051541i,0.00019804-0.00026107i,1.6619e-05+0.001235i,-0.00053161+0.001644i,-0.00098989+0.0013608i,-0.001047+0.0011706i,-0.00090431+0.00029282i,-0.00084861-3.8253e-05i,-0.00096533+6.2699e-05i,-0.0008578-0.00025599i,-0.00061749-0.00059325i,-0.00077797-0.0002821i,-0.00023028-0.00024085i,0.00011298-0.0007789i,0.0002141-0.0010006i,0.00034746-0.00086489i
0.00086143-0.0011722i,0.00078738-0.001405i,0.00069797-0.0011659i,0.00019252-0.00010631i,-0.00055904+0.00069121i,-0.0003426+0.0012275i,-0.00045135+0.00069777i,-0.00094749-0.00027553i,-0.0001936-0.00017062i,0.00014406-0.00035415i,-0.0011954-0.00074808i,-0.0014476-0.00031485i,-0.00021732+0.00029623i,-0.00045218-7.5631e-06i,-0.0012383-0.00022128i,-0.0010067+0.00054255i,-0.00078188+0.0014691i,-0.00087619+0.00097085i,-0.00049687-0.00019802i,-0.00017574-0.00047767i,0.00023983-0.00042406i,0.00024319+1.0399e-05i,-0.00044242+0.00040888i
0.0026303+0.0016957i,0.0028237+0.0018773i,0.0024452+0.0018404i,0.0024032+0.0010659i,0.0011794+0.00075898i,0.00030972+0.00080155i,0.00013174+0.00071758i,-0.00013047+0.0011716i,0.00022258+0.0015337i,-0.00018457+0.00085237i,-0.0011279-0.0002981i,-0.0010955-0.00074624i,-0.0013689-0.00022213i,-0.00074308-0.00029985i,-0.0002333-0.00063751i,-0.00051924-5.1549e-05i,-0.0007031+0.00059409i,-0.0005881+0.00022396i,-0.00027973-0.00019849i,-0.00039442-8.1334e-05i,-0.00049564+0.00053661i,-0.0006477+0.00089278i,8.1566e-05+1.1917e-05i
0.00089608+0.00074031i,0.0012192+0.00063973i,0.00086613+0.00051973i,0.0003252+0.00074295i,0.00059738+0.0010445i,0.0010582+0.00050651i,0.0011669+2.5945e-05i,0.0001646+0.00032015i,-0.00037742+3.0433e-05i,-0.00071402-0.00044802i,-0.0011628-0.00054805i,-0.00085162-0.00064335i,-0.00052085-0.0005779i,-0.00074718-0.00073001i,-0.0011723-0.0002982i,-0.0013025+0.00046655i,-0.0011053+0.00081996i,-0.00051032+0.00075455i,-0.00050456+0.00055465i,-0.00079129-7.9501e-05i,-0.00024524-0.00044768i,0.00050305-0.00054974i,0.00072284-0.00035171i
0.0012238+0.00058451i,0.0014636+0.00071219i,0.0017737-0.00043345i,0.0010502-0.00077818i,0.00050777-0.00053046i,0.00045749-1.4097e-05i,9.4205e-05+0.00013525i,-0.00031689-6.2022e-05i,0.00029101+0.00011882i,-0.00043445+0.00042418i,-0.00082446-5.1689e-05i,-5.0526e-05-0.0010163i,-0.0010528-0.0012597i,-0.0017243-0.00062995i,-0.00085102+0.00039577i,-0.00029199+0.0009493i,-0.00059251+0.00073152i,-0.00076739+0.00033835i,-0.00021334+0.00035157i,0.00045575+0.00041031i,0.00064548+0.00018046i,0.00045459+9.1304e-05i,8.4746e-05+0.00020487i
-0.00041837-9.3141e-05i,-0.00064324+5.1209e-05i,-0.0017217-0.00015151i,-0.0012752+0.00014351i,-8.7269e-05+0.0011694i,8.2493e-05+0.0017632i,-0.00010017+0.0015848i,-0.00063246+0.00060699i,-0.0015506+5.072e-06i,-0.0018382-0.00036291i,-0.0013533-0.00048796i,-0.001203-0.00070685i,-0.0011974-0.00066772i,-0.00068743+0.00046576i,-0.00057714+0.00082133i,-0.00063851+0.0002302i,-0.00018603+0.00053656i,0.00017235+0.001055i,-6.0142e-05+0.00085972i,-8.6869e-06-0.00044089i,0.00057432-0.00083882i,0.00082582-0.00024338i,0.00070024+0.0002334i
0.0008428-0.00034492i,0.00085799-0.00092771i,0.0020753-0.0012122i,0.0021116-0.0010527i,0.00092022-0.0010107i,0.0010307-0.00074845i,0.0011825+0.0003111i,0.00010181+0.0011642i,-0.0011314+0.00076719i,-0.0011945+0.00054553i,-0.0010614+0.00043685i,-0.0012298+1.5951e-05i,-0.0012489-6.9573e-05i,-0.0012668-8.1618e-05i,-0.0013815+0.00010347i,-0.00061832+2.361e-05i,-5.0746e-05+0.0003148i,0.00011638+0.00044396i,-0.00015013+0.00045279i,-0.00065025+8.6055e-05i,-0.00053115-0.00027892i,0.0001246+9.7451e-05i,0.00034981+0.00014528i
0.00084418-0.0030551i,-0.00021196-0.0024449i,-0.0017277-0.002946i,-0.0017774-0.0018291i,-0.00098685-0.00036931i,-0.00092666+0.00024316i,-0.00075368-1.9066e-05i,-0.0004165-0.00010773i,-5.1714e-05+6.2081e-05i,-0.00026719+0.00020636i,-0.0009919+5.6137e-05i,-0.0010638+0.00030132i,-0.0010377+0.00070521i,-0.00021966+0.00014997i,0.00015956-0.00036625i,0.0001855+0.00015159i,0.00014584+0.0010284i,-0.00055756+0.00040086i,-0.00068878-0.00060286i,-0.0003344-0.00022089i,-0.00052272+0.0001214i,-0.00066824-0.00052574i,0.00012232-0.00069181i
-0.0015905+6.3682e-06i,-0.00094214-9.3789e-05i,-0.001135-3.4637e-05i,-0.0015638-6.8559e-06i,-0.001227+6.9555e-05i,-0.00074615+0.00013486i,-0.00063193-6.3842e-05i,-0.00076207-0.00072159i,-0.001149-1.5626e-05i,-0.0016154+0.00052048i,-0.0020255+2.0574e-05i,-0.0022038-0.00018684i,-0.00084961-0.00081525i,-2.0753e-05-0.0018475i,-0.00089058-0.0015336i,-0.00098736-0.00024314i,-0.00098634+2.1418e-05i,-0.00099798+0.00035655i,-0.00085027+0.00095876i,-0.00082814+0.00054933i,-0.00071806-0.00020422i,-4.0278e-05-1.7688e-05i,0.00053296+0.00058199i
0.0016511-0.0027917i,-0.00013025-0.0027326i,-0.0012378-0.0022885i,-0.001838-0.0015905i,-0.0019007-0.00086994i,-0.00038343-0.0001381i,0.00026847+0.00017645i,-0.00040205+0.00072618i,-0.0010423+0.000864i,-0.0014589+0.00046272i,-0.0016617-0.00030625i,-0.0012856-0.00070476i,-0.00034063-0.00080016i,-0.00011226-0.00043979i,-0.00035703+0.00037399i,-0.00034231+0.00054108i,-0.00033763+0.00027982i,-0.00016769+0.00022182i,0.00044017+0.00043741i,9.0481e-05-0.00035321i,-0.00011611-0.0013481i,0.00012981-0.00085998i,9.1331e-05+0.00058682i
-0.0024655+0.0011704i,-0.0015385+0.0016301i,-0.00028058+0.0014954i,0.00025351+0.0011501i,0.0002276+0.0014894i,0.00021079+0.0012542i,0.00023424+0.00052858i,0.00015755-0.00015344i,-0.00034369-0.00017627i,-0.00048171+0.00073925i,-0.00068727+0.00083416i,1.9054e-05-1.1346e-06i,0.00011514-0.00068598i,-0.00078945-0.0010679i,-0.00038418-0.0004618i,-0.00016617+0.00043717i,-0.00077385+0.00033708i,-0.0003411+4.217e-05i,0.00067108+0.00038363i,0.00062068+0.00048627i,3.1628e-05-1.9411e-05i,-0.00012918-8.6192e-05i,0.00081646+0.00050617i
-0.0012626+0.00026033i,-0.0010446+0.00048922i,-0.0013007+0.00035836i,-0.001038+0.000376i,-6.2648e-05+0.00071141i,0.00075361+0.0007154i,0.0010588-0.00013403i,0.00093464-0.00081443i,0.00011639-0.0001988i,-0.00069147+8.628e-05i,-0.0014186-0.00040171i,-0.0012924-0.00080646i,-0.0012847-0.00082791i,-0.0011978-0.00024647i,-0.00057927-7.5764e-05i,-0.00033419-0.00022046i,-0.00013809-0.00023567i,-0.00040637-0.0002433i,-0.00014737-0.00057116i,0.00088898-0.0010251i,0.0011416-0.00037804i,0.00067725+0.0003409i,0.00043525+0.00039922i
0.0014936-4.663e-05i,0.0017123-9.1931e-05i,0.0016638-0.00058665i,0.00088242-0.00064503i,-0.00060524+0.00068188i,-0.00080642+0.0010612i,-0.00057307+6.0149e-05i,-0.0010393-0.00023808i,-0.00088105-0.0001649i,-0.00060922-0.00032198i,-0.00093549-1.7298e-05i,-0.00085366-0.00024403i,-0.00057731-0.00052579i,-0.00050729-0.00015081i,-3.815e-05+0.00024544i,0.00038853+0.00013935i,-0.00042028+0.00033588i,-0.0010073+0.00050297i,-0.00082652+0.00047158i,-0.00043442-6.8021e-05i,0.00013497-0.0010422i,0.00033035-0.0011299i,5.9072e-05-0.00029176i
0.00029283-0.00027311i,-0.00018176-0.00014404i,-0.00021337+0.00021068i,-0.00068658+0.0009435i,-0.00095223+0.001167i,-8.3889e-05+0.001185i,-0.00049878+0.0014279i,-0.0015078+0.0013091i,-0.00091908+0.0011196i,-0.00070794+0.00079803i,-0.0012145-0.00022266i,-0.00068777-0.00042515i,-0.00044719-0.00060683i,-0.00021811-0.0011389i,0.00025424-0.00073884i,0.00029358-0.00033553i,-0.00028517-0.00062344i,-0.0010079-0.00031135i,-0.00052172+0.00054215i,3.5358e-05+0.00056583i,0.00058684+0.00017522i,0.0010625+5.0051e-05i,0.0011942-0.00044359i
-0.00066831+0.00093471i,-0.00078149+0.00094411i,0.00037153-0.00034277i,0.0014615-0.00041377i,0.0017313+5.8216e-05i,0.0014408+9.9276e-05i,0.00065895+0.00011293i,0.00012247-0.0001631i,4.2479e-06-0.00035761i,-0.00013961-0.00056402i,-0.00044096-0.00060728i,-0.00077021-0.00038323i,-0.00099496-0.00052752i,-0.00059454-0.00093341i,-0.0004604-0.00055968i,-0.00040689+3.3223e-05i,-0.00045796+0.00032461i,-0.00070776+0.00060346i,-0.00017277+0.00017679i,-9.5712e-05+0.0005871i,-0.0005935+0.00035332i,-0.00028438-0.00021672i,0.00060464-0.00030208i
0.0021922+0.00021125i,0.0018468+7.0916e-06i,0.0014213-6.8875e-05i,0.00025921+0.00035657i,0.00018892+0.00087969i,0.00070345+0.00058794i,0.00078212-0.0001945i,0.00042402-0.00048323i,-0.00033868-1.5996e-06i,-0.00066008-0.00043274i,-0.00074188-0.00050278i,-0.00063127-0.0001892i,-0.00043077-0.00056308i,-0.00050661-0.00046911i,-0.00081213+0.00043792i,-0.0012165+0.0010546i,-0.00080878+0.00061193i,-0.00052918+0.0006338i,-0.00058781+0.00038252i,-9.2204e-05-0.00058468i,0.00076783-0.00072471i,0.00054982+0.00017489i,0.00014785+0.00030676i
