-0.0028782-0.00027875i,-0.0024014-0.0013134i,-0.0023139-0.0020922i,-0.002189-0.0020412i,-0.0018483-0.0017334i,-0.001655-0.0016923i,-0.00031383-0.0011449i,0.00098525-0.00066796i,0.0016734-0.00015386i,0.00163+0.00014734i,6.476e-05-0.00026765i,-0.00064003-0.00034298i,-0.00073537-0.00011277i,-0.00066321-8.053e-05i,-0.00033281-0.00029004i,-0.00022812-8.4969e-06i,0.0001242-4.5171e-05i,0.00034678-0.00067813i,-0.00047351-0.00090539i,-0.0011443-8.2245e-05i,-0.0006399+0.00083477i,4.577e-05+0.00028956i,0.00042334-0.00017112i
-0.0018577-0.0015184i,-0.0022483-0.0013788i,-0.003662-0.0016007i,-0.0034064-0.0011229i,-0.0029722+0.00019756i,-0.0013511+1.8557e-06i,0.0002523-0.0008866i,0.00060779-0.00055605i,0.00060564-0.00061724i,0.00020953-0.00029476i,0.00020839+0.00035359i,0.00058732+0.00045605i,0.00032315+0.00021072i,0.00073828+7.5401e-05i,0.0016665+0.00041414i,0.0010157+0.00044958i,-0.00036032+0.0001022i,-0.00090775+7.9033e-06i,-0.0012494-0.00027552i,-0.00093299-0.00022273i,-0.00068076-0.00018536i,-0.00097498-0.00019286i,-0.0011682+2.3948e-05i
-0.0013969+0.0010463i,-0.0015095+0.00068876i,-0.0015292+0.00046219i,-0.00063946+0.00086006i,-0.0009847+7.0829e-05i,-0.0015534-0.00087486i,-0.0006882-0.00065598i,-0.00021512-0.00050761i,-0.00024952-0.0001256i,0.00023887+0.00080797i,0.00054337+0.00085684i,-0.00049047+0.00048381i,-0.0013352+0.00021829i,-0.0010494-0.00011937i,-0.00039412-0.00035986i,-0.00054083-0.0003617i,-0.00063239-6.7819e-05i,-0.00048689+0.00034502i,-0.0011563+2.6691e-06i,-0.00070562-0.00021893i,-3.207e-05+0.0001104i,-0.00030707+0.00045337i,-0.0010218+0.0003087i
-0.0013732+3.2465e-05i,-0.00078236-0.00012933i,-0.00059631+0.00029292i,-0.00032584+3.4171e-05i,-0.00023738-0.00067064i,0.00060499-0.00075014i,0.0011107-0.00089096i,0.00059128-0.00074023i,0.00024782-0.00016198i,-0.00015721+0.00027591i,-8.2804e-05+0.00019125i,-6.5121e-05+9.5126e-05i,9.3517e-06+0.00023959i,0.00042817+0.00036687i,-5.4211e-06+0.00015849i,-0.00037662-0.00046227i,-0.00018427-0.0006498i,-0.00020904-0.0004443i,0.00035027-4.89e-05i,0.00089941+0.00037448i,0.00049763-0.0001921i,-9.2358e-06-0.0006732i,0.00020455-0.00017455i
0.00165-0.00081598i,2.8314e-05-0.0014726i,-0.0015702-0.0013381i,-0.0014862-0.0012728i,-0.0014322-0.0013485i,-0.00080773-0.001342i,0.00036832-0.0011146i,0.00042465-0.0007239i,-0.00014324-0.00038715i,2.5648e-05-0.00025522i,0.00034998-0.00021916i,-1.0788e-05-4.3447e-05i,-0.00054358-0.00056858i,-0.00036444-0.0013168i,-0.00017433-0.00066252i,-0.00018567-0.00039585i,-0.00011155-0.00040345i,3.2979e-05-2.5723e-06i,-0.00024128-2.2015e-05i,-0.00046058-0.00045033i,-0.00067985-0.00027147i,-0.00070663+0.00039048i,-0.0002191+0.00086038i
1.3647e-05+0.00017308i,-7.2607e-06+0.00018358i,0.00017486-3.9579e-05i,0.00042191-0.00059824i,0.00032565-0.0010756i,-0.00017945-0.00096821i,3.6031e-05-0.0013256i,0.00012189-0.0015541i,3.9418e-05-0.0010816i,-0.0003011-0.00021467i,-0.00098834+6.6234e-05i,-0.00036097-0.00052273i,-7.5893e-05-0.00038161i,-0.0002452-0.0003417i,-4.5005e-05-0.00086145i,-0.0001319-0.00034533i,4.1229e-06+0.00063217i,0.00023031+0.00073946i,0.00029577+0.00038921i,-0.00027854+3.5622e-05i,-0.00065433-6.3997e-05i,0.00015771-0.00011823i,0.00047038+7.9206e-05i
0.00076278-0.00073918i,0.0001014+0.00011418i,-0.00027406+0.00064993i,-0.00030191+0.00080855i,-0.00069097+0.00059735i,-0.00057103-0.00060715i,-0.00024154-0.0012584i,1.3395e-06-0.00036498i,0.00019942+0.00030908i,0.00013357+0.00011119i,2.149e-05+0.00025263i,-0.00081102+0.00048589i,-0.0012619+6.7189e-05i,-0.0009268-0.00080846i,2.2633e-05-0.00057462i,0.00053971+0.00029637i,0.00021667+0.00040202i,-3.9423e-06+0.00015604i,-7.9964e-05+0.00041011i,0.00020794+0.00051079i,0.0004053+7.3365e-05i,0.00035994-0.00031712i,0.00010615-0.00021942i
-0.00092017+0.0018872i,-0.0016242+0.0025159i,-0.0020258+0.0024799i,-0.00088697+0.0010404i,0.00027664-0.00081929i,0.00067096-0.0018684i,0.00051586-0.0019755i,0.00018825-0.0016526i,0.00014262-0.00049159i,0.0003976-1.5055e-05i,0.0010856-0.00010807i,0.00057329+0.000397i,-0.00068256+0.00063561i,-0.00079399-0.00012445i,-0.00061524-0.00062942i,-0.00095056-0.0011829i,-0.00074483-0.00115i,-0.00012916+0.00043806i,-0.00052649+0.0013401i,-0.00045641+0.001353i,-0.00032949+0.00090893i,-0.00049088+0.00018958i,-0.00040371-0.00038339i
-0.0013563-0.0023264i,-0.0018919-0.0023017i,-0.0031389-0.0016979i,-0.0027496-0.00094236i,-0.0022757-0.00090516i,-0.0015447-0.00067934i,-0.00054823-0.0013129i,7.1608e-06-0.0015946i,0.00022589-0.00046962i,0.00042582+0.00023613i,1.783e-05-7.3134e-06i,-0.00020702+0.00050127i,0.00033491+0.00077443i,0.00041316-0.00013245i,0.00032588-0.00054806i,0.00081599-4.7723e-05i,0.00038531+0.00012354i,2.9394e-05-6.1516e-05i,-0.00045509-0.00010965i,-0.00079824-0.00063373i,-0.00023023-0.00050981i,-0.00011558+4.1327e-05i,-0.00051853+0.00025865i
0.0001572+0.00082537i,0.000348-0.0002628i,2.7903e-05-0.00086536i,-0.00021998-0.00044255i,-0.00040942-0.0013738i,5.8476e-06-0.0014132i,0.00030779-0.0007274i,0.00022065-0.00086153i,0.00039609-0.00070026i,0.00056045+0.00019544i,-0.00010151+0.00012657i,-0.00050527-0.00091774i,-0.00026095-0.00045174i,-0.00027628+0.0004777i,-0.00045451+0.00019171i,-0.00016024-9.4888e-05i,0.00035076-2.5282e-05i,4.2291e-05+0.00036514i,-5.5725e-05-0.000352i,0.00068694-0.00044711i,0.00045237-0.00031808i,-0.00022937-0.00045857i,-0.00042806+0.00024213i
-0.00091758+0.0020462i,-0.00046656+0.0020799i,-5.7314e-06+0.0014978i,0.00011166-1.2255e-05i,-0.00036446-0.00087728i,-0.00019454-0.001431i,0.00034569-0.0016054i,0.00051879-0.0013783i,0.00093812-0.0011864i,0.00097635-0.00048482i,-0.00010226+0.00022675i,-0.001375+0.00031366i,-0.0017055-0.00015564i,-0.00071918-0.00038301i,5.556e-05+6.1533e-05i,0.001033-2.5899e-05i,0.0015095-0.00034849i,0.00067028-9.9845e-05i,0.00041212-8.3401e-05i,0.00018886+0.00039129i,-0.00018398+0.00075444i,0.00026982+0.0003013i,0.00086596+0.00029337i
