-0.0030364-0.00040449i,-0.00093075+0.0002696i,0.00046444+0.00079574i,0.0015136+0.00073093i,0.0017255+0.00098218i,0.0010533+0.0010475i,0.00066333+0.00094708i,0.0007704+0.0012282i,0.00067072+0.001212i,0.0004142+0.00085714i,0.0010522+0.0012527i,0.00095716+0.00042642i,0.00046049-0.0011976i,0.00016844-0.0015092i,-0.00044356-0.0012707i,-0.0008058-0.001576i,-0.00047915-0.0011714i,0.00016595+2.5318e-05i,0.00033012+0.00034862i,-3.9587e-05+0.00048525i,-0.0003915+4.3523e-05i,-0.00041265-0.00045173i,-0.00064518-0.00066397i
3.4455e-05-0.0012876i,-0.001683-0.001481i,-0.0032717-0.0012469i,-0.0031031-0.00022619i,-0.0010966+4.589e-05i,6.1758e-05-0.00016703i,0.00044675-0.00026917i,0.00065492-0.00030243i,0.00012292+6.0107e-05i,-0.00015471+1.7349e-05i,-0.00014466-0.00011344i,-0.00027962-0.00026083i,0.00045623-0.00047417i,0.00088384-0.00087165i,0.00032738-0.0011629i,0.00057078-0.00092151i,0.00072467-0.00077452i,-0.00018116-0.00050753i,-0.00070834+6.8392e-05i,-0.00031229+0.00044561i,-0.00040412-0.00047766i,-0.00053295-0.00072352i,-0.00071502+0.00019648i
0.00043305+0.00047568i,0.0014161-0.00049568i,0.0025735-0.00051683i,0.0021819-0.00017863i,0.0019332-0.00020962i,0.0012929-0.00025146i,0.0001932-0.00036509i,-0.00021766-0.00048256i,0.00013737-0.00021947i,-0.000391+0.00016718i,-0.00033522+0.00048841i,0.00084997+0.00061046i,0.0007089+0.00049302i,0.00032675+0.00052449i,0.00041193+0.00035938i,0.00097406+0.00022633i,0.0011057+0.00017796i,0.00032263-0.00031122i,-0.00095312-0.00042837i,-0.00063665+0.000158i,0.0005651+0.00026748i,0.0008412-0.00019023i,0.00038502-0.0004059i
0.0018697+0.00017985i,0.0011138-0.00029901i,0.00088694+4.1784e-05i,0.0012775-0.00025383i,0.0017206-4.7831e-05i,0.0012652+0.00035825i,0.00072813+0.00013844i,0.000317-0.00039185i,3.9382e-05-0.00083792i,-0.00053321-0.00053883i,-0.00053439+0.00043955i,-0.00019517+0.00050436i,0.0001844-0.00026901i,0.0010473-0.00075996i,0.0015037-0.00033071i,0.00075912-0.00019357i,-0.00017852-0.00038484i,-0.00084486-0.0004314i,-0.00023896+6.26e-05i,0.00019355+0.00096775i,-0.00033158+0.0011839i,0.00014975+0.00033625i,0.0004041-0.00041377i
-8.3495e-05-0.0013289i,0.00023856-0.0013741i,0.00022232-0.00073344i,0.00076854+0.00080527i,0.00099637+0.0011535i,0.00082173+0.00027011i,0.0004068+0.00015448i,0.00013251+0.00018261i,0.00016254+0.000602i,-0.0010349+0.0015313i,-0.0012124+0.00071363i,-0.00023482-9.8817e-05i,-0.00020009+0.00071235i,7.0901e-05+0.00097472i,0.00030301+0.00065156i,0.00043244+0.00046058i,1.842e-05+0.00037228i,-0.00094831+0.00034369i,-0.00085349+0.00043142i,-0.00050476+0.00076442i,0.00015448+0.00074201i,0.00026009+0.00051581i,-8.796e-05+0.0008823i
0.001868+0.0015503i,0.00078153+0.0017853i,0.0012279+0.0012247i,0.0012679+0.00045902i,0.00088017-0.00038363i,0.0011538+1.0907e-05i,0.00080157+0.00064293i,0.00061144+0.00090734i,0.00038468+0.00087075i,-0.00093699+0.00043237i,-0.00067861-0.00024264i,0.00057152-0.0004029i,0.00049548+0.00074281i,0.00017708+0.00070708i,0.00043765-0.00031839i,0.0011199-0.00010457i,0.0015033+0.00030771i,0.00080177-0.00015678i,-2.2649e-05+7.6196e-05i,0.00060641+0.00041519i,0.0008916+0.00015487i,0.00048879+0.0001131i,0.00036482+0.00010394i
-0.00036305+0.0012658i,-0.0001929+0.00084749i,0.0010347+0.0012422i,0.0019791+0.00053369i,0.0025083-0.00080723i,0.0028876-0.00074756i,0.0016632-0.00025372i,-0.00013814-2.5512e-05i,-0.0011314-0.00028992i,-0.00087511-0.0006764i,-0.00011279+0.00028211i,0.00082945+0.001014i,0.0012699+0.00080211i,0.00093611-0.0004177i,0.00092953-0.0012672i,0.00036268-0.00084091i,0.00011713-0.00015315i,0.00032443+0.0001648i,0.00057713+0.00049035i,0.0003384+0.00074134i,-4.1926e-05+0.00039101i,-0.00018138+0.00035559i,-0.00062967+0.00024459i
-0.0012398-0.0001045i,-0.001092+0.00085809i,-0.0007626+0.001185i,0.0005452+0.0012624i,0.0021129+0.0015018i,0.0022112+0.0015619i,0.00085948+0.00082354i,0.0001563-0.00075607i,0.00034936-0.0011162i,-3.5497e-05+0.00014425i,5.4469e-05+0.0011647i,0.00030571+0.00055537i,0.00016382-0.00036015i,0.00043223-0.00077672i,0.00070449-0.00051688i,0.00065896-0.0003797i,0.00013091-0.00037514i,-0.00041644-0.0001256i,-0.00077274+0.00014784i,-0.0011795+0.00016595i,-0.0012762-0.0002067i,-0.00055653-0.000354i,0.0005321+0.00017444i
-0.00064397-4.7144e-05i,-0.0014049+0.0001667i,-0.0011227-2.0016e-05i,0.00034122-4.0368e-05i,0.00068421+0.00012854i,0.00015519-9.4956e-05i,0.00067688-0.00067171i,0.0008621-0.00082116i,-4.0272e-05-0.00058183i,-0.00076159+0.00010773i,-0.00058942+0.0012115i,-3.8501e-05+0.00017708i,-0.00012296-0.00093768i,-0.00055853+8.149e-05i,-5.2352e-05+0.00011005i,0.00023282+9.9863e-05i,-0.00041769-1.3485e-05i,-0.00076551+0.00020828i,0.00015739+0.00094313i,0.00014242+0.0005759i,-0.00057277-2.2813e-05i,-0.00098343-0.00015752i,-0.00091687+6.4321e-05i
0.00082397+4.6595e-05i,0.0001229-0.00098355i,0.00065915-0.00096948i,0.0016683-0.0005709i,0.0025825-0.00089269i,0.00228-0.0010847i,0.00083213-0.0013403i,0.00056455-0.0012577i,0.00076587-0.00015325i,-7.631e-05+0.00077852i,-0.00081004+0.00074033i,6.6671e-05+0.00011577i,0.0013093-0.000765i,0.00069908-0.00076525i,7.9366e-06-0.00080609i,3.0755e-05-0.0012059i,-0.0010833-0.00083564i,-0.0014864-0.00045646i,-0.00020359+0.00015747i,4.7456e-05+0.00028565i,-0.00011163+0.00019426i,0.00064135+0.00011155i,0.00017202-0.00041902i
-0.00050396-0.0012144i,-0.0010069-0.00047881i,-0.00044643-0.00052924i,0.0006394+0.00017788i,0.00059722+0.00087099i,0.00029931+0.00013975i,-0.0004564-0.0002306i,-0.00045688+6.3787e-05i,0.0001983-5.7365e-06i,-0.00035021+2.3669e-05i,-0.0012602+0.00021958i,-0.00073997+0.00055514i,0.00010681-0.00023715i,9.2752e-05-0.0016991i,0.00011808-0.0015742i,0.00047252-0.00045075i,0.00049241+0.00015291i,-0.00011412+0.00017434i,-0.00023333+1.9188e-05i,-0.00034036+0.00037729i,-0.00097034+0.00016864i,-0.00052076+0.00028223i,-0.00014359+0.00087007i
