0.0041217-0.00090234i,0.0048168-0.0021393i,0.003956-0.0050097i,0.00019394-0.0054317i,-0.0037424-0.0039014i,-0.0048198+0.00013079i,-0.002506+0.0030414i,-0.00046187+0.0022767i,0.0002505+0.00031121i,0.0003877-0.0015488i,0.00020464-0.0019278i,-0.00016824-0.00046997i,-0.0011295+0.0010864i,-0.0011553+0.0013394i,-0.0003606+0.00099514i,-0.0002583+0.00031712i,-0.00035871-0.00045897i,0.00012089-0.00031406i,-8.1162e-07-3.7126e-05i,-0.00055011-0.00040786i,-0.00057973-0.00072399i,-0.00044488+0.00044288i,-9.4398e-05+0.001151i
-0.00071884-0.0014809i,-0.0011774-0.00042678i,-0.0023862+0.0004473i,-0.0027454+0.0013968i,-0.00095905+0.0020975i,0.00050748+0.0021375i,0.00080205+0.0018984i,0.00044418+0.00092345i,0.00042991+0.0007676i,0.00073983+0.00075198i,0.0010816+0.0002609i,0.00074437-0.00035836i,-0.00036788-0.0010983i,-0.00089251-0.00098519i,-0.00031366-0.00055474i,0.00057823-0.00028591i,0.00031366-0.00035217i,-0.00016622+0.00031524i,-0.00018513+0.0015683i,-0.00014965+0.0015984i,-0.00026819-0.00029686i,6.1817e-05-0.00077214i,-4.6028e-05-0.00028763i
0.00031967-0.00084139i,-9.7418e-05-0.00069943i,-0.0007181+0.0005392i,-0.0011374+0.0016701i,-0.00081834+0.0024288i,-0.00047231+0.0022102i,-0.00017318+0.0016318i,-0.00025659+0.0010807i,-0.0012404+0.00027023i,-0.001072+0.00010036i,2.686e-05+0.00023011i,0.00010996-0.00025092i,-0.00043555-0.00051851i,-0.00079868-0.00032619i,-0.00048818-0.00030988i,-0.00033448-6.9053e-05i,-0.00082112-0.00042164i,-0.00083657-0.00011742i,-0.00049799+0.00036682i,-0.00032305+8.8766e-05i,-0.00049143-0.00015039i,-0.00023714-0.00040418i,0.00047924-0.00056202i
-0.00064036-0.00052395i,-0.00012135-0.00064554i,-0.00011763+0.00042229i,0.00016309+0.0012517i,0.00059274+0.0016262i,0.00070817+0.0016031i,0.00095797+0.0012354i,-0.00012221+0.00038583i,-0.00084513+0.0002508i,0.00024119+0.00074093i,0.0013349+0.00068371i,0.00098451-0.00021514i,0.00064573-0.0008778i,0.0006159-0.00075118i,0.00070689+0.00025561i,0.00029728+0.00070829i,-0.00034285+0.00012057i,-2.5445e-05-0.00016767i,0.00012881-0.00061304i,0.00020585-0.00065309i,0.00027539-0.00019063i,-0.00019382-8.0979e-05i,-0.00043036-6.7563e-05i
-0.00015225-0.00072871i,-0.00015661-0.0015513i,-0.00028419-0.0011427i,-0.0011077+3.3437e-05i,-0.0015427+0.001096i,-0.00081187+0.0024301i,-0.00010556+0.0020039i,-0.00013274+0.00062435i,-3.7001e-05+1.4703e-05i,0.00014087-0.00057104i,0.0007383-0.00041482i,0.00072013-0.0002032i,0.00029046-0.00019019i,-0.00011417+5.9661e-05i,7.0983e-05+0.00058872i,-0.00024434+0.00031634i,-0.00035825-0.00021553i,0.00011922-0.00055051i,-7.1497e-05-0.00028581i,-0.0004329-0.00011678i,-0.0006532-0.00062585i,-0.00035961+0.00018212i,0.00034586+0.0010042i
-0.0013417-0.0027827i,-0.0016861-0.0032346i,-0.002131-0.0021498i,-0.0014282+0.0013329i,-0.00037645+0.003021i,0.00095617+0.002319i,0.0012015+0.0013546i,0.0007174+0.00088874i,0.00060158+0.00051437i,0.00045008+0.00027561i,0.00062859+1.8897e-05i,0.00030916+0.00031839i,0.00040528+0.000467i,0.00067329-7.3285e-05i,0.0010795-0.00022876i,0.00073978-0.00028585i,0.00019566-0.00016144i,0.00031059-9.6211e-06i,0.00031904+0.00022868i,-0.00027405+0.0006149i,-0.00058381+0.00087898i,0.00014974-0.00022471i,0.00057239-0.0016457i
-0.0011886-0.0015073i,-0.0016914-0.00085574i,-0.0018792-6.0625e-05i,-0.0019077+0.00038538i,-0.00063653+0.0017611i,0.00058495+0.0021118i,0.00027678+0.0017105i,-0.00036285+0.0016516i,-0.00024568+0.0012045i,-0.00033991+0.00074327i,-0.00023929+0.00055106i,0.0003385+0.00065038i,0.00035076+0.00043248i,0.00069104+0.00038743i,0.00052583+0.0003203i,-0.00049126-0.00025432i,-0.00071842-0.00046301i,4.4968e-05-0.0004333i,-0.00011997-0.00048597i,-0.00094015-0.00017664i,-0.0014297-3.7996e-05i,-0.0008061-0.00038942i,-0.00010853-0.00030694i
0.00064362-0.001089i,-0.0011039-0.0013625i,-0.0018378-0.0013672i,-0.0025656-0.00037841i,-0.0025031+0.00082826i,-0.0011402+0.0014322i,-0.0001934+0.00082687i,1.1075e-05+0.00066103i,-0.00031901+0.00085681i,-0.00019638+0.00051741i,0.00013054+0.0010232i,0.000239+0.00070147i,0.00023659-0.00012617i,-7.1057e-05-6.0183e-05i,6.3057e-05+0.00030139i,-0.00021398+0.000528i,0.00017217+0.00015999i,0.00034867+0.00056403i,-0.00013159+0.00069126i,-0.00034639+0.00015566i,-0.00022993-7.354e-05i,0.0004284-3.1217e-05i,0.00045319+0.00012194i
-0.00098292+7.5231e-05i,-0.00086557-0.0013315i,0.00016772-0.0012552i,0.0010692+0.00011849i,0.00025566+0.0014507i,-0.00073405+0.0015233i,-0.00026501+0.0015539i,0.00028325+0.0012879i,-9.2131e-05+0.00095617i,0.00015279+0.00054232i,0.00026643+0.00041985i,-5.1593e-05+1.4305e-05i,0.00019914-0.00074642i,0.00042207-0.00083953i,8.9176e-05-8.2961e-05i,-0.00017126+0.00036791i,-0.00032448+0.00059094i,-0.00088135+0.0010406i,-0.00065521+0.00060766i,-0.00020451+0.00025178i,0.00045414+0.0002262i,0.00080413+0.00028799i,0.00064259+0.0004974i
0.00093766-0.00116i,0.00028899-0.0010052i,-0.00052345-0.0003934i,-0.0018572+0.00014957i,-0.001693+0.00066582i,0.0002004+0.0012006i,0.0013352+0.00069402i,0.00072436+0.00030174i,0.00016231+1.6477e-05i,0.0004684+0.00036015i,0.00012735+0.00049983i,-0.00028987-0.0005897i,6.9899e-05-0.00070148i,-9.1707e-05+0.000155i,-0.00055017+0.00054772i,-0.00075674+0.00078985i,-0.00076339+0.00062308i,-0.00028722+0.00026872i,0.00018312+0.00014446i,-0.00024515+6.6029e-05i,-0.00052358+0.00034704i,-0.00043717+0.00062129i,-0.00060633+0.00040205i
0.00015057-0.002328i,1.5255e-05-0.0023677i,-0.00035355-0.0015687i,-0.001131-0.00018706i,-0.0013548+0.00093813i,-0.00097966+0.0011627i,-0.00059841+0.00069136i,-0.00057181+0.00015749i,-0.00072439-6.6689e-05i,-0.00046027+0.00023848i,-0.00041714+0.00065455i,-0.0003732+0.00075952i,5.4799e-05+0.00030328i,0.00035688+0.00015843i,9.5054e-05+0.0003145i,-0.00038115+0.00010094i,-0.00043673-0.00015987i,0.00017226+0.00021936i,-7.6056e-05+0.00078978i,-0.0012537+7.7056e-07i,-0.00094582-0.00075532i,7.7649e-05-0.00015148i,0.00022013-9.1213e-05i
