-0.0034796+0.0017738i,-0.0026186+0.002077i,-0.0029228+0.0022895i,-0.0010202+0.00096669i,-0.00017873+0.0006166i,1.6741e-05+0.0021217i,0.00017182+0.0030108i,0.00084723+0.0028212i,0.0010243+0.0015473i,0.00053121+0.000596i,0.00019346+0.00039106i,-0.0003071-0.00055462i,-0.00079499-0.0010241i,-0.0013727-0.00076975i,-0.0011713-0.00034486i,-0.00045227+4.8855e-05i,-0.00018797-0.00053343i,0.00065907-0.0010828i,0.0011795-0.00096969i,0.00076821-0.0001566i,3.4427e-05+0.00084058i,-0.00065695+0.00081246i,-0.0005686+0.00054094i
0.0019806-0.0003557i,0.00079996-4.9574e-06i,0.0016049-0.00072543i,0.0015996-0.0016827i,0.0013992-0.0013099i,0.0010554-0.00054404i,0.00022467-8.1724e-05i,0.00016198+0.00037269i,0.00054558+0.00049349i,0.00021843+0.0011222i,0.00021462+0.0016782i,-0.00034844+0.0014925i,-0.00078718+0.0013597i,-0.00025231+0.0011461i,-0.00010089+0.0003768i,-0.00035689+0.00023991i,-0.00057555+0.00072414i,-0.00018382+0.00040285i,-1.5124e-05-0.00041911i,-0.00061019-0.00078794i,-0.00043148-0.00027939i,-3.3107e-05-4.6643e-05i,0.00014584+0.00035938i
0.0012367-0.00014145i,0.00047702+0.00025295i,0.00049823-0.00028191i,-0.00021585-0.0011591i,-0.00049434-0.0014938i,0.00015931-0.00043828i,0.00045095+0.00031287i,-0.00029345+0.00044136i,-3.5742e-05+0.00059332i,-0.00030348+0.00037627i,-0.0010633+0.00051568i,-0.00091961+8.8201e-05i,-0.00072936-0.00052006i,0.0001608+0.00020692i,0.00090775+0.00079326i,0.00082392+0.00070538i,0.00028826+0.00064182i,-0.00035615+0.00044891i,5.4902e-06+0.00013716i,0.00039589+1.6107e-05i,-0.00040346+0.00020996i,-0.00074042+0.0008545i,-2.6599e-06+0.0012261i
0.00065333-0.0017189i,-0.00049367-0.00096529i,-0.00082703-0.00040247i,-0.00045527-0.00042069i,0.00084214-0.00068393i,0.000882+2.8222e-05i,-9.6907e-05+0.00098762i,-0.00013207+0.00051416i,0.00051205-0.00016088i,0.00062292-0.00035158i,0.00052965-0.00055402i,0.00088624-0.0005347i,0.0010404-0.00039274i,0.00060136-4.84e-05i,0.00028089-1.8275e-05i,0.00020885+0.00058277i,-0.00034759+0.0010893i,-0.00022178+0.000514i,-0.0003789-0.00011831i,-0.00067534-1.5596e-05i,-0.00032846-0.00014294i,2.9321e-05+0.00011375i,0.00029865+0.00042719i
0.0022772+0.00059034i,0.0024977+0.00091472i,0.0026354-0.00028692i,0.0017205-0.0011378i,0.00082061-0.0016814i,-1.1735e-05-0.0016617i,-0.00010471-0.0004702i,0.00075948+0.00076991i,0.00059395+0.00064776i,-0.00016147-7.0184e-05i,-0.00041381+0.00023714i,-0.00054588+0.00045277i,-0.00045068-0.00026919i,-0.00044079-3.799e-05i,9.6324e-05+0.00046645i,0.00079457+0.00043695i,0.00095026-0.00010182i,0.00013247-0.00062012i,0.00012261-0.00030917i,0.0011153+0.00029483i,0.00057322+0.00031284i,-0.00029397+4.0388e-05i,0.00014338+0.00025566i
-0.00054977+0.0011384i,0.00034255+0.001082i,0.00057009+0.00010663i,-0.00027624+0.00029713i,0.00010326+0.00014746i,0.0010663-0.00042512i,0.0007282+0.00031552i,0.00031861+0.0015884i,0.00043868+0.0012428i,0.00079027+0.00046106i,0.00073134+0.00077676i,-0.00026411+0.00062937i,-0.00095307+0.00050607i,-0.00061375+0.0007977i,-0.00017698+0.00073402i,0.00027339+0.00066103i,0.0010358+0.00044446i,0.00062486-8.1924e-05i,-5.0587e-05-0.00013238i,-0.00029776-6.0079e-05i,-0.00015914-0.00033108i,-2.2728e-05-0.00052554i,-7.0726e-07-1.7814e-05i
-0.00029642-0.0012968i,-0.00076155+7.2188e-05i,-0.0019552+0.00088775i,-0.0014745+0.00078162i,-0.00046324+0.00084465i,0.00041229+9.7183e-06i,0.00032898-0.00063304i,0.0005046+0.00013166i,0.00085672+0.00064296i,0.00021665+0.00074726i,-1.5967e-06+0.00084077i,0.00043145+0.00079488i,0.00056742+0.00052119i,0.00011259+4.3435e-05i,-0.00047951-0.0002088i,-3.5514e-05+0.00056438i,0.00054686+0.0012332i,0.00030523+0.00051801i,4.923e-06-3.9163e-05i,-0.00023924-0.00025512i,-0.00061783-0.00033408i,-0.00079955-0.00014136i,-0.00021639+0.00054712i
-0.0010968+0.0021861i,-0.00059594+0.0029516i,-0.00016848+0.0026078i,0.00041169+0.00091075i,0.0013347-0.00046579i,0.001345+5.6436e-05i,0.00039253+0.00021336i,0.00019419+0.00035527i,0.00057886+0.00031224i,0.00040632-0.00040081i,0.00017878-0.00018347i,8.5641e-05+0.00069125i,-0.00042361+0.00052735i,-0.00061379+0.00049734i,-0.000408+0.0006369i,7.3276e-05+0.00070325i,9.8262e-05+0.0010656i,-0.00029324+0.00046827i,-0.00023329-0.00086997i,-0.00028795-0.00071272i,-0.00034741-0.00031406i,-0.00023019-0.00086462i,-7.4201e-05-0.00093083i
-0.0014997-0.0010456i,-0.0010382-0.00090943i,-0.00071373-0.00091674i,-0.00091525+0.00047796i,-0.0013637+0.00093112i,-0.00071731+0.00044587i,0.00033912+0.00060264i,0.0004901+0.00094451i,-0.0004801+0.00049395i,-0.00091779+0.00060017i,8.3411e-05+0.0012565i,0.00081564+0.0012296i,0.00011941+0.00059934i,-0.00018699+0.0006402i,-9.1427e-05+0.00061915i,-0.00060078+0.00024633i,-0.00051141+0.00029853i,0.00059042+0.00015918i,0.00075117-0.00024465i,-0.00030043-0.0011019i,-0.0006212-0.001015i,-0.00035956+0.00011726i,-0.00050116+0.00037537i
0.00021994+0.0010842i,-7.3649e-05+0.00048446i,0.00030843-0.00044274i,0.0011937-0.00073191i,0.0013682-5.157e-05i,0.00069571+0.00035485i,0.00070517+0.00045747i,0.0011823+0.00050886i,0.0019611+0.00015823i,0.0014761+0.0004041i,-0.00015505+0.00012666i,-0.0010102+0.00019213i,-0.0012821+0.00048281i,-0.00095394+0.00036061i,-0.00054802+0.00095824i,-0.00033508+0.00086995i,0.00013872+0.00022146i,-0.00019252-0.00020755i,-0.00024132-0.00050169i,0.0009149+0.00010757i,0.0007931+0.00015439i,0.00013306-0.00053732i,3.7885e-05-0.00076226i
-0.00065831+0.0028177i,0.00087943+0.0028075i,0.0027404+0.001594i,0.0024201+0.00065003i,0.001813+0.00085995i,0.0019667+0.0004135i,0.0015913+0.00057351i,0.00089306+0.0013855i,0.00063692+0.0010383i,0.00039337+0.00029163i,0.00019486-7.9838e-05i,-7.2571e-05-0.00019698i,-0.00037965+2.4243e-05i,-6.952e-05-0.00013588i,0.00018867-0.00055818i,-7.2883e-05-9.1174e-05i,-0.00012589+0.00013771i,0.00025951-0.00047688i,0.00024124-0.0008387i,-1.003e-06-0.00024506i,0.00010314-0.00064449i,6.2501e-06-0.00056871i,-2.9182e-05-0.00022268i
0.00010282+0.00012642i,3.6128e-05+5.4533e-05i,0.00063137+0.00047122i,0.00065615-0.00013356i,0.0006539-0.0010293i,0.00076788+2.4929e-05i,0.00082552+0.0014145i,0.00064187+0.0014618i,0.00048604+0.0011371i,0.00036234+0.0014i,-0.00037693+0.0012176i,-0.00061127+0.00039206i,-0.00073851-0.00023041i,-0.0011711+0.00028031i,-0.00067186+0.00040234i,2.9094e-05+0.00017261i,5.1286e-05+0.00090179i,3.8243e-06+0.0012412i,-0.00029343+0.00053216i,-0.0003475-5.3479e-05i,-0.00017115+0.00022435i,4.513e-05+0.00035037i,-1.8789e-05+0.00043269i
0.0015371+0.0015038i,-0.00013925+0.00036968i,-0.00088928-0.00088121i,-0.00051087-0.0021047i,0.00030793-0.0019486i,0.00027046-0.00065341i,0.00029537-0.00019946i,0.00040148+7.391e-05i,0.00025767+0.00066575i,0.00037567+0.00075175i,0.00013402+0.00064761i,-5.4039e-05+0.00033306i,-0.00015511+0.00011575i,-0.00039334+0.0003619i,-0.00049737+0.00067855i,-0.00024398+0.00058192i,0.00056266+1.7477e-05i,0.00057378+2.501e-05i,0.00035044+8.0234e-05i,-0.00045351-0.00027008i,-0.00048825-0.00043004i,0.00016124-0.00021434i,0.00014977+0.00013462i
-0.0006739-4.8017e-05i,-0.00030123+0.0011684i,0.0013557+0.0018083i,0.0015096+0.00039448i,0.00041606-0.00080592i,0.00047357-0.00015926i,0.00091842+0.0011877i,0.0011005+0.0010056i,0.0015952-0.00063929i,0.0010815-0.00070672i,6.8782e-05-0.0001392i,-0.00016933-0.00030589i,-7.5886e-05-1.3698e-05i,-0.00015313+0.00023487i,-0.0004804-0.0006252i,-0.00051357-0.0011039i,-6.2334e-05-0.00074877i,-3.8291e-05-0.00057035i,-0.00038706-0.0004313i,-5.1967e-05-0.00025808i,9.8316e-05+0.00012735i,-4.032e-05+0.00013546i,-3.5781e-05-0.00020018i
