-0.001021-0.0014135i,0.001113-0.0023389i,0.00056848-0.002204i,-0.00075917-0.00087989i,-0.0010429+0.00036044i,-0.0014067+0.00056464i,-0.0016874-6.3282e-05i,-0.0012742+8.432e-05i,-0.0010275+0.00041544i,-0.00019241+0.00065984i,0.0012656+0.0011156i,0.001676+0.00074914i,0.00088506-0.00039338i,0.00015938-0.00039745i,-0.0001841-0.00040342i,-0.0008949-0.00046504i,-0.00080217+1.5677e-05i,-0.00074781+0.00032358i,-0.0011136+0.00024354i,-0.00078013-0.0003218i,0.00028237-0.00035632i,0.00085936+3.2565e-05i,0.00093249+0.00045473i
-0.0014042+0.0013239i,-0.00026802+0.0015082i,0.0010265+0.0015672i,0.00099161+0.00023154i,0.00093067-0.00033341i,0.00076096-5.5832e-05i,0.00064068+0.00070699i,0.00079952+0.00069019i,0.00063128+0.00069532i,0.0005018+0.000412i,0.00047254-0.00024578i,-7.9024e-05-0.00018938i,-0.00073055-7.7981e-05i,-0.00053207+0.00040493i,-0.00010699+0.00054862i,-0.00069656-0.00013746i,-0.0011148-0.00031479i,-0.00029096+0.000303i,-5.2419e-05+0.00055421i,-0.00052587+0.00012927i,-0.00014222+0.00015902i,0.00074652+0.00032096i,0.00045568+4.7011e-05i
-0.00051945+0.00063423i,5.1908e-05+0.0016549i,0.00061508+0.0019633i,-6.0942e-05+0.00086485i,0.00025327-0.00023775i,0.00045378-0.0008018i,0.00015211-0.00096082i,0.00032776-4.9568e-05i,0.00040807+0.00082706i,0.0007713+0.00071712i,0.00098493+0.0003808i,5.2805e-05+0.00052635i,-0.00040874+0.00050312i,5.356e-05+0.0001867i,-0.00063563-0.00019388i,-0.001336-0.00055941i,-0.0009949-0.00060211i,-0.00073406-5.6363e-05i,-0.00061279-0.00032808i,-0.00012702-0.00085065i,0.00078183-0.00022153i,0.00080835-2.2789e-05i,0.00048094-0.00024643i
0.00011491-0.0012744i,-0.0012443-0.00092669i,-0.0016778-0.0012033i,-0.0019243-0.00032902i,-0.00204+0.0013326i,-0.0012376+0.0015788i,-0.00062058+0.00081166i,-0.00021884-0.00034452i,0.00021995-0.00043677i,0.00083954+0.00050335i,0.0013187+0.0004221i,0.00026533+4.9036e-05i,-0.00041034+0.00048476i,0.00019772+5.1451e-05i,0.00047372-0.00062123i,0.00012928-0.00044189i,-0.00048824+0.00016386i,-0.0012462+0.000965i,-0.0012972+0.00096221i,-0.00076754+0.00086125i,6.4942e-05+0.00038313i,0.00051363+0.00013355i,0.00057975+0.0002047i
0.00022942-0.00039737i,-0.00037167-0.00061993i,-0.00080922-0.00031596i,-0.00015838+0.0012219i,0.00024402+0.0017673i,0.00041695+0.00081293i,0.0013287+6.1676e-05i,0.0015968-0.00022033i,0.00088626-0.00070899i,-6.6638e-05-0.00025105i,-0.0001225+3.7296e-05i,0.00026231-0.00028682i,0.00031282-0.0003613i,0.00022019-0.00035275i,-0.00072443-0.00014212i,-0.0015494-0.00043823i,-0.00076533-0.00058482i,-0.00010599-6.222e-05i,-0.00010969+0.00030932i,-0.00020546+0.00051262i,-0.00020467-0.00013145i,-0.00035187-0.00056207i,-0.0005299-7.7577e-05i
-0.0020823-0.00026898i,-0.001317-0.0013041i,-0.00082728-0.0012979i,-0.00070168-0.00084239i,7.9074e-05+9.3071e-05i,0.00079767+0.0012963i,0.0011701+0.0013485i,0.0012398+0.00037937i,0.00051338-9.5965e-05i,-4.6447e-05+0.00054121i,-0.00035037+0.0009311i,-7.0155e-05+0.00078496i,0.00064695+0.000306i,0.00037783-0.00089139i,-0.00023117-0.00095318i,-0.0002948-0.00096604i,6.6653e-05-0.001205i,0.00051917-0.00089434i,8.6046e-05-0.00059746i,9.6662e-06-0.00031908i,0.00015188+0.00025632i,-2.6073e-05+0.00073229i,-0.00010608+0.00063571i
-0.00084202+0.0002908i,-0.00037893+0.00035832i,-0.00068649+0.0017347i,-0.0014338+0.0024621i,-0.00042089+0.0018637i,0.0012314+0.00094769i,0.00060543-0.00042551i,-0.00050487-0.0011415i,-0.00013464-0.00031521i,0.0010053+0.0013564i,0.001158+0.0016373i,0.00024451+0.00092781i,-0.00053066-2.3274e-05i,-0.00054314-0.00072396i,-0.00021156-0.00013514i,-6.0192e-05+7.2594e-05i,0.00044511-0.00026169i,0.00039811-0.0005111i,-0.00029005-0.00025604i,-0.00079037+0.00035203i,-0.00043442+0.00031421i,0.00025944-0.00024934i,0.00039357+0.00063824i
0.0016855-0.00030392i,0.00079286-0.00061311i,0.00072212-0.0025094i,-5.5571e-06-0.0029592i,-0.00055665-0.0017268i,-3.4846e-05+9.4869e-05i,-0.0001923+0.00063972i,4.204e-05-0.00018123i,0.00028331-0.0010493i,-0.00036599-0.0002488i,-0.00040526+0.00059176i,0.00041474+0.00067226i,0.00082377+0.00026242i,0.00085931+9.9669e-05i,-6.9322e-06-0.00013269i,1.2658e-05-0.00087606i,0.00074288-0.00081375i,0.00018898-0.00033424i,-0.0010876+0.00046541i,-0.0014944+0.00067268i,-0.00131+0.00041197i,-0.00047012+0.00024628i,-0.00037207+1.0445e-05i
0.0006052-0.0008843i,0.00099254-0.0012421i,0.00016013-0.00067208i,-0.00074218-0.00028254i,-0.00053602-0.00010306i,0.00018278-4.359e-05i,-0.00013159+0.00029741i,0.00036148-0.00016155i,0.00093226-0.00049475i,0.0010448+0.00018742i,0.00080362+0.00073184i,-1.018e-05+0.00065668i,-0.00052297+0.00018353i,-0.00060954-0.00068069i,-0.0004919-0.0010756i,-0.00053655-0.0012132i,-0.00065388-0.00061171i,-0.0012069+0.00019218i,-0.001361+2.4339e-05i,-1.1495e-06+2.3893e-05i,0.00051784+0.00037435i,-0.00028291+8.4204e-05i,-0.00018587-0.0005006i
-0.00011587+0.00042974i,0.00046346+1.7877e-05i,-0.00013543-0.001671i,-0.00024095-0.0021845i,0.00023228-0.0013871i,-0.00027656-0.00052162i,-0.00078164-0.00045674i,-0.0010311-0.0006408i,-0.00083006+9.5422e-05i,-0.00012723+5.8643e-05i,0.0002323-0.00040412i,0.0003288-0.00088113i,0.00066885-0.00053679i,0.00043319+8.7925e-05i,-0.00018956+0.00037324i,-0.00045509-6.2979e-05i,2.4795e-05-0.00074588i,0.00015811-0.00033076i,-0.00095274+0.0005228i,-0.0016624+0.0012081i,-0.0016448+0.0007164i,-0.0012218+0.00031373i,-0.00015165+0.00042992i
-0.00057397-0.00037635i,-0.00028566-0.00058313i,-0.00022608-2.6204e-05i,-0.00011935+0.00093432i,0.00075857+0.0017351i,0.0018009+0.0016872i,0.0018704+0.00064812i,0.00081525+6.3757e-05i,0.00014159+0.00040997i,0.00046587+0.00062439i,0.00068176+0.00063474i,-0.00012642+0.00031341i,-0.00047545-0.00010511i,0.00015487-7.2743e-05i,0.00049348+0.00023846i,0.00048349-0.00013319i,0.0002838-0.00053997i,-8.1535e-05-0.00046266i,-0.00012397-0.00030232i,9.1681e-05+6.7977e-05i,-0.00040008-3.0886e-05i,-0.0007275-0.00069572i,2.4761e-05-0.00076321i
0.0014358+0.0022986i,0.0017626+0.0015602i,0.0019233+0.00014666i,0.0019321-0.0011667i,0.0016512-0.001419i,0.00065686-0.00079692i,-0.00012117-0.00066064i,0.00061022-0.00061659i,0.00094787+0.00036077i,0.00042814+0.00038762i,0.00035041-0.00035293i,3.1582e-05+0.00028538i,-0.0005312+0.00076415i,-0.00055164+6.5114e-05i,-0.00066297-0.00077679i,-0.0004121-0.0010173i,-0.00063591-0.00084808i,-0.0014356-0.00059262i,-0.0013756-0.00021988i,-0.00054552-0.00026504i,-0.00050774-0.0006544i,-0.00024025+5.5422e-05i,-0.00039467+0.00098333i
0.00095824-0.00072609i,0.0017653-0.00075061i,0.00080335-0.00040431i,-0.0011351+0.00018448i,-0.0014684-1.1158e-05i,-0.00057434+0.0011598i,2.3349e-05+0.0012431i,-6.508e-05-4.8344e-05i,0.00033919-0.00055482i,0.0010422-0.00049125i,0.00076546-0.00042599i,8.1007e-05-0.00017964i,0.00031726-0.00020039i,6.7117e-05-0.0010117i,-0.0011022-0.0013134i,-0.0012174-0.00084078i,-0.00055082-0.00029301i,-0.00054731+0.00022552i,-0.00050216+0.00012115i,0.00020376+0.00035572i,0.00044208+0.0011371i,0.00043819+0.00091575i,0.00023308-3.8089e-05i
0.0012053-0.0019143i,0.0018252-0.0010317i,0.0012493-0.001435i,-0.00020931-0.00083409i,-0.00057622+0.0010178i,0.00032454+0.0014556i,0.0013501+0.00081986i,0.0016545+0.00011523i,0.0011648-5.7508e-05i,0.00011744-2.7673e-05i,-0.00011777+5.574e-05i,0.00056302+0.00048999i,0.00022463+0.00066637i,-0.0002314-0.00028683i,-0.00028178-0.00088667i,-0.00058665-0.00049427i,-0.0009594-0.0010897i,-0.00088932-0.0015541i,-0.00040972-0.0012292i,7.7166e-05-0.00027618i,-0.00025742+0.00038748i,-0.00014274-6.7819e-06i,-5.4423e-05-0.00063173i
0.00027993-0.00046729i,0.00051665-0.0011547i,0.00079737-0.0024526i,0.00077509-0.0018769i,7.9753e-05-0.00093082i,-8.8743e-05-0.00010101i,0.00037202+0.00063458i,0.00048922+0.00067489i,0.00032241+0.00049531i,0.00080162+0.00035411i,0.00082775+0.00071452i,3.2036e-05+0.00072542i,-0.00033443+2.5698e-05i,0.00015822+0.00031048i,0.00076754+0.0002906i,0.0010206-0.00012086i,0.00085101-0.00035061i,-6.2949e-06-0.00059326i,-0.00063964+9.8821e-05i,-0.0010631+0.00057514i,-0.00079503+0.00019281i,3.0493e-05-0.00020034i,0.00073813-0.00014788i
0.00088036+0.0011581i,0.0016883+0.00096203i,0.0018189+0.00055552i,0.0010773-0.00079309i,0.0006749-0.0013583i,0.0010196-0.0013229i,0.00080738-0.0012354i,0.00069078-0.00026033i,0.00077689+0.00095486i,0.00043678+0.001397i,0.00052651+0.0010112i,8.5631e-05+0.00089559i,-0.00097225+0.0013721i,-0.00098867+0.00087224i,-0.00012936+0.00041167i,3.6656e-05-2.7758e-05i,-0.00076685-0.0012343i,-0.0012701-0.0010038i,-0.0015364-0.00050324i,-0.0014042-0.00052517i,-0.00053002-0.00016368i,-0.0001623+0.00025199i,-0.0004208+0.00018915i
0.00036794-0.0014734i,-0.00037298-0.002493i,-0.00093413-0.0024039i,-0.00083709-0.0014759i,-0.00060781-0.00062797i,0.00018035-0.00029537i,0.00092387-0.00065693i,9.9255e-05-0.0012004i,-0.00044739-0.00038988i,0.0002489+0.00078694i,0.00065927+0.00060509i,0.00081545+6.0731e-05i,0.00018875+0.00013619i,-0.00017192+0.00055853i,0.00020855+0.00072844i,8.9986e-05-0.00025474i,-0.00027738-0.00090475i,-0.00034-0.00063401i,-0.00054833-0.00033795i,-0.00066127-0.00051564i,-0.0005697+0.00031243i,-0.0006727+0.00048846i,-0.00060845-0.00018981i
-0.00032318+0.0011939i,0.00047481+0.0024618i,0.0010908+0.0023508i,0.00085117+0.0016764i,0.0002672+0.0010493i,0.00073723+0.00030277i,0.00078854-0.00011881i,0.00029102+1.8814e-05i,-0.00040962+0.00015882i,-0.00033991+0.00011551i,0.00043492-0.00015711i,0.00012097-0.00020872i,-0.00047816-0.00047533i,-0.00074362-0.0011954i,-0.0014483-0.00074113i,-0.0012263+0.00039572i,-1.3784e-05+0.00058245i,-0.00022657-0.00065462i,-0.00020843-0.0016209i,0.0004108-0.00078622i,-0.00027182-0.00053696i,-0.00037827-0.00057181i,0.00034236-0.0002456i
