-0.0030071+0.00020546i,-0.002685+0.00079609i,-0.0028192+0.0013655i,-0.0010548+0.0018891i,0.0011305+0.0014944i,0.0021786+0.0001058i,0.0018258-0.00020888i,0.00088522+0.00089691i,0.0013024+0.0020575i,0.0019485+0.0017015i,0.0014908+4.2618e-05i,0.00091417-0.00067179i,0.0010553-0.00011691i,0.000708-0.00053985i,0.00046732-0.0017135i,0.00071939-0.00095691i,0.00053256-0.00011335i,0.0002237-0.00029386i,-0.00069915-0.00014204i,-0.00086177-7.7005e-05i,3.2991e-05-0.00031244i,0.00085904-9.025e-05i,0.00040182+0.00059667i
-0.0019925-0.00081074i,-0.0011156-0.001868i,0.00038209+4.5693e-05i,0.0016367+0.000997i,0.0025986-0.00017335i,0.0023918-0.0011182i,0.0015072-0.000755i,0.0015812+8.8472e-05i,0.0018359-0.00017798i,0.0015766-0.0011117i,0.00078389-0.0013569i,0.00015865-0.00083766i,0.00017774+0.0002736i,-0.00066773-0.00022529i,-0.0013345-0.00081133i,-0.00084581-0.00010563i,-2.7538e-05+0.00033086i,0.00049253+0.00081146i,0.0010957+0.0012007i,0.0011376+0.00029344i,0.00033579-0.00027697i,-0.00028815+6.9188e-05i,3.9659e-05+0.00024919i
-0.0019969-0.00045597i,-0.0015352+0.0016914i,-0.0010848+0.0028289i,0.00056175+0.0024482i,0.0017539+0.00084328i,0.0019662-0.0010766i,0.0013511-0.0011406i,0.0008653+0.00064333i,0.00049709+0.0014747i,0.0004038+0.00075115i,0.00088918+0.00032563i,0.0010387+0.00061355i,0.00039573+2.8542e-06i,0.00057736-0.00088717i,0.0010643-0.00056895i,-0.00015773-0.00023607i,-0.0013977-0.00047824i,-0.001099-0.00025721i,-0.00091383-0.00012431i,-0.00087904-0.00069669i,0.0001738-0.00042917i,0.0014107+0.0002068i,0.00095796-0.00014281i
0.0015116-0.0016739i,0.0016841-0.002362i,0.0014751-0.0029639i,0.001231-0.0026412i,0.0012886-0.0019929i,0.0016755-0.00096128i,0.0011377+0.0005835i,0.00096274+0.00083268i,0.0016774-0.00023336i,0.0013731-0.0010507i,0.00080141-0.00036018i,0.00070454+7.765e-05i,0.0010356+0.00010131i,0.0010378+0.00054286i,0.00044507+5.0756e-05i,-0.00021374-0.00099405i,-4.5594e-05-0.00060411i,0.00015352+0.00029212i,-0.00022379+0.00018317i,-0.00047736-0.00058538i,-0.00018144-0.00092068i,-4.3511e-06-0.00044289i,-0.00051238+0.00034299i
-0.00052105+0.0025031i,-0.00018259+0.0025992i,-0.00058759+0.0022193i,-6.9111e-05+0.0011694i,0.0012913-0.00069202i,0.001667-0.0019389i,0.00089593-0.0013004i,0.0011464+0.00029561i,0.0021675+0.00099461i,0.0022352+0.00051363i,0.0016927+0.00075258i,0.00091563+0.00096923i,0.00031841+0.00017565i,-0.00020734-0.00015015i,-0.00050778+0.00055301i,-0.00059418+0.00059208i,-0.00034751-0.00031076i,-0.00034092-0.00066652i,-0.00063978-0.0011781i,-0.00059487-0.0011959i,-0.00021858-0.00045216i,0.00048092+0.00030173i,0.00060334+0.00018751i
-0.00017628-0.0015694i,-0.000686-0.0018009i,-0.0011257-0.00088331i,0.00022644-0.00028659i,0.0012072-8.8637e-06i,0.00098736-0.00039314i,0.0004848-0.00071263i,0.0011922+0.00016455i,0.0019429-5.5324e-05i,0.0013804-0.0010562i,7.579e-05-0.0004403i,-0.0010138+0.0015338i,-0.00033864+0.0012459i,0.00020601-0.00010282i,-0.0005925-0.00040741i,-0.0011584-0.00042465i,-0.001252-0.00056765i,-0.0010608-0.0010193i,-0.0013492-0.00082132i,-0.0010677-0.00047069i,-0.00045936+8.9315e-05i,-0.00049768+0.00010201i,-2.6576e-05+3.0088e-05i
0.00057184+0.0023862i,0.0026257+0.0021259i,0.0040269+0.0015926i,0.0046129-8.7408e-05i,0.0048099-0.0016725i,0.0037234-0.002352i,0.0016575-0.00098619i,-0.00010487+0.0013682i,0.00027905+0.0019599i,0.0014034+0.00061659i,0.0013309-0.00062342i,0.0010168-0.0010893i,-0.00028713-0.00084121i,-0.00059409-0.00060237i,0.00021479-0.00060519i,-0.00022484-0.00044618i,-0.00075715+0.0003133i,-0.00077233+0.0011003i,-0.00054932+0.00078521i,-0.00089999+0.00036657i,-0.0010372+0.00050459i,-0.00063623+7.8975e-05i,-0.00054751-0.0007312i
0.00017235-0.0017453i,-0.00090193-0.0019583i,-0.0017754-0.0027526i,-0.00058531-0.0015844i,0.0015825-0.00046875i,0.001658-0.00023483i,0.0010041-0.00015094i,0.0013933+0.00013978i,0.0015236+0.0002015i,0.0012171+0.00042562i,0.00067489+0.00074758i,0.00072304+0.00086755i,0.00091969+0.00069778i,0.00035408-0.00019385i,-0.00020935-0.00098336i,-0.00017895-0.0012082i,-0.00011236-0.00072932i,0.00025266+5.2724e-05i,0.00036389-5.6963e-05i,0.00030289-0.00081346i,6.1774e-05-0.00052155i,-0.00044642-0.0007068i,-0.00076622-0.0013034i
-0.0009629+0.001358i,-0.00048578+0.0016227i,-0.00020133+0.00072326i,0.0015265+0.00057675i,0.003733+0.00082063i,0.0037764-0.00058352i,0.0025458-0.0011047i,0.0016331-0.00017072i,0.0013829+9.7576e-05i,0.0011916-7.2949e-05i,0.0010008+0.00024041i,0.0013265+0.00033202i,0.0010568-0.00050989i,0.00015051-0.00099775i,-0.00041749-0.00092207i,-2.3838e-05-1.3962e-05i,0.00065439+0.0002519i,0.00092891-0.000264i,0.00086816-9.5573e-05i,0.00014542-2.0627e-05i,0.00052826-0.00015247i,0.00062413+0.00010868i,0.00026942+0.00033147i
-0.00080603+4.7719e-05i,-0.0005304+0.00022541i,0.0003963+0.00054572i,0.001787-0.00064462i,0.0031529-0.0017034i,0.0028584-0.0017073i,0.001728-0.0012482i,0.0010611-0.00024143i,0.00166-1.2848e-05i,0.0017933-0.00039311i,0.00057359-0.00011232i,-0.00035959-3.9327e-05i,-9.5466e-05-0.00058059i,0.00016341-0.0012635i,0.00015257-0.0010149i,0.00048003-0.00036798i,-0.00027148-0.00037638i,-0.00088363-0.00039266i,-0.00080547+1.9123e-05i,-0.00056782-0.00023994i,-0.00025629-0.00081953i,-0.0001516-0.00037053i,-2.8423e-05-0.00013185i
0.00096072+0.00018752i,0.0015389+0.00042399i,0.0023616+0.00072257i,0.0027615-6.3891e-05i,0.0030895-0.002075i,0.0023445-0.0032218i,0.001265-0.0016583i,0.0012073-0.00011705i,0.0014956-0.00033925i,0.0013294-0.00028595i,0.00035571+0.00020394i,-0.00045231+0.00015695i,-0.0010001+0.00045553i,-0.0012494+0.0010437i,-0.00057485+4.5845e-05i,-0.00016083-0.00066292i,-0.00037592-0.00031693i,-0.0012013+2.2639e-05i,-0.0015859+0.00047622i,-0.00079354+0.00045185i,0.00016944+0.00028933i,0.00050233+0.00014897i,0.00047762-0.00015927i
