-0.0044995+0.00029811i,-0.0028229+0.00027205i,-0.0025874+0.0015561i,-0.0017205+0.0021627i,0.00022039+0.0020763i,0.0014128+0.0015899i,0.00086787+0.00095434i,0.00052049+1.0598e-05i,0.00021027+0.000211i,-0.0002293+0.00042823i,-0.00030037-0.0006351i,-0.00056837-0.0014788i,-0.00096946-0.0016657i,-0.0017178-0.00097333i,-0.0018312-0.00045073i,-0.00094772-0.00013515i,-0.00036992-0.00037227i,0.0001813-0.00087216i,0.00015058-0.0002999i,0.00080597+0.00065566i,0.00097614+0.00010892i,-0.00028675-0.0005569i,-0.00086472-6.6075e-05i
0.00057198-0.00060953i,0.0020753-0.00011227i,0.0016032-0.00088455i,0.00041748-2.7752e-05i,-0.00027886+0.00067186i,-0.00030188+0.0006805i,-0.00022694+0.0006599i,0.00046571+0.00040594i,0.00025833-0.00029392i,-0.00019182-0.00034007i,-0.00037623-3.3496e-05i,-0.00027979-0.00066825i,0.00043466-0.00040136i,0.0005772+3.969e-05i,-9.8336e-05+0.00027577i,-0.00034009+0.0002312i,1.9762e-05+0.00030172i,9.9441e-05+0.00035379i,-4.7692e-05+0.00048731i,0.00037371+0.00025936i,-0.00023645-0.00029749i,-0.0005756+0.00050826i,8.3547e-05+0.00091309i
0.00064384-0.0022i,0.00014598-0.0034763i,-0.00024293-0.0029417i,-0.00055822-0.0017854i,0.00054186-0.0013039i,0.0009718-0.00063813i,0.00081872-0.00013084i,0.00068292+2.5278e-05i,0.00056129+9.9082e-05i,0.00061259-0.00038714i,0.00064157-0.00052407i,0.00072391+5.191e-05i,0.00025247-7.6892e-05i,-0.00030265-0.00066222i,0.00013916-0.00040443i,0.00030939-3.7379e-05i,0.00037939+0.00017593i,0.00030597+0.00053177i,-0.00041934+0.0004687i,-0.00092355-6.1927e-06i,9.9342e-05-0.00094374i,0.0010451-0.00058615i,-0.00015407+0.00015772i
0.0011897-0.0014855i,0.0012018-0.0017325i,0.00074221-0.0015057i,0.00045676-0.00095993i,0.00044378-0.00040912i,0.00065025-0.00046787i,0.00097785-0.0001672i,0.00028391-0.00064776i,-0.00045917-0.00056032i,-0.0005456+0.0002158i,-0.00088398-3.543e-05i,-0.00037924-0.00057387i,0.00021656-0.00056941i,0.00026836-0.00065732i,0.0005169-0.00036489i,-0.00060258-0.00032888i,-0.0013262-0.00050853i,-0.0010774-0.0001878i,-0.00085903-6.5871e-05i,0.00013229-9.0809e-05i,0.00076879+1.804e-05i,0.0003184+0.00060453i,0.00029326+0.00040375i
0.0012499-0.0030715i,0.00078588-0.0033289i,8.7654e-05-0.0029391i,-0.0013064-0.0017287i,-0.0017596-0.00013014i,-0.0008745+0.00043474i,0.00027059-0.00020389i,0.0012323-0.00020029i,0.0013935-0.00013231i,0.00058993-0.00016526i,5.6767e-05-0.00031246i,0.00057275-0.00083823i,0.00048974-0.00059906i,0.00065853+0.00021786i,0.001184+0.00034114i,0.00093382+0.00015285i,0.00099332+0.0004583i,0.00064585+0.00069996i,3.2614e-05+6.0526e-05i,-0.00014785-0.0012085i,0.00029086-0.0015351i,0.00059426-0.00086063i,-0.00015067+3.4376e-05i
-0.00040751+0.00032354i,-0.00039926-0.00056713i,0.00045364-0.00065844i,0.00070231+2.3394e-06i,0.0006692+0.00047341i,0.00087631+0.00019735i,0.0013682+0.00031222i,0.0011288+0.00084185i,0.00074406+0.0010235i,0.00036112+0.00082971i,-0.00034593+0.00019419i,-0.00051144-0.00023283i,-0.0005631-0.00021727i,-0.00082572+5.9264e-05i,-0.00037421+0.00045836i,0.0004049+0.00067619i,-0.00030859+0.00073564i,-0.00127+0.00090998i,-0.0015062+0.00097482i,-0.00075558+0.00078801i,7.4665e-05+0.00054726i,0.00057771+0.00050918i,0.00030415+0.00024139i
0.0012436+0.0020591i,0.0013837+0.00029907i,0.00037898-0.00052425i,0.00069391-0.0012334i,0.0018625-0.0016786i,0.0014202-0.00098777i,0.00034605+6.533e-05i,0.00073065+0.00079493i,0.00095138+0.00089576i,0.00028569+0.00022229i,-0.00060686+0.00032753i,-0.0011606+0.0010762i,-0.0006652+0.00092014i,-0.00025453+0.00013622i,0.00011722-5.4918e-05i,0.00047889+0.00043775i,0.00041395+0.00086014i,-0.00019115+0.00036716i,-0.00061051+0.00061913i,-0.00091369+0.00065078i,-0.00080207+3.2224e-05i,-0.00071586+0.00028388i,-0.00060127+0.00024125i
-0.00090647-0.0020236i,-0.00089702-0.0012264i,0.00023117+0.00044133i,0.00054197+0.00079455i,0.00084024+0.00012985i,0.0010586+0.00037223i,0.00091203+0.00034048i,0.00026944+0.00022839i,7.1076e-05+0.00035747i,-0.00027349+0.00028836i,-0.0011008+0.0004464i,-0.0011143-0.00028652i,-0.00044553-0.0010876i,-0.00070243-0.00051119i,-0.0010328+0.00019166i,-0.00038143-0.00020803i,0.00048492-0.0014754i,0.00088821-0.0014624i,0.00052503-0.00047588i,0.00037049+0.00034306i,0.00021733+0.00044133i,-7.0227e-05-0.00027146i,-0.00078831-0.00056508i
0.00046255-0.000641i,0.0016945-0.00082697i,0.0015984-0.0018499i,0.0012048-0.0014176i,0.0011561+0.00026332i,0.0005999+0.00065634i,0.00045289+0.00085218i,0.0012434+0.00066153i,0.0012937-0.00039391i,0.00033185-0.00061079i,-2.1647e-05-0.00016285i,-0.00030685-0.00046598i,-0.00029786-0.00077365i,0.00031236-0.00029234i,0.00028847+0.00041205i,0.00050032+0.00056848i,0.00051845+7.7126e-05i,0.00022232-0.00065489i,6.0701e-05-0.0011813i,1.6221e-05-0.00080706i,1.5429e-05+0.00021912i,-0.00045748+0.00075721i,-0.00056569+0.00065425i
0.00086079+0.0012279i,0.0011732+0.00041654i,0.0017489-0.00034115i,0.0014192-0.00046386i,0.00033878-0.0011302i,-1.4825e-05-0.0013408i,0.00077618-0.00088321i,0.0016534-0.00020141i,0.0010936+0.00013227i,-0.00061197-0.00072725i,-7.4406e-05-0.0019468i,0.0010556-0.0010483i,0.00098613+0.00090807i,0.00028188+0.0011555i,0.00012934+6.9826e-05i,-0.00035514-5.7231e-05i,-0.0011539+0.00043889i,-0.00019689+0.00010709i,0.0008234-0.00022306i,0.00045507+0.000438i,0.00022198+0.00023077i,-0.00042136-0.00049434i,-0.0010006-0.0004982i
0.00042705-0.0016071i,0.00069072-0.0020816i,0.00054136-0.0013016i,0.00027139-0.00073458i,0.00043377-0.00033655i,0.00080655+0.00016935i,0.00065885+0.0008248i,0.00037051+0.00075023i,0.00028459-3.1645e-05i,-0.0004199-0.00044102i,-0.00086932-0.00077849i,-0.00045632-0.0009581i,-0.00010572-8.7861e-05i,-9.1122e-05+0.00041224i,0.00014923+0.00023945i,0.0004345-0.00035144i,0.00074842-0.000131i,0.00059637+0.00060403i,-0.00015038+0.00064441i,-1.0845e-05+0.00056459i,-0.00022368+2.7056e-05i,-0.00062164-0.00084535i,-8.7638e-05-0.00036859i
