-0.0023266+0.00078252i,-0.0027134+0.00033287i,-0.0037206+0.0012328i,-0.003496+0.0023027i,-0.0023382+0.0030386i,-0.00065063+0.0033231i,0.00061692+0.0033291i,0.00090292+0.0032229i,0.0010938+0.002147i,0.0014681+0.00068443i,0.0017042-0.0002701i,0.00095679-0.00039782i,0.00062279-0.00053989i,0.0011265-0.00017594i,0.0012214+0.00036091i,0.00048728+0.0001806i,-0.00053129-0.00023825i,2.6728e-05+0.00012768i,-3.4508e-05+0.00077313i,-0.0011582+0.00064865i,-0.0005102+0.00034539i,-0.00010567+0.00028322i,-0.00055356+1.0119e-05i
-0.00012448+0.00094955i,-2.5414e-06+0.0013141i,-0.00064014+0.0016198i,-0.00066115+0.0020232i,0.00022598+0.0022704i,0.00049089+0.0012144i,-0.00011512-2.3124e-05i,-4.3076e-05-0.00026216i,-0.00020033-8.3904e-05i,-0.00023771+0.00038985i,0.00058703-0.00024256i,0.00080534-0.00019346i,0.00014994+0.00045346i,-0.0004089-0.0001535i,-0.0006538-0.00070537i,-0.00021819-0.00042107i,0.00087185-1.7634e-05i,0.00085564-7.9049e-05i,0.00042943-3.3475e-05i,0.00016852+0.00021625i,0.00018385+0.00085258i,0.00028537+0.00083435i,0.00010888+0.0008594i
-7.3662e-05-0.00076168i,-0.00028843-0.00066408i,-0.0006104-0.00096244i,-0.00096896-0.00038136i,-0.0012428+0.0016601i,-0.0015603+0.0026596i,-0.0013791+0.0017719i,-0.00098253+0.00033765i,-0.00062285-0.00037806i,-4.2297e-06-0.00082713i,8.3352e-05-0.00060002i,-1.9801e-05-0.0001968i,6.9336e-05-0.00071466i,0.00031729-0.0011255i,0.0007654-0.00061789i,0.00072963-8.3825e-05i,-0.00058911+0.00071729i,-0.00058368+0.00059952i,-0.00031921-0.00039373i,-0.00017911-0.00026028i,0.0006384+0.00039895i,0.00043127+0.0004148i,-0.0002965+0.00026928i
-0.00080893+0.0015851i,0.00023928+0.0013273i,0.00081111+0.00070189i,0.0008179+0.00034309i,0.0011051+0.00041909i,0.00091826+0.00065714i,0.00020182+0.00021921i,-0.00016362-0.00068721i,0.0003029-0.00082979i,0.00096145-0.00016892i,0.00091148-0.00060449i,0.00056695-0.00069286i,0.00075291-0.00071849i,0.0011107-0.00057027i,0.00025926-0.00036242i,-0.00083042-0.00073804i,-0.00046603-0.00026451i,-0.00027434+1.5453e-05i,-0.0010093+3.4839e-05i,-0.00080447+0.0003489i,-0.00050186+0.00041279i,-2.3123e-05+0.00078223i,0.00079872+1.9422e-05i
-0.00066311-0.0013307i,-0.00019719-0.0010028i,-0.00029034+0.00035191i,-0.00098695+0.0012758i,-0.0014032+0.0018206i,-0.0016609+0.0020587i,-0.0014957+0.00072583i,-0.00065841-0.00080155i,-0.00011994-0.00070834i,-0.000141+7.4911e-05i,-0.00034599+0.00043238i,-0.00028933+0.00033641i,0.00020607+0.00063115i,0.00077001+0.000575i,0.00035863-0.00036799i,-0.00015247-0.00028192i,5.6934e-05+0.00036382i,0.00025673+0.0002569i,0.00013972+2.4613e-05i,0.00036045-0.00012692i,0.00046956-0.00010662i,-9.0692e-05+0.00027669i,-0.00073053+0.00083737i
0.00013875+0.00045891i,-7.0769e-05-0.00020926i,-0.0011264-0.00042005i,-0.0008881-1.2809e-05i,0.00037306+0.00064593i,0.00049116+0.00081058i,0.00020465+0.0006103i,-5.6781e-05+0.00052622i,-0.00061516+0.00062669i,-0.00020132+0.00027493i,0.00053752-0.00018569i,0.00052698+0.00046854i,0.00020942+0.0010714i,5.8124e-05+0.0012224i,-0.000409+0.0013513i,-0.00042977+0.0010827i,0.00032231+0.00064642i,0.00087623+0.00050161i,0.00051553+0.00029439i,0.00051578+0.00041157i,0.00048691+0.0013813i,0.00060147+0.0015441i,0.00095305+0.00044204i
0.00018609+0.00046621i,0.00053218+0.00049321i,-0.000238+0.0013031i,-0.0013036+0.00092157i,-0.00090215+0.00067852i,-0.00086914+0.00070824i,-0.0013189+0.00080666i,-0.0012536-0.00033939i,-0.00046196-0.00096535i,0.00077403-0.00045071i,0.00090726+0.00017024i,-0.00038453+0.00038937i,-0.0011826+0.00011021i,-0.00083891+0.0006291i,-6.9899e-05+0.00052088i,1.8626e-05-0.00024071i,-0.00043741+0.00015173i,-0.00043153+0.00012093i,-0.000248-0.00029541i,0.00025557-0.00048766i,0.00069477+0.00015637i,0.00058648+0.00099028i,7.9359e-05+0.00083815i
-0.0010346-0.00023751i,2.757e-05-5.705e-05i,0.00048778+0.00042853i,0.00019172+0.00095775i,8.9983e-05+0.0012815i,0.00030545+0.00086404i,4.9483e-06-0.00024486i,0.0003279-0.0012956i,0.00082302-0.0012482i,0.00031864-0.00078852i,-0.00053925-0.00041949i,-0.00034517-0.00045235i,0.00022559-0.0010048i,0.00014419-0.00091559i,0.0003973-0.00014133i,0.00061007+0.00031688i,-5.4689e-05+0.00043127i,-0.00021446+0.00037954i,-0.00049648+0.00017259i,-0.0003801+0.00017543i,0.00027658+0.00019628i,0.00044043+2.798e-05i,0.00065108-0.00039311i
0.00052922+0.0012629i,0.00085825+0.0014855i,0.00010051+0.0017211i,-0.00044347+0.0011136i,-0.00063675+0.00074483i,-0.00085218+0.00098282i,-0.00017839+0.00085599i,6.9496e-05+0.00012013i,-0.0001133-0.00025726i,0.00025011-0.00054495i,0.00065119-0.000857i,0.0011661-0.00042197i,0.00097829-0.00013592i,0.00023291-0.00020893i,-4.5198e-06-8.7535e-05i,0.00046429+8.8454e-05i,0.0010052-5.0895e-05i,0.00098513+0.0001265i,0.00082595+0.0002237i,0.00089271+0.00054301i,0.00063434+0.00086455i,0.00043937+0.00061382i,0.00066414+0.00056037i
0.0014976-0.0010103i,0.00062463-0.00026625i,7.1644e-05+0.00060859i,2.8151e-05+0.0011869i,0.0001747+0.0017554i,-0.00025896+0.0020005i,-0.00049864+0.00083831i,0.00011215+0.00019704i,0.00033835+0.00012299i,-0.00041235-0.00030557i,-0.00092055-0.00046439i,-0.00038826+9.1416e-05i,0.00030722-0.00029051i,0.00079136+7.6078e-06i,0.0014403+0.00059241i,0.0010071+0.00050456i,0.00017124+0.0010775i,-1.8508e-05+0.0010162i,-0.00027918+0.00077038i,-0.00011403+0.00047836i,0.00052341+0.00025179i,0.00032648+0.00022766i,-0.00017828+5.356e-05i
0.0011451+0.00044486i,0.0011886+0.00028975i,0.0014299+0.00022084i,0.0010863+0.00012319i,-0.00050613-7.0434e-05i,-0.0015866+0.00049853i,-0.00097447+0.00078521i,-0.00035483-0.00011103i,-0.00079838-3.5674e-05i,-0.0012033+0.00014604i,-0.00095749-0.00039618i,-0.00062476+0.00018535i,-0.00059775+0.0004472i,-0.00052955+0.00038379i,-0.00010774+8.8457e-05i,3.7526e-05-3.8495e-05i,-0.00069766+0.00042218i,-0.0012695-0.00033772i,-0.00062098-0.00087772i,-0.00034186+0.00028733i,0.00017517+0.00066955i,0.00062087-0.00023197i,0.00053126-0.0005489i
