0.0018281+0.00091164i,0.0021317-0.00048195i,0.0012758-0.0017781i,-0.00033468-0.0017706i,-0.0017641-0.0011159i,-0.0018572-5.7311e-05i,-0.00045823+0.00030377i,0.00096775+0.00061078i,0.00041331+0.00071266i,-9.5303e-05-0.00039146i,-8.6859e-05-0.0007987i,-0.00068059-0.00073728i,-0.00032752-0.0007467i,-0.00045447-0.00047331i,-0.0013025+0.00032176i,-0.0013252+0.00032337i,-0.00054726-0.00054408i,0.00016763-0.00044573i,-8.6247e-05+0.00067487i,-0.00075027+0.0012788i,-0.00056781+0.00073488i,-6.3176e-05-4.6754e-05i,0.00011891-0.00056752i
-0.00030578+0.0023154i,9.33e-05+0.0021057i,0.00048596+0.0023241i,0.0004131+0.0010087i,0.0012699-7.771e-05i,0.0012915-0.0015264i,0.00036072-0.0018265i,0.00033991-0.0011611i,0.00065697-0.00026691i,0.00085018+0.00045649i,0.00010412+4.183e-06i,-0.00041647-0.00037069i,-0.00026631-0.00011434i,-0.00011273+0.00018158i,-2.724e-05+0.00010966i,-0.00031336-3.7653e-05i,-0.00082882-4.4592e-05i,-0.0001369+0.00046566i,0.0004953+0.00087026i,-0.00017108+0.00032712i,-0.00072833-0.00041078i,-0.00020572-0.00059832i,0.0005982-0.00026647i
0.00093358+0.0012729i,0.0010935+3.518e-05i,0.00062649-0.0015459i,0.00093527-0.0018546i,0.00063299-0.0021106i,0.00073372-0.0025004i,0.00070421-0.0020802i,0.0002021-0.00081711i,-0.00035176+0.00034241i,-0.001001+0.0010547i,-0.00051985+0.0017649i,-0.00026624+0.0014331i,-0.00048422+0.00064472i,-0.00054476+0.00026681i,-0.00021625-0.00014797i,-0.0001384+3.8284e-05i,-0.00052699+0.00059987i,-0.00038396+0.00026535i,-0.0003282+5.4264e-06i,0.0002772+0.00018273i,0.00062884+0.00082153i,0.00021034+0.00058081i,0.00050848-7.1918e-06i
-0.00042497+0.0017632i,-0.00083815+0.0013194i,-0.00048585+0.0024564i,-0.00035063+0.002089i,-0.00065577+0.00021701i,-0.00090962-0.0017669i,-0.00054801-0.0017747i,-0.0003797-0.00083649i,-0.00054483-0.00059463i,-0.00020243-0.00031551i,-0.00029888+1.2121e-05i,-0.00058457-0.00019204i,-0.00065427-0.00083111i,7.4787e-06-0.0005651i,0.00047294-0.00070687i,-0.00020022-0.00088352i,-0.00015079-0.00010251i,0.00088915+0.00020936i,0.00043781+0.00023913i,-0.00058602-0.00013033i,-5.7155e-05-0.00046696i,0.00026548-0.0001916i,-0.00066173+0.00030366i
-0.00043361-0.00047113i,-0.00035992-0.00031898i,0.00014586+6.4197e-05i,0.00080827+0.0003785i,0.00053657-7.5493e-05i,0.00038235-0.00062824i,0.00064311-0.00045983i,0.00043933-1.0841e-05i,0.0003991+0.0002418i,-0.00031906+0.00026791i,-0.00067448-0.00021268i,4.8682e-05-0.00031466i,8.767e-05-0.00035541i,-7.8341e-05-0.00042617i,0.00021524+0.00031402i,7.3305e-05+0.00038824i,-0.00048508+0.00036724i,-0.00072284+0.00061529i,0.00010407+0.00091677i,0.00026209+0.0011406i,-0.000142+0.00053982i,9.307e-05-0.00072896i,0.0005025-0.0014474i
0.00030196+0.00046582i,0.0006969+0.00072741i,0.0012699+0.0013313i,0.00065091+0.00043818i,-0.00016177-0.00089466i,-0.00041914-0.001266i,-0.0010755-0.0016853i,-0.00060149-0.0016696i,-0.00011219-0.00078582i,-0.00039547-0.00048563i,-2.9418e-05-0.00017839i,0.00025141+9.6649e-05i,-1.0975e-05-0.00031352i,-0.0009681-0.00056473i,-0.0018583-1.7253e-05i,-0.0006592-0.00011064i,0.00092238-0.00051314i,0.00086806+0.00042336i,0.00015564+0.0010533i,0.00011379+0.00038945i,0.00056156-0.00012407i,0.00042806-0.00023064i,0.00073546-0.00075622i
-0.00095632+0.00041979i,-0.00049571+0.00010333i,0.00023776-0.00098169i,0.0008746-0.00071195i,4.8959e-07+2.1003e-05i,-0.00059631-0.00040633i,-0.00033544-0.00071626i,-0.00042139-0.00063866i,-0.00046235+0.00017777i,-0.00053145+0.00091702i,-0.00050854+0.00086216i,-0.00019208+0.00018942i,-0.00010847-0.00055931i,-0.00028529+0.00013272i,-0.00048261+0.00073472i,-0.00078191-0.00018399i,-0.00082963-0.00033839i,-0.00021283+0.00020603i,-0.00020249+5.4999e-05i,-0.00097867-0.00014569i,-0.00059083-0.00040043i,0.00031787-0.00013059i,-0.00010001-0.00036596i
-0.00054153+0.00012586i,-0.00073896+0.00062407i,-1.495e-05+0.00048912i,0.0005113+6.1589e-05i,0.00014584-9.8054e-05i,-6.4192e-05-0.0003131i,-0.00019177-0.00061335i,-0.00029391-0.00054466i,-0.0005578-0.00028614i,-0.00032025-0.00017659i,0.00018447-0.00020529i,0.00093473+0.00025552i,0.00070427+0.0010313i,-0.00062214+0.00057428i,-0.00079785+0.00021353i,3.1651e-05+0.00043187i,0.00063431-0.00017417i,0.00055368-0.0011705i,0.00053363-0.00072868i,0.00042642+0.00016671i,-0.000342+0.00013793i,-0.00045438-0.00054629i,-6.6474e-05-0.00042664i
-0.00023935+0.00013442i,-0.00030833+0.00097435i,-0.00045238+0.0012432i,-0.00029833+0.00057471i,-0.00031476+4.3836e-05i,-0.00013101+0.00022572i,-0.00015846-0.00018783i,-0.00052329-0.00091684i,-0.00050714-0.00093662i,0.00010581-0.00024642i,0.00020723+0.00037877i,3.19e-05+0.00019882i,0.0004201-0.000153i,0.00086516-0.00031419i,0.00022938-0.00037558i,0.0002593+0.00016541i,0.00094165+0.00011028i,0.00067384-0.00069942i,0.00049529-0.0010404i,-0.00014729-0.00062465i,-0.00078409-0.00016596i,-0.00076451+5.2151e-05i,-0.00081744+0.00030375i
-6.1101e-05-0.00073973i,-0.00020594-0.00022574i,4.928e-08+0.00042286i,-0.00070556+0.0004663i,-0.0012298+0.00029974i,-0.0011968+5.8044e-05i,0.00010387-9.8731e-05i,0.00076203+0.00054321i,0.00018279+0.00079685i,0.00042823+0.00043328i,0.00039803+5.4343e-05i,-0.00038671+0.00022989i,-0.00044937+0.001015i,0.00019187+0.0010922i,0.00076908+0.00033404i,0.00077717-0.00011925i,0.00067952-0.00065351i,-5.6023e-05-0.00040282i,-0.00051686+7.8331e-05i,-0.0004337+0.0005551i,-0.00031621+0.00023584i,-8.7942e-05-0.00055538i,-0.00020414-0.00061018i
0.00030571+0.00019042i,0.00032201-0.00047962i,-8.9816e-05-0.0012814i,-0.00010661-0.0012019i,-0.00013624-0.0015447i,-0.00058016-0.0023775i,2.9022e-05-0.0012347i,0.00085235+0.00017024i,0.00051575-6.7515e-05i,0.00087743-0.00077053i,0.00064884-0.00056828i,-0.00042823-0.00022274i,-0.00087552-0.0001189i,-0.00074993-0.00019081i,-0.00012822-0.00051618i,0.00031078-0.00048135i,0.00016755+0.00040327i,0.00029317+0.00042133i,-0.00034018+0.00021413i,-0.0010334+0.00014313i,-0.0010318-0.00038575i,-0.00091154-0.00087071i,-0.00055769-0.00077617i
-0.0018-0.0017607i,-0.0017121-0.001364i,-0.0016577-0.00067269i,-0.00097598-0.00056546i,-0.00052401-0.00052138i,0.0003812-0.00083765i,0.00065717-0.0011033i,-0.000352-0.0011902i,-0.00068065-0.0010536i,-0.00045718-0.0005517i,-0.00029864-0.00036923i,-0.00031196-0.00057993i,-0.00018464-0.00028637i,-4.2759e-06+0.00075337i,0.00015621+0.00085814i,-1.7867e-05+0.00087723i,5.8733e-05+0.00090708i,0.0005112+0.00014056i,0.00025026+0.00013832i,-0.00010801+0.00036095i,-0.00027087+4.0388e-05i,-0.00050787-0.00068889i,-0.00010556-0.00037863i
-0.00027917-1.2122e-05i,0.00047963-0.0005108i,0.00074374-0.00022653i,1.4102e-05+0.00016819i,0.00015068-0.00027607i,0.00033083-0.00092838i,0.000115-0.0017338i,-0.00071337-0.0013519i,-0.00091874-0.00026123i,-0.00041171+3.8146e-05i,-0.00023858+0.00056608i,-0.00034091+0.00069189i,-0.00021807-0.00052646i,6.9693e-05-0.00071978i,0.000362-0.00058957i,0.00071565-0.00086117i,0.00011542-0.00048683i,-0.00047704-0.00089493i,-0.00073424-0.0012373i,-0.00045003-0.00089648i,0.00042042-0.00060899i,0.00044986-0.00015127i,0.00068203+5.5865e-05i
0.00049251+0.0004091i,0.00033744+0.0007501i,0.00080178-1.4197e-05i,0.00098725-0.0008919i,0.00066308-0.0019074i,-0.0003545-0.002146i,-0.00093374-0.0010607i,-0.00062034+0.00043619i,-0.00048025+0.00080233i,-0.0005135+0.0004024i,-0.00047118-2.8322e-05i,-7.6972e-05+0.00014314i,0.0001921+0.00069444i,0.00016031-0.00036263i,-7.1053e-05-0.0010883i,4.657e-05-0.00068164i,0.00046585-0.00049244i,0.00043292-0.00011718i,0.00057601+8.0194e-06i,0.0010722-0.00037947i,0.00060139-0.00029939i,-8.6822e-05-0.00013357i,0.00025681+0.00030062i
-0.0012296+0.00070193i,-0.00097612+0.0010205i,-0.00039604-0.00027543i,0.00066191-0.00078142i,0.00105-0.00037756i,-6.6226e-05-0.00051495i,-0.00084474-0.00041506i,-0.0013747-0.0008201i,-0.0015507-0.00033959i,-0.0010293+0.00063616i,-0.00082783+0.0004918i,-0.00071908+0.00070434i,-0.00026224+0.00077877i,2.2354e-05+0.00036235i,0.0001254+0.00070578i,7.0872e-06+0.0011457i,7.1385e-05+0.00063457i,-2.7771e-05-0.0002448i,0.0006993-0.00020148i,0.00058449+0.00028083i,0.00012371+9.106e-05i,0.00018339-0.00066917i,-0.00059699-0.00078125i
