-0.0013519-0.0012655i,-0.001408-0.0012149i,-0.0010239-0.001675i,-0.0018728-0.00083198i,-0.0030034+0.0007974i,-0.0027104+0.0021389i,-0.0017735+0.002184i,-0.00053046+0.001791i,0.00073451+0.0018406i,0.0011235+0.0018395i,0.0013581+0.00096108i,0.00090037-6.0184e-05i,0.00013953-0.00079315i,0.00072021-0.0012444i,0.0010891-0.000622i,0.00085764+0.00077072i,0.00067687+0.0012008i,0.0003285+0.00069309i,-0.00022136-0.00012259i,-0.0012295-0.00017535i,-0.001319+0.0001509i,-0.00064005+0.00045449i,-3.3789e-05+0.0002014i
-0.00095168-0.00038942i,-0.00021873-0.00071701i,-0.00023811+0.00013719i,-0.0016874+0.001977i,-0.002113+0.0025403i,-0.00047488+0.0017639i,0.00069603+0.00052064i,0.0001909-0.000408i,0.00021041-0.00054177i,0.00087919-0.00013247i,0.00059368+0.00035986i,0.00013825-0.00013265i,0.00010725-0.00099555i,0.0007739-0.0012578i,0.00081663-0.00094014i,0.00024294-0.00071268i,0.00015317-0.00087336i,-0.00029859-0.00013869i,-0.0005375+0.00089218i,-0.00032184+0.00092782i,0.00013488+0.0006285i,0.00026141+0.00029514i,-4.429e-05+1.9701e-05i
0.00018968-2.6863e-05i,5.0638e-05-0.00032521i,0.0010413-0.00071731i,0.00035192+0.00031899i,-0.00076022+0.00091077i,-0.001451+0.00072174i,-0.00092636+0.00068016i,9.3657e-05+0.00071257i,0.00090977+0.00074369i,0.00058413+0.00058995i,-0.00020106+0.00017723i,-4.2563e-05-0.0006303i,0.00073576-0.0010741i,0.00049486-0.0007724i,0.00011104-0.00016625i,-0.00015619+0.00039562i,-0.00066133-2.0974e-05i,-0.00088079-0.00078577i,2.2849e-05-0.00091395i,9.9122e-05-0.00047157i,-0.00040924+0.00056893i,0.00018466+0.00056589i,0.00074921-0.00023109i
-0.00021863+0.0011334i,0.00031286-0.00038458i,0.00073075-0.0007591i,0.00048496+0.00025787i,0.00010144+0.0014155i,0.00020959+0.0011827i,-0.0004792+0.00090739i,-0.00075914+0.0011128i,-7.9145e-06+0.0010729i,0.00093785+0.00090639i,0.0011064+0.00056925i,0.00078913+0.00071719i,0.00052159+0.0010528i,-7.6808e-05+0.00052934i,-0.00033376+0.0001956i,-0.00035962+0.00014184i,-0.00013738+3.5135e-05i,0.00025202+0.00043346i,0.00024348+0.00064574i,3.8391e-05+0.00056056i,0.00020453-0.00022317i,0.00025104-0.00091783i,0.00032638+4.2364e-06i
0.00014756-1.1298e-05i,-4.9283e-05-0.00010117i,-0.00013944-0.00037688i,5.0987e-06-0.00084688i,-0.00051021-0.00011523i,-0.00081122+0.00070775i,-0.0004218+0.00041679i,-0.00021612+0.00088021i,-0.00078621+0.00064328i,-0.0011561-0.00055777i,-0.000531-0.00079993i,0.00061733-0.00046924i,0.00096912+0.00014619i,-0.00023575+0.00063306i,-0.00034836+0.00057338i,0.00037143-0.00027371i,0.00024101+8.5849e-05i,-0.00011531+9.9508e-05i,0.00034011-0.00035834i,0.00056421+0.00025612i,0.00039982-1.699e-06i,0.0011694-0.00059807i,0.0011439-0.00036883i
-0.00051575-0.00025031i,-0.000353-0.00072828i,0.0013163-0.00017439i,0.0014653+0.00067058i,0.00064737+0.00097976i,0.00067932+0.00096776i,0.0011636+0.0012109i,0.00074552+0.00084827i,0.00043+1.8948e-05i,0.00023867-0.00045702i,0.00045602-0.00085625i,0.0005266-0.00066469i,0.00027028-0.00052107i,-0.00019625-0.00037997i,-0.00033046-6.8725e-05i,-9.0696e-05+3.2665e-05i,-0.00050032-0.00043255i,-0.00086658-0.00057693i,-0.00069156-0.00022139i,3.9676e-05-7.4313e-05i,0.00073564+0.00036182i,0.00085937+5.8597e-05i,0.00074633-0.00064644i
0.00013769-0.0014116i,-0.00023118-0.0016273i,-0.00096775-0.0015405i,-0.001087-0.00042409i,-0.00083787+0.0012677i,-0.0012574+0.0014959i,-0.00097592+0.0007992i,0.00022452-0.00020195i,0.00058185-9.3492e-05i,0.00075387+0.00055688i,0.00078842+0.00025017i,0.00023046-0.00012137i,4.9963e-05-0.00015287i,7.3037e-06-0.00027218i,-0.00026475-0.00012839i,-0.00024924-0.00057558i,-9.4082e-05-0.00077829i,0.00019748-0.00019958i,0.00029693-6.3509e-05i,-0.0001578-0.00054845i,-0.00036848-0.00079527i,-0.00021887-0.00027666i,1.4287e-05+0.00051057i
0.0016896-0.0022892i,0.0017316-0.0023059i,0.0021614-0.0024152i,0.0013377-0.0011928i,0.00011398-0.00022038i,-0.0011459+0.00036026i,-0.0016479+0.000696i,-0.0012091+0.0002346i,-0.00072556+0.00020535i,0.00022683+8.3452e-05i,0.00013117-0.00023213i,-8.729e-06-0.00074433i,0.00058656-0.00091888i,0.00056377+0.00030257i,0.00043954+0.00065627i,-0.00022108+0.00025305i,-0.00054353+0.00035942i,-0.00021334+0.0001147i,0.00023747-0.00036473i,0.00084301-0.0001871i,0.00043002+0.00041074i,-0.0002151+0.00079837i,-0.00025998+0.00047826i
0.0014191-0.00065804i,0.0012349-0.0015006i,0.0013216-0.0021623i,0.00050739-0.001382i,-0.0010613+0.00024612i,-0.00088652+0.00086688i,-0.00014912+0.001016i,-0.00040183+5.6019e-05i,-0.00031269-0.00078825i,0.00040022-0.00080483i,8.7511e-05-0.00052158i,-0.00012467-0.00049574i,0.000267-0.00025514i,0.00038209+0.00014052i,-2.4363e-06+0.00022761i,0.00027779+0.0004118i,0.00085953+0.00034604i,0.00017139-0.00040345i,8.9288e-05-0.0011399i,0.00063526-0.0014562i,0.00054792-0.00072108i,0.00017198-0.00040628i,0.00021484+0.00037899i
0.0019688-0.00082111i,0.00098854-0.00094342i,-0.00073297-0.0013867i,-9.9025e-05-0.0020394i,0.00016344-0.0011935i,-0.0007016+0.00019534i,-0.00098984-8.6937e-05i,-0.00069794-0.00068179i,-3.6111e-05-0.0010566i,0.00047609-0.00076454i,0.00080036-0.00060275i,0.00069768-0.00038903i,9.9604e-05-0.00039206i,-0.00031316-0.00095054i,-0.00035176-0.00084619i,-4.6005e-05-0.00098408i,0.00016815-0.0010657i,0.00049248-0.00050996i,0.00076484-0.00056769i,0.0002056-0.00022349i,-0.0004965-0.00043867i,-0.00026155-0.0011808i,0.00097165-0.0013239i
0.00093605-0.0004748i,0.00053342-0.00098284i,0.00058947-0.0010773i,0.00032552-0.00043676i,-0.00021094+0.00045345i,-0.00075258+0.0017692i,-0.00091028+0.0011408i,-0.0001918-0.00017298i,8.8429e-05-0.00055849i,0.00030166-0.00034618i,0.00032131+0.00021153i,-0.0001913+0.0001945i,4.9831e-05-0.00048592i,0.00034348-0.00075065i,0.00019586-0.00047617i,0.00017027-0.00040463i,0.00049053+6.5952e-05i,0.0009218+0.00022492i,0.00018336-0.0006776i,-0.00095184-0.00074096i,-0.00074293+0.00015357i,-0.00067079+0.00084004i,-0.00085513+0.00059411i
0.00019094-0.0010111i,-4.7949e-05-0.00098424i,-0.00035905-0.00052457i,-0.00071265-0.000396i,-0.00094768-0.00015389i,-0.00079652+0.00051004i,-0.00028055+0.00041425i,0.0003573+0.00054876i,0.00055564+0.0010742i,0.00012471+0.00063641i,-0.00018302-0.00010407i,0.00031122-0.00023452i,0.00054007-0.00035929i,0.00042798-0.00029985i,0.00071089+0.00061293i,-0.00010853+0.00097285i,-0.0010576+0.0001629i,-0.00038033-0.00031014i,9.1463e-05-0.00040001i,-9.9025e-05-9.0543e-05i,-0.00086435+0.00048553i,-0.00061769+0.00029213i,4.4221e-05-0.00010535i
0.00039374+0.00051963i,0.0004124-0.0010757i,0.00050243-0.0021529i,0.00031102-0.0017348i,-0.00017592-0.00057654i,-0.00038335+0.00017733i,0.00014985+0.0002044i,0.00088788+0.00016741i,0.00099609+0.00015142i,0.00064308+0.0005278i,-0.0004636+0.00018578i,-0.00045349-0.00023001i,0.00057546-7.3308e-06i,0.00091943-0.00010327i,0.0011752-0.00013924i,0.00091131+0.00025851i,-0.00043253-0.00016979i,-0.0004347-0.00033377i,0.0010037-0.00010249i,0.0012058-0.00036784i,0.000968+7.2311e-05i,0.0004977+0.00034889i,0.00013582-0.0005374i
0.00090889-0.00045597i,0.0016629-0.0010588i,0.00083355-0.0011711i,-0.0010341-0.00086848i,-0.0014162-0.00080618i,-0.00077822+6.2081e-06i,-0.0008429+0.00045622i,-0.00085719+0.00019245i,-0.00025894+0.00032027i,-8.3021e-05+8.9178e-05i,1.9247e-05-0.00081597i,0.00030195-0.00075847i,0.00016254-0.00071176i,-0.00021369-0.00073258i,-0.00077383+0.00013667i,-0.00088207+0.00056157i,-0.00052359+0.00058237i,-0.00041865+0.0010204i,-0.0003795+0.00051593i,-0.00028787-9.5731e-05i,5.0433e-05+9.2372e-05i,0.00085484-0.0001115i,0.0017472-0.00031787i
0.0002392-0.002983i,-0.0003598-0.0037933i,-0.001368-0.0032339i,-0.0015298-0.001211i,-0.0016748+0.0012782i,-0.0014672+0.0025728i,-0.00033926+0.0017411i,-0.00011911+0.0008334i,-0.00048612+0.00017616i,-0.00057998-0.00020826i,-3.655e-05-5.6921e-05i,0.00053142+0.00061028i,0.00062753+0.00087781i,0.00081448+0.00013585i,0.00061608+0.00011271i,-0.00020961+0.00043576i,-0.00051167+0.00011243i,-0.00027334-0.00046603i,-0.00041417-0.00096256i,-0.00067805-0.00048764i,-0.00086674+0.00015856i,-0.00084215-1.7637e-05i,0.0001783-0.00027005i
0.00020233-0.0011061i,0.00089488-0.00056258i,-0.00028212-0.00083133i,-0.00094648-0.00066238i,-0.00081801+0.0005539i,-0.00063225+0.00074735i,-0.00050472-0.00028294i,-0.00023664-0.00051581i,0.00076058+8.809e-05i,0.0010824+0.00066i,0.00020827+0.00094773i,-0.00024676-0.000372i,-0.00015486-0.0011136i,-0.00049352-0.00055603i,-0.00026342+0.00059137i,0.00033005+0.0012852i,0.00046797+0.00073396i,-0.00014887+0.00016697i,-0.00089095+0.0001214i,-0.001102+0.0004477i,-0.00096778+0.00054696i,-0.00030456+0.0006468i,0.0011129+0.00051799i
0.00019342-0.0010022i,-6.6401e-05-0.0011761i,-0.0012381+3.021e-05i,-0.0017446+0.0014018i,-0.0010359+0.002976i,-0.00035791+0.0026278i,-0.00016727+0.001121i,0.00024343+0.00045272i,0.00044575+5.1145e-05i,0.0003777+0.00039686i,-0.00039762+0.0007878i,-0.00049926+0.00082476i,0.00013133+0.00042635i,0.00060947-0.00034244i,0.00053719-0.00029542i,0.00041321+0.00091378i,-0.00024348+0.0013766i,-0.00075021+0.00094377i,-0.00027635+0.00017918i,0.00012135-0.00029523i,0.00017038-0.00060428i,5.3414e-05-0.0005689i,-0.00041925-7.2087e-05i
