-0.0013581+0.001566i,-0.0014047+0.002096i,-0.0023819+0.0023448i,-0.0019253+0.0012875i,-0.0013363+1.5493e-05i,-0.0013291-0.00096916i,-0.00035726-0.0011205i,0.00036712-0.00014013i,0.0006359+0.00072371i,0.00072036+9.9238e-05i,0.00078561-0.00044738i,-5.2697e-05-0.00021716i,-0.00082916-0.00056229i,-0.0012402-0.0010351i,-0.0011088-0.00067203i,-0.00023607+8.6885e-05i,0.0002697+0.00030758i,0.00015776-0.00058283i,-0.00027078-0.0004177i,-0.00049433-0.0001032i,-0.00044154-0.00040298i,-3.5012e-05-0.00031024i,0.00073545-0.00018401i
0.00014587-0.00015115i,0.00014335+0.00082571i,0.00015859+0.002239i,0.00052259+0.002187i,0.00087791+0.0010597i,-7.4566e-05+0.0002396i,-0.00026636+0.00027708i,1.1453e-05+0.00095458i,-0.00035002+0.00090374i,-0.00039442+0.00034462i,-0.00074312+0.00044524i,-0.00095388+0.00096284i,-0.00049563+0.0010027i,-0.00015443+0.00079734i,-8.8866e-05+0.00054377i,0.00026178+3.3246e-06i,0.00082892-0.00075385i,0.000306-0.00094388i,-0.00048125-0.00044553i,-0.00063454-0.00062588i,-0.00045188-0.00068842i,-0.00037996-0.00033962i,-0.00026498+4.3929e-05i
-0.00031635-0.00028384i,0.00082398-7.6093e-05i,0.0012454-0.00049086i,0.001009-0.00011226i,0.0008203+0.00016057i,0.0010426-0.00033837i,8.4773e-05-0.00030261i,-0.00046968+0.00036674i,-0.00066927+0.00042992i,-0.00086317-2.1124e-05i,-0.00050741+0.0001211i,0.00026311+0.00043171i,0.00044512-0.0003835i,0.00031617-0.00074929i,0.00025503-0.00031557i,0.00069456+5.4374e-05i,0.00065403+0.00079503i,0.00057338+0.00038708i,0.00027981-0.00025486i,-2.2137e-05+0.00017628i,0.00054377+0.00056973i,0.00084927+0.00087105i,0.00060925+0.00091933i
-0.0006983-0.001632i,0.00024034+0.0003911i,-0.00020723+0.0018278i,-0.001272+0.0018066i,-0.0011053+0.0011685i,-0.00029045+0.0008053i,-0.00015275+0.0004066i,-0.0004184+0.00026495i,-0.00036693+0.00037263i,-0.00056773+7.3687e-05i,-0.00087131+0.00016062i,-0.00090526+0.0005296i,0.0001047+0.00073076i,0.00082349+0.00016441i,0.00054881-0.00041909i,0.0008214-0.00083543i,0.00088425-0.00067808i,0.00022977+9.5864e-05i,-5.6956e-05+0.00026528i,-0.00016446+0.00071707i,-0.00029223+0.00073289i,-0.00025962+0.00027897i,0.00013146+3.8099e-06i
-0.0020898+0.00018084i,-0.0017222+0.00018966i,-0.00051455+0.001142i,0.00080322+0.0013619i,0.0014613+0.00082521i,0.0011003-0.0014939i,-0.00013262-0.0022485i,-0.00054583-0.00096273i,-0.00047951+0.00013083i,2.5088e-05+0.0014422i,-0.00020985+0.0003671i,-0.00068115-0.00085757i,-0.00038847+0.00016836i,3.2021e-05+0.00072922i,0.00026259+0.00063529i,0.00011832+6.954e-05i,-7.2952e-05-0.00042795i,0.00033076-0.00044839i,0.00041126-0.0010047i,0.00042614-0.0021251i,0.00088204-0.0010617i,0.00066438+0.00042505i,-0.00017614+0.00014243i
0.00044252+0.00058505i,4.1724e-06+0.0017976i,0.00051608+0.0019048i,0.0007314+0.0011251i,-0.00011962-0.00031302i,-0.0013795-0.00090851i,-0.0016976-0.0013309i,-0.00071898-0.00090311i,-1.9037e-05-5.528e-05i,4.6692e-05-0.00052327i,0.00012713-0.00079413i,0.00015921+0.00020259i,0.00019322+0.00071224i,0.0004618+0.00076712i,0.00091206+0.00072605i,0.00083841+0.00039134i,0.00021269+0.00010902i,0.00017029+0.00012087i,0.00055099+0.00029321i,0.000577+0.00018403i,6.8651e-05-0.00015617i,-0.00047063-0.00052988i,-0.00021774-0.00052086i
-5.6416e-05-0.0010058i,-0.00015702-1.388e-05i,-0.00053488+0.00010927i,5.6873e-05+0.0006254i,0.00064551+0.0010579i,0.00038724+0.00034927i,0.00052471+0.00046367i,0.00026505+0.00098104i,-0.00072325+0.00076874i,-0.0009051+0.00078992i,-0.0004358+0.00040442i,0.00049733+0.00014224i,0.00047611+0.00032118i,8.9797e-05+0.00014819i,3.5668e-05+7.3702e-05i,0.00037015-0.00040808i,0.0011374-0.00097593i,0.00097745-0.0013321i,0.00081238-0.00094494i,0.00015095-0.00033536i,0.00012018-0.00051625i,0.00098544-0.00063495i,0.00091899-0.00026172i
-0.0004527+0.0014232i,0.00045264+0.0022601i,0.00050093+0.0026976i,0.00092897+0.0022235i,0.0011244+0.00021474i,0.00048854-0.00069857i,6.5463e-06-0.00072778i,-0.00017256-0.00095378i,-0.00016112-1.7522e-05i,-0.00035298+0.0015784i,-0.0010511+0.0010663i,-0.0011154+0.00010985i,-0.0001902-0.00036133i,0.00033646+8.3575e-05i,-0.0005138+0.00033125i,-0.00087564+0.00016801i,8.8671e-06-0.00019762i,0.00021677-0.00036207i,-0.00026967+5.6588e-05i,-0.00027684+0.00070646i,-0.00074092+0.0004376i,-0.0011663-0.0002484i,-0.0010184-0.00038447i
0.0013625-0.0022201i,0.0014425-0.001425i,0.0002803-0.0013355i,-0.00082619-0.00062362i,-0.00059381+0.00051096i,-0.00062639+0.00099592i,-0.0005644+0.00019496i,-0.00070369+2.8385e-06i,-0.00045551+0.000457i,-2.0177e-05+0.0007524i,-0.00068656+0.0010888i,-0.00066742+0.00078589i,-0.00032544+0.00032502i,-0.00062046-0.00031041i,-0.00012981-0.00042877i,0.00021974+0.00010883i,0.00017876-0.00044744i,-0.00011728-0.0014262i,-0.00041959-0.00089899i,-0.00067196-0.00019209i,-0.0015665-0.00013914i,-0.0016381+0.00018147i,-0.00018595+0.00037096i
-0.00019656-0.00065102i,-0.00052698+0.0019559i,-0.0010222+0.0043444i,-0.00075797+0.0044505i,-0.00023911+0.0026382i,-0.0006078+0.00095848i,-0.0011732-9.5312e-05i,-0.0010047-0.00023883i,-0.00043546-0.0002664i,-0.00079116-0.00077415i,-0.00064989-0.00039345i,-0.0002394+0.00015846i,0.00027357-0.00017771i,0.00044326-0.0005364i,0.00052193-0.00013595i,0.00054537+0.00029269i,0.00067802-0.00029884i,0.00091479-0.0011014i,0.0012895-0.001395i,0.0003877-0.00091412i,4.7859e-05+3.6621e-05i,0.00031099+0.0001033i,0.00066954-0.00035907i
-1.1995e-05-0.0011427i,9.0706e-05-0.0015187i,0.00024715-0.0015055i,0.00021106-0.0013518i,-0.00019197-0.00076092i,-0.00048865-0.00042704i,-0.0011485-0.00039162i,-0.0014381-0.00036939i,-0.00084678+0.00041087i,-0.0004801+0.00038732i,-0.00035807-2.0343e-05i,0.00016287+0.00058772i,0.00055977+0.00089155i,0.00022318+0.00051819i,-0.0004268+0.0010056i,-0.00034871+0.0012666i,-3.9353e-05-6.164e-05i,8.7922e-05-0.00056882i,-0.0001195+0.00029446i,-0.00070526-0.0002179i,-0.00078413-0.00053208i,-0.00066048-2.4285e-05i,-0.00033554-0.00056246i
-0.0020176+0.0018872i,-0.00062078+0.0028036i,-0.00013619+0.005319i,0.0010965+0.0047322i,0.0023924+0.00211i,0.0025171+7.1989e-05i,0.0013852-0.00064395i,-1.4814e-05-0.00089119i,-0.00042913-0.00013985i,-0.00013902+0.001013i,-0.00024513+0.00086591i,-0.00078502+0.00014235i,-0.0010197+0.00027059i,-0.00084445+0.00061269i,-0.00066974+0.00050708i,-0.0004564+0.00041808i,-0.00027887+0.00011895i,-0.00015895-0.0002657i,7.8383e-05-0.00014218i,-0.00022715+0.00012926i,-0.00034308+0.00011599i,-0.00018748-0.0002976i,-0.00014264-0.00064462i
0.00042705-0.0011052i,-0.00041528-0.0018402i,-0.0009611-0.0019392i,-0.00069902-0.0013732i,-3.9244e-05-0.0011269i,-0.00016485-0.00077087i,-0.0014626-0.00068992i,-0.0014578-0.00070316i,-0.00032865-0.0002361i,-4.801e-05+0.0003129i,8.1378e-05+0.00094019i,0.00056503+0.0017829i,8.2253e-05+0.0015033i,0.00010013+0.00023869i,0.00014328-0.00070544i,8.528e-05-0.0010886i,0.00056557-0.001093i,0.00081273-0.00058057i,0.00038594+0.00026337i,0.00011408+0.00041183i,0.00031898-6.8696e-05i,0.00059268-0.00040739i,0.00025414-0.00033618i
