-0.00095805+0.0012176i,-0.0006522-0.00070789i,-0.0022686-0.0018558i,-0.0025898+0.00053461i,-0.0019086+0.0033763i,-0.0010765+0.003647i,8.3361e-05+0.0020203i,0.0010755+0.00078133i,0.0010657+0.00063265i,0.00042492+1.8523e-05i,0.00013308-0.00040637i,-7.8082e-05-0.00073586i,-0.00020217-0.00061861i,-0.00030729+0.00017967i,-0.00031942+7.179e-05i,-0.00040505-0.00014754i,-0.00020022-0.00021197i,-0.00026016-0.00063014i,-0.00025796-0.00029615i,0.00023511-0.00035499i,0.00045057-0.00057757i,0.00035669-0.000775i,0.00046308-0.00049536i
-0.0017918-9.6066e-05i,-0.0026992-0.00078591i,-0.0028344-0.00031867i,-0.0012512+0.0013283i,0.00023763+0.0020417i,0.00045625+0.0011002i,0.0012037+9.7321e-05i,0.0013623-0.00047973i,0.00015919-0.0004322i,-0.0001958+0.00023558i,0.00047966+0.00010166i,0.00083006-1.7845e-05i,0.00081455-0.00018573i,0.00078763-0.0004918i,0.00079396-0.00030249i,0.0008848-0.00030779i,0.00025468-0.00046895i,-0.00044633-0.00051788i,-0.00014298-0.00026888i,0.00023964+0.00012044i,-0.00051802-0.00027239i,-0.0006621-0.00085561i,0.00020044-0.0001786i
0.0013515-0.00033847i,0.0017-0.0010017i,0.001226-0.00081936i,-0.00041352-0.00062879i,-0.001734-0.00056621i,-0.0014889+3.1237e-05i,-0.001245+0.00015681i,-0.0011018+0.00041175i,-0.00055796+0.00048256i,0.00019457+6.0052e-05i,0.00067077+0.00018965i,0.00091216-0.00014776i,0.00109-0.00019845i,0.00042633-4.8194e-05i,0.00040573-0.00028302i,0.00072347+0.00011213i,0.00017096+0.00022921i,6.9568e-05-7.3848e-05i,0.00025902-0.00039074i,-0.00058201-0.00036377i,-0.00043316-9.1173e-05i,7.6982e-05+0.0002054i,-0.00017596+0.00041844i
0.00061413+0.0017032i,0.0019865+0.0024004i,0.0024256+0.00092202i,0.0012268-0.00041021i,-0.00026194+0.00052659i,-4.3621e-05+0.0012656i,0.00094909+0.00098284i,0.0013319+0.0003266i,0.001798+0.00037317i,0.0011831+0.0003965i,0.00035034-0.00028698i,0.00027549-0.00018156i,-0.00041402+0.00016146i,-0.00094499+0.0001802i,-0.0011225+0.00039662i,-0.0012744-0.00017095i,-0.00030957-0.0012178i,0.00069056-0.00090225i,0.00071113+7.5686e-05i,0.00045603+0.00068922i,-0.00034561+0.0011261i,-0.0014478+0.0016044i,-0.0011616+0.0011785i
-0.00061547+0.00076955i,-0.0015961+0.0010869i,-0.00050661+0.00052521i,-0.00052235+0.00026822i,-0.0016088+0.00022202i,-0.00063772+0.0010564i,0.00034413+0.0012991i,0.00015987+0.00056787i,-0.00031687-0.00026405i,-0.0008008-0.00033107i,-0.00084259-0.00049722i,-0.00013571-0.00037205i,0.00013126+0.00060217i,1.4325e-05+0.0013222i,-0.00055668+0.0013886i,-0.00083778+0.00030672i,-0.00047021-0.00049966i,9.8759e-05-0.00053629i,0.0003292-0.00042303i,6.184e-05-1.6506e-05i,0.00052808-0.00047508i,0.0010086-0.00071536i,0.00012086+0.00015942i
0.00023598-0.0010758i,-0.00025788-0.0015389i,-0.00069382-0.0015782i,-0.0014916-0.00081856i,-0.0027142-6.6462e-05i,-0.0022852+0.0011435i,-0.00086525+0.0018425i,-0.00046858+0.0012824i,-0.00077496+0.00029733i,-0.00054638-0.00029617i,-8.3937e-05-0.00027173i,-0.00013238-0.00055888i,0.00015474-0.00098429i,0.00034623-0.00039579i,0.00038027+0.0002068i,0.00056684-0.00031846i,0.00031477-0.00039923i,-0.00038331-0.00011458i,0.0001021-0.00018579i,0.00027418+0.00019368i,-0.00052297-4.5577e-05i,-0.00065065-0.00050798i,0.0001683-0.00036556i
0.00092013-0.00023859i,0.0013584-0.00026138i,0.00068407-0.00057336i,-0.00028523-0.0011833i,-0.0012695-0.00062922i,-0.0012691+0.00041769i,0.00033715+0.00082821i,0.0013069+0.00030167i,0.00097184-7.4642e-05i,0.00016511+0.00024531i,-0.00051609+0.00027891i,-0.00016946+0.00031143i,-0.00033846+0.00040946i,-0.00031476+0.00019606i,2.6135e-05+0.00033614i,-0.00056164+8.9653e-05i,-0.00038096-9.7181e-05i,0.0001555-4.2312e-05i,0.00035485+9.2326e-05i,0.00028835+9.4887e-05i,-0.00019348-0.00037528i,-0.00061456-0.0008041i,-0.00079871-0.00049989i
0.0003836+0.00026955i,0.00027517+0.0011769i,-0.00052398+0.0010035i,-0.00035314+0.0010889i,0.00013957+0.0010819i,0.00011379+0.00084545i,-1.8919e-05+0.00086469i,-0.0004738+0.0005293i,-0.0007924+0.0006751i,-0.00033164+0.0013421i,0.00016389+0.0011081i,0.0003953+2.0688e-07i,0.00021679-0.0010024i,0.00037857-0.001195i,0.00044815-0.00082001i,0.00045013-0.00083867i,0.00022379-0.00094523i,-3.7873e-05-0.00073499i,8.2168e-05-0.00082i,-0.00017217-0.00047361i,-0.0010318+0.00033589i,-0.0010463+0.0008172i,-0.00051874+0.00097066i
-0.0018864+0.00070261i,-0.0019132+0.00030893i,-0.0020909+0.00041033i,-0.0014951+0.0018324i,-0.00090275+0.0014846i,-0.00070697+0.0010275i,-0.00035693+0.00053901i,0.00044338+1.2835e-05i,0.00031544-0.00045039i,0.00031054+0.00012625i,0.0012739+0.00071602i,0.0012614+6.099e-05i,0.00028159+0.0001542i,-0.00021514+0.00017254i,0.00031513-0.00034878i,0.00019707-0.00055744i,0.00027829+5.9035e-05i,0.00047639-0.00012497i,2.755e-05-0.00042101i,-0.0001971+5.0007e-05i,-0.00012266+0.00067477i,8.0755e-05+0.00058247i,0.00015412+0.0005632i
-0.0021641-0.00067835i,-0.0011296-4.4116e-06i,-0.00064732+0.0013698i,-0.00032156+0.0013671i,1.1671e-05+0.00035892i,0.00065118-4.1564e-06i,0.0015628+0.00019274i,0.00058773+0.00044257i,-0.00057072+0.00029086i,-0.0006639+0.00049017i,0.00016812-0.00016357i,0.0012321-0.00058909i,0.001602-0.00018937i,0.00080491+3.2979e-05i,-0.00043078+7.0432e-06i,-0.00071792-0.00035987i,-7.4356e-05-0.00073969i,0.00033989-0.00087421i,0.00020695-0.0014788i,0.0001004-0.0013168i,-0.00010333-0.00070855i,-0.00030903+0.00016419i,-0.00011166+0.00036111i
-0.0020753+0.00035251i,-0.0020627+0.00099252i,-0.0022757+0.0015184i,-0.0020587+0.0016824i,-0.00055541+0.0020596i,0.00033419+0.0014535i,-0.00011801+0.0010179i,-0.00014384+0.00075646i,0.00061134+0.00026864i,0.00042863+0.00029601i,0.00036484+0.00085546i,0.00056898+0.00069417i,0.00018031+0.00010732i,0.00051845-0.00076336i,0.001423-0.00054544i,0.00088289+0.00055934i,0.00035789+0.00065754i,0.00019899+0.00015142i,-0.00019654+0.00017707i,-0.00031375+0.0004296i,0.00031419+0.00067431i,0.00031102+0.00062363i,0.00015757+0.00013246i
