-0.0016917+0.001493i,-0.002093+0.0032349i,-0.002288+0.0036516i,-0.00084839+0.0031353i,-3.1833e-05+0.0022027i,0.00014804+0.0019807i,-0.00011843+0.0014064i,5.1714e-05+0.0009859i,0.00074168+0.00094503i,0.0013956+0.0010566i,0.0010145+0.00071573i,0.00049817+0.00030553i,-0.00017768-0.00022502i,-0.00034142-0.00087772i,-0.00061526-0.0011692i,-0.00092497-0.001004i,5.9971e-05-0.0008895i,0.00035495-0.00052363i,8.4182e-06+1.9068e-05i,0.00016381+0.00021078i,-0.00037843-0.00010062i,-0.00043665-0.00077923i,0.00034096-0.00084052i
0.00091108-0.00023663i,0.00058943-0.0014503i,0.0011605-0.0016147i,0.00072327-0.00057759i,-0.00022106-0.00023556i,-0.0011093-0.00019603i,-0.0015844+0.00054406i,-0.00056233+0.000637i,0.00032167+0.00078524i,0.0010856+0.001322i,0.0018506+0.00088812i,0.0018822+0.00051427i,0.0015351+0.00077418i,0.00065955+0.0011437i,0.0007166+0.00054817i,0.00096751-0.00012417i,0.00056971+0.0004211i,0.00020235+0.00070093i,0.00012931+0.00028497i,-0.00015003+0.00056179i,-0.0005556+0.00043633i,-0.00025246-0.00035904i,-0.00031776-0.00037752i
0.001159+0.00036811i,0.0017367+4.0322e-05i,0.0013077+2.6051e-05i,0.00030734-4.7349e-05i,-1.9587e-05+0.00022056i,-0.00060858+0.00032296i,-0.00069079+0.00088027i,-0.0005034+0.00076568i,0.0002669+0.00063765i,0.0011019+0.001198i,0.0010276+0.00062045i,-0.00019226+0.00022709i,-0.00024437+0.00016166i,0.00068079-0.00026696i,0.00044278-0.00053516i,0.00020136-0.0002996i,-0.00014211+0.00050651i,-0.00087286+0.000866i,-0.0012775-0.00028978i,-0.00092781-0.0014723i,-0.00014176-0.00053474i,4.3505e-05+0.00045095i,8.4111e-05+0.00076439i
-0.00016529+0.00055801i,0.00043992-0.0002439i,0.0016269-0.00033744i,0.0017495+0.00018548i,0.00050765+6.2851e-05i,-0.00083002-1.9062e-05i,-0.001338-0.00022066i,-0.00060849-2.0991e-05i,1.5694e-05+0.00015444i,-0.0002348+7.6084e-05i,-0.00071219+0.0011088i,-0.00065338+0.0015249i,-0.00040806+0.00097805i,-0.00059305+0.00010435i,-0.00023351-0.0003195i,0.0001622+6.537e-05i,7.869e-05+0.00047027i,0.0006353+0.00071404i,0.00087933+0.0005945i,0.00050067+8.1812e-05i,0.0003737-2.8082e-05i,0.00085004+0.00054176i,0.00044263+0.00084197i
0.00032282+0.0012327i,-0.00038339+0.0023049i,-0.00027442+0.0024171i,0.0011463+0.0017767i,0.0018413+0.00032573i,0.00064906-0.0011821i,-0.00076476-0.00061294i,-0.00061458+0.00028724i,0.00072098+0.0006539i,0.0014247+0.00020659i,0.001093-0.00042012i,0.00020561-0.00030521i,-0.00087431-0.00014261i,-0.00072158+0.00060095i,-0.00066919+0.0014845i,-0.00046856+0.0014469i,0.0005718+0.0014282i,0.0014008+0.00074107i,0.00087338-4.4678e-05i,-0.00017841+3.2568e-05i,-0.0011222+0.00064576i,-0.0013782+0.00083825i,-0.00060357+0.0001948i
-0.00053603-0.0011538i,-0.001227-0.001088i,-0.0019517-0.0013953i,-0.001999-0.0015992i,-0.0013437-0.0003751i,-0.0015733+0.00087984i,-0.0012515+0.00022917i,-0.00020959+0.00017947i,0.00023045+0.00044328i,5.8836e-05+0.00023531i,0.00061265-0.00027444i,0.0015009-0.00051584i,0.001077+0.00043565i,-0.00012552+0.0014265i,-0.00083753+0.00075109i,-0.00058529+0.00055403i,-0.0010109+0.001244i,-0.0007034+0.00074971i,0.00059834+0.00043389i,0.00077223+0.00051781i,0.00030961-0.00040926i,0.00045275-0.00030212i,0.0004087+0.0006088i
-0.00031581+0.000672i,-2.9687e-05+0.00091317i,0.00074688+0.00019066i,0.0018509-9.0236e-05i,0.0022142+0.00031831i,0.0013479-0.00011477i,0.00052426+0.0001861i,0.00087081+0.00049924i,0.00096791+0.00080928i,0.00063253+0.001224i,0.00013917+0.00095491i,-0.00028132+0.00044209i,-0.00044955-7.553e-05i,0.00011738-0.00010866i,0.00077264-0.0002197i,0.00026209-0.00017037i,-0.0007347-0.00030673i,-0.00073068-0.00067852i,-0.00031785-8.756e-05i,-0.00059886+0.00050034i,-0.00052622-0.00037782i,0.00046009-0.0013889i,0.00063854-0.00030474i
-0.00022717-0.00073245i,-0.00065004-0.00058513i,-0.00071982+3.1785e-05i,-0.0015001+0.00041262i,-0.0016007+0.00046466i,-0.0007494+0.00059455i,-0.00040988+0.00094204i,-0.00035097+0.00046546i,-0.00029344+0.00011784i,0.00036897+0.00069633i,0.00071308+0.0010021i,0.00016736+0.00085474i,0.0003817+0.00086641i,0.0006444+0.0010333i,-0.00037353+0.00044043i,-0.00011627-0.00045868i,0.00058024-0.00029602i,0.00062694-7.2897e-05i,0.00070898-0.00068504i,0.00041741-0.00053848i,0.00044438-0.00040638i,7.8821e-06-0.00095188i,-0.00099304-0.00085426i
-0.00070174-0.0023275i,-0.0016275-7.5029e-05i,-0.0028354+0.00071051i,-0.0021342+0.0012431i,-0.0012963+0.0015921i,-0.00021943+0.00091931i,0.00094306+7.8167e-05i,0.0011169-0.00055832i,0.00081119-0.00046824i,0.00029698-9.1684e-05i,0.00027727-0.00015431i,0.00089071+0.00016432i,0.0013389+0.00083424i,0.0010824+0.00103i,0.00017616+2.7439e-05i,-0.0003701-0.00085513i,-4.5374e-05-0.00080763i,7.1531e-06-0.00087604i,-0.0003268-0.00052957i,-0.00050666-0.00047433i,-0.00016195-0.00070804i,-0.00023197-0.00062692i,-0.00060047-0.00075866i
0.00084381+0.00072846i,0.00099749-0.00048779i,0.0017447+0.00017215i,0.0014431+0.00073451i,0.0011045+8.7072e-05i,0.00083252-0.00053713i,0.0001261+2.7568e-05i,-0.00031329+0.00078485i,-6.7559e-05+0.00092582i,0.00069041+0.00052525i,0.0011853+0.00057916i,0.0012365+0.0011421i,0.001234+0.0010371i,0.001203+0.00031104i,0.0010934-0.00023256i,0.00062943+0.00022705i,0.00036525+0.00046929i,0.00056315+0.00030395i,0.00067967+0.00015051i,0.00028177+0.00051469i,-0.00011539+0.00052229i,-0.00042167-0.00076522i,-0.00067975-0.0014873i
0.00057001-0.00047224i,0.00054059+0.00043801i,0.00051759+0.00010626i,0.00017391-0.00089295i,-0.00083126-0.00088765i,-0.0017043-0.00033048i,-0.0014963+0.00026321i,-0.0008943+0.00071062i,6.2893e-05+0.00011352i,0.001599+0.00020702i,0.0014735+0.00063876i,0.00083054-0.00055851i,0.0016818-0.0012475i,0.0022818-0.0011252i,0.0019549-0.00065534i,0.00086969-0.0002525i,0.00018499-0.00072094i,-0.00022863-0.00056034i,0.00026697-0.00047174i,0.0010017-0.00012951i,0.00058116-0.00031364i,0.00055754-0.00090366i,0.00087812-0.0010181i
