0.0002333+0.0002765i,-0.00051002-0.00049175i,-0.0017868-0.0010021i,-0.00092819-0.001584i,-0.00078666-0.00049227i,-0.0020064+0.0010068i,-0.0021573+0.0014498i,-0.0011057+0.00096486i,0.00094319+0.00067129i,0.0022661+0.00041209i,0.0019311-0.00021978i,0.00095055-0.00050597i,0.00040197-0.00066294i,0.00022773-0.00098241i,-0.00022413-0.00034369i,-0.00028578+0.00039517i,0.00018616+0.00075132i,0.00025133+0.0010452i,0.00023665+0.00017632i,0.00012529-0.00055971i,-0.00048841-0.0010963i,0.00027374-0.00069552i,0.00053214-5.779e-05i
-0.0014592-0.00048885i,-0.00062614+0.00016641i,-0.00040757-0.00016026i,0.0002202-0.00065152i,0.00015514-0.00011214i,0.00022016-0.00025198i,0.00022083-0.00095749i,-0.00042998-0.00067776i,1.1602e-05-7.9488e-05i,0.00041596+0.0001124i,0.00016222+0.0004744i,0.0006949+0.00052111i,-7.4761e-05+6.1256e-05i,-0.001219-0.00069798i,-0.00094446-0.00094795i,-7.3421e-06-4.4952e-05i,0.0001481+0.00073335i,-0.00014467+0.00042645i,0.00019665+0.0001343i,-5.1019e-06+0.00017308i,-0.00015965-8.0778e-06i,3.1913e-05-0.00014659i,0.00011154-0.0002075i
-0.0023704+0.0020204i,-0.00099373+0.0019941i,-0.0006601+0.0019228i,-7.871e-05+0.0009234i,0.0013181+0.00047159i,0.0017602+7.0765e-05i,0.00062569+0.00011441i,-0.00053958+0.00056886i,-0.00030294+0.00091981i,0.00039771+0.00061972i,0.00083721+0.00014862i,0.0010845-0.00017116i,0.0008619-0.00034078i,5.3124e-05-4.0169e-05i,-0.00095715+0.00015881i,-0.00092223+0.00030497i,-0.00014974+0.000763i,0.00023473+0.0010001i,5.3786e-05+0.00050675i,-0.00026602-0.00027947i,-0.00046115-0.00076109i,-0.00089017-0.00048489i,-0.0011291-0.00037716i
0.0027525-0.001323i,0.0024483-0.0020276i,0.0017668-0.0010386i,0.00057815-0.00067468i,-0.0003134-0.0015052i,-0.00099281-0.0015194i,-0.0015571-0.00073062i,-0.0018335-9.1954e-05i,-0.00154+7.0551e-05i,-0.00062162+0.00015472i,0.00036977+6.6943e-05i,0.00012183-0.00022269i,-0.00016874-0.00054745i,-0.00054615-0.0001485i,-0.00099244-0.00024663i,-0.00021761-0.00064901i,-2.4716e-05-0.00031301i,-0.00047232+0.00058673i,-0.00064972+0.00086641i,-0.00014675+0.00034701i,0.00096668-0.0001678i,0.0012192-0.00034236i,0.00090571+0.0001832i
-0.0012777-0.00043867i,-0.00073508-0.0010341i,-0.0011971-0.00054676i,-0.0012786+5.8114e-05i,-0.00042272+4.0341e-05i,-0.00029265-0.0007191i,-6.0547e-05-0.001095i,3.486e-05-0.00060829i,9.9582e-05-0.00033846i,0.001086-0.00014397i,0.0013395+0.00037979i,0.00080817+0.00034265i,0.00072259-0.00026534i,-8.9658e-05-0.00019675i,-0.00089298-0.00030433i,-0.00076371-0.00012414i,-0.00041233+4.8793e-05i,-0.00053561+0.00017096i,-0.00060099+0.00017566i,-0.00055076-0.00010896i,8.0964e-05-3.8347e-05i,0.0014395+0.00020541i,0.0012382-3.4741e-06i
1.0034e-05-0.00041519i,-0.00029431+8.6066e-05i,-6.7404e-05+0.00083127i,0.0007477+0.0002924i,3.8109e-05-0.00042411i,-0.0012781-0.00075104i,-0.0010041+0.00029795i,-7.0928e-05+0.00065851i,6.9076e-05+0.00036411i,8.7838e-05+0.00068323i,3.719e-05+0.00022117i,-0.00015173-0.00048593i,6.0665e-05-0.00067916i,-0.00010467-0.00049935i,-0.00094131-0.00029471i,-0.0009347+0.00010869i,-0.00071112-0.00024795i,-0.00093586-0.00064209i,-0.00022822-0.00037993i,8.4816e-05-4.6951e-05i,-0.00033481-0.00016286i,-0.00043138-0.00063868i,-0.00027655-0.00034676i
0.00051557+0.0015728i,-9.2577e-05+0.0015565i,0.0017484+0.0010284i,0.0025801+0.00017469i,0.0020506-0.00083405i,0.0013582-0.00096533i,0.0012843-0.00088525i,0.00073-0.00028794i,-8.9869e-05+0.00020104i,0.00039014+0.00053984i,0.0011063-0.00016811i,0.00071888-0.0005706i,0.0002172-0.00012463i,-0.00027176-0.00032269i,-0.00071948-0.00024584i,-0.00064056+0.0002603i,-0.0010276+2.5321e-05i,-0.0014117+0.00031604i,-0.00039699+0.00069456i,0.00025545+0.00029108i,2.5356e-05-0.00012383i,-0.00010265-0.00014268i,0.00031135+0.00020464i
-0.0009283-0.0018036i,-0.0013359-0.001137i,-0.0020508-0.00053891i,-0.0014895+3.2645e-05i,-0.0010198-1.4405e-05i,-0.00028393-0.00088089i,0.00067709-0.0012851i,0.00040677-0.00079074i,-0.0004765-0.00041767i,-0.00066376-0.00028273i,0.00055921-0.0002275i,0.00090695+6.3516e-05i,-0.00022518+0.00049779i,-0.00090776+0.00035386i,-0.0011893+6.7899e-05i,-0.0011818+0.00047004i,-0.00027104+0.00052222i,0.00038012+0.00035619i,-4.9901e-05+0.00049261i,-0.00061568+0.00027779i,-0.00051765-0.00020174i,0.00014016-0.0007959i,0.00046544-0.0011316i
0.0016333-0.0015001i,0.00063955-0.0015457i,-0.0004551-0.0018394i,-0.00035442-0.0019991i,-0.00043336-0.0015537i,-0.00016001-0.00045719i,-7.2088e-06+0.00032935i,-9.7037e-05+0.00064776i,0.00085689+0.00044978i,0.00084346-0.00062791i,-0.00058026-0.00070278i,4.2562e-05-0.00075646i,0.00061631-0.00059588i,-0.00065553+0.00063521i,-0.0014828+0.0008085i,-0.0013396+0.00061208i,-0.00064046+0.0010126i,-9.601e-05+0.00068577i,0.00016891-0.00015322i,0.0001714-0.00093011i,-0.00042936-0.000998i,-0.00060699-0.00094223i,-0.00027898-0.001232i
0.0003414+0.00016334i,-0.00039303+0.00014952i,-0.00079957-0.00058342i,-0.00089854-0.00038592i,-0.00032289+0.00038687i,0.00063901+2.7904e-05i,0.00066148-8.7508e-05i,-0.00014831+0.00075309i,4.7038e-08+0.00048795i,0.0011052+0.00056494i,0.0016669+0.0011667i,0.0014223+0.00045596i,0.00057382-3.4806e-05i,-0.0007778+0.00043724i,-0.0010066+0.00064597i,-8.2155e-05+0.00047917i,-0.0002458+0.0016153i,-0.00077823+0.0015182i,-0.00037883+0.00048952i,-0.000724+7.45e-05i,-0.00022316+0.00061546i,0.00010751+0.0010773i,0.00010453+0.00012234i
-0.00016292-0.00016739i,-0.00050878+0.0005328i,-0.00091394+0.00089485i,-0.00092668+0.00046993i,1.5464e-05-0.00021489i,0.00044942-0.00053253i,0.00052856-0.00087917i,0.00073102-0.0008418i,0.0014108+1.9671e-05i,0.0018749+0.0001592i,0.00071497-0.00041633i,-0.00012068-0.00018495i,0.00023615+0.00010403i,0.0004353+5.0704e-05i,0.00044008-0.00035566i,0.00063769-8.7571e-05i,0.00057728+0.00026168i,0.00053371+0.0003119i,0.00033632+0.00023602i,-0.00052679-0.00039342i,-0.0013461-0.0011202i,-0.00089654-0.0015196i,0.00034709-0.001215i
