-0.0018698+0.0011806i,-0.0022262+0.0008839i,-0.0028085+0.0015267i,-0.0018861+0.0014581i,-0.00066527+0.0024151i,0.00051164+0.0017814i,0.001694+0.001032i,0.0012824+0.0010215i,0.00066292+0.00029801i,0.00017125+4.3203e-05i,-8.4731e-05+6.751e-05i,-0.00020979-0.00064454i,-0.00016751-0.0010859i,-2.7459e-05-0.00059409i,0.00046427+0.00014961i,0.00032648+0.0004454i,7.6952e-05+0.00037964i,0.00032274+0.0003771i,0.00050759+8.8695e-06i,0.00058811-0.0004479i,-0.00028757-0.00016025i,-0.00068721-1.6116e-05i,-0.00019202-3.497e-06i
0.00035309-0.00028069i,-3.155e-05-0.00092649i,0.0003974-0.0019916i,0.00039219-0.0016621i,0.00027622-0.00069163i,0.00075419-0.00022494i,0.0011361-0.00015917i,0.0011532+0.00019575i,0.001124+0.00057904i,0.00069813+0.00036301i,-0.00035556+0.00027153i,-0.00024288+0.00082402i,0.00011038+0.0010064i,-0.0007814+0.00061139i,-0.0012946+0.00023487i,-0.0013142+0.00025678i,-0.00057561+0.00031371i,0.00048391+6.3049e-05i,0.0010206-0.00023198i,0.00060854+0.0003441i,-0.00045836+0.00070074i,-0.0010027+0.00040721i,-0.00070907+0.00015996i
0.0013244+0.00060517i,0.0015871-0.00014559i,0.0020181-0.00039553i,0.0010869-0.00018853i,-0.0006915-9.9768e-05i,-0.0015513+0.00081935i,-0.00047442+0.0017221i,0.00054798+0.0013613i,-5.5883e-05+0.00074298i,-0.00088508+0.00016893i,-0.0012453-0.00061394i,-0.00063788-0.00028637i,2.4758e-05+0.00036907i,-0.00043084+0.00066954i,-0.00085141+0.00090925i,-0.0010612+0.0011316i,-0.00069132+0.00069087i,-9.3059e-05+0.00027767i,0.00051721+0.00049668i,0.0013496+0.00020623i,0.00066767-0.00039594i,-0.00022265-0.00072319i,-4.3457e-05-0.00052946i
0.0010528-0.00046265i,0.00075667-0.00042814i,3.782e-05-0.00038578i,0.00049608-0.00094769i,0.0010887-0.00042114i,-0.00024385+0.00031872i,-0.0010329+0.00026097i,-0.000481+0.00038908i,0.00021527+0.00050451i,0.00068364-0.0001946i,0.00061114-0.00084459i,0.00065742-0.00074664i,-9.9642e-06-0.00066776i,-0.00050079-0.00017128i,0.00022456+0.00059288i,0.0008291+0.00098822i,0.00028415+0.00069968i,-6.2603e-05+0.0006437i,-0.00013398+0.00033635i,4.4994e-05+0.00012727i,0.00074847+0.00049512i,0.00050759+5.9663e-05i,-6.9332e-05-0.00062759i
0.00014507+0.00031679i,-0.00057148-3.7544e-05i,-0.0003209-0.00055018i,-1.0419e-05-0.00064416i,-0.00018567-0.00069015i,0.00040434-0.00011096i,0.00050603+0.00037776i,5.8335e-05+0.00013839i,0.00044688-0.00075266i,0.00046856-0.0010434i,-9.3977e-05-0.00084129i,0.00015774-0.00033629i,0.00087509-0.00076695i,0.00073079-0.00098478i,0.00031048-0.00021066i,-0.00016639+0.00047268i,0.00013284+0.00053488i,0.00040615+0.00042002i,0.00019898+0.00040713i,-0.00065776+0.00076487i,-0.001025+0.00055717i,-0.00037957+0.00034665i,0.00010661+0.0008357i
0.00034697+0.0031128i,0.0013304+0.0019221i,0.0020975+0.0012691i,0.0022431+0.00070234i,0.0016035-8.8946e-06i,0.0010223-0.00014708i,0.00039171+1.7498e-05i,0.00017329+0.00065547i,0.00013923+0.00062265i,0.00014069-0.00022932i,0.00011187-0.00051914i,-0.00053966+0.00018402i,-0.0013938-0.00011168i,-0.00095366-0.00040545i,-0.00010639-0.00037659i,-0.00012422-0.00070475i,9.9695e-05-0.00060576i,0.00059126-0.00076504i,0.00021371-0.00050347i,-0.00024901-0.00044414i,-0.00032174-0.0010906i,-0.00018616-0.00076121i,-4.8537e-05+0.00012338i
-0.0015076-0.0015044i,-0.0027012-0.0011359i,-0.0035896+0.0005539i,-0.0023711+0.0012677i,-0.00012679+0.0011818i,0.00064683+0.0001876i,0.00089626-0.00078813i,0.00094595-5.4076e-05i,0.00092556+0.00047954i,0.0010163+0.00046678i,0.0013546+0.0003259i,0.0010227-0.00064313i,0.00086335-0.00095069i,0.0012488-0.00032312i,0.0015684-0.00017614i,0.0012922-0.00013799i,0.00033309-2.0453e-05i,-0.00023718+1.0312e-05i,-0.00054593-0.00065803i,-0.00074667-0.00067012i,-0.00050568-0.00020532i,-0.00012398-0.00087506i,0.00016527-0.00043793i
0.0014132-0.00029655i,0.0010288+0.00051932i,0.0002476+0.00035499i,0.00042484-0.0012753i,0.00058599-0.0014514i,-4.0568e-05+0.00010112i,-0.00064909+0.00032778i,-0.00010029+9.4574e-06i,-0.00043846-8.1528e-05i,-0.00053584+0.00020213i,0.00039559+5.5524e-05i,0.00057902-0.00055224i,0.00017904-0.00041725i,-5.971e-05+0.00022408i,2.8522e-05+0.00030895i,-0.00042485-0.00015271i,-0.00075177-5.9165e-05i,-0.00070768-0.00015144i,-0.00014101-0.00022808i,0.00046731-0.00015182i,0.00095422+6.0641e-05i,0.00055808+0.00068254i,-0.0001587+0.00052625i
1.9374e-05+0.0021489i,0.00041113+0.0019068i,0.00079467+0.0025679i,0.00093384+0.0026987i,0.00083338+0.0013375i,0.00020577+0.00043021i,0.00052672+0.00072128i,0.00080643+0.0010533i,0.00036717+0.00067782i,-0.00060043-8.7571e-05i,-0.0014817-0.00074876i,-0.0011223-0.00076156i,-0.0012346-0.00062536i,-0.001014-0.0012129i,-0.00046981-0.00069596i,-0.00018584-0.00041914i,0.00085294+1.0866e-05i,0.0015799-6.0887e-05i,0.0014345-0.00033481i,0.0003815+0.00022479i,-0.000468+4.278e-05i,-0.00051718-0.00056752i,0.0005253-0.00083206i
-0.0013016-0.00048634i,-0.0019355+0.00051893i,-0.0028515+0.0012418i,-0.0021585+0.0020768i,-0.00031342+0.0015051i,0.00072329+0.00049196i,0.00034035+0.0003392i,0.00023627+0.00057123i,0.00063208-2.9744e-06i,0.00088788-0.00012237i,0.0012394-0.00027173i,0.0002689-0.00044342i,-0.00055723-0.00075034i,-0.00026707-0.00093074i,0.00040428-0.00057847i,0.0011268-0.0002927i,0.00045717+0.0002029i,-0.00020925+0.00028317i,-0.0002813+0.00015442i,-5.574e-05-0.00023804i,0.00014523-0.00026306i,0.00033898+0.00051808i,0.00024678+0.00082946i
0.0010171-0.0009934i,0.0005845-0.0017786i,0.00082023-0.0015678i,0.0010422-0.0011949i,0.00051258-0.00055964i,0.00062236-0.0003393i,0.0011478-6.2243e-05i,0.00059769+0.0002803i,-0.00051918+6.7729e-05i,-0.00042998-0.00013598i,0.00032144-0.0006494i,0.00069512-0.00089905i,0.00085955-0.00015143i,0.00041423+0.00011998i,0.00018109+4.747e-05i,0.00054413+0.0001532i,0.00046075+0.00023999i,-0.00021179+2.258e-05i,-0.00061166-0.00061822i,6.124e-05-0.00065418i,0.00022038-5.9211e-05i,-0.00029345+0.00044861i,-0.00041693+0.000237i
0.00010788-0.00081873i,4.409e-05-2.3258e-05i,-0.00050051-0.00057179i,-0.00082589-0.00076188i,-0.00072518+0.00033297i,-0.00020528+0.00087415i,0.00029182+0.00053977i,0.00079035-9.971e-05i,0.00048148-0.00045481i,-0.00060285-0.00029223i,-0.00098364+0.00015415i,7.8648e-05+0.0010841i,0.0014559+0.0013735i,0.0011301+0.001502i,0.00025818+0.0013917i,6.4799e-05+0.00077884i,0.00029066+0.00086889i,0.00043551+0.0018207i,0.00031015+0.0018625i,0.00060776+0.001237i,0.00081528+0.00088504i,0.00059477+0.00018103i,0.00026311-0.00083198i
0.00088707+0.00066682i,4.5054e-05+0.00075066i,0.00029467+0.00073769i,0.00060053+0.00060071i,-7.8257e-05+0.00028291i,-0.00021312+0.00075004i,0.00020501+0.0013472i,0.00097991+0.00096381i,0.0016624+0.00062987i,0.0010979-0.00014764i,-0.00027349-0.00064798i,-0.0015894-0.00032999i,-0.0014569+0.0002131i,-0.00071172+0.00028741i,-0.00083279-0.00010262i,-0.00064928+0.00034823i,-0.00011011+0.00092565i,0.00016509+0.0012683i,3.9561e-05+0.00080901i,-0.00028911+0.0002282i,2.0431e-05+0.00034971i,0.00090633+0.00061427i,0.00019726+0.00041768i
