-0.00096701-0.00037867i,-0.0013087-0.00037183i,-0.0017703-0.00020929i,-0.0014665+0.00030323i,-0.00059817+0.0009147i,0.00035177+0.00086331i,0.00035192+0.0006452i,-0.00019612-0.00031439i,2.8483e-05-0.0010628i,0.00024103-0.00033989i,0.00015435+0.00070926i,0.00021215+0.00072531i,8.1088e-05-0.00011917i,-0.00022627-0.00056198i,-8.7065e-05+2.3277e-05i,0.00030103+0.00026343i,0.00050072+7.6639e-05i,0.00044169+2.091e-05i,-5.3596e-05-5.5509e-05i,-0.00099571-0.00016478i,-0.0012414+0.00029987i,-0.00065685+0.00024877i,-0.00051075-3.1852e-05i
0.00074248+0.00017136i,0.0010255-0.0002655i,0.0014621-0.0013416i,0.00069452-0.00089329i,-1.8982e-06+0.00081311i,-5.6087e-05+0.0013146i,0.00014054+0.00068643i,0.00017588+0.00043186i,-0.00055789-0.00029375i,-0.0004951-0.0010254i,0.00037189-0.00038884i,0.0010653+0.00053794i,0.00065865+0.00016003i,-0.00030407-0.00036341i,-0.00061035-0.00047588i,-0.00053742-0.00022933i,-0.0006892-0.00032167i,-0.00083083-0.00059392i,-0.00057878-0.00012381i,-0.00036291+0.00058861i,-0.00020272+0.00018185i,0.00010564-0.00017436i,0.00022205-0.00013923i
-7.4843e-05-6.598e-05i,-0.0013478+0.00054987i,-0.0010889+0.00072306i,-0.00073718+0.00044479i,-0.00073163+0.00056149i,0.00037644+0.0002232i,0.0011452-4.109e-05i,0.00095544+0.00076097i,0.0008598+0.00096819i,0.00097926+0.000787i,0.0010705+0.00066086i,0.001176+0.00035471i,0.00070246-0.00016712i,-3.6976e-06-0.00012709i,-0.00048671+0.00053023i,-0.00020277+0.00096569i,7.7493e-05+0.0009703i,-0.00020305+0.00044994i,-0.00053799+0.00012803i,-0.00077843+0.00018739i,-0.00064674-6.2908e-05i,-0.00034276-0.00053953i,0.00029614-0.00057018i
-0.0017321-0.00025584i,-0.0024403-0.0010616i,-0.0022369-0.0010027i,-0.0025845+0.00041873i,-0.0014976+0.00098709i,0.00076184+0.00089908i,0.0013042+0.00033239i,0.0015282-8.9503e-05i,0.0015799+0.00031816i,0.00099116+0.00083842i,0.000153+0.00133i,-0.00021334+0.0013498i,0.00043259+0.00090095i,0.00019002+0.00050399i,-0.00024854+2.1742e-05i,-7.8703e-05-0.00022018i,0.00026192-0.00061096i,0.00063389-0.00074338i,0.00043478+0.00029651i,-1.1064e-05+0.00065276i,-2.1416e-05+0.00020886i,-8.6903e-05+0.00034159i,-0.00011417+0.00078513i
-0.00086042-0.00088682i,-0.00049551-0.00036804i,-6.4272e-05+0.000978i,-0.00065762+0.0013258i,-0.00077432+0.00073539i,-0.00019038+0.00049118i,6.374e-06+0.00015399i,0.00014701-0.00068678i,0.00039074-7.6651e-05i,-3.9756e-05+0.00040579i,-0.00035705-0.00014796i,1.7983e-05-0.00048516i,0.00010647-0.00038083i,-1.9502e-05+0.00016647i,-0.00055519+9.1943e-05i,-0.00081247-0.00075764i,-0.00064937-0.00062538i,-0.00018808+0.00012696i,0.00021919+0.00014142i,0.0004364+0.00018542i,0.00050328+0.00047213i,0.00089596+0.00012763i,0.00053297+5.5116e-05i
-0.0013963-0.00076273i,-0.00098518-0.00061239i,-0.0006413+0.00026671i,-0.00056125+0.0006983i,-0.0006899+0.0018031i,-3.6164e-05+0.0024868i,0.00046786+0.00088979i,0.00028572-0.00020351i,-6.6222e-05+1.6343e-05i,-0.00064167-0.00055339i,-0.00062264-0.0010455i,0.0004631-0.00091043i,0.00080606-0.0001212i,0.00051645+0.0008567i,-0.00028645+0.00089759i,-0.0015069-0.00078721i,-0.0015356-0.0013662i,-0.00070431-0.00052221i,-1.4184e-05-5.2664e-05i,-1.3857e-05+0.00024084i,-0.00027626+0.00030359i,-0.00055826+0.00036407i,-0.00086154+6.8774e-05i
0.00054482+0.00067935i,3.4876e-05+0.0010436i,-0.0018392+0.0014992i,-0.0030102+0.0016936i,-0.0021326+0.0011282i,-0.00083872+0.0010133i,-0.00014669+0.00046483i,0.00041915-0.00046544i,-7.7938e-05-0.00074096i,5.0652e-05-0.00050059i,0.00088467-2.7578e-05i,0.00055157+0.00063808i,0.00029605+0.00053806i,0.00056461-9.8061e-05i,6.9357e-05-3.7165e-05i,0.00020583+0.00059054i,0.00047203+0.00095464i,0.00033103+0.00077477i,0.00046405+0.0007879i,0.0002199+0.00059236i,-0.00038458+0.00016494i,-0.0010667+0.00031755i,-0.00076141+4.3477e-05i
-0.00076267+0.0012332i,-0.00035701+0.00081361i,0.00036491+0.00074537i,-7.7473e-05-5.1462e-05i,0.00058389-0.0010238i,0.0012608-0.00092632i,0.001279-0.00035305i,0.00095207+6.4137e-05i,0.0012648-0.00036978i,0.0014975-0.00033051i,0.0010382+0.00060709i,0.00039457+0.00093067i,-8.9775e-08+0.00057622i,-0.00039135+2.1415e-05i,-0.00057729-0.00037144i,-0.00027325+0.00067059i,-0.00079665+0.00073771i,-0.00031252-0.00085384i,0.00020886-0.0010684i,-0.00020583-0.00040592i,0.00028656-0.00022124i,0.00025845-0.00041763i,2.8937e-05-0.00061428i
-0.00019375+0.00024288i,-0.00054312+0.00029441i,-0.00057084+0.00037657i,-0.00031202+0.00072096i,-0.00016632+0.00085022i,0.00020759+0.00047873i,0.0016507-0.0002348i,0.0025187-0.00026659i,0.0020453-0.00020334i,0.0010566-0.00039325i,0.00030818+0.00033895i,0.00015013+0.00088984i,-0.00016642+0.00022473i,-0.00047017-0.00018582i,-0.00054084+0.00044018i,-0.00055199+0.00047042i,-0.00035629-0.00013755i,-0.0005511+0.00012023i,-0.00036318+0.00026508i,0.00038166+0.00029068i,0.00024143+1.6238e-05i,-0.00041904-0.00086393i,-0.00054234-0.00072559i
0.0014666-0.00071321i,0.0020293-0.0012215i,-0.00011071-0.0020088i,-0.0019706-0.0013517i,-0.0016429-0.00084845i,-0.00021953-0.00030739i,0.00038614-2.4773e-05i,-2.9149e-05-0.0006325i,-0.00045035-0.00048336i,-0.00017167-0.00034076i,0.00014531-0.00041913i,7.7088e-05-0.00011473i,-0.00026411+0.00026887i,-0.00072133+0.00079792i,-0.00030655+0.00038373i,0.00062503-0.00032641i,0.00028319+3.1249e-06i,-0.00048048+0.0002579i,-0.00074578+9.962e-05i,-0.00071808-0.00031617i,-0.00027798-0.00063855i,0.00056004-0.00019297i,0.00070465+0.00083638i
