-0.0026008+0.00093511i,-0.0032709-8.6286e-05i,-0.0047443+0.00042212i,-0.0045036+0.0022189i,-0.0036627+0.0034692i,-0.0023674+0.0039764i,-0.00085042+0.0035436i,-0.00051821+0.0024063i,-0.00033786+0.0012635i,6.084e-05+0.00032749i,-0.00014626-0.000138i,-0.00065669+4.8723e-05i,-0.00054581-2.1529e-05i,-0.00059651-0.00033467i,-0.00038959-0.00040271i,-0.00084433-0.00069956i,-0.0011477-0.00098616i,-0.00070674-0.00063616i,-0.00065308-0.00041993i,-0.0008576-0.00044702i,-0.0011633-0.00081783i,-0.00017611-0.00096116i,0.00066374+0.00028375i
-0.0022594-0.00078624i,-0.0047242-0.00061133i,-0.0058456+0.0017628i,-0.0037517+0.0019686i,-0.0015272+0.0012888i,-0.00059617+0.0014835i,-0.00027956+0.00050013i,-0.00025623-0.00011799i,-0.00052036+0.00076622i,-0.00025443+0.00049224i,-0.00040028-0.00010064i,-0.00059096+0.00024277i,-0.00049465+0.00070055i,-0.00093179+0.0003315i,-0.00087877-0.00021762i,0.00016771-0.00037235i,0.00038875-0.00081443i,-0.00050521-0.0010093i,-0.00059528-0.00020549i,-0.00017204+0.00020195i,0.00049455+0.0002641i,0.00041469+0.0004286i,-0.00031291+0.00033854i
-0.0027719-0.0025667i,-0.0046775-0.003149i,-0.0054955-0.00094363i,-0.0046185+0.0012326i,-0.0033272+0.0022185i,-0.001043+0.0027426i,0.00027683+0.0019204i,0.00015168-0.00011461i,-0.00033549-0.00095796i,3.936e-05-0.00039702i,-0.0002913+0.00051846i,-0.00086519+0.0010038i,-0.00022065+0.00090083i,0.00018426+0.0004128i,0.00072809-0.00032208i,0.0013948-0.00035031i,0.00033397+6.4181e-05i,-0.0010704+0.00045465i,-0.0010814+0.00053155i,-0.00039398+0.00013041i,-0.00030368-0.00044805i,-0.00041618-0.00063715i,-9.9116e-05-7.375e-05i
-0.00018468-3.3304e-05i,-0.0022793-0.00041812i,-0.0033021-0.00013519i,-0.0032962+0.0015347i,-0.0028706+0.0027297i,-0.0016322+0.0024749i,4.4585e-05+0.0011234i,0.00060716-0.00055787i,-0.00022247-0.0011089i,-0.0007912-0.00076688i,-0.00023392+0.0002724i,0.000102+0.00074623i,-0.00035211+0.00057995i,-0.00040404+0.00026617i,5.4182e-06-2.7655e-05i,0.00046277+3.3474e-05i,-9.4821e-05+0.00012622i,-0.0011431+8.7811e-05i,-0.00096839+6.3696e-05i,-5.5526e-05+0.00066551i,0.00065737+0.00077483i,0.00032475+0.00023242i,-0.00011611+0.00055749i
0.00032611-0.00010199i,-0.0021634-0.00026199i,-0.0035694+0.00058338i,-0.0026887+0.0016191i,-0.002264+0.0018257i,-0.0018726+0.0010982i,-0.00056824+0.00041386i,0.00064618-0.00017901i,0.00061812-0.0003659i,0.00022808-0.00040293i,-0.00015974+0.00016873i,-0.00030567+0.00073009i,-3.2709e-05+0.0002433i,0.00060961-0.00019757i,0.00039268-0.00021699i,-0.00068665-9.3027e-05i,-0.0010443-0.00020828i,-0.0011719-0.00043647i,-0.0011361-0.00070967i,-0.00058252-0.00086644i,-5.929e-05-0.00033516i,9.7922e-05-7.9274e-05i,0.00027484-0.00041723i
-0.0011936+0.00031084i,-0.0023437-0.00081282i,-0.0029793+0.00028456i,-0.0028429+0.0024028i,-0.0018486+0.0027243i,-0.00074984+0.0021128i,0.00016828+0.001406i,-8.3029e-05-0.00010901i,-0.00017989-0.00032842i,0.00017601+0.0003513i,-0.00048886+0.00032368i,-0.00090524+0.00040141i,-0.001427+0.00020561i,-0.0015822-0.00022361i,-0.00030302+0.00029146i,0.00017829+0.00050722i,-0.00058992+0.00030151i,-0.0020377+0.0008403i,-0.0020948+0.0010073i,-0.00044989+0.00035246i,2.4648e-05+5.1343e-06i,-7.5692e-05+2.4497e-05i,3.4023e-05+0.00024026i
-0.0046641+0.00055738i,-0.0049398+0.00041317i,-0.004836+0.0019679i,-0.0035721+0.0044929i,-0.0024673+0.004186i,-0.00094581+0.0023723i,0.0011196+0.0012478i,0.0013616+0.00059783i,-4.8919e-05+0.00036411i,-0.00033319+2.2556e-06i,0.00014837+0.00015836i,-0.00014847+9.2657e-06i,-0.00031801-0.00065697i,3.1459e-05-5.1087e-05i,0.00072002+0.00037842i,0.00066978-0.00016583i,-0.00027377-0.00070686i,-0.00062688-0.0012543i,-0.00046812-0.0011266i,-0.00070486+0.0001891i,-0.00055208+0.00048007i,-0.00046001+0.00010557i,-1.0308e-05-0.00012023i
0.0012098-7.4262e-05i,-0.0013322-0.0013352i,-0.0031746-0.00066004i,-0.0036857+0.0007105i,-0.0029895+0.0016104i,-0.0021303+0.001496i,-0.00047118+0.00071209i,0.00049205-0.00018606i,0.00047271-0.00067745i,0.00022777-0.00038134i,-0.00023677+0.00087912i,-0.00062701+0.000944i,-0.00026428+0.00036038i,0.00052489+0.00048131i,0.00045667+0.00080561i,-0.00016908+0.00094748i,0.00029175+2.3127e-05i,0.00076603-0.00061018i,-0.0003737-0.00042924i,-0.00038959-0.00015564i,0.00020383-0.00040884i,3.5357e-05-0.00033279i,-0.00047038+3.4287e-05i
-0.0018305-0.00050282i,-0.0034874-0.001845i,-0.0045433-0.0010784i,-0.0033669+0.00078312i,-0.0023274+0.0024495i,-0.0018979+0.0026443i,-0.00077276+0.00093335i,0.00024644-0.00042819i,0.00046591-0.00079501i,0.00053433+0.00040578i,-1.3048e-05+0.0012637i,-0.00067354+8.2265e-05i,-0.00010906-0.00053513i,6.1836e-05+0.00029308i,-0.00019757+0.00071144i,-7.1517e-05+0.00034575i,-0.00080943+0.00062115i,-0.0013864+0.00098584i,-0.00094097+0.00058187i,-0.00039088-0.00028219i,6.8226e-05-0.00024258i,6.6344e-05+8.1541e-05i,0.0009297-0.00015293i
-0.0018384+0.000966i,-0.0033855+0.0014682i,-0.0049418+0.0024492i,-0.0035436+0.0037286i,-0.0018152+0.0044935i,-0.00075098+0.0030788i,0.00064307+0.0019108i,0.00085334+0.00078727i,0.00021624+9.8999e-05i,-4.4379e-05+0.00070946i,4.2734e-05+0.00062612i,0.00033114-3.4166e-05i,-0.00053251+9.3663e-05i,-0.0012134+0.00022187i,-0.0008361-0.00021572i,8.8084e-05-5.489e-05i,0.00018283+0.00032677i,-0.00094203+0.00027763i,-0.00084259+0.00020053i,-0.0004167-0.0001034i,-8.338e-05-0.00067979i,-5.61e-05-0.00044521i,-0.00032124-0.00018121i
-0.0014137-0.00074167i,-0.0029358+0.00011285i,-0.0035946+0.00072935i,-0.0029159+0.001018i,-0.0013733+0.0010496i,-0.0010157+0.00065895i,-0.00052855+0.00031259i,0.00039419+0.00011366i,0.00014041-6.2064e-05i,-0.00052818+3.8414e-05i,-0.00071957-5.889e-05i,-0.0005249-0.00017343i,-5.0388e-05-0.00052606i,0.00029403-0.00043373i,1.943e-05-0.00029857i,0.00030099-0.00019162i,0.00037148-4.7746e-05i,-0.00012088+0.00020088i,-2.8654e-05+0.0010958i,-0.00038015+0.0011295i,-0.00083034+0.00017417i,-0.00052099-0.00029785i,-0.00021504-8.4565e-05i
