-0.0031646+0.00033061i,-0.001862-4.1674e-05i,-0.003245-0.00045235i,-0.0041003-0.00034707i,-0.0029371+0.00080621i,-0.0021551+0.0018849i,-0.0018456+0.0021686i,-0.00075037+0.0016496i,-0.0005269+0.00038132i,-0.00089155+0.00037507i,-0.00013119+0.00065312i,0.00054728-0.00013391i,-0.00011207-0.00039305i,-0.00054752+0.00018793i,-0.00024324+0.00029131i,0.00040823-0.00030228i,0.00087667-0.00018998i,0.00064881+0.00071958i,0.00025733+0.0009157i,0.00033468+0.00076124i,0.00058993-9.1673e-05i,0.00026157-0.00079378i,-4.6501e-05-0.00058243i
0.0020508-0.00029646i,0.0014116-0.0016131i,0.0011122-0.0024459i,0.00063211-0.0029187i,0.00014476-0.0012944i,-0.00037102+1.6023e-05i,-0.00065627+0.00046861i,-0.0012457-0.00010598i,-0.0015409-0.0013443i,-0.00079902-0.0014561i,1.0231e-05-0.0013534i,-2.826e-05-0.00083925i,-0.00096565+0.00018671i,-0.00082987+0.0010385i,0.00064415+0.00065187i,0.00099853+0.00056407i,-2.1035e-05+0.00093458i,-0.00030184+0.00060792i,0.00051295+0.00051716i,0.00019941+0.00067613i,-0.00041819+0.00048446i,-0.00030445-0.00019225i,-0.00092-0.00035712i
0.0014313+0.00020662i,0.0022584+1.8699e-05i,0.002004-0.00023573i,0.00053643-0.00041021i,-0.00054169+0.00051596i,-0.0010903+0.0011914i,-0.0016558+0.00042991i,-0.0022975-0.00049307i,-0.0021041-0.0007923i,-0.0010285-0.00056247i,-0.00081566-0.00027834i,-0.00088887-0.00025628i,-0.00086728+0.00053384i,-0.0010544+0.00098998i,-0.00041579+0.00073276i,0.00050975+0.00084125i,0.00021367+0.00082424i,-0.00031862-1.2536e-05i,0.00030412-0.00088019i,0.0009499-0.00067109i,0.00042331+0.00018078i,-0.00014358+0.00019163i,0.00058346+2.6354e-05i
0.00051874+0.0015638i,-0.00035227+0.0018464i,-0.00076125+0.0009805i,-0.0012648-0.0012337i,-0.0014202-0.0020513i,-0.001453-0.0021687i,-0.00105-0.0018304i,-0.0009439-0.0010078i,-0.00026104-0.00087567i,0.00027704-0.00091589i,5.9099e-05-0.001123i,-0.00028726-0.00059535i,-0.00071409-0.00030303i,-0.00092476-0.00033212i,-0.00083521+0.00025201i,-0.00067538-0.00016623i,-0.00029576-0.0005836i,9.8136e-05-0.00021284i,0.00020203+0.00019129i,-1.9284e-05+0.00016483i,-0.00018956+0.00027784i,-0.00040279-0.00027735i,-0.001055-0.00078186i
-0.0013542+0.00032613i,-0.0015986+0.00014295i,-0.0020532+0.00097669i,-0.0021299+0.0012064i,-0.00097656+0.00091725i,0.00031752+0.00066314i,-7.9931e-05-6.2326e-05i,-0.00066114-0.00077193i,-0.00081738-0.00061814i,-0.0012002-6.2419e-05i,-0.001045+0.00018068i,-0.00091686+0.00021084i,-0.00046302+0.00031251i,9.4043e-05-1.837e-06i,0.00011167-0.00049377i,0.00032498-0.00050534i,0.00065523-0.00038392i,0.00014872+0.0004234i,-0.0010038+0.00054635i,-0.00034768+0.00015942i,0.00069543-8.1251e-05i,0.00052582+0.00017817i,0.00068701+0.00062021i
0.00030887-0.00082174i,5.639e-05-0.00032414i,-0.00061232-0.0011002i,-0.0021243-0.0017243i,-0.0032367-0.00085873i,-0.0023589-0.00042664i,-0.0012846-0.00029812i,-0.0014499-0.00095671i,-0.0015881-0.001769i,-0.00071505-0.0015565i,-4.5073e-05-0.0010593i,-2.9372e-05-0.00057108i,-0.00026333-0.0001374i,-0.0010768-0.00012264i,-0.0010931-0.00024367i,0.00020796+0.00062108i,0.00053165+0.00090243i,-0.00025085+0.00010464i,-0.00074384+8.9741e-05i,-0.00038064+0.00021971i,-0.00014477+0.00023424i,-0.00034092+2.7033e-05i,0.00012294-0.00037881i
0.00061566-0.00068063i,0.0011335-0.00161i,0.00051868-0.0018096i,-0.00019882-0.0015916i,-0.00037377-0.0014486i,5.4346e-05-0.0010545i,-5.9062e-05-0.0010576i,-0.00085021-0.0014027i,-0.0011369-0.0011283i,-0.0012083-0.00015866i,-0.0010667+0.00054079i,-0.00063439+0.00058623i,-0.0009817+0.00035164i,-0.000598+0.0005042i,-0.00049219+0.00078249i,-0.0012121-7.3922e-05i,-0.00025405-0.00023138i,0.00046839+0.00071962i,0.00043027+0.0003003i,0.00015245-0.00036582i,-6.8121e-06+0.00014908i,0.00024713+0.00061372i,-0.00016737-0.00043526i
-0.0030914+0.0032905i,-0.0021935+0.0032995i,-0.0018129+0.0046044i,-0.00013688+0.0043953i,0.0012169+0.003031i,-0.00013759+0.0012223i,-0.00097671-6.6386e-05i,-0.0014515-0.0011556i,-0.0017419-0.0010173i,-0.00058231-0.00058675i,-0.00013258-0.00050699i,-0.00038246-0.00045569i,0.00017189-0.00081388i,0.00050006-0.0007286i,-0.00042854-4.338e-05i,-0.00050157+7.8077e-06i,0.00055364+0.0002297i,0.00075199+0.00067122i,0.00096205+0.0009166i,0.0005434+0.00071502i,-0.00057005+0.00061616i,-0.00076409+0.00067197i,-0.00025338+0.0006474i
-0.0014448-0.0011037i,-0.0024797-0.0017353i,-0.0031843-0.0017189i,-0.0028153-0.0016938i,-0.0024771-0.00062037i,-0.0014055+0.00012383i,-0.0011179-0.00065882i,-0.0021097-0.0011549i,-0.0023359-0.00049582i,-0.0017989-0.00010471i,-0.0015149-0.00042698i,-0.00096337-0.0010868i,0.00013041-0.0013492i,8.7722e-05-0.00044163i,-0.00056214+0.00037149i,3.1084e-05+0.00075043i,-5.7235e-05+0.0012076i,-0.00059426+0.001252i,0.00011537+2.801e-05i,-3.9544e-05-0.00037624i,-0.00048675-0.00017363i,-0.00016628-0.00016143i,0.00020887-0.00014154i
0.00031809-0.0012127i,-0.00079578-0.00057868i,-0.001471-0.00059756i,-0.0013024-0.00043075i,-0.0012502-0.00097281i,-0.0013235-0.00064208i,-0.0017358+0.00022214i,-0.0013608-1.8807e-05i,-0.00083924-0.00088686i,-0.00057033-0.0015151i,-0.00041987-0.0011751i,-0.00041109-0.00067558i,-3.3652e-05-0.00061264i,-0.00075341+3.9787e-05i,-0.0010909+0.00015874i,-0.0004397-2.6843e-05i,-3.0296e-05+0.00048603i,-0.00013394+0.00089479i,0.00028571+0.00046268i,1.4783e-05-0.00027076i,-0.00054533-0.00096032i,8.1183e-06-0.00031489i,0.00048774+0.00027957i
0.0015768-6.1401e-05i,0.0015419-0.00024981i,0.0019219-0.0012971i,0.000889-0.0016525i,-0.00084213-0.0003797i,-0.0013202-0.00027282i,-0.0011922-0.00086899i,-0.001821-0.0012123i,-0.0018786-0.0011848i,-0.0017617-0.00047156i,-0.0015206-0.00072884i,-0.000748-0.00059425i,-0.0011663-0.00010152i,-0.0013545-0.00072879i,-0.0010456-0.00033764i,2.9245e-05-0.0001332i,0.0008949-0.00054863i,0.00012837-0.00017481i,7.0659e-05+6.9217e-05i,0.00022117-0.00034784i,-0.00013766-0.00076482i,0.00012845-0.00025503i,0.00076019-0.00023028i
0.0010702+0.0011095i,3.1092e-05+0.0020854i,0.00020766+0.0018968i,0.00030436+0.00022247i,0.000159-0.00074672i,-0.00051993-0.00054263i,-0.0013583-0.00029179i,-0.00095963-0.00017811i,0.00019309-0.00029855i,-0.0002166-0.0007488i,-0.00087129-0.00096597i,-0.00045444-0.0013708i,-0.000425-0.0010123i,-0.00089449+0.00014554i,-0.0014223+7.9724e-05i,-0.00082816-0.00018026i,3.0172e-05-7.6353e-05i,7.8012e-05+0.00014596i,0.00060979+0.00040584i,0.0006072+0.0001055i,0.00042599-0.00036236i,9.8223e-05+6.5567e-05i,-0.00013511+0.00012707i
0.0010021+0.0010869i,0.00053702+0.0013068i,0.00023341+0.00061532i,0.00014745-0.00061386i,-0.00020024-0.0015398i,-0.00067831-0.0005476i,-0.0010151-0.00023913i,-0.000817-0.00087438i,-0.00069417-0.0015971i,5.5122e-05-0.00172i,0.00066187-0.0012755i,0.00095509-0.0008579i,-8.5122e-05-0.00062615i,-0.00091898-0.00010704i,-4.561e-05+0.00056229i,0.00033211+0.00051627i,-7.2989e-05+0.00049924i,0.00021854+0.00059265i,0.00011821+0.00052917i,0.00023696-0.00039681i,-9.4205e-05-0.00083865i,-0.0010203-0.0003024i,-0.00055331-0.00030436i
0.0013478+0.0024911i,0.0010932+0.0010207i,0.00019317+0.0005407i,-0.0006177+0.0010265i,-0.00057975+0.00061607i,-0.00088877+5.6614e-05i,-0.00089115-0.00069721i,-0.0011217-0.0013539i,-0.0017623-0.00094147i,-0.0011168-0.00050086i,-0.00055483-0.00095313i,-0.0009963-0.0010039i,-0.0011123-0.00058651i,-0.00065798+0.0002861i,-0.00041069+0.000953i,-9.9935e-05+0.00039209i,0.00055729-8.4725e-05i,0.00043526+0.00018858i,-0.00038738+0.00039435i,-0.00087924+0.00048433i,-0.00045086+0.00012038i,-3.6493e-05+0.00011932i,-0.00028888+0.00044849i
0.00073074+0.0029073i,0.00022431+0.0026963i,0.0011418+0.0024709i,0.0015659+0.0014187i,0.00069057-5.8463e-05i,-0.00048625-0.00061193i,-0.00077755-0.00015823i,-0.00071206+0.00018981i,-0.00056671+7.6003e-06i,-0.00080453-0.00063895i,-0.00051677-0.0019573i,-0.00042654-0.0020299i,-0.00079303-0.00092813i,-0.00025939-0.00072259i,0.00047714-0.00041816i,-4.2898e-05-7.0001e-05i,-0.00052501-6.0629e-05i,0.00012095-1.0274e-05i,0.00098254+9.8928e-05i,0.00078658+8.3601e-05i,0.00037195-0.00023718i,0.00016884-0.00047776i,-0.00021763-0.00040584i
-0.00049092-0.00069923i,-0.00031777-0.00069882i,-0.0010995-0.00084016i,-0.001315-0.0014538i,-0.00090706-0.0011076i,-0.00061432-0.00050795i,-0.00020193-0.00063688i,-0.00059087-0.0015063i,-0.0013649-0.0020892i,-0.00090772-0.001372i,-0.00043185-0.00077207i,-0.00074935-0.00044645i,-0.00074893-0.00016368i,-0.00073748+0.00010767i,-0.0010285+0.00018202i,-0.00067992-9.174e-05i,-0.00015037+0.00028503i,-0.00063502+0.00029233i,-0.0012394-5.0976e-05i,-0.0011462-0.00015758i,-0.00046808-0.00025405i,-0.00015582-0.00024468i,-0.0002179-0.00064689i
0.00037222+0.0015558i,0.00048212+0.0010318i,0.00080261+0.000319i,0.001313+0.00027918i,0.0002109+0.00046933i,-0.00087615+0.00030482i,-0.00074751+0.00015844i,-0.0007997+0.00088828i,-0.00091108+0.00070869i,-0.0012671-0.00048718i,-0.0010985-0.0010049i,-0.00010329-0.0010741i,0.00023723-0.00017603i,-4.3823e-05+0.00083335i,0.00030414+0.00066322i,0.00090921+0.00052388i,0.0014323+0.00078544i,0.00076584+0.00077444i,-0.00017387+0.00045429i,-0.00027774+0.00048132i,0.00052421+0.00057221i,0.00045221+0.000504i,0.00028215-0.00016408i
-0.0014273-0.00046517i,-0.00049579-0.00059613i,-0.0018508-0.0012655i,-0.0026083-0.0011846i,-0.00251-0.00016964i,-0.0014166-7.0727e-05i,-0.0010163-9.8509e-05i,-0.0015648-9.6774e-05i,-0.0017908-0.0010423i,-0.0005121-0.0011801i,0.00029799-0.00048551i,1.0337e-05+0.0002746i,-0.00056962+0.00095255i,-0.00050537+0.00082684i,0.00012799+0.0008793i,6.4014e-05+0.00059207i,-0.00037457-0.00058872i,-0.00071699-0.00068541i,-0.00053667+0.00044551i,-0.00025776+0.00084542i,-0.0002127+0.0005273i,-0.00032356+0.00013272i,-0.00014625+0.000221i
0.0017254-0.00021688i,0.00034031+0.00077748i,-0.0010036+4.9528e-05i,-0.0018363-0.0017297i,-0.0017137-0.0021391i,-0.0012365-0.0013982i,-0.00075007-0.0012394i,-0.00012097-0.0014626i,-0.00031687-0.0015311i,-0.00024189-0.0013757i,-0.00078376-0.0010794i,-0.0012821-0.00055207i,-0.00066827-0.00041618i,-0.00016637-0.00026878i,0.00082577+0.00040132i,0.0015245+0.00064447i,0.0011906+0.00016439i,0.00057135+0.00015212i,0.00035211+0.00098729i,0.00038826+0.00016532i,0.0004716-0.00053265i,0.00031927-0.00020009i,-0.0001302-0.00064834i
0.0015832+0.00099596i,0.0021518+0.00013848i,0.0018097-0.00088092i,0.00051645-0.0023608i,0.00017246-0.0027296i,-0.0006242-0.0010923i,-0.00090654+0.00013999i,-0.00074066+3.6011e-05i,-0.00040865-0.0010308i,0.00024053-0.0016191i,-0.00010764-0.0010799i,-0.0012485-0.00016605i,-0.0020262+0.00025562i,-0.0011709+0.00069192i,-0.00041188+0.0013324i,-0.00020629+0.0017309i,9.2491e-05+0.0012327i,0.00033009-0.0001405i,0.00107-0.00010157i,0.0013055+0.0011985i,0.0017173+0.00091083i,0.0016927+2.1909e-05i,0.00052201+5.0251e-05i
0.00055462-0.0014663i,-0.00046647-0.0021008i,-0.00069756-0.0028535i,-0.0010327-0.0023319i,-0.0014417-0.0011852i,-0.0017286-0.00088873i,-0.0011665-0.00074211i,-0.00089996-0.00042284i,-0.00098514-0.00074224i,-0.00095499-0.00091095i,-0.00071369-0.00074062i,-0.0010571-0.00042302i,-0.0011061+1.4208e-05i,-0.00052574+0.00027003i,3.8936e-05+0.00028968i,0.00012126+0.00085529i,0.00031163+0.0013812i,0.0003564+0.00084878i,0.00026316+0.00037076i,9.7507e-05+0.00042924i,0.00025941+0.0011017i,9.7142e-05+0.00027866i,-0.00018967-0.0011473i
