-0.00556-0.00095376i,-0.0038936-6.9428e-05i,-0.0036055+0.0016527i,-0.0019229+0.0025917i,-0.00027143+0.0031543i,-0.00023878+0.0027656i,-0.000551+0.0022557i,-0.00034819+0.0020897i,0.00075935+0.0016397i,0.002162+0.0013976i,0.0023823+0.0012396i,0.0014894+0.00018612i,0.00052819-0.0001126i,0.00034576+0.00071595i,0.00052195+0.00092901i,-3.4613e-05+0.0012696i,-0.00016711+0.0006459i,0.00097067-0.0003477i,0.00070678-0.00040594i,-0.00042237-0.0003079i,-0.00039168-0.00034767i,-0.0004383+6.3655e-05i,-0.00082763+0.00042104i
0.00018169-0.0041876i,-0.00018882-0.0020559i,-0.00083132-0.00040216i,-0.00059426+0.0004421i,-0.00024828+0.00053624i,-0.00032987+0.00054079i,-6.2361e-05-0.00038103i,0.00032337-0.0007635i,0.00084939-0.0002203i,0.00060354-8.7062e-05i,8.6096e-05+0.00029595i,-0.0001202+0.00078673i,0.0002064+0.0010665i,0.00034641+0.00058501i,-0.0004914+1.4608e-05i,-0.00060298-1.17e-05i,-0.00021121-0.00045073i,-0.00042552-0.00049117i,-0.000714-0.00049007i,-0.0013171-0.00061127i,-0.0012328-0.00011558i,0.00011782+0.00023659i,0.00064949+0.00073592i
-0.0015845-0.0010419i,-0.00118-0.00054481i,-0.00087642-0.00026691i,0.00084557-0.00018707i,0.0012181-5.9991e-06i,0.00070907+3.7301e-05i,-3.9179e-05+0.00063045i,-0.00018886+0.0011511i,0.00021589+0.00064569i,0.00043823+8.8205e-05i,0.00035457+0.0003216i,0.00011419+0.0003333i,0.00050999-3.9604e-05i,0.00083211-0.00015134i,0.00069389+0.00032521i,0.000169+0.00028935i,-0.00056926-0.00040308i,-0.00094271-0.00044836i,-0.00056093+0.00097535i,4.6221e-05+0.0014701i,0.00036662+0.0001805i,6.646e-05-0.00029341i,-0.00045067+5.3341e-05i
0.00022108+2.8751e-05i,0.00015964+0.0015498i,-2.71e-05+0.0022929i,0.00038885+0.0020464i,0.00038297+0.0006692i,0.00063465-0.00099612i,0.00022214-0.00091074i,-0.00062345-0.00010768i,-0.00028419+0.0003419i,0.00036721+0.0007832i,0.00022498+0.00064503i,-0.00059781+0.00019427i,-0.0011346-0.00015374i,-0.00068332-0.0005066i,-0.00030905-0.00055147i,-0.00011296-0.00011879i,-4.5862e-05+6.0175e-05i,-0.00028235+0.00052405i,-0.00015158+0.00027672i,-0.00014511-2.2321e-05i,-0.0006805+3.1091e-05i,-0.00033859-0.00023325i,0.00013433-0.00029922i
-0.00093251-0.00024473i,-0.00016669-0.0006464i,0.00033935-0.00080482i,0.0012159-0.00030219i,0.0019008-0.00010286i,0.0017077-0.00076247i,0.00083056-0.0013493i,0.00026985-0.00070249i,0.00023411+0.0008515i,-3.184e-06+0.00076422i,0.00031443-0.00044499i,0.00071325-0.00059606i,0.0002461-0.00017338i,-0.00015616-0.00039866i,0.00023431-0.00053975i,0.00081026-0.00010094i,0.0011014+0.00019451i,0.00070098+0.00027022i,-0.00024781+0.00020948i,-0.00032696-0.00030346i,0.00037599-0.00046556i,0.0002017-8.8494e-05i,-0.00071848+6.1614e-05i
-0.00055827-0.00095614i,-0.00029664-0.00072582i,0.0001779-0.00061491i,0.00054743+8.9549e-05i,0.00045134+0.00024374i,0.00017199+4.5003e-06i,0.00032301-0.0004198i,0.00024204-0.0015078i,0.00099425-0.0016082i,0.00085766-0.00053283i,0.00052599-0.00094789i,0.00046906-0.0011657i,-2.9251e-05-0.00073834i,-0.00065703-8.2694e-05i,-0.00078213+0.00011917i,0.00019676-0.00035529i,0.00031374-0.00036851i,9.6201e-05-0.00015279i,-0.00058684-3.6807e-05i,-0.0010149-2.3688e-05i,-0.00046071+0.00027213i,5.9302e-05+0.00029609i,0.00059741-0.0002338i
0.0012637+0.00031302i,0.0009115+0.00010497i,0.00058761-0.00082994i,0.00034735-0.00081051i,0.00041942-0.00078067i,0.00025508-0.00080316i,-8.4909e-05-0.00098653i,-9.4815e-05-0.00045907i,-0.0003821+0.00012318i,-0.00011714+7.7562e-06i,0.00080634+8.1956e-05i,0.00087891+0.00047631i,0.00012167+0.0004361i,0.00013026+1.0182e-05i,0.0010206-0.00016752i,0.00057628-7.5128e-05i,-0.00028269-0.00011928i,-0.00027884+2.4813e-06i,5.0677e-05+2.2464e-05i,0.00030472-3.9638e-05i,0.00035899-0.00034881i,0.0003045-0.00010348i,0.0003999+0.0002595i
0.0011653-0.00084091i,0.00010492-0.0010017i,-0.00071323-0.00018774i,-2.9348e-05-0.00056006i,0.00050068-0.0015287i,-0.00018851-0.0013438i,-0.00029542-0.00065768i,-0.00023404-0.00068217i,0.00028904-0.00043633i,0.00071805+0.00011166i,0.00080689-0.00032668i,0.00071884-0.00077647i,-0.00038922-0.00039051i,-0.0011189-0.00012952i,-0.00085227+0.0001012i,-0.00020633+0.00048596i,-0.00017266+0.00049686i,0.0002525+0.00029337i,0.00051148+0.00047805i,6.0605e-05+0.00061709i,-0.00020089-0.00047872i,-0.00070856-0.00059815i,-0.0012469+0.00011395i
-0.00048281-0.0010072i,-0.00059518+0.00050215i,-0.0012127+0.0011715i,-0.00092093+0.0019634i,-0.00046063+0.0013819i,0.00027007+0.00053124i,0.0003892+0.00014507i,-0.00036572+0.00014364i,-0.00068875-0.0001064i,-0.00081044-0.00049304i,-2.9677e-05+0.00011973i,0.00059846+0.00059668i,0.00017217+0.00060279i,-0.00046568-0.00039194i,-0.00026579-0.0012845i,0.00024777-0.00039202i,-0.00017261+0.00014342i,-0.00010569-0.00035541i,-0.00010295-0.00051903i,-0.00042332-0.0002971i,-0.00036112+0.00018381i,-0.00051001+0.00014384i,-0.00051963+0.00034306i
0.00028313+0.0027713i,-3.431e-05+0.0012833i,0.00058406+0.00029592i,0.0013124-0.00096744i,0.0017954-0.0013271i,0.0023546-0.0015546i,0.0017019-0.0013761i,0.00091252-0.00032827i,0.0013286+0.00050326i,0.0014234+9.0041e-05i,0.0010285-0.001117i,0.0007231-0.00082714i,0.00064724-0.00041099i,0.00048691-0.0010491i,7.791e-06-0.0013619i,-0.000286-0.00092756i,8.6055e-05-0.00091471i,-0.00053423-0.001425i,-0.00073626-0.00099515i,-0.00015976+8.0996e-05i,6.0025e-05+0.00052086i,0.00028165+0.0002088i,9.9676e-05+4.7164e-05i
0.00069481+0.0015158i,0.00062599+0.0016968i,0.0016469+0.0014119i,0.0032587+0.00052939i,0.0037772-0.00038165i,0.0023803-0.0005166i,0.0009902-0.00045584i,0.00085485-0.00024845i,0.00034915+2.9661e-06i,0.00073158+0.00011589i,0.0010413+0.00018729i,0.00077003-8.1327e-05i,0.0010613-0.00057212i,0.00040254-0.00079197i,6.4857e-05-0.00034999i,-6.264e-05-4.1958e-05i,-0.00048837-0.00018167i,-0.00042921-0.0003095i,-0.00047658-0.00047896i,-5.2551e-05-0.0001337i,0.00083655+0.00049414i,0.0005773+0.00022405i,-0.00053241-0.00012007i
