-3.5677e-05+0.0013153i,-0.00023628-0.00032178i,-0.0025402-0.001061i,-0.0027904-0.00061503i,-0.0021889-0.00050355i,-0.0024998+0.00064063i,-0.0025475+0.0019632i,-0.00086147+0.0018353i,0.0010824+0.00012505i,0.0013662-0.00067632i,0.00038415-0.00011811i,-0.00022657-0.00021349i,-0.00014021-0.00089969i,-8.6766e-05-0.00079316i,7.1936e-06-0.00015929i,0.00052133-0.00031287i,0.00085521-0.00031616i,0.001084-1.1316e-05i,0.00090711-2.863e-05i,0.00019587+0.0001269i,-0.00041783+0.00035349i,-0.00059497-0.0001517i,-0.00083385-8.1649e-06i
0.00032521+0.00062821i,0.00040494-4.8111e-05i,0.00095205-0.00032387i,0.00075609+0.00030503i,-0.00036356+0.00088355i,-0.00058004+0.0014045i,-0.00062629+0.0009938i,-1.4667e-05-0.00038591i,0.00092308-0.00098619i,0.00046742-0.00060581i,-0.00071325-0.0006466i,-0.00052738-0.00049499i,0.00044019+4.1567e-05i,0.00043672+0.00023535i,0.00027899+8.9723e-05i,-8.6834e-05-0.00037108i,-0.0002723-0.00036579i,-8.9691e-05+0.00014245i,0.00075404+0.0004408i,0.0010023+1.3957e-05i,0.00045544-0.00037366i,7.9325e-05-0.00028207i,-0.00039826-1.352e-07i
0.00070047+0.00012032i,0.0010642+0.0015948i,0.0017423+0.0020225i,0.0010565+0.0009091i,0.00022246+0.00058801i,-9.9586e-05+0.00062166i,-0.00059287+0.00037297i,-0.00064483+2.3028e-05i,-0.0003942+0.00010101i,-0.00021763+0.00029362i,-0.00044209+8.1122e-05i,-4.0413e-05-2.6085e-05i,0.00069951+0.00053616i,0.00026554+0.00056559i,0.00027996+0.00034029i,0.00011801+0.00025226i,0.00015123-0.00047959i,0.0003602-0.00026958i,-0.00086664+3.3803e-05i,-0.00083363-0.00040711i,0.00046339-0.00060305i,0.00023473-0.00088811i,-0.00020337-0.00038878i
0.00010766-0.00043317i,-0.00059151-0.0017141i,-0.0010671-0.002013i,-0.00082819-0.0029602i,-0.00027149-0.002913i,-0.00039804-0.0010416i,-0.00089035+0.0004034i,-0.0012573+0.0003173i,-0.00062961-9.7478e-05i,-0.00043054+9.9386e-05i,-0.00085308+0.00065452i,-0.00033975+0.0013898i,-0.00012758+0.0016817i,-0.00011126+0.0013576i,5.8532e-05+0.0012835i,0.00041707+0.0014561i,0.00079268+0.0010606i,0.00055831-5.6294e-05i,0.00066305-0.00091528i,0.00064141-0.00099863i,-2.656e-05-0.00035687i,-0.00028154+0.00049402i,-0.00056974+0.0011657i
-0.0003111-0.00030422i,-0.0011931+0.00016912i,-0.0020223-0.0001544i,-0.0029597+0.00044711i,-0.0029065+0.0017603i,-0.0017343+0.0022948i,-0.00052366+0.0014665i,-2.6087e-05+0.00022697i,0.00025317-0.00058672i,-0.00010048-7.5032e-05i,-0.0010283+0.00089013i,-0.00039601+0.00040981i,9.8147e-05-0.00043015i,-0.00034196-0.00019855i,-0.00064632+0.00038111i,-0.00035078+5.0824e-05i,0.00026971-0.00022754i,0.0002267-4.5517e-05i,0.00039659-9.4363e-05i,0.00076475-6.7953e-06i,0.00025115+0.00035563i,4.7513e-05+0.0005098i,-8.9254e-05-0.00028735i
0.00060075-0.00062469i,0.00043203-0.0019175i,-0.00033632-0.0035867i,-0.001236-0.0032917i,-0.00082116-0.0013648i,-0.00024875+0.000425i,-0.00047029+0.00021388i,-0.00018725-0.00050059i,-0.00027149-0.0013688i,-0.00074053-0.0010556i,-0.00074236-0.00015605i,-0.00021853+0.00024706i,0.00033642+0.0003608i,0.00041769+0.00017067i,0.00038677+0.00045075i,-0.00025989+0.0016122i,-0.00026282+0.0015297i,8.8022e-05+0.00015001i,0.00029648-0.00011739i,0.00038289+0.00016665i,0.00013216-3.854e-05i,0.00041349-0.00057031i,0.00046543-6.6539e-05i
-0.0013847-0.00081962i,-0.0019511-0.00056232i,-0.0013914-0.00026059i,-0.00089895+0.00030142i,-0.00032848+0.00067359i,-0.00046226+0.0012397i,9.3367e-05+0.0013054i,0.0003044+0.0012511i,-9.8947e-05+0.0006928i,-0.00024029+3.0336e-05i,3.9703e-06-4.3002e-05i,-0.00026689+0.00054673i,-0.00057089+0.0011033i,-0.00035106+0.001097i,-0.00031021+0.0010041i,-4.7975e-05+0.00053089i,0.00044816-2.4819e-05i,0.00068952-0.00012213i,0.00054771-0.0001765i,0.00065172-0.0007327i,0.00065454-0.00036626i,0.00068645+0.00031207i,0.0010266+0.00025703i
0.00055843-0.0010426i,0.00042671-0.00066599i,0.00073022-0.00053061i,0.00052649+0.00017142i,-1.3294e-05+0.0007677i,0.00035105+0.0011465i,0.0010015+0.00066007i,0.00029187-0.00058183i,6.896e-05-0.0013736i,0.00048908-0.0014i,0.00070052+3.2573e-05i,0.0012221+0.0011645i,0.0011152+0.00084468i,0.0001276+0.00017798i,6.4958e-05-0.00041959i,0.00059623-0.00022257i,0.00045806+0.00012573i,4.6781e-05+0.0001196i,-0.00019857-0.00023412i,-0.00030649-0.00055475i,-0.0008374-0.00095935i,-0.0011568-0.0010498i,-0.00098199-0.00050831i
0.00074906-4.4753e-06i,-0.00010001+0.00067602i,-0.00039542-0.00013497i,-0.00074846-7.8116e-05i,-0.00096224+0.00040479i,-0.00050132+0.00062011i,0.00023822+0.0005151i,-8.71e-06-0.00058819i,-0.00038202-0.0011554i,-0.0004857-0.0010134i,-0.00045126-0.000887i,3.9413e-05-0.00044816i,0.00030136-0.0002134i,0.0005524+8.212e-05i,0.00050066+0.00047305i,-0.00038345+0.00050035i,-0.00024497+0.00076937i,0.00028079+0.0016745i,0.00087383+0.0016938i,0.0012613+0.00042546i,0.00066708-9.7906e-05i,-0.00024105+0.00053915i,-0.00037584-0.00024344i
-0.00072895+0.00048241i,9.8836e-05-0.00057608i,0.00076057-0.001136i,0.00050639-0.00061239i,0.00044516+0.00037513i,0.00029153+0.0012347i,0.00071588+0.00091007i,0.00088363+0.00068636i,0.0001341+0.00031272i,-8.084e-05+5.9006e-05i,-0.00031166+0.00043646i,-0.00056133+0.00074942i,2.2566e-05+0.0011853i,-0.00039642+0.001067i,-0.0007355+0.0011673i,-0.00011264+0.00077639i,-0.00022405-1.2369e-05i,-0.00061649+0.00047735i,-0.00047206+0.0004515i,-5.7022e-05-6.6418e-05i,-1.0102e-05-0.00012846i,-0.00014331-0.0005188i,-0.00012283-0.00030976i
0.0016665+0.0013805i,0.0021456+0.0013598i,0.0025538+0.00016539i,0.0015869-0.00094228i,-0.00016871-0.00025142i,-0.001001+0.0010834i,-0.0013084+0.0010365i,-0.00079553+0.00020997i,-8.5653e-05-0.00085137i,0.00087511-0.0010688i,0.00068982-0.00051234i,-0.00048525-7.4329e-05i,-6.5684e-05-4.445e-05i,0.00029585-0.00021326i,-0.00016506+0.0003187i,0.00010736+0.00092518i,0.00032019+0.0012039i,0.00021968+0.0010177i,0.00048113+0.00071398i,0.0005999+5.7548e-05i,0.00084271-0.00072184i,0.00044595-0.00055516i,-0.0004231+6.6667e-05i
