-3.5677e-05+0.0013153i,-0.00023628-0.00032178i,-0.0025402-0.001061i,-0.0027904-0.00061503i,-0.0021889-0.00050355i,-0.0024998+0.00064063i,-0.0025475+0.0019632i,-0.00086147+0.0018353i,0.0010824+0.00012505i,0.0013662-0.00067632i,0.00038415-0.00011811i,-0.00022657-0.00021349i,-0.00014021-0.00089969i,-8.6766e-05-0.00079316i,7.1936e-06-0.00015929i,0.00052133-0.00031287i,0.00085521-0.00031616i,0.001084-1.1316e-05i,0.00090711-2.863e-05i,0.00019587+0.0001269i,-0.00041783+0.00035349i,-0.00059497-0.0001517i,-0.00083385-8.1649e-06i
0.00060418+0.0013994i,0.0018224+0.0021698i,0.0027586+0.0017001i,0.0028996+8.0123e-05i,0.0021868+0.00035681i,0.00010537+0.00066065i,-0.00033063+0.00048246i,0.00026275+0.00041452i,6.4606e-06+9.4932e-05i,0.00020618-5.3911e-05i,0.00020208+0.00059763i,0.00073243+0.00057778i,0.0012494-5.648e-05i,-3.2688e-05+8.9987e-05i,-0.0008686+0.00022241i,-0.00051725+0.00024539i,-8.2621e-05+0.00044633i,-0.0001293+0.0005935i,0.00026156+0.00033165i,0.00017812-0.00012959i,-0.00061153-0.00035605i,-0.0014431-0.00029839i,-0.00098492-0.00041287i
-0.0010666+0.0002069i,-0.00065184-0.00012611i,0.0005727-0.00030739i,0.0011369+8.7926e-05i,0.00039254-7.2872e-06i,-0.00092714-0.00021112i,-0.00083545-0.00026306i,-0.00049267-0.0012017i,-4.0977e-05-0.001484i,0.00097653-0.0007107i,0.0012492-5.5705e-05i,0.0011077+0.0010293i,0.00083545+0.00076269i,0.00038319-0.00032146i,-0.00027452-0.00090467i,-0.00066117-0.00092804i,-0.00027943-0.00047708i,-0.00025735-0.00031108i,-2.9058e-07+4.9751e-05i,0.00025063+0.00031013i,-4.6316e-05-1.0422e-05i,0.00023873-0.00063624i,0.00064211-0.0003083i
0.0012141-0.00031581i,0.0019008+0.0013041i,0.0012972+0.0019732i,0.0002731+0.00093987i,0.00010954+0.00064445i,-5.715e-05+0.00067745i,-9.5226e-06-7.9666e-05i,0.00053738-0.00054578i,0.00072404-0.0010411i,-0.00033048-0.0010558i,-0.00071032+7.7237e-05i,-0.00052543+0.0011457i,-0.0005913+0.0012497i,-0.00018285+0.00073723i,-0.0001604+0.00069899i,0.00020969+0.00068451i,0.00057572+0.00028757i,0.00029412+0.00037819i,0.0002298+7.4468e-05i,0.00036661-0.00036156i,7.0001e-06-0.00074946i,0.00012526-0.0007265i,9.4406e-05-0.00050138i
0.001925+0.0010992i,0.0016796+0.00077469i,0.0014467+0.00065712i,0.0017219-0.00049567i,0.0016605-0.00067448i,0.00045634+0.00043234i,-0.00062959+0.0017212i,-0.00087923+0.0014936i,-0.00027434+0.0005658i,-0.00069595+0.00023865i,-0.0011376+2.0505e-05i,-0.00010871+6.9187e-05i,0.00071282+0.00018417i,0.00093669+0.00044806i,0.0009167+0.00083228i,0.00053097+0.0010731i,0.0008966+0.00071775i,0.00079442+0.00047839i,0.00028706+0.0004311i,0.00014049-0.00010745i,-0.00018442+6.4826e-05i,-0.00026189+0.00033041i,-0.00029064-4.6787e-05i
0.00030869+0.00070778i,-6.4975e-05+0.00039643i,0.00080021+0.0011897i,0.0021964+0.0022544i,0.0015826+0.0022502i,0.00032376+0.0012795i,3.3603e-05+0.00018801i,-0.00013476-0.00048246i,0.0004173-0.0006886i,0.00069112-6.5682e-05i,-7.5648e-05+0.00086168i,-0.00033935+0.0011159i,0.00036661+0.00097867i,0.0004084+0.0004498i,-0.00069472-0.00015164i,-0.0010592-6.7568e-06i,-0.0005111+0.00012238i,-0.00031072+0.00011966i,6.3779e-05+0.00078925i,0.00057557+0.00048067i,0.00044332-0.00044708i,0.00038371-0.00085493i,-0.0002186-0.00011856i
0.00023607-0.0023345i,0.00071837-0.002722i,0.00093439-0.0034257i,-0.00045388-0.0030438i,-0.0016222-0.0022642i,-0.001243-0.00051371i,-0.00038618+0.0008528i,8.4763e-05+0.0010885i,-4.0796e-05+0.00019261i,-0.00027844-0.00059194i,-0.00055805-0.00053206i,-0.00069848+0.00044931i,-0.00039371+0.00067287i,-0.00050597+0.00017554i,-0.0005181-3.5027e-05i,4.4512e-05+0.00023343i,0.00015687+0.0004i,-0.00034224+0.00048771i,-0.00024993+0.00021875i,-0.00015951+0.00032233i,-0.00018247+0.00019024i,-0.00013112-0.00053957i,-0.00041555-0.00042376i
-0.00091949-0.00078984i,-0.001376-2.3751e-05i,-0.00099164+0.0021983i,-0.00028646+0.0019989i,-0.00036308+0.00056774i,-0.0010706+0.00025142i,-0.00048261+0.00050097i,0.00028097-0.00012733i,0.00054506-0.00087213i,0.0003101+6.1071e-05i,-0.00032476+0.00072409i,-0.00070439+0.00020222i,-0.00045763-0.00033686i,0.00053809-9.7072e-05i,0.00068445-0.00016079i,2.7341e-05+0.00012214i,-0.0001729+0.00097681i,-0.00018003+0.0018748i,-0.00023451+0.0010329i,-0.00017418-0.00076302i,-0.00020643-0.00088483i,-0.00049369+6.0344e-05i,-0.00038024+0.00081469i
0.0013836-0.00039488i,0.00079175-0.00010994i,0.0016626-0.00047316i,0.002225-0.00018069i,0.0011569+0.00051557i,0.00031341+0.00047117i,0.00026544+0.00022291i,-0.00026306+0.00031746i,-0.0004715+0.00021053i,0.0004086-5.8473e-05i,-2.6996e-05+0.00081916i,-0.00045411+0.00084174i,-0.00020534-0.00048968i,-0.00016032-0.00082497i,-0.00081022-0.0002917i,-0.0010273+6.5186e-05i,5.2676e-05-1.2857e-05i,0.00076094+0.00042039i,0.00078848+0.00069575i,0.0010286+0.00046771i,0.00050731+7.76e-05i,-0.00037724-0.00089488i,-0.00033283-0.00079781i
-0.0026466+0.00045441i,-0.0023973+0.00077551i,-0.0020367+0.0015142i,-0.0013586+0.0019212i,-0.00021373+0.0017481i,0.00031513+0.0010218i,0.00020222+0.00024886i,0.00011101+0.00027054i,-0.00050861-0.00013104i,-0.00049657-0.0006925i,-0.00075451+0.00019396i,-0.00069661+0.00062083i,2.9354e-05-1.2991e-05i,-0.00020913+0.00033591i,-0.0013016+0.00031647i,-0.00098894-0.00020248i,-0.00060262+6.4453e-05i,-0.00024986-0.00054442i,0.00018796-0.00079163i,-0.00075284-0.00060196i,-0.00078422-0.0008035i,-0.00052265+3.1863e-05i,-0.00018827+0.00037854i
0.00088282-0.0001599i,0.00094337+0.00018283i,0.00068255-3.7202e-05i,-0.00034292+0.00034623i,-0.0014197+9.1437e-05i,-0.00086617-0.00041617i,0.00040445-0.00016868i,0.00090017-0.00066121i,0.00051848-0.00086176i,-0.00038905-0.00035733i,-0.0011776+0.0002076i,-0.00087555+0.00017127i,-0.00029158-9.5588e-05i,-0.00010689-0.00055583i,-0.00054434-0.00024683i,-0.00032694+0.00022363i,-1.8549e-05-0.00037088i,-0.00051722-0.00022579i,-0.00075238+0.00062872i,-0.00085042+0.00077759i,-6.2021e-05+6.7922e-05i,0.00084135-0.00026968i,0.00089783+0.00024694i
-0.0010683-0.0015005i,-0.00043818+7.7429e-05i,0.00043739+0.002202i,-0.00084059+0.0027436i,-0.0015568+0.0015709i,-0.00039511+0.00022757i,0.00021115-0.00041565i,0.00051634-0.00073486i,0.00087731-0.00062343i,0.00063828+8.8764e-05i,0.00059977+0.00030897i,0.0004322+9.9812e-05i,0.00037395+3.3646e-05i,0.00070902-5.0674e-05i,0.00063597+0.00049501i,0.00013306+0.001017i,-0.00010498+0.00033683i,-0.00014811+0.00016704i,-0.00012101+0.00012848i,0.00022064+9.7023e-05i,0.00012289+0.00033855i,-0.00015382+0.00055767i,2.2923e-05+0.00035737i
0.00020686-0.0019505i,-0.001869-0.0019236i,-0.0027827-0.0020856i,-0.0030679-0.0015515i,-0.0036352-0.00012439i,-0.0025541+0.0013372i,-0.00068419+0.0016968i,2.6137e-05+0.00053704i,7.1623e-06-0.00024972i,-0.00096929-0.00019914i,-0.0009135+0.00048264i,0.00034128+0.001034i,0.00063578+0.00085325i,-0.00034623+0.00063715i,-0.00057763+0.00084798i,-6.8925e-06+0.0010772i,-0.00014929+0.00050628i,-0.00013101-0.00035701i,0.00041494+0.00039547i,0.0004023+0.00064623i,0.00028236-0.00024036i,0.000192-0.00094765i,-0.00065392-0.00018781i
0.0013719-0.0011561i,-7.0565e-05-0.0010912i,-0.0010573-0.0010864i,-0.0017024-0.00093505i,-0.0014229-0.00044094i,-0.001567+0.00091465i,-0.0012002+0.001443i,5.4599e-05+0.0011119i,0.00082557+5.1797e-05i,0.0007836-0.00024799i,0.0003978-3.5691e-05i,-0.00048992+0.0011599i,-0.00064955+0.0016398i,-0.0005189+0.00078776i,-0.001192+0.00048818i,-0.0015075+0.00048163i,-0.00081529+0.0002204i,-0.00020893+0.00035814i,-1.4289e-05+0.00046998i,-2.2433e-06+2.2801e-05i,0.00048971-0.0005001i,0.000309-0.00017838i,-0.00030301-1.7057e-05i
2.2853e-05+0.0010105i,0.00024665+0.00020437i,0.00066668+0.0004238i,0.0012871-0.00013997i,0.0013025-0.00042412i,0.00016927-0.00031724i,-8.9442e-06-0.00031142i,0.00026585-0.00061351i,-0.00013266-0.00088196i,-0.00050469-0.00051997i,-0.00039614+0.00061429i,-0.0002615+0.00099035i,0.00016693+0.00043196i,0.00097548-4.7113e-05i,0.0012335-0.0001451i,0.0010628+0.0004851i,0.00051657+0.001063i,0.00041182+0.0013196i,0.00015512+0.0010104i,0.00033031+0.0010598i,0.00043102+0.0011364i,0.00060341+0.00012526i,0.00049377-0.0001924i
0.0018157+0.00062437i,0.0010059+0.0013785i,0.00050887+0.0011481i,0.00087069+0.00069633i,0.00017328+0.00090126i,-0.00056823+0.0012552i,-0.00029992+0.00091492i,0.00066367+8.878e-05i,0.00063178-0.00035108i,5.7883e-05-0.00022239i,-0.0003554+8.9797e-05i,2.8858e-05-0.00019204i,0.00046087+0.00026639i,-9.0298e-05+0.00061874i,-0.00047653+0.0011203i,-0.00037154+0.0012363i,-2.8943e-05+0.00024904i,0.00025854+0.00030235i,-0.00028454+0.00038421i,-0.00078117-1.3076e-05i,-0.00019402-0.00074541i,0.00014285-0.0012013i,-0.00025649-0.0013776i
-9.7443e-05-0.0020094i,-0.001045-0.00016952i,-0.0016672+0.00081816i,-0.00091397+0.00088594i,0.00016235+0.00058424i,-5.5456e-05+0.00061957i,-0.00055008+0.0010066i,-0.00024679+0.00076119i,0.00036985+0.00035009i,0.00019562+0.00020223i,-0.00020658+0.00042117i,-0.00062542+0.00088216i,-0.00037152+0.00050804i,-0.00023041+6.9066e-05i,-0.00033058+0.00013148i,-0.0001851+0.00047208i,-8.8105e-05+0.00024254i,0.00052247-8.5756e-05i,0.00054794+0.00062919i,-0.00025129+0.00079713i,-0.00081582+0.00017279i,-0.00042106-0.00016397i,-0.00026428+0.00047401i
-0.0009881-0.00046494i,-0.00071267-0.00062391i,-0.00010687-0.0007661i,0.00028027-0.00047266i,-0.00014269+9.6995e-05i,-0.0011537+0.0011036i,-0.00083263+0.0012776i,0.00034715+0.00025693i,0.00010548-0.0004062i,-0.0010445-9.7806e-05i,-0.0011045-0.00012041i,-0.00021574+0.0005033i,0.00020917+0.0011362i,2.2247e-05+0.0007728i,-0.000352+0.00029474i,-3.1831e-05+0.00029659i,0.00029411+0.00047778i,-1.6584e-05+0.00013467i,-0.00067165+3.9253e-05i,-0.00022536-1.6909e-05i,0.00041142-0.00086657i,8.9279e-05-0.0012067i,0.00021917-0.0001002i
0.00035023+0.0019458i,0.00011234+0.0026717i,0.00051084+0.0035855i,0.0016335+0.0025457i,0.0017417+0.0016666i,0.00030962+0.00085911i,-0.00011285+3.8307e-05i,0.00026499+7.3214e-05i,0.00017552+0.00044657i,1.6668e-05+0.00063146i,0.00067251+0.00010945i,0.00089841+0.00036055i,0.0014674+0.00040122i,0.0016461-0.00015378i,0.0005862+0.00012667i,0.00028275+0.00027489i,0.00049607+0.00052038i,-2.0796e-05+0.00081197i,-9.4577e-05+0.00086649i,0.00070295+0.00064313i,0.00093575+0.00053212i,0.00056757+0.00024505i,0.00019046-0.00010067i
0.00082249+0.00090482i,0.001802+0.0011535i,0.0017832+0.0018467i,0.0022036+0.0010319i,0.0021493+0.00095735i,0.0011913+0.0006446i,0.00081903-3.7313e-05i,0.00056479+0.0010848i,0.00055211+0.00095239i,0.00048768+0.0001628i,0.00024738+0.00074486i,4.8682e-05+0.00063648i,0.00050878-0.00034905i,0.00044599-0.00067605i,-0.00019854-0.000796i,0.0002649+5.5958e-05i,0.00091164+0.00030782i,0.00074722-0.00022711i,0.00046606+0.00029862i,0.00034872+0.00028645i,0.00020455-6.2158e-05i,0.00014995-3.2207e-05i,-9.6857e-05-5.9155e-05i
-0.00026074+0.0001359i,-0.00074612+0.00063643i,-0.0012033+0.0010352i,-0.00088112-8.656e-05i,-0.00015397-0.00027649i,-0.00011301+0.00045984i,-0.00087279+0.0009206i,-0.00090438+0.00018879i,0.00012541+2.7271e-06i,0.00067353+0.00066928i,0.00069556+0.00039042i,0.00069133-4.6119e-05i,0.00039382+0.00037824i,0.00045339+0.00073279i,0.00035456+0.00078302i,-8.4843e-05+0.00085805i,-2.3852e-05+0.00075922i,0.00015325+0.00063767i,-0.00029284+0.00059253i,-0.00013388+0.00022656i,0.00038337-8.6437e-05i,0.00018391+0.00023227i,-7.7342e-05-0.00050202i
5.9252e-05+0.00033912i,0.0011861-4.7488e-05i,0.0016521+4.9263e-05i,0.0017892+0.00021969i,0.0017817+5.8978e-05i,0.00065634+0.00018831i,-0.00015238+0.0002574i,-0.00045021+2.6534e-05i,-0.00072309-0.00028043i,2.7755e-05-0.00014012i,0.00060476+0.00039537i,-0.00031277+0.00080385i,-0.00062998+0.00070604i,0.00013834+0.00057026i,-0.00031497+0.00054087i,-0.00084766-0.00035151i,0.00020468-0.00077858i,0.00063064+0.00075938i,0.00029271+0.0017333i,0.00037826+0.00075891i,0.00071117+6.6337e-05i,0.00054838+8.161e-05i,0.00015689-0.00047629i
0.00027363+0.0018469i,0.0010174+0.0014141i,0.0015107-0.00019068i,0.0012977-0.00097237i,0.00019937+0.00036863i,-1.6186e-06+0.0014715i,4.2667e-05+0.001071i,0.00028105-0.0001517i,0.00034192-0.0009683i,0.0004369-0.00085243i,0.0004007+4.9028e-08i,0.00054632+0.00050838i,0.00015222+0.00027319i,-0.00034153+5.434e-05i,-7.922e-06+0.00044241i,0.00053209-0.00014868i,0.0011907-0.00084599i,0.00099241+0.00018487i,0.0003175+0.00095675i,0.00059281+0.0010335i,0.00062624+0.00064785i,0.00049888-5.1185e-05i,8.2292e-05-0.0003021i
0.0010195+0.0012984i,0.00078765+0.0021413i,0.00093886+0.0013982i,0.00080687+0.00076374i,0.00042768+0.00067999i,-0.00061309-0.00020403i,-0.00073235-9.9922e-05i,0.00013548+0.00018136i,0.00091717-0.00050417i,0.00095272-0.0011384i,0.00030574-0.00047674i,-0.00014578+0.00096538i,-0.00058923+0.0017476i,-0.00063837+0.00075047i,0.00020023-0.00018275i,0.00031646-5.1732e-05i,-0.00061488-0.00028511i,-0.00055908-0.00035477i,-0.00020634+0.00033918i,-0.00046429+0.00040751i,-0.00066145-0.00051017i,-0.00033117-0.0010919i,-8.5071e-05-0.0014682i
0.0020072-0.0010982i,0.0025217-0.0019376i,0.0029867-0.0030335i,0.0012046-0.0033i,-0.00095579-0.0017483i,-0.0010291-3.696e-05i,-0.00041773+0.00065073i,-8.3286e-05+3.0245e-06i,-0.00011355-0.00034564i,0.00015983+3.5649e-05i,0.0003261+0.00040532i,0.00018911+0.00026917i,0.00070708-0.00024397i,0.00084541+0.00025096i,0.00013863+0.00063009i,0.00045936+0.00063256i,0.001027+0.00057952i,0.00011729+0.00087879i,-0.00037489+0.00070307i,-0.00026019+0.00028147i,-0.00050987+0.00017576i,-0.00036885-0.00035742i,-0.00028253-0.00031362i
-0.00053108+0.0013902i,-0.001048+0.0022611i,-0.0015351+0.0030251i,-0.0013875+0.0028814i,-0.0007037+0.0020489i,-0.00019926+0.0013548i,-0.0004599+0.00060831i,-0.00010529+0.0003446i,0.00078025+0.00069974i,0.00030935+0.00084052i,-0.00093181+0.00080737i,-0.0013219+0.0003093i,-0.00096746-6.3651e-05i,-7.7223e-05+0.00024348i,0.00080587+0.00057645i,0.00082065+0.0003588i,0.00023488-0.00027098i,-0.00027007+0.0001065i,-0.00014601+0.00058335i,0.00028495-0.00014624i,-7.8132e-05-0.00024766i,-0.0011156-0.0002385i,-0.0010162-0.0010717i
0.00075035-0.001203i,0.00042469-0.00094682i,-0.00035411-3.5435e-05i,-0.00054717+0.0011483i,-0.00086329+0.0013372i,-0.00049962+0.00068937i,8.8868e-05-0.00012861i,0.00046216-0.00018592i,0.00034955-3.4369e-06i,8.3995e-05+5.6149e-06i,8.6229e-05+0.00025028i,0.00027273+0.00071663i,-0.00026549+0.00062992i,-0.00093415+0.00043501i,-0.00084101+0.00070465i,-0.00014209+0.00072975i,0.00061709-5.8558e-06i,0.0012684-0.00065743i,0.0011522-0.00020251i,0.00063927+0.00036791i,-0.00021626-9.0029e-05i,-0.00034448-0.00060317i,0.00049971-0.00026477i
0.00079016+0.00015354i,-0.00024676-0.00090865i,-0.00038784-0.0010503i,-0.00020357-0.001013i,-0.00065041-0.0011877i,-0.00078309-0.00020227i,-0.00019401+0.00072982i,0.00022492+0.00053959i,-6.2412e-05+0.00019982i,-0.0002589+0.00019136i,0.00058278+0.00029571i,0.00090567+0.00046469i,0.00032095+0.00088717i,-0.00022316+0.0011141i,-0.00026404+0.0010375i,-0.00050187+0.0012191i,-0.0007232+0.0012509i,9.0153e-06+0.00090639i,0.00048026+0.00046856i,0.00013723+0.00055858i,-0.00033551+0.00057165i,-0.0010824-2.0675e-05i,-0.0012185-0.00059372i
-0.0013261+0.0013675i,-0.00050019+0.0024333i,0.0009634+0.0026688i,0.00029124+0.0020155i,-0.00048308+0.0012777i,0.0003223+0.00028071i,0.00039382+9.3661e-05i,0.00047039-9.0851e-05i,0.00018973+1.1179e-05i,-0.00015541+0.00071497i,0.00073008+0.001056i,0.001202+0.00049832i,0.00057006+3.2537e-05i,0.00045424-0.00049685i,0.00017943+0.00022763i,-0.00054597+0.0011777i,-0.00039656+0.0001075i,-0.00028172-0.00028859i,0.00038861+0.00049858i,0.00091906+0.00041025i,0.00042717-0.00042784i,0.00018972-0.00022705i,0.00036717+0.0002653i
-0.00083095+0.00051633i,-0.0015304+0.00053436i,-0.0016755+0.00077449i,-0.0013477+0.00069483i,-0.00061381+0.0016106i,-0.00034933+0.0011058i,-0.00025184+0.0001416i,0.00025919+0.00042338i,0.00019698+9.2611e-05i,-0.00066357+0.00054521i,-0.0005527+0.0015612i,-0.00017287+0.0013645i,0.00058695+0.001012i,0.0011642+0.00061792i,0.00018803+0.00021097i,-0.00069881+0.00060884i,-0.00049114+0.0010044i,-9.5176e-05+0.0012069i,0.00060215+0.00055555i,0.00096294-0.00042145i,0.00075046+0.00027774i,0.00069559+0.00050399i,0.0012329-0.00010065i
-0.00058195-0.00083894i,-0.00052301-0.00034851i,-0.0014393-0.00035609i,-0.0016129-0.0014452i,-0.00064292-0.00060438i,-0.00030007+0.0010826i,-0.00012029+0.0010264i,0.00043784+7.7645e-05i,0.0004949-0.00044438i,-0.0001311+3.5603e-05i,-0.00066037+0.00013837i,-6.7218e-05-8.1824e-05i,0.00070741+0.00022952i,0.00056332+6.0387e-05i,8.2029e-05-0.00024996i,-7.4248e-05+0.00029294i,-4.7528e-05+0.00069067i,-0.00040885+0.0013323i,-0.0007822+0.0011376i,-0.00047355+0.00045962i,-0.00091045+3.0025e-05i,-0.001221-0.00045677i,-0.0011816-0.00023756i
-0.00066881+0.00031236i,0.00024547+0.00074456i,0.00062954+0.0016526i,-0.000128+0.0017124i,-3.1534e-05+0.0012628i,4.4193e-05+0.0013827i,-0.00024741+0.0011192i,8.932e-05+0.00044181i,-0.00013274+0.00045401i,-0.0007976+0.0005714i,-0.00020971+0.00081468i,0.00072482+0.0007899i,0.00051467+2.1111e-05i,9.4012e-05-0.00065077i,0.00012292+0.00013494i,-2.872e-05+0.0015247i,-0.00029177+0.0019034i,8.1663e-05+0.0016717i,0.00023908+0.0010396i,-0.00098354+0.00071047i,-0.0011946+0.00032946i,-0.00030599-0.0001873i,-7.8772e-05-0.00013184i
-0.0012784+0.001653i,-0.00078848+0.0012855i,-0.0011945+0.0016742i,-0.001104+0.0021379i,9.7774e-05+0.0019187i,2.712e-05+0.0016056i,-0.00063669+0.00068144i,-0.00032209-0.00018424i,1.2524e-06-0.00049857i,-2.9978e-05-0.0003992i,-0.00010129+0.00074553i,-5.6618e-05+0.0017823i,2.7767e-05+0.0014439i,0.00022542+0.00070628i,-0.00047423+0.00051826i,-0.0010602+0.00056358i,-0.00048617+0.00023674i,0.00063922+3.6084e-05i,0.00099972-0.0001263i,0.00094843-0.00013582i,0.00074644-0.00029773i,0.00046114-0.00042637i,0.00027341+0.0002701i
-0.00035866-0.0047071i,-0.001625-0.0033854i,-0.0022822-0.0032752i,-0.0030355-0.0022489i,-0.0035684-0.00046807i,-0.0019138+0.0012581i,-0.0002411+0.0022157i,0.00078937+0.0020592i,0.00078631+0.0014569i,-0.00041682+0.0010025i,-0.0010079+0.0011621i,-0.0008212+0.0011674i,-0.00049764+0.00046921i,0.00035263+0.00030508i,0.00011859+0.00015988i,-5.6185e-06-0.00012675i,0.00040014+0.00043625i,-0.00031135+0.00040112i,-0.00026034+0.00034638i,0.00018565+0.0010293i,-0.00034032+0.00031835i,-0.00033925-0.0002641i,0.000376+0.0002865i
0.0013873-0.002881i,0.00076999-0.002294i,0.0012229-0.0025159i,0.0011183-0.0020356i,-0.00089357-0.00096371i,-0.0016729+7.8893e-05i,-0.00074714+0.00055813i,-9.7673e-05-5.3059e-06i,0.0010302-0.00041056i,0.00077213-0.00060244i,-0.00080684-0.0006166i,-0.0014013-0.00047231i,-0.0013361+0.00018028i,-0.0016507+0.00051976i,-0.0016583+6.1036e-05i,-0.00072037+0.00011959i,-0.00030561+0.00037032i,-0.00064285+0.00014268i,-0.00053084-7.4152e-05i,8.8305e-05-0.00022056i,0.00012214-0.00053498i,-0.00082579-0.00048762i,-0.00058134-0.00047985i
0.0020197-0.0010243i,0.0021616-0.0012139i,0.0024095-0.001932i,0.00094404-0.0028807i,-0.00022479-0.0020689i,-0.0011015-0.00024126i,-0.00094177+0.00074015i,-4.6049e-05+0.0002516i,0.00076732-0.00119i,0.00095133-0.0018707i,-4.7784e-05-0.00093996i,-0.00061834-0.00029904i,-0.00020529-0.00020786i,0.00023016-4.0085e-05i,-2.1595e-05-5.175e-05i,2.7787e-05-0.00010179i,0.00047773-0.0001915i,0.0005111+0.0008095i,-2.6248e-05+0.0013153i,-0.00030968+0.00029751i,-0.00012199-0.00014525i,0.00026543-0.00062928i,-8.0491e-05-0.0010834i
-0.00099064+0.0010274i,-0.00084467+0.00086516i,0.00022424+0.00067746i,-0.00040739+0.0014068i,-0.0010496+0.0015263i,-0.0002093+0.0010642i,0.00040476+0.00056997i,0.00050502+0.0010185i,0.00065231+0.00092549i,0.00053285+0.00038787i,-0.00048486+0.00051543i,-0.00084822+0.00025479i,-0.00028736-0.00018479i,-0.00055882-0.0007055i,-0.00076164-0.00066165i,-1.365e-05+2.963e-05i,0.00061503-0.00036117i,2.5188e-05-0.00063784i,-0.00036098-0.00027679i,0.00017729-2.5171e-05i,0.00012052-5.2831e-06i,-0.00012598-0.00063475i,0.00012097-0.00070471i
0.0012412+0.0020919i,0.00054518+0.0016147i,0.0010241+0.00018668i,0.0018273-0.00065608i,0.0011263-0.0003576i,-0.00052674-0.00029565i,-0.0007867-0.00040435i,0.00011696+0.00034047i,0.00070966+0.00072808i,0.00097158+0.00031226i,0.0014297+0.00051023i,0.0012406+0.00073346i,0.00056217-0.00014222i,0.00023683-8.6761e-05i,-0.00048364+0.00038983i,-0.00096433+0.00043023i,-0.00033305+1.6291e-05i,0.00037382-0.00018904i,8.536e-05+0.00022985i,-0.00069899+0.00013556i,-0.00082589-0.00033471i,-0.0004656-0.00049175i,-0.00017063-0.00061419i
-0.00052128+0.00072873i,-0.00079861-0.00049433i,0.00025198-0.00020464i,0.00031488+0.00067117i,-4.5128e-05+0.00083391i,-0.00033679+0.0010949i,-3.3702e-05+0.00079086i,0.00075281+0.00017292i,0.0004256+0.00010887i,7.7757e-05-0.00057495i,-0.00011773-0.00042213i,-0.00074905+0.00032729i,-0.00036815-0.00021326i,0.0002162-0.00049316i,-0.00020211-0.00044154i,-0.00018493-0.00037656i,-0.00033244-0.00038169i,-0.00037146-0.0001452i,0.00061485+0.00043336i,0.00080777+0.00092665i,-0.00010121+0.00042519i,-0.00034644-0.00051081i,-0.00019102-0.00077255i
0.00021933-0.00029934i,-0.00022153+1.9314e-05i,-0.00080399-0.00015924i,-0.0013246-0.00030009i,-0.0011586-0.00018462i,-0.0011877+0.00022495i,-0.0013293+0.0011934i,-0.00050761+0.0012006i,9.6414e-06-0.00029895i,-0.00015298-0.00043401i,-0.00111+0.00031136i,-0.0014685+0.00022429i,-0.00044291+0.00027033i,-0.000273+0.00015317i,-0.00023655+0.00033362i,-5.4413e-05+0.00088466i,0.00031851+0.00042313i,3.7783e-05+0.00019535i,-0.00063645+0.00044384i,-0.00065517+0.00057369i,-0.0010011+0.00055131i,-0.00084583+0.00040893i,-0.00089412+0.00011927i
0.0023774+0.00065944i,0.0021734+0.00171i,0.0018507+0.00091756i,0.001579-7.5422e-05i,0.0016347-0.00076687i,0.0009366-0.00091144i,-0.00031001-0.00028827i,-0.00042839-0.0010288i,0.00042754-0.0018157i,0.00047484-0.00076127i,0.00016025-6.1427e-05i,-0.00019265-0.00019714i,-0.00024066+0.00017211i,3.5624e-05+0.00047692i,0.0001253+0.00056867i,0.00075727+0.00040664i,0.0010242+5.6474e-05i,0.00096771+0.00047551i,0.00072198+0.0001075i,0.00021057-0.00055868i,0.00028701-0.00011656i,0.00035573+0.00016501i,-0.00013598-0.00014362i
0.00039245-0.0014904i,0.00014714-0.0017134i,-0.00011029-0.0021707i,-0.0004943-0.001584i,-0.0018567-0.00017584i,-0.002304+0.0010961i,-0.0011592+0.00080109i,-8.649e-05+0.0004185i,5.4392e-05+0.00059943i,-0.0005129+0.00072791i,-0.00069564+0.001007i,-0.00059869+0.00035705i,0.00032756+3.9831e-05i,0.0012309+0.00091069i,0.00066527+0.0012879i,0.00024378+0.00092025i,-0.0002686+0.00095794i,-0.00037868+0.0008481i,0.00028373+2.689e-05i,0.00035552-0.00097888i,-4.8534e-05-0.00080539i,0.00029757-0.0004529i,-0.00012384-0.00096963i
-0.0027747+8.2764e-05i,-0.001914+0.00083628i,-0.0016031+0.0022636i,-0.00098989+0.0026846i,-0.00067315+0.0025587i,1.6576e-05+0.0012217i,1.9297e-05+0.00040454i,-0.0011307+0.00026622i,-0.00063915-0.00027211i,0.00033748-0.00019945i,-0.00025627+0.00077412i,-0.00051954+0.0020079i,-2.2191e-05+0.0016419i,-0.000205+0.00064189i,-0.00095296+0.00014148i,-0.00070885-9.7338e-05i,0.00031908+0.00020592i,0.00053395+0.00031526i,-0.00014708+5.099e-05i,-0.00026156-0.00010979i,-0.00037329+5.9201e-05i,-0.00064084+3.354e-05i,2.3342e-05+0.00027185i
