-0.0012854+0.0014287i,-0.0014575+0.0015283i,-0.0019976-0.00019188i,-0.0023409+0.00035466i,-0.001639+0.0013677i,-0.0011474+0.0015519i,-4.6007e-06+0.0016744i,0.00084419+0.0015405i,0.00113+0.00074883i,0.0014198-0.00036867i,0.00040062-0.00041304i,-0.00062039-0.00061853i,-0.00044771-0.0007823i,2.7803e-06-8.4797e-05i,-0.00070454+0.00027164i,-0.0011725+0.00077543i,-0.00073511+0.0006797i,5.2884e-05-1.7153e-05i,0.00043957-0.00069135i,-0.00064543-0.00019268i,-0.00090759+0.00048437i,-0.00015777-7.8468e-05i,-0.00024196+7.5399e-06i
-1.343e-06+0.0012064i,-0.00080864+0.0011426i,-0.0012533+0.00049609i,-0.00094305+0.00016486i,-0.00060378-9.4465e-05i,-0.00056644+0.00015443i,-0.00071897+7.4524e-05i,-0.00012287-0.00027669i,-0.00012972-0.00011679i,-0.00068361-0.00010065i,-0.00050097+2.9164e-05i,-0.00061871-7.8068e-05i,-0.00068577+9.8058e-05i,-0.00051848+0.00070461i,-0.00010494+0.00095603i,0.00017041+0.00022695i,-0.00027755-0.00013076i,-0.00047215+0.00025913i,-9.4613e-05+0.00023336i,0.00020904+0.00016042i,0.00059803+0.00018955i,0.00053769+0.00026377i,0.0008003-0.00021924i
-0.0014021+2.5236e-05i,-0.0015233+0.00017119i,-0.0011244+0.00080286i,-0.00036204+0.00044651i,9.8936e-05+8.5843e-05i,-0.00029432-0.00035761i,-0.00050171-0.00048776i,0.00018049+1.9359e-05i,0.00050031+0.00044923i,0.0007301+5.5193e-05i,0.0011842-0.00038835i,0.00092788-0.00036449i,4.4704e-05-0.00055112i,-0.00030332-0.00044544i,0.00010205-0.00021058i,0.00026068+4.0738e-05i,0.000874+0.00051331i,0.0011786+0.0002254i,0.001008-0.00017397i,0.00027407-0.00055033i,-9.1682e-05-0.00080315i,0.00065807-0.00059385i,0.00025283-1.7489e-05i
0.00090946+0.00069128i,0.00066601+0.0007512i,0.00038489+0.0015355i,0.00061674+0.0015904i,0.000893+0.00090354i,0.00079947-0.0001243i,-0.00011894-0.0005707i,-0.00026339+0.00031955i,0.00020375+0.00088479i,-7.6064e-05+0.0003095i,-0.00097751+8.3563e-05i,-0.0010681-0.00015796i,-0.00026903-0.00041074i,0.00024581-5.4022e-05i,0.000421+0.00043165i,0.00056819+0.00030058i,0.00033965-0.00048638i,0.00018349-0.00089725i,0.00045257-0.00061986i,0.00043598+3.3563e-05i,0.00018368+0.00049551i,4.5968e-05+0.00057824i,-0.00015988-4.5025e-05i
0.00034502+0.00025445i,0.00011581-0.00088316i,4.1963e-05-0.0011611i,0.00064848-0.00076727i,0.0011957-0.00031767i,0.0010185-0.00047452i,0.00058606-0.00084285i,0.00085903+4.8761e-05i,0.0011385+0.00043534i,0.00041006-9.2554e-05i,-0.00045737+0.00012552i,-0.0010254+0.00053311i,-0.001209+0.00072908i,-0.00060787+0.0008044i,1.0097e-05+0.00059847i,-0.00036066+0.00020881i,-0.00038112+0.00039185i,-0.00053885+0.00030576i,-0.00057-0.00014821i,-0.00033322-0.00012327i,9.2744e-06-8.8572e-05i,0.00077794-0.00036504i,0.00064131-0.00025923i
0.0022653+0.0027552i,0.0011984+0.0023096i,0.00069394+0.001905i,0.001587+0.00067282i,0.0020429-1.679e-05i,0.00094751+0.0010208i,-0.00027262+0.00048531i,-0.00075243-0.00024027i,-0.00070711+0.00073904i,0.00036533+0.00019804i,0.00076364-0.00039888i,-0.00040095+2.3668e-05i,-0.00069479-8.8697e-05i,-9.6902e-05-0.00013208i,-3.2803e-05-0.00014255i,-9.754e-05-0.0002388i,1.3596e-05+0.00052337i,-1.3573e-05+0.00050914i,-0.00050826+0.00033472i,-0.0011555+0.00069253i,-0.00083989+0.00041625i,-9.3827e-05+0.00019796i,0.00024672+0.00053215i
-0.00014547+0.0010659i,-0.00079483+0.0012316i,-0.0003036+0.000297i,0.00017494+0.00030129i,-0.00047751+0.0001556i,-0.00048529+8.0096e-05i,0.00028104+0.00014927i,0.00075046+0.00037732i,0.00079609-1.9174e-05i,-0.00028206-0.00026665i,-0.00074793-0.00014822i,-0.00084532+0.00025828i,-0.0010098+0.00076004i,-0.00061752+0.00089623i,0.00030092+0.00088554i,0.00050559+0.00037609i,0.00034258+4.0571e-05i,0.00016246-0.00016456i,-0.00016684-0.00039321i,-0.0002726-0.00056233i,-0.00053777-0.00058324i,-0.00064783+3.5949e-05i,1.0344e-05+0.00051777i
-0.00065852-3.8159e-05i,-0.0015611-0.0004848i,-0.0019494+0.00015067i,-0.0012724+0.0010332i,-0.00063991+0.00084458i,-0.00040974+0.00049982i,-0.00077349-2.4424e-05i,-0.00071878+0.00017406i,-0.00063022+0.00040947i,-0.00013989+6.4412e-05i,1.2181e-05+0.00019543i,-0.00034241+0.00055575i,-0.00013343+0.00015631i,0.00019324-0.00026515i,0.00039188+9.4896e-05i,0.00023965+0.00074427i,0.00019676+0.00089696i,0.00065556+0.00020581i,0.0012481-0.00036149i,0.00068017-0.00045307i,-0.00041873-0.00026118i,-0.00039454+0.00013537i,0.00020446+4.4697e-05i
-0.0002397-0.00079021i,-0.00053151-1.8727e-05i,-0.00010029+6.792e-05i,0.0003534+0.00012664i,-2.535e-05+0.00016327i,-0.00069121+0.00014072i,0.00010963+0.00086336i,0.00070871+0.0012313i,0.00027377+0.00032049i,-0.00048452-6.2783e-05i,-0.0012104-0.00013159i,-0.0010336-0.00033503i,-0.0011607+6.5e-05i,-0.00085482+0.00042303i,-0.00038711+0.00044335i,9.7436e-05+0.00098118i,0.00038355+0.0012178i,-0.00012505+0.00058758i,-8.3417e-05+0.00048905i,0.00017074+0.0001786i,0.00016711-9.7365e-05i,0.00084856+0.00017831i,0.00076254+0.00019317i
-0.00020875-0.00062084i,-0.00062664-0.0011485i,-0.00038585-0.0004974i,8.8109e-05-0.00012695i,0.00030679-0.00047448i,-0.00050763-0.00070443i,-0.00092161-0.00088499i,-0.00045634-0.0010812i,1.7999e-05-0.00071356i,0.00045948-0.00097876i,0.00023358-0.0012139i,-0.00016143-0.0003812i,-0.00041383+2.7631e-05i,-0.00041862-0.00011356i,-0.00012116+0.00068463i,0.00039478+0.0008819i,0.00070091+0.00041058i,0.00064007+0.00019108i,0.00063269+0.00057998i,0.0001423+0.00059746i,-0.00042193+0.00072017i,-0.0001195+0.00043453i,0.00010892-0.00014201i
0.0026476+0.00028526i,0.0025125+0.00085049i,0.0017112-5.526e-05i,0.0013628-0.00072743i,0.0013095-0.00077419i,0.00090673-0.00095274i,0.0015546+0.00016216i,0.0013695+0.00082482i,0.00018045+0.00086214i,4.2043e-05+0.00088261i,0.00025715+0.00032809i,-0.00058097-9.6309e-05i,-0.0012051+0.00038332i,-0.00057938+0.00047033i,-0.000205+8.8324e-05i,7.9317e-05+0.00026301i,0.00066978+0.00026546i,0.00043308+8.9318e-05i,-4.1847e-05-0.0004872i,-0.00018866-0.00098434i,-0.00050765-0.0004222i,-0.00084463+0.00032604i,-0.00011083+0.00019361i
