-0.0046395+0.00047259i,-0.0021171+0.0016247i,-0.00040361+0.0039409i,0.0007815+0.0044427i,0.0018782+0.0036377i,0.0010687+0.0021855i,-0.00020073+0.0016076i,-0.00034682+0.0015227i,0.00073271+0.00097805i,0.00080984+0.00059977i,0.00010883+5.3442e-05i,0.00020155-0.00091843i,0.00022096-0.0022397i,6.0796e-05-0.0026687i,-0.00060938-0.0014593i,-0.0010103-0.00043105i,-0.0010684-0.00059749i,-0.00092383-0.00087218i,-0.00023248-0.00042101i,0.0004189+0.0004836i,0.00057712+0.00041933i,0.00052444-0.00012965i,0.00083722-0.00035133i
-0.0009911+0.0009937i,4.2823e-05+0.001743i,0.0006544+0.0019345i,0.0014539+0.0015767i,0.0013271+0.000901i,0.00076745+0.00089354i,0.00092031+0.00081215i,0.00045641+0.00012771i,0.00013033-2.9023e-05i,0.00010784+0.00022035i,0.00015569+0.0007168i,0.00010862+0.0010479i,-0.0003659+0.00045653i,-0.00028199+0.00029018i,-0.00049888+0.00075683i,6.5528e-05+0.00090862i,0.0010684-1.7038e-05i,0.00018164-0.00069879i,-0.0003366-0.00022489i,0.00086727-0.00025881i,0.00093839+4.2292e-05i,0.00021159+4.5657e-05i,0.00015436-0.00040059i
-0.0017395+0.0028372i,-0.00016451+0.0034565i,0.001616+0.0041092i,0.0029226+0.0038758i,0.0032514+0.0029749i,0.0016699+0.00090285i,0.00097764-0.00095103i,0.00092171-0.00092296i,0.00047291-0.00080558i,0.00049626-0.00031107i,0.00041889+0.00036945i,8.8155e-05-0.00033487i,-7.6361e-05-0.00054346i,0.00016634-7.941e-05i,0.00039888-0.00051176i,-0.00083078-0.00017172i,-0.0005448+0.00011874i,0.00039629+0.00016166i,0.00065707+0.00040366i,0.00093389+0.00033914i,0.00028717+0.00054883i,-0.00019764+0.0012753i,0.00019679+0.0013094i
5.8558e-05+0.001847i,0.00076966+0.001038i,0.002545-8.394e-05i,0.0023446-0.00077638i,0.00073983-0.001265i,-0.00014217-0.0019495i,0.00013744-0.0018574i,0.00042788-0.00062793i,0.00033199-6.0468e-05i,0.00043187-0.00023459i,-3.3981e-05-0.00014472i,-0.0010111-0.00014975i,-0.0016418-0.00057179i,-0.0013455-0.00027091i,0.00012567-0.00035457i,0.0015679-0.0005181i,0.0011736-3.4641e-05i,9.3675e-05+0.00043799i,-0.00049144+0.00084178i,-0.0001357+0.00077937i,0.00062564+0.00042415i,0.0016871-0.00010802i,0.0010012-0.00046063i
0.00091407+0.00094949i,0.0012409-3.7037e-05i,0.00142-0.0010676i,0.00055552-0.0022659i,-7.5377e-05-0.0030038i,6.9851e-05-0.0024862i,0.00021201-0.0012597i,-8.9239e-05-0.00031591i,6.5599e-05-9.9564e-06i,0.00018126+3.6371e-05i,-0.00036939-0.00019394i,-0.00060116-1.2359e-05i,-0.00010589-0.00014254i,8.2132e-05-0.00086863i,-0.00025616-0.0010239i,-0.00015424-0.00066394i,8.582e-05-0.00059097i,-0.00013935-0.00091287i,-0.00020076-0.00064375i,0.00060985-0.00031503i,0.00058198+7.9079e-05i,-0.00019198+0.00021562i,0.00014746-0.00043165i
0.0016582+0.00033958i,0.0010056-9.2508e-05i,0.0015057-0.00071798i,0.0015861-0.0016243i,0.00096973-0.0015352i,-0.00088879-0.0013622i,-0.0012395-0.00065028i,0.00021653+0.00047009i,0.0014451+0.00019203i,0.0015082-0.00040454i,0.00044942-0.000654i,-0.00072361-0.0002388i,-0.0015185+0.00058246i,-0.0013287+0.00050155i,-0.00055327+8.7778e-05i,0.0002062-0.00013174i,0.00077633-0.00029599i,-8.9198e-05-0.00032246i,-0.00064672-0.00045392i,0.00058887-0.00011751i,0.00078376+0.00029i,0.00053232+8.1657e-05i,0.00087404-0.00024234i
0.0011154+0.00013148i,0.0007748-0.0008872i,0.00023152-0.0017973i,0.00037885-0.0023564i,0.00053029-0.0012275i,0.00077336+1.2473e-05i,0.00068706-0.00053993i,0.00076797-0.0010033i,0.001064-0.0002108i,0.00098171-9.2318e-05i,9.568e-05-0.00065156i,-8.5239e-05-0.00059936i,0.00060829-0.00032555i,0.00078408+3.8467e-05i,0.00027833+0.0005747i,-0.00015635+0.00061632i,-0.00010694+0.00054805i,0.00035522+0.00091432i,-7.0834e-05+0.00065543i,-0.0006768-3.0509e-05i,-0.00050107+0.00016152i,0.00062962+0.00066894i,0.00075232+0.00078467i
0.0018+0.0015481i,0.00012074+0.0016964i,0.00065664+0.00017461i,0.002474-0.0015434i,0.0014161-0.0023198i,-0.00053624-0.0020378i,-0.0010721-0.00088275i,-0.00062338+0.0003586i,-0.00023208+0.0002267i,0.00040974-0.00065937i,0.0003989+0.00012309i,-0.00024512+0.00035118i,-0.00064247+0.00040411i,-5.1296e-05+0.00059936i,0.00036333+0.00027677i,0.00062116+0.0004552i,0.00024753+0.00017822i,-0.00064258-0.00019631i,-0.00033517-0.00043403i,-4.0263e-05-0.00057545i,-0.00039652+0.00027333i,-0.00075793+0.00080877i,-0.00013956-0.00047535i
0.0009064-0.00049177i,0.00040078-0.00089543i,0.0003023-0.0011465i,-0.00031173-0.00077731i,-0.0010173-0.00061108i,-0.00079634-0.0007995i,0.00093486-0.0010182i,0.0017429-0.00045867i,0.00092659-0.00040444i,0.00052238-0.00019067i,0.00028267+0.00050356i,-0.00016509+0.00082671i,-0.00055844+0.00031654i,-0.0007529-0.00041459i,-0.00040146-0.00060231i,-0.00043005-0.0006297i,-0.00084575-0.00045343i,-0.00054075-2.6522e-05i,-0.00011914-6.0758e-05i,9.5792e-05-0.00028008i,0.00019763-0.00023228i,0.00011986-0.00045379i,-0.00017682-0.00024668i
-1.8295e-06+0.0016295i,-0.00068236+0.0014644i,-0.00044324+0.00049539i,0.00039683-0.00028048i,0.00024489-0.00033393i,0.00021783-0.00084244i,3.4644e-05-0.0012547i,0.00015642-0.0008383i,0.00089317-0.00058963i,0.00042448-0.00061162i,-0.00022385-0.00028134i,-0.00051161-6.1666e-05i,-0.00074439-0.00034103i,-0.00021244-0.00057764i,0.00049613-0.00040151i,0.00014046-0.00051173i,-0.00081725-0.00093937i,-0.0012041+0.00028618i,-0.00068804+0.00093835i,0.00035265-0.00013627i,0.00050721-0.00035265i,0.00061484+0.00029029i,0.00059765+0.0001917i
-0.0023155-0.0014086i,-0.0029426-0.0007211i,-0.0029178+0.00027257i,-0.0018639+0.0010826i,-0.00076443+0.00076491i,0.00011849+0.00051153i,3.6182e-05+0.00015494i,-0.00097034-0.00013109i,-0.0014987-0.00019427i,-0.00059709-0.00054428i,0.00012512-0.00030857i,0.00023853+9.8503e-05i,9.3634e-05+3.8154e-05i,-0.00064599-0.00092419i,-0.00082281-0.0010486i,-0.00043187-0.000767i,-0.00047669-0.00082046i,-0.00012963-0.00042121i,0.00024113+0.00062272i,0.00058728+0.0010342i,0.0010107+0.0001733i,0.00057795-0.00046937i,6.6562e-06-6.0702e-05i
-0.00046959-0.00043027i,0.00013545-0.00019244i,-0.00034241+0.00055604i,-9.8478e-05+0.00055684i,-0.00022287+8.9037e-05i,-4.3202e-05-0.00068941i,-0.00028636-0.00091543i,-0.00037813+0.00015803i,-0.00013769+0.00081635i,-0.00044145+0.0001201i,0.00054192-0.00045135i,0.0010214-0.00049612i,0.0002072-0.00034627i,0.00018722-2.2447e-05i,0.00026025+0.00017274i,8.1887e-06-0.00029813i,-0.0002181-0.00062751i,-0.00059615-0.00012442i,-0.00022522+0.00020569i,-3.352e-05+0.0010166i,-3.1991e-05+0.00084989i,0.00043319+8.7372e-05i,0.00050502-0.00029052i
