0.0013488+4.486e-05i,0.0011784-0.0010555i,0.00031864-0.0018033i,-0.00042708-0.0017803i,-0.0012865-0.00027101i,-0.0024813+0.0013388i,-0.002438+0.0019491i,-0.00035697+0.0019273i,0.001641+0.0011769i,0.0012798-0.00010692i,0.00030846-0.00099559i,-0.00065377-0.0012824i,-0.0015405-0.0010806i,-0.0010975-1.0305e-05i,-0.00074757+0.0005849i,-0.0014194+0.00037501i,-0.0019204-7.6806e-05i,-0.0014668-1.617e-05i,-0.00043147+0.00020869i,-0.00017668-0.00014323i,-0.00085302-0.00062709i,-0.00088028-0.00082993i,-0.00045445-0.00084057i
0.00080401-0.0003046i,0.00060089+3.6588e-05i,0.00094173-0.00021475i,0.0015667-0.0012387i,0.0015399-0.0021234i,0.00041063-0.00098097i,-0.00078406+0.00044594i,-0.00018049+0.00011478i,0.00060538-0.00022236i,0.00064013+0.00053029i,0.00037235+0.00097827i,0.00014382+0.00081381i,-0.00031233+0.0002444i,-0.00076241-0.00027019i,-0.00043053+4.5208e-05i,-0.00014397+0.00082959i,0.0003107+0.00096234i,0.00015514+0.00072065i,0.00029025+0.0005319i,0.00044305+0.0003993i,-0.00060826+0.00061229i,-0.0010446+0.00027382i,-0.00065923-0.0007622i
-0.0028397+0.0025165i,-0.0024149+0.0025309i,-0.001887+0.0026803i,-0.00058066+0.0033757i,5.3588e-05+0.0024864i,8.5146e-05+0.0003539i,0.00013217-0.00055545i,0.00026156-6.4659e-05i,0.0002777+0.00014234i,0.00023871+0.0006423i,9.7109e-05+0.0010092i,0.00041863+0.0007821i,0.0010229-0.00028692i,0.0010952-0.00091539i,0.0015159-0.00094485i,0.00067837-0.00043112i,-0.00073927+8.0123e-06i,-0.00050581-0.00016955i,-0.00014756+0.00040486i,0.0001043+0.0007605i,0.00017562+0.00029501i,-0.0003531+0.00013474i,0.00015384-0.00061488i
-0.0018941-0.0018227i,-0.0016603-0.00077091i,-0.0015035-0.00057991i,-0.00053679-0.00083i,-0.00041624-0.00098176i,-0.00077868-0.0012659i,-9.0102e-05-0.0016967i,0.00049664-0.00077785i,0.00067818+0.00035954i,0.0006332+0.00031653i,0.00069837+0.00048831i,0.00054206+0.00018542i,0.00010219-0.00049674i,1.1572e-05-0.0012058i,-0.00022599-0.00097759i,-0.00037398-0.00013536i,-0.0002028-0.00020773i,-0.00067935+0.0001059i,-0.00097408+0.00072744i,-0.00010978+0.0006216i,0.00011022+0.00030004i,-0.00037166+0.0004061i,-0.0005294+0.00033133i
0.0015867+0.0013955i,0.0015676+0.00086829i,0.0019643+0.0014698i,0.0017453+0.001921i,0.0011532+0.0012096i,0.0010073+0.00046011i,0.0002523+0.00013367i,0.00047259+0.00010875i,0.0013694+0.00061909i,0.00096118+0.00055792i,0.00058647+0.00026597i,5.986e-06-0.00031804i,-0.00044424-0.00091426i,-0.00023642-0.00071967i,-0.00013206-0.00029461i,0.00019093+9.1289e-05i,-0.00040557+0.00042864i,-0.00097719+0.00042649i,-0.00074347+9.3961e-05i,-0.00049996-0.00019996i,0.00013291-0.00059287i,0.00042241-0.00013473i,0.00055154+0.00037092i
-0.00084952+7.3246e-05i,-0.00067295+0.00055837i,-0.0012842+0.0010311i,-0.00091483+0.00042956i,0.00056051+0.00015138i,0.00068814+0.00045632i,0.00016495+0.00075227i,-0.00017482+0.0013561i,-0.00087152+0.0013264i,-0.00061195+0.00072843i,0.00034205+0.00052047i,0.00026174-9.7274e-06i,0.00040938-0.00035546i,0.00051436-0.00051069i,-0.00040544-0.00051775i,-0.00080554-0.00019309i,-0.00059831-0.00042467i,-0.00097217-0.00046709i,-0.00087406-0.00032236i,-7.5235e-05-0.00036624i,-3.6363e-05-0.00019021i,-0.00047587-0.00012221i,-0.00062-3.2693e-05i
0.00060047-0.00077945i,0.0013247-0.0011913i,0.0012447-0.0013321i,0.00068799-0.00079129i,0.00041295-0.00023147i,-0.00046429+2.563e-05i,-0.00051302+0.00026905i,0.00022602+0.00052601i,3.5504e-05-0.0003695i,-8.7665e-06-0.0014208i,-0.00045535-0.00082526i,-0.0010084+0.00032122i,-0.00079167+0.00051163i,-0.00028779+0.00063696i,-0.00033333+0.0010591i,-0.00054535+0.0010067i,-9.612e-05+0.00051665i,7.9228e-05+0.00035603i,1.7471e-06-1.1659e-05i,0.00013781-0.00062808i,-6.5998e-05-0.00066937i,-0.00076513-0.00035169i,-0.00088949-0.00048285i
0.0015712-0.00022059i,0.0014758-0.00069084i,0.0021827-0.00017081i,0.0022114-0.0011736i,0.0018062-0.0019726i,0.00082721-0.0015222i,-0.00021443-0.00083011i,-0.00024222-0.00058523i,0.00017069-0.000984i,0.00057003-0.00077177i,0.00021435-0.00021259i,-0.00098994-0.00043739i,-0.0013893-0.00037138i,-0.0013629-0.00021479i,-0.0011912-0.00031167i,-0.00074856+2.8146e-05i,-0.0003206+0.0006856i,-0.00070494+0.0013153i,-0.0010627+0.00096988i,-0.0001377+8.1581e-05i,0.00060967+0.00015428i,0.00035411+0.00032394i,2.8405e-05+5.3996e-05i
-0.001355+0.00019041i,-0.001895+0.00013328i,-0.0012299+0.00022055i,-0.00042155+0.00012009i,-2.8023e-05+0.00022073i,6.7534e-06+0.00050601i,-0.00017762+0.00027286i,-0.00026106-2.3067e-05i,-4.9411e-05-0.0003061i,0.00019214+6.3101e-05i,0.00012773+0.001105i,-0.0001166+0.00038305i,-2.829e-05-0.00046457i,-0.00025325-0.00032493i,-0.0012053-0.00011836i,-0.0014198+0.00015403i,-0.00095449+0.00076137i,-0.00045658+0.00086158i,9.2127e-05-9.983e-05i,0.0002141-0.00075417i,-0.00012976-0.00047535i,-5.0977e-05+0.00028551i,0.00049261+0.00059226i
0.0011381-0.00027997i,0.0011488+0.00026485i,0.0025549+8.4126e-05i,0.0019865+0.00027146i,0.00017925-7.0353e-05i,-0.00062637-0.00031358i,-6.2486e-05+9.0961e-05i,-0.00024831+0.00029236i,-0.0010297+0.00099917i,-0.0005618+0.00090189i,-0.00058461+0.0002235i,-0.00064363+0.00044771i,-0.00017136+0.0005402i,-0.00053996+0.00037651i,-0.0012607+0.00032671i,-0.0013289+0.00029776i,-0.00058261-0.00019271i,8.7108e-05+0.00093829i,0.00011869+0.0016129i,-6.043e-05+0.00011564i,0.00036154-0.00023203i,0.00054311+8.8201e-05i,0.00086926-0.00020101i
-0.001248-0.00048741i,-0.00095064-0.00012417i,-0.00082786+3.2148e-05i,0.00051704+0.00020679i,0.0008768+0.00029757i,0.00032388+0.00036526i,-2.0116e-06+0.0004935i,0.00014742+0.00082915i,0.00080431+0.00099657i,0.0012191+0.001419i,0.00041527+0.0017363i,-6.6456e-05+0.0010534i,0.0001451+3.6033e-05i,0.00045817-0.00019068i,0.00054373+0.00041517i,0.00015299+0.00057844i,-0.00064947+0.00046747i,-0.00056203-2.2101e-05i,0.00029179-0.00019883i,0.00021935-1.1981e-05i,-0.00013373-0.00014721i,-0.00023168+1.2443e-05i,0.00013994+0.00092719i
