0.0005944+0.0011889i,0.0023399+0.0011029i,0.0011632+0.00077022i,-0.00044673+4.138e-06i,-0.0010428+0.00014051i,-0.0010593+0.00085579i,-0.0010035+0.00051223i,-0.00026552+0.00064119i,0.00012651+0.00094494i,0.00048899-9.3414e-05i,0.001486-0.00079902i,0.0011327-0.00054724i,0.00014137+0.00016542i,-0.00046521+8.8028e-05i,-0.00060146-0.00054856i,0.00010518-0.00012707i,0.00029466+0.00065296i,0.00039092-8.9997e-05i,0.00094269-0.00050857i,0.00087625+0.00034442i,0.00012018+0.00026563i,8.3816e-07-1.1861e-05i,0.00018104-3.0877e-05i
0.00070531-3.0121e-05i,0.00099026+0.0002978i,0.00068713+0.00063741i,0.00038088+0.00024869i,-0.00017312-0.00080791i,-0.00144-0.00014251i,-0.0019031+0.00049859i,-0.0014129-0.00027845i,-0.00073706-0.00071701i,0.00010195-0.00032609i,0.00033798-0.00043685i,-2.4689e-05-0.0006143i,0.00016264-0.00026931i,0.00066996+0.00011214i,0.0010216-0.00047845i,0.0006685-0.00026623i,-0.00024413+0.0002413i,-0.0006928+2.5499e-06i,5.8252e-05+0.00020822i,0.00084765+0.00066476i,0.00048336+0.00066492i,-5.6499e-05-6.6589e-05i,2.9052e-06-0.00054366i
0.00090368+0.0011308i,0.0006178+0.00017259i,0.00082154-0.00072621i,0.00028076-0.0011492i,-0.00019387-0.0010629i,-0.0007778-0.0010036i,-0.00053404-0.00031926i,0.00058231+0.00030821i,0.00064894-0.00011693i,-0.00010322-0.00014539i,-0.00049348+9.5202e-05i,-7.2254e-05+0.00040634i,0.00021283+0.00043331i,-0.00020273+0.00055949i,-0.00029298+0.00022993i,7.8043e-05-4.1943e-05i,-7.2519e-06+0.00014913i,-0.00079484+0.00055819i,-0.00099614+0.00075135i,-0.00057928+0.00037019i,-0.00011279+9.4151e-05i,0.00061771-0.00015139i,0.0010356+4.2648e-05i
0.0014273+0.0013709i,0.0017302+0.00091079i,0.0007603+0.0001831i,0.00041464+0.00042499i,0.00062632+0.00096326i,0.00051123+0.000645i,0.00037013-8.6064e-05i,0.00082869-0.00057555i,0.0009818-0.00064467i,0.00063845-0.00055402i,0.00082859-0.00046918i,0.00059379-0.00028555i,-8.3247e-06-0.00040295i,-0.00052429-0.00011425i,-0.00014791-0.00033735i,4.4315e-05-0.00085264i,-0.00012418-0.00080631i,-0.00017997-0.00029911i,-2.953e-05+0.00019455i,0.00032741+0.00045329i,-0.000399+0.00033227i,-0.00021343+4.6254e-05i,0.00072247+0.00012274i
0.00070011+0.00071836i,0.00090268+0.0019083i,0.0011025+0.0015906i,0.0001798+0.00046258i,-0.00069579-0.00063391i,-0.0010688-0.00096761i,-0.0010052-0.00037646i,-0.00053757-0.00058877i,-0.00010662-0.001178i,5.2768e-05-0.00082482i,0.00022987-0.00039821i,0.00075027+0.00018746i,0.00081192+0.00047164i,9.6786e-05+0.00022445i,4.7069e-05+0.00083717i,0.00074278+0.00030825i,0.00032691-0.00067279i,-0.00015971-0.00057605i,0.00023114-0.00023479i,0.00037771+0.00021477i,0.00062814+0.00026845i,0.001133+0.00013962i,0.0012025+0.00035317i
-0.00019872+0.00089338i,-0.00068157+0.00057026i,-0.0010526+0.00064575i,-0.00072749+0.00089977i,-0.00033031+0.0014151i,-0.00054311+0.00089867i,-2.1441e-05+6.5298e-05i,0.00086529-0.00053859i,0.00071681-0.00068457i,-0.00042814-0.00027081i,-0.00075006+0.0003601i,-3.1568e-05+0.00095808i,0.00066711+0.00093965i,0.00070792-3.4505e-05i,0.00054704-0.00057665i,0.00059392-0.00032126i,0.00029264+0.00028315i,4.1758e-05+0.00050409i,-0.00032959+0.00047605i,0.00018643+0.00050482i,0.00092798+0.00050894i,0.00057034-0.00011403i,0.00022104-0.00061661i
-1.5049e-05+0.0011634i,0.00038455+0.0020833i,0.00042172+0.001385i,0.0009907+0.00099456i,0.0013099+0.00091047i,0.00049499+0.00036634i,0.00013521+0.00057649i,0.00014188+0.00047311i,-0.00058288+0.00020738i,-0.00037641-0.00019974i,0.00077174-0.00064722i,0.0014824-0.00030165i,0.0011454+1.236e-05i,0.00013386+0.00053552i,0.00017846+0.00083497i,0.00057847+0.00020925i,0.0004548+0.00010771i,0.00040914+0.00047642i,9.7821e-05+0.0007292i,-0.00051869+0.00066327i,-0.0012942+0.00010639i,-0.0010938-0.00013045i,-0.0008608+0.00074424i
0.00011207-0.00078575i,0.00055415-0.002015i,0.00051641-0.002738i,0.00028055-0.0026129i,-8.9331e-06-0.00181i,0.0003045+0.00029496i,0.00025802+0.0014486i,-0.00083654+0.0011106i,-0.00090454+0.00051103i,-0.00012114+0.0004408i,-0.00031164+0.00035334i,-0.00034339+0.00029884i,-0.00012704+0.00065226i,-0.00044061+0.00052904i,-0.00010669+0.0004668i,0.00047978+0.00036133i,0.00015578+2.2969e-05i,0.00027241-0.00050245i,0.00048628-0.00021683i,0.00014531+0.00081023i,-0.00032459+0.00077251i,-5.572e-05+0.00066809i,0.00071699+0.00094916i
0.0011212+0.00075284i,0.00083778+1.1833e-05i,-0.00023959+0.0013348i,-0.0014428+0.0012308i,-0.00070471-0.00033044i,0.00055902-0.0011361i,0.00022226-0.00076099i,-0.00045824-0.000591i,-0.0009364-0.00035876i,-0.0013801+0.00036659i,-0.00080209+0.00041247i,-0.00045847-8.7133e-05i,-0.0011195-0.00027961i,-0.00094573-0.00024316i,-0.00039056+2.1716e-05i,-0.00021444-6.3783e-05i,-9.0782e-05-0.00063679i,-2.5789e-05-0.0003368i,0.00034155+0.00030948i,0.00058216+0.00071872i,0.00047391+0.00037218i,0.00061478-3.3873e-05i,0.00085366+0.00011742i
0.0011532+0.00079648i,0.00055147+0.00062053i,-8.04e-05+0.00050871i,0.00017755+0.0013979i,5.1454e-06+0.0015741i,-0.00057924+0.00057805i,-0.0010891-3.9971e-05i,-0.0010618-0.00016975i,-0.00018451-1.8105e-05i,-8.7755e-05+0.00029908i,-0.00055211+0.00059269i,-0.00029019+9.923e-05i,0.00012326-0.00041367i,-5.6454e-05-0.00014002i,0.00023979-0.00020641i,-7.0925e-05-8.2631e-05i,-0.00044993+0.00047977i,0.00043862+0.0010892i,0.001072+0.0013214i,0.00048634+0.0011797i,0.00012932+0.00075494i,-8.5826e-05+0.00019631i,-0.00025278-8.9791e-05i
0.001344-0.00020708i,0.00042684+0.00020881i,-0.00057827-0.00084797i,-0.0015434-0.0020015i,-0.0020167-0.001708i,-0.0014309-0.00029531i,-0.00070584-0.00024656i,-0.00022785-0.00088913i,7.2262e-06-0.00098995i,-0.00026369-0.00035553i,-0.00025459+0.00037314i,-0.00027808+0.00056282i,-0.00042602+0.00032307i,-0.00075253-0.00012541i,-0.00076476-0.00076237i,-6.54e-05-0.00078861i,0.00012903+0.00014601i,-0.00047068+0.00096132i,-0.00039465+0.001564i,-5.209e-05+0.0010054i,0.00068669+0.00024429i,0.001223-0.00025181i,0.00056772-0.00083605i
