-0.001168+0.00069573i,-0.00045639+0.001496i,0.00024516+0.00065842i,0.00092139-6.2803e-05i,0.0019773-0.00089095i,0.0029268-0.0015108i,0.0018086-0.0014533i,0.00037242-0.0014553i,8.2257e-05-0.0012129i,-0.00042684-0.00063913i,-0.00059309-0.00052847i,-1.5083e-05-0.00047961i,0.00018817-0.00047982i,0.000352-0.0014331i,0.00045518-0.0014743i,-0.00016517-0.00058205i,-0.00063323-0.00013559i,-0.00040026-0.00016207i,0.00015194+6.4832e-05i,-0.00028311+0.00050891i,-0.00095362+0.00062885i,-0.00063177-5.9689e-05i,-6.4563e-05-0.0004915i
-0.0035119+0.002731i,-0.0036748+0.002508i,-0.0019111+0.0022583i,-0.00051993+0.0025357i,-0.00094023+0.0019549i,-0.0008517-7.0425e-05i,-7.7956e-05-0.0016427i,-0.00067426-0.0016958i,-0.0010578-0.00060544i,-0.00025485+0.00028448i,0.00039681+0.00014594i,0.00072277-0.0003538i,0.00043228-0.00036206i,-0.00020305-0.00075346i,-0.00018772-0.00071833i,1.0895e-05-5.4814e-05i,3.0082e-05-0.00041667i,-6.5962e-05-6.3266e-06i,-0.00032409+0.00095632i,-0.00020476+0.00056413i,0.00045633+9.2127e-05i,0.00087469-8.0476e-05i,0.00065992+0.00018197i
-0.00168-0.0011535i,-0.0021105-0.00087739i,-0.0021325-0.00044846i,-0.0012058-0.00061729i,-0.00012838-0.00094995i,0.00096541-0.0010338i,0.0013889-0.0010633i,0.00057453-0.00096011i,-0.0012771-0.00050869i,-0.0023973-0.00044266i,-0.0018456+0.00019076i,-0.0011223+0.0013537i,-0.0008889+0.0010644i,-0.0012914+0.0005931i,-0.00073675+0.00040747i,0.00031592+3.7385e-06i,0.00025769-0.00050467i,0.00012317-0.00040977i,0.00055482+0.00021679i,0.0002038+0.00025851i,-0.00092846-0.00024016i,-0.00073139-9.0081e-05i,-0.00014081-0.00022679i
0.0025744-0.00035575i,0.00068019-0.0021362i,-0.00099958-0.0025971i,-0.0027648-0.0017081i,-0.0028713-0.00078265i,-0.00086752-2.697e-05i,0.00061553-0.00046199i,0.00036683-0.0014077i,-0.00021841-0.0013861i,0.00018275-0.00057635i,0.00051505-0.00023039i,0.00076417-0.00090996i,0.0004775-0.00089576i,-5.3276e-05-0.00020095i,-0.00055267+0.00023795i,-0.00055068-0.0001348i,-0.00020634-7.0209e-05i,0.00082058+0.00063349i,0.0013243+0.00099143i,0.00086164+0.001029i,0.00033334+0.00070802i,-0.00066236+0.00024484i,-0.00054384-0.00024328i
0.00035021-0.0010988i,0.00094615-0.00099698i,0.0010201-0.00017783i,0.0013816+0.00062778i,0.0029639+0.00063949i,0.0030623-7.621e-05i,0.0019844-0.00052105i,0.0017195-0.00080318i,0.00081969-0.00013479i,0.00074104+0.00025052i,0.00037542-0.00027312i,-0.00031807-0.00018786i,-0.00013507-0.00026009i,0.00030804-3.9655e-05i,9.6959e-05+0.00039105i,-2.862e-05+0.00040641i,6.6476e-05+4.976e-05i,9.5867e-05-0.00046368i,-0.0001319-0.00017681i,-0.00040314+0.00023192i,-0.00013313-3.2259e-05i,0.00058522-0.00075556i,0.00040501-0.00085409i
8.7005e-05+0.00035614i,0.00091853+0.0006917i,0.00044775+0.00061464i,-0.00046371-0.00013265i,0.00019389-0.0014636i,0.0012436-0.0016048i,0.0014666-0.0020549i,0.00089835-0.0021559i,0.000106-0.00017344i,-0.00035494+0.00044651i,-0.00012451+0.00031967i,4.5618e-05+0.0010261i,0.00070211+0.00093961i,0.00088787+0.00088264i,-4.2633e-05+0.00069928i,-0.00067577+0.00076633i,-0.00072457+0.00065677i,-0.00041365+1.5735e-05i,-0.00012856-0.00013586i,-0.00010308+2.116e-05i,-0.00027464-2.3179e-06i,0.00036399-0.00043785i,0.00093204-0.00024668i
-0.0015917-0.0013115i,-0.0020931-0.0011802i,-0.0022085+0.00015538i,-0.0020328+0.0018118i,-0.0017682+0.0020619i,0.00036171+0.00073371i,0.0027664+0.00029128i,0.002278-6.9437e-05i,0.00069886+7.7844e-06i,0.00014953+0.00067942i,-0.00062901+0.00038758i,-0.00095575+0.00028039i,-0.00027623+0.0010248i,0.00013216+0.0013971i,-5.5553e-05+0.0010727i,-0.00049084+0.00070353i,-0.00021309+0.00014931i,-0.00011465+7.0545e-05i,-9.6597e-05+0.00066899i,0.00034207+0.00011398i,0.00069246-0.00039566i,0.00082534+0.0001988i,0.00078888-0.00032467i
-0.00040002-0.00055404i,-0.00075266-0.00059783i,-0.0004168-0.0006615i,0.00077915-0.00040894i,0.0014269-0.00053907i,0.0018034-0.0010283i,0.0023321-0.00068708i,0.0024117-0.0004186i,0.001421-9.9883e-05i,0.00074998+9.5449e-05i,0.00012415-0.00031373i,-0.00048007+0.00021999i,-0.00046057+0.00055106i,-0.00070428+0.00070103i,-0.00093219+0.00082517i,-0.00076472+0.00047833i,-0.00079983+0.0001114i,-0.00041041+0.00015551i,0.00054651+0.00050864i,-0.00012106+0.00018836i,-0.00090573-0.00058046i,-0.00083132-0.00047364i,-0.00048139+0.00053714i
0.00088179-0.00032372i,2.4e-06-0.00081751i,-0.00068784-0.00095322i,-0.0010323-0.0013121i,-0.0011301-0.00094719i,-0.00059244+0.00013189i,0.00078978+0.00048378i,0.00099075+5.3873e-06i,-0.00032817-6.1784e-05i,-0.00090857-8.8017e-07i,-0.00093679+3.1117e-05i,-0.0010664+0.00028012i,-0.0011498+0.00094247i,-0.0013121+0.001779i,-0.0009611+0.0020466i,-0.0001514+0.001453i,-0.00049904-0.00020165i,-0.00093548-0.0012089i,9.0728e-05-0.00088527i,0.00068361-0.00047724i,0.0004644-0.00024428i,0.00036338-0.00036008i,0.00011254-0.00049481i
0.0011356+7.2665e-06i,0.0019857-0.00053505i,0.0012833-0.00099568i,0.00011975-0.00012178i,0.00043878+0.00098083i,0.0016385+0.00093922i,0.0025364+0.00012218i,0.0019967-0.00024633i,0.0005271-0.00049753i,-0.0006964-0.00092776i,-0.00080936-0.00064255i,-0.00043327-0.00019264i,0.00024616+0.00024294i,-3.8824e-05+0.00058323i,-0.00019631+0.00062043i,-4.9416e-05+0.00040582i,-0.00012993+4.9268e-05i,-0.00021966-0.00034158i,-0.00053668-0.00017518i,0.00029068-0.00019003i,0.00070519-0.00020041i,-2.4642e-06-0.00030966i,-0.0001864-0.00079713i
