-0.0022324+0.00038396i,-0.0022401-3.6098e-05i,-0.0035178+0.0010048i,-0.0031441+0.0017425i,-0.0021661+0.0016862i,-0.0012401+0.0011565i,-0.00076354+0.00087225i,2.6596e-06+0.00098935i,0.00041755+0.00051871i,0.00046716+0.00038948i,0.00087351-0.00035318i,0.00075428-0.0012862i,0.00085985-0.0009859i,1.4454e-05-0.00017869i,-0.00054421+0.00045681i,1.1994e-05+0.00012285i,3.8814e-05-0.00034894i,-0.00047804-0.00057785i,-0.00080074-0.0004807i,-0.00030109-0.00013377i,0.00062675+0.0004465i,0.00061072+0.0012381i,-0.00036344+0.0010609i
-0.0031045-0.00085094i,-0.0021676+0.0011524i,-0.0010419+0.001697i,-0.00022701+0.0016052i,0.00065967+0.0014715i,0.00060945+0.0013213i,0.00013262+0.0011892i,0.00036478+0.0010822i,0.00024233+0.00099094i,0.00059226+0.00074332i,0.00050994-0.00045188i,-0.00041885-0.0011912i,-0.00044453-0.0011862i,-0.00026852-0.00089845i,5.0591e-05-0.00085625i,0.00029302-0.00080995i,4.0425e-05-0.00051723i,3.0847e-05-0.00037833i,-0.00019118-0.00073463i,-0.00025885-0.00028726i,-0.00016984+0.00080405i,-0.00079338+0.00080281i,-0.0010737+0.0005209i
-0.001138-0.00037218i,-0.0012461+0.0002559i,-0.0012627+0.00062857i,-0.00080593+0.00058064i,-0.00096394+0.00011397i,-0.00075202+0.00063557i,-0.00011434+0.0011355i,0.00032034+0.00057952i,-0.00014126+0.00016584i,-0.00025872+0.00010305i,0.00046657+0.00025135i,0.00062232+0.00017187i,0.0010285+0.00017944i,0.00087364+0.00018946i,0.00024538+0.00010325i,0.00088915+0.00011065i,0.00073498-0.00023927i,-0.00020261-0.00013395i,-0.00077588-0.00017353i,-0.00077809-0.00014638i,-0.0006127+0.00042508i,3.3471e-05-1.9018e-05i,0.0013393-0.00039523i
-3.5765e-05-0.00047551i,-3.5298e-05-0.001024i,-0.00099618-0.0011705i,-0.001478-0.0012586i,-0.0017272-0.00077158i,-0.0022107-0.00027855i,-0.0012941+0.00065082i,0.0002417+0.00050986i,0.00073766-0.00047162i,0.0010604-0.00042428i,0.0007376+8.7385e-05i,0.00015192+0.00014344i,0.00022078+0.00015399i,0.00030596+0.00062804i,0.00024686-3.8579e-05i,9.3415e-05-0.00019303i,-0.00015675+0.00026215i,-0.00049723+0.0003083i,-0.00029393+0.00028573i,0.00016479+9.8399e-05i,1.8389e-05-5.064e-05i,-0.0001426-1.5955e-05i,-0.00018504+0.0001933i
0.0012084-0.0010846i,0.00026275-0.0010083i,-0.0010489-0.0021161i,-0.0015708-0.0031527i,-0.0014499-0.0021396i,-0.0018399-0.00039981i,-0.0010624+0.00046309i,-0.00043053+0.00059226i,-9.6232e-05+4.917e-05i,-0.00011562-0.00082546i,-0.00011054-0.0011573i,-8.9467e-05-0.00084983i,0.00016892-0.00073011i,0.00046589-0.0005022i,0.00043261-0.00063426i,0.00036172+0.00019949i,0.00056632+0.00073095i,0.00064038+0.00028857i,0.00025726+0.00014298i,-0.0010346-4.6429e-05i,-0.00059906-0.00082762i,0.0013428-0.0008756i,0.0016085-0.00060951i
0.00032839+0.00050202i,0.00014374-8.0941e-05i,0.00071258-0.0006407i,0.00050939+7.3241e-05i,-0.00073684+0.00012837i,-0.0014112-0.000172i,-0.0014428+0.00030886i,-0.00089637+0.00052616i,-0.0001958-6.0614e-05i,-0.00020422-0.00035544i,-8.2559e-06-0.00050708i,0.0003918-0.0007495i,0.00018423-0.00077588i,-0.00031101+0.00022008i,-0.000927+0.0013881i,-0.001344+0.0011771i,-0.00068328+0.00085708i,0.00030957+0.00058089i,-0.00011949-0.00014193i,-0.00049788-0.00071127i,-3.7648e-05-0.0011131i,-0.00043518-0.0005353i,-0.00063235+0.00014497i
0.0016407+0.0016574i,8.7758e-05+0.00104i,-3.5178e-05+0.00022346i,-7.334e-05-0.00046034i,-2.3723e-05-0.0013976i,-0.00045505-0.0013544i,-0.00096387-0.0003581i,-0.00027736-0.00028514i,0.00030688+0.00021223i,0.00068037+0.00073362i,0.0010649-0.00038288i,0.00036501-0.00024698i,-0.00058624+0.00025023i,-0.0010394-5.6772e-05i,-3.2979e-05+0.00016363i,0.00057085+0.0006882i,2.3281e-05+0.00018928i,-5.1756e-05+0.00015262i,0.00033716+0.00035073i,0.0006719+0.00056161i,0.0003042+0.00010804i,-0.00013339-0.00011496i,-0.00018183+0.00055548i
0.00128+0.0017889i,0.00092234+0.00066504i,0.001515-7.8665e-05i,0.0018358-0.00047858i,0.0014093+0.00014919i,0.00028312+0.00086011i,-0.00069527+0.00019884i,-0.00018526-0.00068559i,0.00025705-0.00075042i,0.0010267-0.00098665i,0.0014027-0.00060627i,0.00052132+0.00052857i,-3.7317e-05+0.00033146i,0.00023883-0.00052198i,0.00058017-0.00010718i,0.00078422+0.0011246i,0.00047286+0.0009259i,0.00034214+0.00051108i,0.00021262+0.00068986i,-0.00018419+0.00024902i,0.00016086-1.198e-05i,-3.1554e-06-0.00013155i,-0.00060337-0.00027784i
-0.00073742-0.0019848i,-0.0010669-0.0012186i,-0.0019658-0.00043434i,-0.0023324-0.00094879i,-0.0018313-0.00036444i,-0.0013786+0.00054541i,-0.00055451+0.00056391i,-0.00022281+0.00051958i,-5.7477e-06+0.00087751i,0.00015998+0.0012273i,-0.00027388+0.0008385i,0.00018873+0.00043976i,0.00067888+0.00031944i,0.0006262+0.00020314i,0.00033058-2.0025e-05i,-0.00023844-0.00035003i,-0.00029333-0.00030893i,-6.4628e-05-4.7951e-05i,5.7705e-05-0.00013034i,6.8156e-05+5.3122e-05i,5.1375e-05+5.9099e-05i,3.1912e-05+0.00021786i,0.00012206+0.00047893i
0.00087034+0.00083768i,0.00011592+0.0012165i,0.0010505+0.00075411i,0.0017496-0.00060601i,0.0015773-0.0020663i,0.0008862-0.0013706i,-0.00043363-0.00022948i,-0.00039995+0.00036673i,5.392e-05+0.00037622i,8.3342e-05+9.952e-05i,1.8479e-05+0.00010965i,-0.00010821+0.00030714i,-0.00049741+0.001249i,-0.0007523+0.0013646i,-0.0010444+4.3208e-05i,-0.00059908-0.00051961i,9.571e-06+0.00010584i,-2.1286e-05+0.00030272i,0.00027044+0.00066811i,0.00064828+0.0004629i,0.00082349-0.00031229i,0.00051023-0.00027046i,0.00027295-0.00058298i
-0.00056258-0.0020513i,-0.001738-0.0001463i,-0.0016241+0.00035082i,-0.0012996+0.00020337i,-0.001438+0.0005442i,-0.0013603+0.00014945i,-0.001534-0.00062742i,-0.00096582-0.00033087i,0.00033626+0.00050826i,0.0011612+0.00070957i,0.00070106-0.00020015i,0.00011115-0.00082244i,0.00072729-0.00066101i,0.0009972+0.00018839i,0.00055544+0.00029667i,0.00061533+0.00010597i,0.00013849+7.9769e-05i,-4.5955e-07-0.00032716i,-5.3231e-05-0.00046861i,-0.00015399-0.00044623i,0.00019592+0.0005276i,3.5199e-05+0.0014627i,0.00029814+0.00098971i
